"Subj_idx","Run","Block","Trial","Difficulty_col","Difficulty_let","Number_blues","Number_os","Stimulus_col","Stimulus_let","Response_col","Response_let","Accuracy_col","Accuracy_let","Confidence_col","Confidence_let","RT_confidence_col","RT_confidence_let","Firstchoice","Location_firstchoice","Location_secondchoice","RT_firstchoice","RT_secondchoice"
1,1,1,1,90,60,31,35,2,2,1,2,0,1,65.0195,51.5104,1.214,2.1304,1,1,4,1.1116,0.43849
1,1,1,2,60,90,42,17,1,2,1,2,1,1,86.3411,58.0208,2.0149,3.2312,1,3,4,0.90668,0.28155
1,1,1,3,90,60,49,35,1,2,1,2,1,1,95.4557,50.3711,1.1976,2.4306,1,3,2,0.72427,0.34878
1,1,1,4,90,90,31,17,2,2,1,2,0,1,97.7344,51.1849,1.1308,2.0472,1,1,4,1.2726,0.46693
1,1,1,5,90,90,49,63,1,1,1,1,1,1,99.6875,56.0677,1.2806,5.6289,1,1,2,0.64577,0.47963
1,1,1,6,60,60,38,45,2,1,1,1,0,1,80.4818,57.0443,0.91526,1.8317,1,1,2,0.7628,0.21646
1,1,1,7,60,90,38,17,2,2,1,2,0,1,82.2721,51.6732,0.76497,2.2479,1,3,4,0.76284,0.51031
1,1,1,8,60,90,38,63,2,1,1,1,0,1,100,99.1992,1.0476,2.3305,1,2,4,0.83055,0.3058
1,1,1,9,90,60,31,35,2,2,2,1,1,0,50.0456,49.8828,1.5483,2.4147,1,4,1,2.7877,0.4101
1,1,1,10,90,90,49,63,1,1,1,1,1,1,79.1797,52.6497,1.264,2.7802,1,2,1,1.0979,0.46578
1,1,1,11,60,60,38,35,2,2,1,2,0,1,50.2083,51.1849,1.0976,1.6475,1,4,3,1.0749,0.33948
1,1,1,12,90,60,49,35,1,2,1,1,1,0,75.1107,51.1849,1.1808,2.2137,1,1,4,0.70877,0.52526
1,1,1,13,60,60,38,35,2,2,1,1,0,0,80.6445,52.9753,3.0143,5.4302,1,2,4,0.89605,0.49005
1,1,1,14,60,60,42,45,1,1,1,1,1,1,77.0638,51.5104,0.93061,1.797,1,2,4,0.66616,0.61896
1,1,1,15,60,60,38,35,2,2,1,1,0,0,49.7201,50.3711,1.3646,2.5476,1,1,3,1.9781,0.49498
1,1,1,16,90,90,49,17,1,2,1,2,1,1,81.1328,65.6706,0.8975,2.4305,1,2,4,0.74257,0.42848
1,1,1,17,60,60,42,45,1,1,1,1,1,1,72.832,51.3477,1.3977,2.4307,1,3,1,1.4449,0.37395
1,1,1,18,90,60,49,45,1,1,1,1,1,1,68.112,52.8125,1.715,2.4648,1,2,3,0.83405,0.53174
1,1,1,19,60,90,38,17,2,2,2,2,1,1,51.0221,50.6966,1.1142,1.6808,1,1,4,1.5917,0.50578
1,1,1,20,90,90,49,63,1,1,1,1,1,1,69.7396,83.5742,2.9292,1.5132,2,2,3,0.73777,0.19938
1,1,1,21,90,60,31,35,2,2,2,1,1,0,81.1328,60.2995,1.5482,2.798,1,2,3,0.72585,0.25405
1,1,1,22,60,90,42,63,1,1,1,1,1,1,78.6914,91.875,1.8302,0.83067,1,2,1,0.79289,0.5398
1,1,1,23,60,90,38,63,2,1,1,1,0,1,70.8789,68.6003,2.9644,3.7642,1,3,2,2.0007,0.29117
1,1,1,24,90,90,49,63,1,1,1,1,1,1,99.362,99.362,2.7458,1.6462,1,1,4,0.77532,0.47694
1,1,1,25,60,60,42,45,1,1,1,1,1,1,78.2031,50.5339,0.98195,2.3317,1,1,3,1.3565,0.46561
1,1,2,1,60,90,38,17,2,2,1,2,0,1,65.0195,58.9974,1.465,2.7979,1,2,1,0.79894,0.35381
1,1,2,2,60,60,42,35,1,2,1,1,1,0,64.8568,52.1615,1.1819,2.3482,1,3,4,0.96428,0.4521
1,1,2,3,60,60,42,35,1,2,1,2,1,1,69.9023,50.5339,0.86442,1.6642,1,4,3,1.5303,1.5904
1,1,2,4,60,90,38,17,2,2,1,2,0,1,70.7161,53.3008,1.6971,2.5302,1,4,2,0.75414,0.57595
1,1,2,5,90,60,49,45,1,1,1,1,1,1,83.737,58.3464,0.81531,1.7317,1,1,4,0.78927,0.46521
1,1,2,6,60,90,38,63,2,1,1,1,0,1,82.2721,67.6237,1.4971,2.5468,1,2,3,0.91819,0.45505
1,1,2,7,60,90,38,17,2,2,1,2,0,1,75.2734,74.2969,1.314,2.197,1,1,4,1.4914,0.2696
1,1,2,8,60,60,38,45,2,1,1,1,0,1,76.25,49.7201,0.94864,3.431,1,2,4,2.1793,0.59244
1,1,2,9,90,60,31,35,2,2,2,2,1,1,58.5091,50.6966,2.5646,3.7809,1,4,2,0.79262,0.26923
1,1,2,10,90,60,49,45,1,1,1,1,1,1,74.6224,50.0456,0.93108,1.7808,1,4,2,1.1144,0.63497
1,1,2,11,90,60,31,35,2,2,2,2,1,1,81.4583,52.8125,0.89854,2.3982,2,4,3,0.94799,0.44995
1,1,2,12,60,60,42,35,1,2,2,1,0,0,63.7174,50.0456,1.447,2.3967,1,2,1,0.8479,0.60163
1,1,2,13,60,60,38,35,2,2,2,2,1,1,50.5339,49.8828,1.2471,3.3464,1,4,3,1.1162,0.7083
1,1,2,14,90,90,49,63,1,1,1,1,1,1,87.806,81.1328,1.6144,3.1637,1,4,3,0.67626,0.43511
1,1,2,15,60,60,38,35,2,2,1,1,0,0,71.6927,51.1849,0.9151,1.8648,1,2,3,1.0533,0.4292
1,1,2,16,90,90,49,17,1,2,1,2,1,1,64.043,49.3945,0.71407,1.7305,1,2,4,0.91706,0.23513
1,1,2,17,90,60,49,45,1,1,1,2,1,0,61.7643,50.2083,0.83059,2.0469,1,4,3,1.0983,0.48164
1,1,2,18,60,90,42,63,1,1,1,1,1,1,81.6211,73.1576,1.0985,3.4144,1,3,1,0.72276,0.57013
1,1,2,19,60,90,38,17,2,2,1,2,0,1,67.7865,56.3932,0.83097,1.7307,1,2,3,0.71931,0.39075
1,1,2,20,90,60,49,45,1,1,1,1,1,1,73.6458,51.3477,0.98195,3.0145,1,1,2,2.5493,0.604
1,1,2,21,60,90,38,17,2,2,1,2,0,1,73.9714,51.1849,1.465,2.7146,1,1,2,0.91026,0.43803
1,1,2,22,90,90,49,63,1,1,1,1,1,1,82.9232,73.6458,1.3473,2.297,1,4,3,0.8214,0.41885
1,1,2,23,90,60,31,45,2,1,2,2,1,0,52.6497,51.6732,0.9473,1.7803,1,1,3,1.769,0.41519
1,1,2,24,60,90,42,63,1,1,1,1,1,1,68.763,72.3438,0.99837,1.9647,2,1,4,0.88529,0.5234
1,1,2,25,90,90,49,63,1,1,1,1,1,1,77.3893,76.4128,1.0302,2.0799,1,4,2,0.98668,0.23873
1,1,3,1,60,60,38,35,2,2,2,2,1,1,51.8359,51.6732,1.4639,2.2304,1,3,4,1.6413,0.5415
1,1,3,2,60,90,42,17,1,2,1,2,1,1,68.4375,52.9753,1.2963,2.3126,1,4,1,0.94164,0.41789
1,1,3,3,90,60,49,35,1,2,1,2,1,1,61.9271,49.8828,1.8482,2.7812,2,1,4,1.7651,0.53995
1,1,3,4,90,60,31,35,2,2,2,2,1,1,66.8099,53.138,1.0476,1.9974,1,1,4,0.78807,0.32852
1,1,3,5,60,60,42,45,1,1,1,1,1,1,59.4857,56.3932,1.3801,2.3298,1,3,4,0.86698,0.51555
1,1,3,6,60,90,38,63,2,1,1,1,0,1,68.4375,67.6237,1.1484,2.3813,1,2,4,1.1276,0.67849
1,1,3,7,90,90,31,17,2,2,2,2,1,1,58.6719,50.0456,1.0477,1.8807,1,1,3,1.9302,0.4104
1,1,3,8,90,60,31,45,2,1,2,2,1,0,57.5326,50.3711,0.98079,2.0471,1,4,3,0.78283,0.62762
1,1,3,9,90,60,31,35,2,2,2,2,1,1,66.4844,50.5339,0.86388,2.0302,1,2,1,1.1369,0.51212
1,1,3,10,60,90,42,63,1,1,1,1,1,1,69.2513,67.2982,1.3484,3.0644,1,4,2,1.1072,0.23556
1,1,3,11,60,60,38,35,2,2,1,1,0,0,68.6003,49.7201,4.4129,2.9468,1,2,3,1.5653,0.32993
1,1,3,12,90,90,49,17,1,2,1,2,1,1,73.3203,51.5104,1.1974,2.3637,2,2,3,0.84084,0.48121
1,1,3,13,60,60,38,35,2,2,1,2,0,1,72.5065,51.3477,0.88086,1.8973,1,2,4,0.95945,0.48255
1,1,3,14,60,60,42,45,1,1,1,1,1,1,74.9479,53.9518,1.0474,1.9804,2,4,3,1.335,0.50882
1,1,3,15,60,60,38,35,2,2,1,1,0,0,58.0208,50.0456,1.9969,1.2639,1,3,1,1.6048,0.45508
1,1,3,16,60,90,42,17,1,2,1,2,1,1,68.4375,49.8828,2.2146,3.3642,1,2,3,0.65347,0.46481
1,1,3,17,60,90,42,63,1,1,1,1,1,1,68.2747,62.5781,0.84862,2.1482,1,4,1,0.75208,0.334
1,1,3,18,90,90,49,63,1,1,1,1,1,1,79.3424,65.5078,1.1809,2.3639,1,3,2,0.81586,0.44116
1,1,3,19,60,60,38,35,2,2,1,1,0,0,74.7852,50.2083,0.84858,1.7317,1,2,4,1.217,0.29972
1,1,3,20,60,90,42,63,1,1,1,1,1,1,75.2734,69.2513,0.96431,3.6799,1,2,3,0.78977,0.41112
1,1,3,21,90,90,31,17,2,2,2,2,1,1,51.1849,50.2083,1.2804,3.363,1,3,4,1.5718,0.46246
1,1,3,22,60,90,42,63,1,1,1,1,1,1,65.3451,51.9987,1.8472,2.6969,1,3,2,0.67425,0.41894
1,1,3,23,60,90,38,63,2,1,1,1,0,1,74.4596,60.9505,0.79871,2.1316,1,1,4,0.75407,0.38411
1,1,3,24,90,90,49,63,1,1,1,1,1,1,74.2969,71.2044,1.0638,2.73,1,4,1,0.83804,0.44086
1,1,3,25,60,60,42,45,1,1,1,1,1,1,69.4141,50.8594,0.73067,1.8138,1,4,1,1.5757,0.34978
