"Subj_idx","Run","Block","Trial","Difficulty_col","Difficulty_let","Number_blues","Number_os","Stimulus_col","Stimulus_let","Response_col","Response_let","Accuracy_col","Accuracy_let","RT_dec_col","RT_dec_let","Confidence_col","Confidence_let","RT_confidence_col","RT_confidence_let","Taskorder","Locationchoice_col","Locationchoice_let","Initposconf_col","Initposconf_let"
1,1,1,1,90,90,35,20,2,2,1,2,0,1,0.4814,4.0563,88.0948,86.7631,0.51648,0.74977,2,1,1,73.5574,64.0137
1,1,1,2,90,90,35,20,2,2,2,2,1,1,0.44951,1.0896,84.3217,74.7781,0.63311,0.78296,2,2,2,89.3155,59.5748
1,1,1,3,90,90,35,60,2,1,2,1,1,1,0.85307,0.70519,69.4513,71.3379,0.68307,0.5497,1,2,1,94.5312,73.2244
1,1,1,4,60,60,41,44,1,1,1,1,1,1,0.39491,0.95733,79.8828,61.3503,0.66641,0.59976,2,1,1,77.7743,57.4663
1,1,1,5,60,60,39,44,2,1,2,1,1,1,1.9169,0.33776,59.4638,61.7942,0.58302,0.83302,1,2,1,59.4638,99.3031
1,1,1,6,60,60,41,44,1,1,2,2,0,0,0.55531,2.2892,68.7855,70.894,0.34988,0.53314,2,1,1,68.7855,69.4513
1,1,1,7,60,90,39,60,2,1,2,1,1,1,1.1853,0.87129,59.4638,79.9938,0.78295,0.68308,2,2,2,99.1921,63.1259
1,1,1,8,90,60,45,36,1,2,1,2,1,1,0.38756,0.70217,93.0886,81.2145,0.86631,0.49981,2,2,1,60.4625,68.7855
1,1,1,9,90,60,45,36,1,2,1,2,1,1,0.32936,1.426,90.7582,70.4501,0.6331,0.833,2,2,1,72.1147,58.465
1,1,1,10,90,60,35,36,2,2,2,1,1,0,0.4116,2.1241,86.9851,60.5735,0.79967,0.89965,2,1,1,84.2108,77.5524
1,1,1,11,90,60,45,36,1,2,1,2,1,1,1.3191,1.507,90.2033,69.2294,0.56648,0.63309,1,2,1,81.1035,76.1097
1,1,1,12,90,90,35,20,2,2,1,2,0,1,1.5628,0.43249,87.6509,98.9702,0.64978,0.5831,1,1,2,59.6857,78.7731
1,1,1,13,90,60,45,36,1,2,1,2,1,1,0.83963,0.37085,94.8642,67.4538,0.98295,0.64976,1,2,1,54.359,86.7631
1,1,1,14,60,60,41,44,1,1,1,1,1,1,0.38874,1.5083,78.8841,63.4588,0.76636,0.61643,2,2,2,85.2095,73.2244
1,1,1,15,60,90,39,60,2,1,1,1,0,1,0.33579,1.4784,74.6671,67.3429,0.93298,0.983,2,2,1,78.7731,98.0824
1,1,1,16,60,60,39,36,2,2,2,2,1,1,1.2156,0.38967,96.4178,70.783,0.58311,0.48317,1,2,1,95.641,75.4439
1,1,1,17,90,90,45,60,1,1,1,2,1,0,0.62324,0.43585,83.101,72.3366,0.6331,0.58311,1,2,2,92.0898,79.3279
1,1,1,18,90,90,35,60,2,1,2,1,1,1,0.67392,0.39718,89.3155,81.6584,0.49982,0.94965,1,2,1,86.3192,59.2418
1,1,1,19,60,90,41,20,1,2,1,2,1,1,0.90737,0.58198,65.2344,94.5312,0.69978,0.44984,2,1,2,59.4638,90.0923
1,1,1,20,90,60,35,36,2,2,2,2,1,1,1.281,0.42024,74.2232,81.6584,0.5831,0.6831,1,2,1,58.2431,55.5797
1,1,1,21,60,90,41,20,1,2,1,2,1,1,0.6602,0.44964,71.005,85.9863,0.48315,0.81635,1,1,2,75.7768,98.1934
1,1,1,22,60,60,41,44,1,1,2,1,0,1,0.63935,0.50312,83.9888,81.5474,0.89971,0.84965,1,1,1,50.0311,65.7892
1,1,1,23,60,90,39,60,2,1,1,1,0,1,0.73782,0.36516,82.9901,87.6509,0.68309,0.49982,1,2,2,56.1346,73.7793
1,1,1,24,60,90,41,60,1,1,2,1,0,1,1.323,1.3201,85.0985,80.8816,0.58312,0.58311,2,1,2,59.6857,80.1048
1,1,2,1,90,90,35,60,2,1,1,1,0,1,0.82804,0.69438,63.1259,83.323,0.68307,0.88302,2,2,2,81.8803,70.1172
1,1,2,2,90,90,35,60,2,1,1,1,0,1,0.44004,1.1595,75.6658,89.3155,0.61642,0.53318,2,2,1,82.4352,72.6696
1,1,2,3,90,60,35,36,2,2,2,2,1,1,1.3158,0.39759,88.2058,81.3255,0.6331,0.53313,1,1,1,97.5275,84.0998
1,1,2,4,60,60,41,44,1,1,1,2,1,0,0.76685,0.39231,84.6547,85.0985,0.46649,1.1662,1,1,2,83.5449,54.9139
1,1,2,5,90,60,35,44,2,1,2,1,1,1,0.69455,0.52788,86.2083,85.6534,0.61643,0.63309,1,2,1,70.6721,84.6547
1,1,2,6,90,90,35,20,2,2,2,2,1,1,0.43821,0.83642,81.4364,85.4315,0.69978,0.56645,2,2,1,97.9714,69.2294
1,1,2,7,90,60,45,36,1,2,1,1,1,0,0.69998,0.36084,84.5437,78.1072,0.49978,0.59982,1,2,2,71.4489,64.3466
1,1,2,8,90,60,45,44,1,1,1,1,1,1,0.33389,1.0412,83.6559,67.4538,0.38315,0.61641,2,1,2,74.5561,93.9764
1,1,2,9,90,60,45,44,1,1,1,2,1,0,0.69852,0.42747,94.5312,90.6472,0.98296,0.4832,1,2,2,60.3516,82.4352
1,1,2,10,60,60,39,36,2,2,1,1,0,0,0.47981,0.9269,75.3329,66.899,0.88299,0.66641,2,2,1,57.2443,55.0249
1,1,2,11,60,90,39,20,2,2,2,2,1,1,0.72175,0.60803,85.2095,81.1035,0.6831,0.66642,2,2,1,89.0936,93.4215
1,1,2,12,60,90,41,20,1,2,1,2,1,1,1.4564,0.36634,77.6634,96.4178,0.86634,0.89964,1,2,1,68.1197,59.6857
1,1,2,13,90,90,45,60,1,1,1,1,1,1,0.5973,0.48143,76.2207,82.6571,0.89965,0.59973,1,2,1,61.4613,64.1246
1,1,2,14,60,90,39,60,2,1,1,1,0,1,0.33097,1.2014,82.4352,86.4302,0.71636,0.48315,2,1,2,51.0298,79.3279
1,1,2,15,90,60,45,44,1,1,1,1,1,1,1.7814,0.43688,77.7743,94.5312,0.4165,0.53314,1,1,1,66.2331,62.0162
1,1,2,16,60,60,41,36,1,2,1,2,1,1,0.90842,0.73067,78.2182,94.6422,0.39982,0.44983,2,1,2,87.207,81.1035
1,1,2,17,60,60,39,44,2,1,1,1,0,1,0.4565,0.66564,83.5449,79.106,0.68307,0.59977,2,1,1,90.8691,81.9913
1,1,2,18,60,60,41,44,1,1,1,2,1,0,0.29571,1.268,84.9876,62.3491,0.53312,1.0663,2,2,1,50.364,98.8592
1,1,2,19,90,90,45,20,1,2,1,2,1,1,0.4125,0.56034,80.3267,96.1958,0.54979,0.68302,2,1,2,91.313,95.752
1,1,2,20,60,90,39,20,2,2,1,2,0,1,0.87401,0.3884,61.0174,97.4165,0.76639,0.53314,1,2,1,50.253,61.1284
1,1,2,21,60,90,41,20,1,2,1,2,1,1,0.35794,0.76094,97.3056,91.424,1.4495,0.93303,2,2,1,72.5586,52.3615
1,1,2,22,60,90,41,60,1,1,2,1,0,1,0.65185,0.40293,83.212,87.8729,0.74972,0.66641,1,1,1,68.3416,65.5673
1,1,2,23,60,60,39,36,2,2,1,1,0,0,0.81579,0.31032,88.2058,81.2145,0.6998,0.58317,1,1,2,70.1172,98.4153
1,1,2,24,90,90,35,20,2,2,1,2,0,1,1.2509,0.31029,70.2282,90.7582,0.78304,0.54979,1,1,2,56.2456,65.4563
1,1,3,1,90,90,35,20,2,2,1,2,0,1,0.90959,0.55708,70.5611,89.2045,0.84968,0.58311,1,1,1,92.7557,98.0824
1,1,3,2,90,60,45,44,1,1,1,2,1,0,0.39008,0.98408,88.4277,69.6733,1.0829,1.0496,2,1,2,82.2132,61.5723
1,1,3,3,60,60,41,36,1,2,2,2,0,1,1.1196,0.54102,76.7756,65.1234,0.61644,0.61643,1,1,1,88.8716,92.2008
1,1,3,4,60,90,41,60,1,1,1,1,1,1,0.35135,0.6972,88.8716,91.8679,0.76643,0.39984,2,2,1,61.2393,84.6547
1,1,3,5,90,60,35,44,2,1,2,1,1,1,0.41619,0.69397,72.5586,64.2356,0.91632,0.59981,2,2,2,86.2083,75.7768
1,1,3,6,90,90,35,60,2,1,2,1,1,1,0.58408,0.34281,96.4178,91.2021,0.61643,0.883,1,2,2,93.7544,68.4526
