Subj_idx,Block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
1,1,1,1.5,1.2475,1.7253,2,2.4363,1,0.81747
1,1,2,1.5,1.8984,1.427,3,1.9509,1,1.7292
1,1,3,1.5,0.53094,1.7754,1,2.0005,1,0.62778
1,1,4,1.5,0.63404,1.6179,2,2.1291,0,1.502
1,1,5,1.5,0.62723,1.8229,2,2.5462,0,1.1013
1,1,6,1.5,0.5003,1.3176,2,1.4922,1,1.5378
1,1,7,1.5,0.40443,1.695,2,1.8229,0,1.9471
1,1,8,1.5,0.64008,1.5829,2,2.1527,1,0.96677
1,1,9,1.5,0.69914,1.4777,2,1.7758,0,3.1753
1,1,10,1.5,0.96545,1.6902,2,1.5735,0,1.3852
1,1,11,1.5,0.89031,1.4562,3,2.2351,1,0.87814
1,1,12,1.5,0.66497,2.5646,1,1.4282,1,1.3638
1,1,13,1.5,0.37803,1.5245,1,1.6988,0,0.5147
1,1,14,1.5,0.52614,1.712,2,1.7119,1,1.6276
1,1,15,1.5,0.52524,1.6525,2,1.843,1,0.75045
1,1,16,1.5,0.72991,1.7395,2,2.0711,1,0.7449
1,1,17,1.5,1.2348,1.4535,2,1.5448,1,0.70197
1,1,18,1.5,0.43732,1.3598,2,1.5006,0,0.74255
1,1,19,1.5,0.58856,1.7548,2,1.3839,1,0.47927
1,1,20,1.5,0.67681,1.3282,2,1.7158,1,1.5147
1,1,21,1.5,0.41675,1.6901,2,1.6215,0,1.0971
1,1,22,1.5,0.90243,1.579,2,1.7364,0,1.4816
1,1,23,1.5,0.27011,1.6421,2,2.9254,1,1.5322
1,1,24,1.5,0.53915,1.8989,2,1.5511,1,1.0926
1,1,25,1.5,0.44367,1.823,2,1.5215,0,0.7714
1,1,26,1.5,0.66208,1.0643,2,1.7537,1,1.7812
1,1,27,1.5,0.64057,1.3589,2,2.0751,0,0.96076
1,1,28,1.5,0.42389,1.5744,2,3.2863,0,1.2647
1,1,29,1.5,0.37843,1.3784,2,2.4494,1,1.4046
1,1,30,1.5,0.70507,1.5308,3,1.9635,0,1.7657
1,1,31,1.5,0.56469,1.4373,2,1.3948,0,1.4784
1,1,32,1.5,0.71649,1.5537,3,1.9439,1,1.113
1,1,33,1.5,0.49327,1.4856,3,2.0429,0,0.93673
1,1,34,1.5,0.51866,1.6938,2,1.489,1,0.54691
1,1,35,1.5,0.46122,2.1398,1,1.4095,1,0.52536
1,1,36,1.5,0.32236,2.562,1,1.0247,1,0.60126
1,1,37,1.5,0.46973,1.4957,2,1.3367,1,0.80798
1,1,38,1.5,2.1671,1.6172,1,2.4914,0,0.92194
1,1,39,1.5,0.78866,1.4716,2,1.5958,1,0.62957
1,1,40,1.5,0.34668,1.4022,2,1.7681,0,0.38013
1,1,41,1.5,0.59716,1.593,2,1.5505,1,0.81632
1,1,42,1.5,0.60875,1.5222,2,2.5854,1,1.4154
1,1,43,1.5,1.1772,1.6972,2,1.7255,0,1.0868
1,1,44,1.5,0.40435,1.2724,2,1.5343,1,0.81695
1,1,45,1.5,1.7636,1.5387,2,1.5852,0,0.70631
1,1,46,1.5,0.35192,1.579,2,3.7998,1,0.47625
1,1,47,1.5,2.3737,1.3448,2,1.5619,0,0.52764
1,1,48,1.5,0.46182,1.3675,2,2.6929,0,0.74642
1,1,49,1.5,0.49413,1.3771,2,4.1147,1,1.9362
1,1,50,1.5,0.31469,1.241,3,1.7118,1,2.3263
1,1,51,1.5,0.18651,1.393,2,2.9393,0,1.2803
1,1,52,1.5,0.43097,1.2974,3,1.8017,0,0.99239
1,1,53,1.5,0.44217,1.2612,2,1.9122,1,0.73887
1,1,54,1.5,0.31439,1.3282,2,2.2109,0,1.3261
1,1,55,1.5,0.33411,1.4326,2,1.2158,1,0.70333
1,1,56,1.5,0.37759,1.6033,3,1.494,1,3.0772
1,1,57,1.5,0.34786,1.5913,3,1.324,1,1.1488
1,1,58,1.5,0.34007,1.4481,2,1.2893,1,1.324
1,1,59,1.5,0.37218,1.4207,3,1.5954,0,1.1768
1,1,60,1.5,0.71065,1.848,2,1.1402,1,0.72455
2,1,1,1.5,0.6721,1.871,3,1.7316,0,1.9895
2,1,2,1.5,0.56929,1.7441,3,1.4265,0,1.4264
2,1,3,1.5,1.4316,1.0997,3,4.2298,0,3.2211
2,1,4,1.5,0.56904,1.6282,2,1.2739,0,1.7861
2,1,5,1.5,1.661,1.2119,3,1.6367,0,2.1565
2,1,6,1.5,1.0482,0.70619,2,0.96248,0,1.4379
2,1,7,1.5,0.64063,1.5087,3,1.1127,0,1.0758
2,1,8,1.5,0.64622,1.8025,3,1.2048,1,0.78485
2,1,9,1.5,0.8736,1.6472,3,1.364,1,0.73861
