Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
1,2,2,80,3.199,3.6603,0.36,1
1,1,1,89,4.249,2.4946,0.36,1
1,1,1,91,2.351,2.7283,0.36,2
1,1,1,59,3.8,4.7798,0.36,2
1,2,2,94,1.901,3.4965,0.31,1
1,1,1,100,1.501,5.6958,0.31,1
1,2,2,100,1.501,5.8792,0.26,1
1,2,2,100,2.801,4.363,0.26,1
1,1,1,53,1.301,3.5307,0.21,1
1,2,2,79,1.385,1.5473,0.21,1
1,2,2,95,1.385,2.0139,0.31,2
1,2,2,76,4.601,7.8951,0.31,2
1,1,NaN,NaN,NaN,NaN,0.16,1
1,1,2,33,4.501,4.5125,0.16,1
1,1,1,25,2.068,3.9466,0.26,2
1,2,1,21,12.132,3.5139,0.21,1
1,2,2,58,2.002,3.23,0.26,2
1,1,1,49,1.851,3.1468,0.26,1
1,2,1,60,3.5,3.3632,0.21,2
1,1,NaN,NaN,NaN,NaN,0.26,1
1,2,2,76,2.601,5.4632,0.26,1
1,2,2,74,1.668,4.1632,0.26,2
1,2,2,89,1.301,5.0297,0.21,1
1,2,1,81,1.651,1.6139,0.26,2
1,1,NaN,NaN,NaN,NaN,0.21,1
1,2,2,33,5.601,3.1636,0.31,2
1,1,NaN,NaN,NaN,NaN,0.31,2
1,2,2,60,3.817,3.1299,0.26,2
1,1,1,39,3.267,6.2792,0.26,2
1,1,1,33,3.351,4.7462,0.21,2
1,1,NaN,NaN,NaN,NaN,0.21,1
1,2,2,50,6.45,3.6133,0.21,2
1,1,1,55,4.134,2.4138,0.21,1
1,1,NaN,NaN,NaN,NaN,0.16,2
1,1,2,67,2.617,2.6636,0.16,1
1,1,2,63,3.951,3.0968,0.16,2
1,2,2,68,2.034,3.0473,0.21,2
1,1,1,53,3.268,3.747,0.21,2
1,2,NaN,NaN,NaN,NaN,0.21,1
1,1,1,81,2.701,1.7139,0.16,2
1,2,NaN,NaN,NaN,NaN,0.21,1
1,1,2,23,4.401,1.5479,0.21,1
1,1,2,66,2.851,2.4808,0.26,1
1,2,2,87,1.401,2.5804,0.31,1
1,1,2,61,1.251,3.0471,0.16,2
1,2,2,76,1.251,3.63,0.21,2
1,1,2,38,1.101,3.097,0.21,2
1,1,NaN,NaN,NaN,NaN,0.31,1
1,2,2,100,1.951,2.3473,0.31,1
1,2,2,100,1.351,2.814,0.26,1
1,1,2,60,0.951,2.6468,0.26,2
1,2,2,77,2.501,3.2802,0.26,1
