Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition,Task
1,1,2,3,4.2116,1.7912,27,2,2
1,2,2,4,4.7717,1.871,32,2,2
1,2,1,4,2.2108,1.839,13,1,2
1,1,1,5,2.2399,1.4546,32,2,2
1,1,1,6,5.1124,2.7927,27,2,2
1,2,1,6,1.6586,0.5738,27,2,2
1,1,2,6,1.767,0.7255,18,1,2
1,1,1,5,1.9576,1.1688,32,2,2
1,2,2,6,2.7588,0.80724,32,2,2
1,1,1,4,2.2104,1.9655,23,1,2
1,2,1,6,2.4396,0.92686,23,1,2
1,2,2,5,1.7912,0.8937,28,1,2
1,1,1,4,3.7983,1.4985,27,2,2
1,1,1,5,1.9671,0.47174,28,1,2
1,2,1,6,1.4675,0.44326,23,1,2
1,1,1,6,1.7846,0.73296,28,1,2
1,2,1,4,2.4323,0.69075,27,2,2
1,2,2,4,1.8548,0.90509,28,1,2
1,1,1,5,1.5669,0.39693,23,1,2
1,1,2,4,1.9405,0.61315,32,2,2
1,1,1,5,1.5078,0.64893,37,2,2
1,2,1,6,1.3775,0.47085,37,2,2
1,2,2,3,5.5193,1.2688,42,2,2
1,1,1,5,1.6622,0.42374,42,2,2
1,2,2,5,1.7933,1.4417,37,2,2
1,1,1,3,2.7475,0.82637,37,2,2
1,1,1,5,2.1304,0.38353,23,1,2
1,1,2,2,3.6901,2.069,18,1,2
1,2,1,4,2.1346,0.46909,23,1,2
1,2,1,5,2.1517,0.60894,32,2,2
1,2,2,4,3.0516,0.38569,28,1,2
1,1,1,4,3.2663,0.96987,28,1,2
1,2,2,4,2.4748,0.34403,23,1,2
1,1,1,5,3.1493,0.60331,37,2,2
1,2,2,4,4.8971,1.9102,23,1,2
1,2,2,5,1.6931,0.36006,37,2,2
1,2,2,5,2.8027,1.1488,18,1,2
1,2,2,6,2.4054,0.50195,18,1,2
1,1,1,3,2.7162,0.73541,13,1,2
1,2,2,5,2.2831,0.3931,32,2,2
1,1,2,2,2.4124,0.56797,13,1,2
1,2,2,3,1.6297,1.0382,18,1,2
1,2,1,5,1.9187,0.67467,32,2,2
1,1,2,4,4.5984,1.8559,37,2,2
1,2,2,4,2.5159,0.40409,18,1,2
1,1,2,3,2.4561,0.35112,13,1,2
1,2,2,5,1.6729,0.38245,42,2,2
1,1,1,6,2.5667,0.3997,18,1,2
1,1,1,5,1.885,1.1116,18,1,2
1,2,2,6,3.7595,0.43398,42,2,2
1,1,1,3,2.1099,0.36024,13,1,2
1,2,2,6,2.0614,0.39172,37,2,2
1,2,2,4,1.8439,1.3292,13,1,2
1,2,2,4,2.5561,0.56558,37,2,2
1,1,1,4,2.1159,0.36116,32,2,2
1,1,1,4,4.6674,0.64248,32,2,2
1,1,1,2,2.3091,0.40709,8,1,2
1,1,1,3,1.5785,0.85574,8,1,2
1,2,2,2,3.541,3.3603,3,1,2
1,1,2,1,4.414,1.6792,3,1,2
1,2,2,3,1.9495,0.7179,27,2,2
1,2,2,2,3.7351,0.58125,8,1,2
1,1,1,5,2.3927,1.1612,27,2,2
1,1,2,3,1.8224,0.44956,8,1,2
1,2,2,4,3.5809,0.36542,13,1,2
1,1,1,5,1.9996,0.56745,22,2,2
1,2,1,3,4.9546,1.8479,13,1,2
1,2,1,5,2.1709,0.3309,18,1,2
1,1,1,6,1.3295,0.57232,23,1,2
1,1,2,5,1.8233,0.44774,22,2,2
1,2,2,6,2.0738,0.56546,27,2,2
1,1,1,5,2.532,0.49582,27,2,2
1,1,1,6,1.6872,0.94475,22,2,2
1,1,1,5,1.6742,0.83333,22,2,2
1,2,1,4,2.0459,0.63973,17,2,2
1,2,1,3,3.2095,0.59664,23,1,2
1,1,1,6,1.6951,0.57364,28,1,2
1,2,1,4,2.8302,0.34955,22,2,2
1,1,1,6,1.8375,0.46303,27,2,2
1,2,2,4,2.5135,2.2749,27,2,2
1,2,1,4,2.459,1.5202,13,3,2
1,2,2,4,1.6846,0.62104,18,3,2
1,1,2,5,2.2434,0.70706,18,3,2
1,1,1,5,1.5755,0.52996,23,3,2
1,1,1,6,2.4067,1.1992,23,3,2
1,2,2,6,1.7913,0.76946,18,3,2
1,2,2,5,2.6271,0.3762,18,3,2
1,2,1,4,4.0361,1.4607,13,3,2
1,1,2,5,1.823,0.60865,18,3,2
1,2,2,5,1.5921,1.0839,23,3,2
1,1,2,4,2.9118,1.2546,23,3,2
1,2,2,5,1.2737,0.43507,28,3,2
1,1,2,4,4.0086,1.2382,28,3,2
1,1,1,5,1.9337,0.49374,33,3,2
1,2,2,6,2.1668,1.441,33,3,2
1,1,1,5,3.0402,1.2431,28,3,2
1,1,1,5,2.3656,0.39192,28,3,2
1,2,2,5,2.2742,1.0332,23,3,2
1,1,1,3,5.6795,1.3401,23,3,2
1,1,1,4,1.5632,1.0606,18,3,2
1,2,2,5,2.9257,0.269,18,3,2
1,2,1,5,2.7269,0.36359,13,3,2
1,1,1,5,1.9001,0.45615,18,3,2
1,2,2,5,2.2413,0.28889,18,3,2
1,2,1,5,2.2061,0.60827,13,3,2
1,2,1,3,3.688,0.84129,18,3,2
1,2,2,4,2.2507,0.31919,23,3,2
1,2,1,4,3.2138,0.52169,23,3,2
1,2,1,6,2.1375,0.35685,28,3,2
1,1,1,4,3.2559,0.89434,33,3,2
1,1,1,5,1.8743,1.0412,33,3,2
1,2,2,5,2.4719,0.32754,28,3,2
1,1,1,6,2.3213,3.1182,28,3,2
1,2,2,3,3.872,0.48284,23,3,2
1,2,1,5,3.194,0.88845,23,3,2
1,2,2,5,5.0225,0.60234,28,3,2
1,2,2,4,2.252,0.58061,28,3,2
1,1,1,5,1.813,1.0916,23,3,2
1,1,1,2,3.2117,0.49321,23,3,2
1,1,2,2,2.5603,0.84062,18,3,2
1,1,1,5,2.5198,1.1627,22,2,2
1,2,2,6,2.7285,0.51799,22,2,2
1,1,1,5,5.2012,0.46749,28,1,2
1,1,1,3,3.2372,0.48954,17,2,2
1,2,2,5,1.7609,0.35749,17,2,2
1,1,1,5,2.2679,0.33761,12,2,2
1,1,1,5,2.2928,0.35493,23,1,2
1,1,1,4,2.7506,1.6143,12,2,2
1,2,2,3,3.8439,0.41273,7,2,2
1,1,1,5,1.6649,0.34275,23,1,2
1,1,1,5,2.011,0.51236,18,1,2
1,1,1,6,1.8651,0.9602,18,1,2
1,1,2,3,2.0475,0.37599,7,2,2
1,2,1,4,2.2098,1.4767,13,1,2
1,2,2,3,2.8235,0.50251,18,1,2
1,1,2,5,2.7743,0.53495,18,1,2
1,1,1,5,1.962,0.46851,12,2,2
1,1,1,6,1.942,1.0214,23,1,2
1,2,1,5,1.898,0.34237,23,1,2
1,2,2,6,2.4258,0.61703,12,2,2
1,1,1,3,3.3087,0.46515,7,2,2
1,2,2,2,2.0678,0.93359,7,2,2
1,2,2,1,1.9489,0.44848,3,2,2
1,1,2,1,1.8493,0.57458,3,2,2
1,2,2,1,1.7343,0.46884,8,2,2
1,2,2,1,1.2802,0.48172,8,2,2
1,2,2,4,2.758,0.59822,28,1,2
1,2,2,5,3.1532,1.2393,28,1,2
1,2,1,4,2.3137,0.67703,23,1,2
1,1,1,5,1.7724,1.3651,3,2,2
1,1,2,5,1.4712,0.67244,28,1,2
1,1,1,6,1.7925,0.4928,33,1,2
1,2,2,6,1.5648,0.73349,33,1,2
1,1,2,1,1.5907,0.38189,3,2,2
1,1,2,4,1.7749,0.74078,28,1,2
1,2,1,1,2.5031,0.46894,8,2,2
1,1,1,2,4.0672,0.43127,33,1,2
1,2,1,5,1.8261,0.33622,33,1,2
1,1,1,5,1.4236,0.51346,38,1,2
1,2,2,2,1.5952,0.5805,13,2,2
1,2,1,4,4.1731,0.67423,38,1,2
1,2,2,4,3.1811,0.46937,43,1,2
1,2,1,4,3.321,1.5592,13,2,2
1,2,2,6,3.0491,0.81188,18,2,2
1,1,1,5,2.8345,0.46162,43,1,2
1,2,2,5,1.3907,0.69822,38,1,2
1,2,2,5,2.166,1.8263,18,2,2
1,1,1,6,2.5487,0.46994,38,1,2
1,2,2,5,3.5159,0.44237,33,1,2
1,1,1,2,2.4747,2.2632,13,2,2
1,2,2,4,1.5724,0.44884,33,1,2
1,1,1,2,4.0863,2.0934,13,2,2
1,2,1,3,3.0163,1.0005,28,1,2
1,1,1,1,1.8304,0.30912,8,2,2
1,1,2,2,3.5173,0.38426,8,2,2
1,1,1,2,2.44,1.5729,13,2,2
1,2,2,4,3.5629,1.3283,33,1,2
1,2,2,5,1.6578,0.53356,33,1,2
1,1,1,6,2.1859,0.58514,28,1,2
1,2,2,3,4.0738,0.52597,28,1,2
1,1,2,4,2.2064,0.5731,13,2,2
1,1,1,6,2.1512,0.40892,23,1,2
1,2,2,2,2.0268,0.37357,18,2,2
1,2,2,3,2.5431,1.5216,23,1,2
1,2,2,4,1.8296,2.7811,18,1,2
1,2,2,5,2.3003,0.75095,18,2,2
1,1,1,4,2.3056,0.69384,18,1,2
1,1,2,5,3.441,0.38953,13,1,2
1,2,2,4,2.8428,0.56784,18,1,2
1,1,1,2,2.9963,0.24576,13,2,2
1,1,1,2,1.9197,0.47414,13,2,2
1,1,1,1,2.7057,0.70708,8,2,2
1,1,1,1,1.6504,0.59064,8,2,2
1,2,1,1,1.4824,0.37752,3,2,2
1,2,1,2,3.0116,0.31385,8,2,2
1,1,1,3,1.5747,1.7487,18,1,2
1,2,2,5,2.3155,1.0244,13,1,2
1,1,2,2,3.5787,0.38544,13,2,2
1,2,2,2,2.2612,1.2381,18,2,2
1,2,2,4,3.2118,1.3949,18,2,2
1,2,2,4,3.6393,1.1311,23,3,2
1,1,1,4,1.8156,0.38103,23,3,2
1,2,1,4,2.0178,1.1211,18,3,2
1,1,1,3,3.79,1.6442,23,3,2
1,1,2,4,2.0208,1.2746,23,3,2
1,2,2,5,1.7865,0.88843,28,3,2
1,2,2,6,2.0495,0.63519,28,3,2
1,1,1,4,6.4972,0.18196,23,3,2
1,2,2,4,2.6908,1.4077,23,3,2
1,2,2,2,2.1273,0.20313,18,3,2
1,1,1,1,2.5485,0.3935,18,3,2
1,1,1,2,3.0641,0.26222,13,3,2
1,2,2,2,3.8602,0.77651,13,3,2
1,1,1,2,2.9629,0.16234,8,3,2
1,1,1,1,1.7433,0.23651,8,3,2
1,2,1,1,2.8026,0.239,3,3,2
1,1,1,1,2.2904,0.24088,8,3,2
1,1,1,2,1.7429,0.26176,8,3,2
1,1,1,1,0.98499,0.61991,3,3,2
1,1,1,1,1.2771,0.62094,3,3,2
1,2,1,1,1.2926,0.23088,3,3,2
1,1,1,2,1.7549,0.27224,8,3,2
1,2,1,1,1.7566,0.6526,8,3,2
1,2,2,2,2.3351,0.19225,13,3,2
1,2,1,3,1.82,0.32883,13,3,2
1,1,1,3,2.5773,0.20708,18,3,2
1,1,2,3,3.0031,0.57115,18,3,2
1,1,2,5,2.1181,0.45366,23,3,2
1,2,2,5,2.1938,0.37217,28,3,2
1,1,2,6,3.2783,0.9853,28,3,2
1,2,2,5,3.8032,1.4952,33,3,2
1,1,1,4,1.759,0.72994,33,3,2
1,2,1,4,2.8533,0.26218,28,3,2
1,2,2,4,4.2262,0.38102,33,3,2
1,1,1,5,1.6176,0.27543,33,3,2
1,2,1,5,1.7295,0.17827,28,3,2
1,1,1,5,2.3519,0.27117,33,3,2
1,1,1,6,1.7374,0.42627,33,3,2
1,2,1,4,2.6861,0.22129,28,3,2
1,1,1,4,5.499,0.62779,33,3,2
1,1,1,4,1.9636,1.4437,13,2,2
1,2,1,5,2.1978,0.66065,13,2,2
1,1,2,4,2.6037,0.36762,13,1,2
1,1,1,3,2.0189,0.72278,18,2,2
1,1,1,4,2.4943,0.60605,18,2,2
1,1,2,3,2.8185,0.33606,13,2,2
1,1,2,3,3.8272,0.395,18,1,2
1,1,1,3,1.9367,1.5272,18,2,2
1,2,2,5,1.7046,0.36501,18,2,2
1,1,2,4,3.3648,0.44634,23,1,2
1,2,2,3,4.3736,0.45832,28,1,2
1,2,2,5,3.6075,0.5672,28,1,2
1,2,2,2,1.9909,1.0573,13,2,2
1,2,1,4,6.9694,0.57298,23,1,2
1,1,2,4,2.6927,0.36973,28,1,2
1,2,1,5,2.3676,1.3921,33,1,2
1,2,2,2,1.9707,0.29476,13,2,2
1,2,2,4,2.7835,1.0392,38,1,2
1,1,2,5,6.043,1.8506,38,1,2
1,2,2,3,1.8734,0.33107,8,2,2
1,2,2,4,2.4617,0.8961,8,2,2
1,1,1,1,1.8137,0.35037,3,2,2
1,1,2,1,1.6274,0.32862,3,2,2
1,2,2,1,1.8894,0.29708,8,2,2
1,1,1,2,2.1045,0.2829,8,2,2
1,2,2,1,1.5125,0.29238,3,2,2
1,1,1,5,1.6342,0.41047,43,1,2
1,2,2,3,2.7243,0.48084,43,1,2
1,2,1,4,2.2905,0.53932,38,1,2
1,2,1,1,2.0579,1.0496,3,2,2
1,2,2,6,2.1729,0.48923,43,1,2
1,1,2,5,2.8208,1.6574,43,1,2
1,2,2,5,2.5413,0.98841,48,1,2
1,1,1,6,2.0095,0.54954,8,2,2
1,2,2,6,1.8227,0.46322,48,1,2
1,1,2,2,2.7303,0.29749,8,2,2
1,2,2,5,2.0653,0.37212,43,1,2
1,1,1,6,1.6606,0.40151,43,1,2
1,1,1,6,1.8066,0.35068,38,1,2
1,2,1,4,2.0743,0.69056,13,2,2
1,1,1,5,2.9615,0.67997,38,1,2
1,1,2,6,1.8184,0.4157,33,1,2
1,1,1,2,2.7935,0.38704,18,2,2
1,2,1,6,2.9245,0.5594,18,2,2
1,1,1,5,2.4189,0.6228,38,1,2
1,2,2,5,2.2156,1.1134,38,1,2
1,1,1,4,3.0128,1.6047,23,2,2
1,2,2,3,3.3869,0.40163,33,1,2
1,2,2,5,1.9539,0.61658,33,1,2
1,2,1,3,3.821,0.52931,23,2,2
1,2,2,6,1.7691,0.3806,28,1,2
1,2,2,6,3.5926,0.4338,28,2,2
1,1,1,6,2.138,1.0617,28,1,2
1,1,1,6,1.6521,0.37448,28,2,2
1,1,2,4,2.4808,0.50193,23,2,2
1,2,2,4,2.2655,2.4026,28,2,2
1,2,1,6,1.9285,0.38038,23,1,2
1,1,1,6,4.2748,2.0105,28,1,2
1,1,2,5,2.0116,0.37314,28,1,2
1,1,1,3,3.337,0.40166,33,1,2
1,1,1,3,2.574,0.2891,28,2,2
1,1,1,6,1.6593,0.41429,33,1,2
1,1,1,3,2.9953,0.35129,23,2,2
1,2,2,5,2.0002,1.3211,28,1,2
1,1,1,5,1.6649,0.30638,28,1,2
1,2,2,5,3.5189,0.34409,23,2,2
1,1,1,6,1.9002,0.34978,23,1,2
1,1,1,6,1.8418,0.719,23,1,2
1,1,1,6,1.6871,0.36132,18,1,2
1,2,1,5,1.507,0.40696,18,2,2
1,2,1,3,4.6839,0.36497,23,2,2
1,2,1,2,2.0135,0.3178,28,2,2
1,2,1,4,2.61,0.43304,33,2,2
1,1,1,3,2.5963,0.35222,38,2,2
1,2,1,3,5.6305,0.29734,38,2,2
1,2,2,4,2.2053,0.41836,18,1,2
1,1,2,3,3.4397,0.29316,13,1,2
1,2,2,6,1.6683,0.59065,43,2,2
1,2,2,6,2.7643,0.42001,43,2,2
1,1,1,4,3.525,0.47357,38,2,2
1,1,1,4,2.6675,0.73335,33,3,2
1,1,2,5,2.4922,0.32104,28,3,2
1,2,2,6,1.4138,0.41942,33,3,2
1,2,2,4,2.8792,0.35143,33,3,2
1,1,1,3,4.7034,0.42711,28,3,2
1,2,2,3,3.6883,0.57916,28,3,2
1,2,1,4,4.054,0.69835,23,3,2
1,1,1,6,1.7105,0.31918,28,3,2
1,1,1,4,2.0886,1.4709,28,3,2
1,2,2,5,2.1246,0.41331,23,3,2
1,1,1,4,3.9615,0.69728,23,3,2
1,2,1,4,2.5587,1.1048,18,3,2
1,2,2,4,3.3653,1.592,23,3,2
1,1,1,2,2.5037,1.0892,23,3,2
1,1,1,2,2.449,0.34377,18,3,2
1,1,1,1,2.4919,0.9398,18,3,2
1,2,2,2,2.7239,0.22637,13,3,2
1,2,2,1,1.9831,0.36335,13,3,2
1,1,1,2,2.3076,0.30671,8,3,2
1,1,2,2,2.7895,0.3789,8,3,2
1,2,2,2,2.8323,0.52352,13,3,2
1,2,2,1,2.9794,0.34029,13,3,2
1,2,2,1,2.2638,0.22184,8,3,2
1,1,2,1,1.9343,0.27556,8,3,2
1,1,1,2,3.2078,0.39838,13,3,2
1,2,2,1,1.432,0.31675,13,3,2
1,1,1,1,1.982,1.8303,8,3,2
1,1,1,1,1.503,0.26969,8,3,2
1,2,1,1,1.4035,0.2481,3,3,2
1,2,1,2,2.1562,0.24406,8,3,2
1,1,2,2,4.006,0.24433,13,3,2
1,2,1,3,3.268,0.19489,18,3,2
1,2,2,2,2.9457,0.37747,23,3,2
1,2,1,4,2.0936,0.57398,23,3,2
1,1,1,3,1.7494,0.37743,28,3,2
1,2,2,4,3.3868,0.25027,28,3,2
1,1,1,2,2.4501,0.20869,23,3,2
1,2,2,3,1.7775,0.22162,23,3,2
1,1,1,4,1.9085,0.85332,18,3,2
1,2,2,4,2.0236,0.35788,18,3,2
1,2,2,5,3.5814,1.1497,38,2,2
1,1,2,3,3.9421,0.4656,33,2,2
1,1,1,4,3.4076,1.1177,18,1,2
1,1,1,5,2.9959,0.40777,38,2,2
1,1,2,5,3.7586,0.40896,38,2,2
1,2,2,5,2.8466,0.51707,43,2,2
1,1,1,5,1.3956,0.35038,18,1,2
1,1,2,6,2.6901,0.61424,43,2,2
1,1,1,4,4.9523,1.7181,48,2,2
1,1,1,3,2.8026,0.78687,13,1,2
1,1,1,1,2.2443,0.24995,13,1,2
1,2,1,2,2.3456,1.5107,8,1,2
1,2,1,6,2.3167,0.41574,48,2,2
1,1,1,1,1.799,0.63359,13,1,2
1,2,2,4,2.7169,1.0043,13,1,2
1,2,2,1,3.0571,0.3046,8,1,2
1,1,1,6,2.7805,0.75169,53,2,2
1,2,2,2,2.2484,1.2848,8,1,2
1,2,2,1,1.7386,0.28058,3,1,2
1,1,1,3,6.5658,1.8702,53,2,2
1,2,2,5,2.339,0.46931,48,2,2
1,2,2,5,1.9407,0.38202,48,2,2
1,1,1,5,2.9334,2.0786,43,2,2
1,1,2,5,2.285,0.4098,43,2,2
1,1,2,4,2.274,0.60577,48,2,2
1,2,2,6,2.8957,0.5012,53,2,2
1,1,2,1,2.0158,0.29257,3,1,2
1,1,2,2,1.7207,0.32749,8,1,2
1,2,1,5,2.3394,0.42164,13,1,2
1,2,2,6,2.4433,0.38845,53,2,2
1,2,2,3,1.9282,0.33297,18,1,2
1,2,1,4,2.565,0.42077,18,1,2
1,2,2,3,4.5871,0.56509,23,1,2
1,2,2,6,2.2938,0.84509,48,2,2
1,2,1,3,3.3961,0.51047,23,1,2
1,2,1,6,2.483,0.5901,48,2,2
1,1,2,3,9.8763,0.71111,28,1,2
1,1,1,5,1.3479,0.48552,33,1,2
1,2,2,3,1.9421,0.27133,33,1,2
1,2,2,6,1.6522,0.63119,53,2,2
1,1,1,4,3.0433,0.73488,28,1,2
1,2,2,5,4.3208,1.9812,28,1,2
1,2,2,5,2.6636,0.40938,53,2,2
1,2,2,6,2.2349,0.38261,48,2,2
1,1,2,4,2.0609,0.30189,23,1,2
1,2,2,6,4.4102,1.3286,28,1,2
1,1,1,6,4.1933,0.41529,48,2,2
1,1,2,5,2.6288,0.34601,28,1,2
1,1,1,5,1.9196,0.36166,33,1,2
1,2,2,6,2.8188,0.40509,43,2,2
1,1,1,4,5.0558,0.47137,33,1,2
1,2,2,5,2.7102,0.349,43,2,2
1,1,1,4,2.6809,0.52024,28,1,2
1,1,1,4,7.2965,1.8154,38,2,2
1,2,1,4,3.1905,0.62507,38,2,2
1,1,1,5,1.8161,0.4668,43,2,2
1,1,2,4,3.3213,0.52555,28,1,2
1,2,1,5,3.1337,0.45095,33,1,2
1,2,2,4,1.8743,0.54526,38,1,2
1,1,1,6,2.913,0.33835,38,1,2
1,2,2,6,3.8788,0.82838,43,2,2
1,1,2,3,5.0369,0.52396,33,1,2
1,1,2,4,2.8448,0.70092,38,2,2
1,2,2,6,2.1735,0.57904,38,1,2
1,2,1,4,4.953,0.69738,38,1,2
1,1,1,4,2.1466,0.46217,43,2,2
1,1,1,5,3.1558,0.33323,43,1,2
1,2,2,6,1.6702,0.40004,43,1,2
1,2,2,6,1.6598,1.6094,38,1,2
1,1,1,5,2.7948,0.41793,43,2,2
1,1,1,4,4.9357,0.96704,38,2,2
1,1,2,4,3.7267,0.51751,38,2,2
1,1,1,6,1.5083,0.38075,43,2,2
1,2,2,5,1.5168,0.42096,43,2,2
1,1,1,4,2.881,0.34657,38,2,2
1,2,2,6,2.8072,1.9357,38,1,2
1,2,2,5,2.5226,0.35897,33,1,2
1,2,2,5,1.8695,1.4551,38,2,2
1,1,1,6,2.3577,0.3507,33,2,2
1,2,2,5,2.9685,0.49555,33,2,2
1,2,2,2,2.8944,0.22349,13,3,2
1,1,1,4,2.8829,0.27517,13,3,2
