Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
1,2,2,2,1.016903269,0.334922445,0.3,1,1,1,1
1,1,2,4,1.901428845,0.435420419,0.3,1,0,1,1
1,2,2,4,2.045293985,0.955883658,0.344302832,1,1,1,1
1,1,1,4,0.786160751,0.499339135,0.344302832,1,1,1,1
1,1,1,3,1.48290943,0.510790671,0.297290258,1,1,1,1
1,1,1,3,0.711478157,0.298742087,0.297290258,1,1,1,1
1,1,1,3,0.907009317,0.245557253,0.253164671,1,1,1,1
1,1,1,3,1.559869917,0.667093225,0.253164671,1,1,1,1
1,2,1,4,1.083290225,1.567973981,0.212149696,1,0,1,1
1,1,2,3,2.061693417,0.347627788,0.253164671,1,0,1,1
1,2,2,3,1.097575131,0.430991661,0.29082464,1,1,1,1
1,1,1,4,0.665117639,1.133031765,0.29082464,1,1,1,1
1,2,2,4,1.340995868,1.688039267,0.247127909,1,1,1,1
1,1,1,2,1.681457918,0.83011076,0.247127909,1,1,1,1
1,1,1,3,0.777099995,0.345566125,0.206575372,1,1,1,1
1,2,2,4,1.047439179,0.382095619,0.206575372,1,1,1,1
1,2,2,4,1.164266273,0.283705529,0.169414176,1,1,1,1
1,1,1,4,0.669423225,0.59368632,0.169414176,1,1,1,1
1,2,2,4,1.495837337,0.278721319,0.135907505,1,1,1,1
1,2,1,1,1.468741511,0.273004367,0.135907505,1,0,1,1
1,2,2,2,1.13942645,0.564707695,0.165491658,1,1,1,1
1,2,2,4,1.643309363,0.266944447,0.165491658,1,1,1,1
1,2,2,4,1.067543417,0.303965305,0.132409214,1,1,1,1
1,1,2,2,2.512933098,0.572873781,0.132409214,1,0,1,1
1,1,1,3,0.866441546,0.592237808,0.16153981,1,1,1,1
1,1,2,1,3.012823346,0.346465176,0.16153981,1,0,1,1
1,2,2,4,0.891173843,0.776038837,0.194186305,1,1,1,1
1,2,2,4,0.91620366,0.351275831,0.194186305,1,1,1,1
1,2,2,4,1.437349434,0.30776406,0.158176465,1,1,1,1
1,2,2,4,0.787858689,0.309602819,0.158176465,1,1,1,1
1,1,1,3,1.300940457,0.353250447,0.12590802,1,1,1,1
1,2,1,1,1.472339881,0.277947178,0.12590802,1,0,1,1
1,2,2,2,3.494680554,0.634099904,0.154169708,1,1,1,1
1,1,1,2,1.389990153,0.662216635,0.154169708,1,1,1,1
1,1,1,3,1.257514979,0.338474502,0.122360397,1,1,1,1
1,1,1,3,1.061584034,0.2980875,0.122360397,1,1,1,1
1,2,1,2,3.434698883,0.722246847,0.094587946,1,0,1,1
1,1,1,4,0.732765863,0.52848259,0.3,1,1,2,2
1,2,2,4,0.853633675,0.293124256,0.3,1,1,2,2
1,2,2,4,0.95045437,0.286538534,0.255697168,1,1,2,2
1,2,2,4,1.120380154,0.226268695,0.255697168,1,1,2,2
1,1,1,4,0.647152373,0.827585359,0.214491089,1,1,2,2
1,2,2,4,0.760394291,0.313146221,0.214491089,1,1,2,2
1,2,2,4,1.144471436,0.250706319,0.176624988,1,1,2,2
1,1,1,4,0.845976105,0.300759231,0.176624988,1,1,2,2
1,2,2,4,0.682752139,0.288873849,0.142359439,1,1,2,2
1,2,2,4,0.880619522,0.349760846,0.142359439,1,1,2,2
1,1,1,3,0.619806729,0.369274891,0.111962849,1,1,2,2
1,1,1,2,1.616478751,0.351546279,0.111962849,1,1,2,2
1,1,1,2,2.109079204,1.881275431,0.085691244,1,1,2,2
1,2,1,2,1.194914256,0.362108899,0.085691244,1,0,2,2
1,2,2,1,1.433228577,0.927369231,0.107631971,1,1,2,2
1,1,1,1,1.382425007,0.352852763,0.107631971,1,1,2,2
1,2,1,1,1.389593173,0.27712324,0.082017464,1,0,2,2
1,1,1,3,1.353072754,0.305530458,0.107631971,1,1,2,2
1,1,1,4,1.089117994,0.453110182,0.107631971,1,1,2,2
1,1,1,2,1.344089467,0.202685629,0.082017464,1,1,2,2
1,2,2,3,1.117761712,0.75279627,0.082017464,1,1,2,2
1,2,1,1,3.183381835,0.304079059,0.060757539,1,0,2,2
1,2,1,2,1.360577895,1.077646586,0.082017464,1,0,2,2
1,1,1,2,1.852593065,0.241719688,0.098853734,1,1,2,2
1,2,1,1,1.445918885,0.22043091,0.098853734,1,0,2,2
1,1,1,3,0.879185854,0.234376329,0.123072078,1,1,2,2
1,2,1,4,1.069156539,0.276450894,0.123072078,1,0,2,2
1,2,1,1,4.645340708,0.267600877,0.150943561,1,0,2,2
1,2,2,3,1.468742141,0.386746313,0.178815045,1,1,2,2
1,2,1,2,3.119688577,0.434927301,0.178815045,1,0,2,2
1,1,1,3,1.709664215,1.145362015,0.213305926,1,1,2,2
1,2,1,1,1.224126211,1.542692319,0.213305926,1,0,2,2
1,1,1,3,1.43106173,0.414425019,0.251067932,1,1,2,2
1,2,2,4,1.497117515,0.509250039,0.251067932,1,1,2,2
1,1,2,1,0.99727793,1.693061466,0.21021246,1,0,2,2
1,2,2,4,1.718297881,0.497543339,0.251067932,1,1,2,2
1,1,1,4,1.451310944,0.638236581,0.251067932,1,1,2,2
1,2,2,2,1.235521862,0.480827363,0.21021246,1,1,2,2
1,2,2,2,1.96268709,0.492111453,0.21021246,1,1,2,2
1,1,1,1,2.005429651,0.597090143,0.172724534,1,1,2,2
1,1,1,1,1.561884195,0.28401135,0.172724534,1,1,2,2
1,2,2,2,0.891879785,0.695591944,0.138866179,1,1,2,2
1,2,2,2,1.481392486,0.253560967,0.138866179,1,1,2,2
1,2,1,1,2.09684985,0.317098836,0.108905688,1,0,2,2
1,1,1,3,0.93948534,0.438107588,0.138866179,1,1,2,2
1,2,2,3,1.5061306,0.324497907,0.138866179,1,1,2,2
1,2,2,4,0.882124731,0.415222569,0.3,1,1,3,3
1,2,1,1,1.59478424,0.246825509,0.3,1,0,3,3
1,1,1,4,1.149469422,0.734978879,0.344302832,1,1,3,3
1,1,2,4,1.037099664,0.245772345,0.344302832,1,0,3,3
1,1,1,4,0.790021602,0.422538786,0.391315406,1,1,3,3
1,1,1,4,0.578980921,0.315578158,0.391315406,1,1,3,3
1,2,2,4,0.891450958,0.27774469,0.341755019,1,1,3,3
1,2,2,4,1.191662741,0.296559628,0.341755019,1,1,3,3
1,2,2,4,0.553501834,0.306517678,0.294889445,1,1,3,3
1,2,2,4,1.267727147,0.240336491,0.294889445,1,1,3,3
1,1,1,4,0.707379884,0.312218263,0.250922114,1,1,3,3
1,1,1,4,0.759522328,0.281534012,0.250922114,1,1,3,3
1,1,1,4,0.698158457,0.286586379,0.210077779,1,1,3,3
1,1,1,4,0.671187867,0.323763217,0.210077779,1,1,3,3
1,2,2,4,1.059780097,0.298136142,0.172601864,1,1,3,3
1,2,1,3,1.626582749,0.329068378,0.172601864,1,0,3,3
1,2,2,3,2.313675524,0.23667233,0.206447288,1,1,3,3
1,1,1,2,2.494909757,0.347764759,0.206447288,1,1,3,3
1,2,2,3,1.050424627,0.769232878,0.169297689,1,1,3,3
1,2,2,3,1.310589203,0.217537879,0.169297689,1,1,3,3
1,1,2,3,1.356780983,0.359089023,0.135803497,1,0,3,3
1,1,1,3,1.652533096,0.434689951,0.169297689,1,1,3,3
1,1,1,2,1.982772778,0.318395088,0.169297689,1,1,3,3
1,1,1,2,0.86221464,0.49125686,0.135803497,1,1,3,3
1,1,1,1,1.636292243,0.226689895,0.135803497,1,1,3,3
1,1,1,2,3.222410795,0.262273352,0.106232693,1,1,3,3
1,2,2,2,3.049000292,0.639625455,0.106232693,1,1,3,3
1,2,1,1,2.466517906,0.448422087,0.080834812,1,0,3,3
1,2,1,1,1.578972171,0.252605447,0.106232693,1,0,3,3
1,1,1,1,1.310122021,0.458422928,0.127268835,1,1,3,3
1,1,1,1,0.980085135,0.333314417,0.127268835,1,1,3,3
1,2,1,1,1.051003683,0.321008635,0.09882237,1,0,3,3
1,2,1,1,1.025295505,0.264958178,0.127268835,1,0,3,3
1,1,1,1,1.674815976,0.375752064,0.151482026,1,1,3,3
1,2,1,1,1.285823306,0.354588698,0.151482026,1,0,3,3
1,2,2,1,0.991633549,0.29732359,0.182977824,1,1,3,3
