Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Task,Catch_trial,ContrastOrTilt
1,1,0,1,5.486,1.533,2,0,0.62
1,1,1,3,1.345,0.815,2,0,0.62
1,0,0,3,0.532,0.567,2,0,0.62
1,0,0,2,0.663,0.704,2,0,0.62
1,1,1,1,1.983,0.404,2,0,0.62
1,0,1,2,2.381,0.91,2,0,0.62
1,1,1,1,0.94,1.015,2,0,0.62
1,1,1,1,0.907,0.528,2,0,0.62
1,0,0,2,0.927,0.934,2,0,0.62
1,1,0,2,0.465,0.879,2,0,0.62
1,0,0,3,0.492,0.311,2,0,0.62
1,1,0,1,0.764,0.476,2,0,0.62
1,0,1,1,0.795,0.391,2,0,0.62
1,1,1,1,0.703,0.324,2,0,0.62
1,0,1,1,1.376,0.463,2,0,0.62
1,0,0,2,0.855,0.583,2,0,0.62
1,0,0,3,0.627,0.991,2,0,0.62
1,1,1,1,1.061,0.471,2,0,0.62
1,1,1,1,1.056,0.43,2,0,0.62
1,0,0,2,0.706,0.632,2,0,0.62
1,0,0,3,0.43,0.342,2,0,0.62
1,0,0,3,0.563,0.319,2,0,0.62
1,0,0,2,0.459,0.335,2,0,0.62
1,0,0,2,0.368,0.331,2,0,0.62
1,1,0,2,0.733,0.527,2,0,0.62
1,1,0,1,0.558,0.343,2,0,0.62
1,1,1,2,0.694,1.159,2,0,0.62
1,1,1,2,0.674,0.631,2,0,0.62
1,0,0,2,0.347,0.328,2,0,0.62
1,0,0,3,0.903,1.015,2,0,0.62
1,1,1,2,0.339,1.765,2,0,0.62
1,1,1,3,0.6,0.784,2,0,0.62
1,1,1,3,0.449,0.472,2,0,0.62
1,1,1,3,0.259,0.351,2,0,0.62
1,1,1,2,0.41,0.773,2,0,0.62
1,1,1,2,0.291,0.335,2,0,0.62
1,1,1,2,0.288,0.366,2,0,0.62
1,1,1,2,0.502,0.364,2,0,0.62
1,0,1,3,0.44,0.353,2,0,0.62
1,0,0,4,0.53,0.509,2,1,5
1,0,0,3,1.143,0.959,2,0,0.62
1,1,0,2,0.399,0.637,2,0,0.62
1,1,0,2,0.62,0.379,2,0,0.62
1,1,1,3,0.704,0.833,2,0,0.62
1,0,0,3,0.381,0.757,2,0,0.62
1,0,1,1,0.579,1.399,2,0,0.62
1,0,0,2,0.542,0.374,2,0,0.62
1,1,0,2,0.463,0.279,2,0,0.62
1,1,1,3,0.913,0.495,2,0,0.62
1,1,1,3,0.488,0.379,2,0,0.62
1,1,1,3,0.299,0.219,2,0,0.62
1,0,1,3,0.492,0.215,2,0,0.62
1,0,0,3,0.421,0.665,2,0,0.62
1,0,0,2,0.308,0.162,2,0,0.62
1,0,0,3,0.37,0.295,2,0,0.62
1,0,0,2,0.257,0.215,2,0,0.62
1,1,0,1,0.229,1.379,2,0,0.62
1,0,0,2,0.474,0.191,2,0,0.62
1,1,0,1,0.436,0.231,2,0,0.62
1,0,0,3,0.506,0.115,2,0,0.62
1,0,0,2,0.618,0.135,2,0,0.62
1,1,0,3,0.441,0.199,2,0,0.62
1,0,0,3,0.188,0.151,2,0,0.62
1,1,1,3,0.989,0.117,2,0,0.62
1,1,1,1,0.298,0.183,2,0,0.62
1,1,1,1,0.125,0.124,2,0,0.62
1,0,0,3,1.67,0.849,2,0,0.62
1,0,0,2,0.402,0.346,2,0,0.62
1,1,0,1,0.375,0.204,2,0,0.62
1,1,1,2,0.299,0.919,2,0,0.62
1,1,1,2,0.346,0.198,2,0,0.62
1,0,0,2,0.353,0.139,2,0,0.62
1,1,0,2,0.975,0.135,2,0,0.62
1,0,0,2,0.282,0.108,2,0,0.62
1,1,1,2,0.381,0.664,2,0,0.62
1,0,1,2,0.346,0.205,2,0,0.62
1,0,1,2,0.258,0.211,2,0,0.62
1,0,0,3,0.302,0.5,2,0,0.62
1,0,0,3,0.199,0.287,2,0,0.62
1,1,1,4,0.887,0.456,2,1,5
1,0,0,1,0.899,0.375,2,0,0.62
1,1,1,2,0.706,0.704,2,0,0.62
1,0,1,2,0.336,0.222,2,0,0.62
1,1,1,3,0.329,0.191,2,0,0.62
1,0,0,2,0.512,0.414,2,0,0.62
1,0,0,2,0.926,0.368,2,0,0.62
1,0,0,3,1.069,0.487,2,0,0.62
1,0,0,3,0.796,0.366,2,0,0.62
1,1,0,2,0.813,0.54,2,0,0.62
1,1,0,1,0.462,0.312,2,0,0.62
1,1,0,1,0.339,0.28,2,0,0.62
1,1,0,1,0.557,1.055,2,0,0.62
1,1,1,2,0.914,0.485,2,0,0.62
1,0,1,1,0.562,0.481,2,0,0.62
1,0,1,1,0.315,0.623,2,0,0.62
1,1,1,3,0.408,0.295,2,0,0.62
1,0,1,1,0.584,0.324,2,0,0.62
1,0,1,2,0.298,0.341,2,0,0.62
1,1,1,1,0.104,0.501,2,0,0.62
1,0,0,4,0.457,0.728,2,1,5
1,1,0,1,1.851,0.796,1,0,5.5
1,1,0,1,0.845,0.271,1,0,5.5
1,1,0,1,0.299,0.334,1,0,5.5
1,1,0,1,0.468,0.391,1,0,5.5
1,1,0,1,0.472,0.383,1,0,5.5
1,1,0,1,0.369,0.351,1,0,5.5
1,0,0,1,0.379,0.358,1,0,5.5
1,1,0,1,0.369,0.351,1,0,5.5
1,1,0,1,0.4,0.321,1,0,5.5
1,0,0,1,0.349,0.547,1,0,5.5
1,0,0,1,0.041,0.416,1,0,5.5
1,0,0,1,0.442,0.373,1,0,5.5
