Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy,ImgID,Liking,RT_liking,SbjAge,SbjSex
1,Human,Human,93,1.083071731,1.229866924,0.975,Liking before confidence,Correct,thinker.jpg,97,3.637369554,24,f
1,Human,Object,3,3.998843708,14.2581465,0.125,Liking before confidence,Error,dancing_couple.jpg,16,4.021411101,24,f
1,Animal,Object,7,2.799154362,1.579393191,0.8,Liking before confidence,Error,goat.jpg,24,2.205244801,24,f
1,Object,Object,25,1.133175865,1.596173257,0.975,Liking before confidence,Correct,piano.jpg,47,2.372399006,24,f
1,Animal,Animal,59,2.382718753,1.296315593,0.875,Liking before confidence,Correct,scorpio.jpg,37,2.589110627,24,f
1,Human,Human,96,0.932967738,1.8959432,0.925,Liking before confidence,Correct,soldier.jpg,64,4.304087531,24,f
1,Object,Object,4,2.266078231,1.845470863,0.725,Liking before confidence,Correct,ship2.jpg,27,2.97129719,24,f
1,Object,Object,6,1.866000008,1.296631835,0.425,Liking before confidence,Correct,crushingplane.jpg,37,3.488751783,24,f
1,Human,Human,8,1.999455517,1.545782215,0.85,Liking before confidence,Correct,man_on_bench.jpg,54,2.454434572,24,f
1,Object,Object,8,1.682899642,1.279089102,0.7,Liking before confidence,Correct,babycarriage.jpg,35,2.321344752,24,f
1,Animal,Animal,24,1.216428624,1.146208806,0.975,Liking before confidence,Correct,mouse.jpg,45,2.171318142,24,f
1,Object,Animal,55,1.332982544,1.046486355,0.925,Liking before confidence,Error,lawnmover.jpg,26,4.070580758,24,f
1,Object,Object,25,1.082897128,1.163133862,0.9,Liking before confidence,Correct,ship.jpg,26,3.571196619,24,f
1,Animal,Animal,94,1.96597752,1.962694141,0.975,Liking before confidence,Correct,dog.jpg,67,2.65522322,24,f
1,Animal,Object,10,1.982817928,1.846245822,0.8,Liking before confidence,Error,cows.jpg,30,3.354412363,24,f
1,Human,Object,16,1.183060417,1.246407574,0.275,Liking before confidence,Error,boxers.jpg,24,3.354980871,24,f
