"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Noise","Difficulty","Error_trial"
1,0,1,4,6.296,1.886,0,0.07,0
1,1,0,2,0.954,1.139,1,0.07,0
1,0,0,3,0.806,1.121,1,0.07,0
1,0,0,5,0.759,1.244,1,0.07,0
1,1,1,3,0.675,1.057,1,0.07,0
1,1,0,2,1.583,1.104,1,0.07,0
1,1,1,4,0.54,1.094,1,0.07,0
1,0,1,4,0.591,1.425,1,0.07,0
1,1,1,6,1.45,1.608,0,0.08,0
1,0,1,5,1.008,1.276,0,0.08,0
1,1,1,4,1.132,0.867,0,0.09,0
1,1,1,3,0.637,1.33,1,0.08,0
1,0,1,4,0.923,1.284,0,0.09,0
1,1,1,4,1.23,1.434,0,0.1,0
1,0,0,5,1.691,0.732,1,0.08,0
1,1,0,4,0.647,1.753,0,0.1,0
1,1,1,3,0.553,1.7,1,0.09,0
1,0,1,4,0.758,1.227,0,0.11,0
1,1,1,2,0.926,1.172,0,0.12,0
1,1,1,4,1.017,0.781,0,0.12,0
1,0,0,4,0.788,1.503,1,0.09,0
1,1,0,4,0.773,1.424,1,0.1,0
1,1,1,4,0.705,1.187,0,0.11,0
1,1,1,2,1.195,1.402,1,0.1,0
1,1,0,3,0.578,1.069,1,0.11,0
1,0,1,3,0.856,0.947,0,0.11,0
1,0,1,3,1.123,1.324,0,0.12,0
1,1,1,3,1.396,1.324,1,0.12,0
1,0,0,3,16.164,2.425,1,0.12,0
1,0,1,4,0.581,1.397,1,0.11,0
1,0,0,4,0.64,1.089,0,0.13,0
1,1,1,4,0.644,1.172,0,0.13,0
1,0,0,4,0.884,0.74,1,0.11,0
1,1,0,3,0.903,1.739,0,0.12,0
1,0,1,4,0.956,1.184,1,0.12,0
1,0,1,4,0.742,0.768,0,0.13,0
1,0,0,4,0.732,1.307,1,0.13,0
1,0,0,6,0.519,1.828,0,0.14,0
1,0,0,3,0.646,0.758,0,0.14,0
1,1,1,4,0.73,0.678,0,0.13,0
1,0,0,6,0.657,0.859,0,0.13,0
1,1,1,6,0.74,1.187,0,0.12,0
1,0,0,4,0.725,1.383,1,0.13,0
1,0,1,6,0.789,0.841,1,0.12,0
1,0,1,4,1.121,1.257,0,0.12,0
1,1,1,2,0.652,1.187,1,0.13,0
1,1,1,6,0.654,0.624,1,0.14,0
1,1,0,4,2.038,1.138,1,0.14,0
1,1,1,4,0.828,1.214,1,0.13,0
1,1,1,5,0.88,0.765,0,0.13,0
1,0,0,4,0.592,1.433,0,0.13,0
1,1,1,5,0.587,1.636,1,0.13,0
1,1,1,5,1.144,1.938,1,0.12,0
1,1,1,5,0.639,1.82,1,0.12,0
1,0,0,6,0.592,1.141,1,0.13,0
1,1,1,1,1.152,0.699,1,0.13,0
1,1,1,6,0.684,0.781,0,0.12,0
1,0,0,6,0.594,3.719,0,0.12,0
1,0,0,6,0.629,0.791,1,0.12,0
1,1,1,6,0.583,0.791,1,0.12,0
1,1,1,5,0.64,1.394,0,0.11,0
1,1,1,4,0.817,1.357,0,0.11,0
1,1,0,5,0.649,0.814,0,0.1,0
1,0,0,4,0.728,1.492,1,0.11,0
1,0,0,4,0.609,0.892,0,0.11,0
1,0,1,4,2.204,0.908,0,0.11,0
1,0,1,4,0.632,0.755,0,0.12,0
1,1,1,4,1.069,0.999,0,0.13,0
1,0,0,5,0.69,0.937,0,0.13,0
1,0,0,4,0.597,1.042,1,0.11,0
1,0,0,4,0.584,1.442,1,0.1,0
1,0,0,6,0.584,0.675,1,0.11,0
1,0,0,5,0.63,1.097,0,0.12,0
1,1,1,6,0.936,1.789,0,0.12,0
1,1,1,5,0.572,0.944,1,0.11,0
1,0,0,4,0.524,0.97,1,0.12,0
1,0,0,4,0.875,0.973,1,0.13,0
1,1,1,4,0.621,0.837,0,0.11,0
1,1,1,6,0.717,0.689,0,0.11,0
1,0,0,6,0.892,1.342,0,0.1,0
1,0,0,4,1.206,1.007,1,0.13,0
1,1,1,4,0.705,0.942,0,0.1,0
1,1,0,3,0.785,0.899,0,0.09,0
1,1,1,4,0.81,1.323,1,0.12,0
1,1,1,5,0.737,1.377,1,0.12,0
1,1,1,4,0.949,0.847,0,0.1,0
1,0,0,3,0.655,1.288,0,0.1,0
1,0,1,5,1.123,0.938,0,0.09,0
1,0,0,3,0.588,1.316,1,0.11,0
1,0,0,5,0.566,0.986,1,0.11,0
1,1,1,5,0.723,1.645,0,0.1,0
1,1,1,4,1.128,1.214,1,0.1,0
1,1,1,6,0.597,2.757,1,0.1,0
1,0,1,3,1.877,0.866,0,0.1,0
1,0,0,2,1.325,0.862,0,0.11,0
1,1,0,3,1.058,0.872,1,0.09,0
1,1,1,4,0.789,0.682,1,0.1,0
1,0,0,5,0.613,0.707,0,0.11,0
1,0,0,5,0.594,1.326,1,0.1,0
1,0,0,5,0.644,0.673,0,0.1,0
1,1,1,6,0.862,1.537,0,0.1,0
1,0,0,4,0.754,1.161,1,0.09,0
1,1,1,5,0.605,0.73,1,0.1,0
1,1,1,4,0.596,1.258,1,0.1,0
1,0,0,5,0.743,1.342,0,0.09,0
1,1,1,6,0.707,0.769,0,0.09,0
1,1,1,5,0.683,0.792,0,0.08,0
1,0,0,5,0.661,1.608,0,0.08,0
1,1,1,5,7.149,2.882,1,0.11,0
1,1,0,2,3.671,1.093,1,0.11,0
1,1,0,4,0.794,1.421,0,0.07,0
1,0,0,5,0.888,1.568,1,0.1,0
1,0,0,5,0.705,0.794,0,0.08,0
1,1,1,3,0.667,0.711,0,0.08,0
1,0,0,2,4.997,3.058,1,0.1,0
1,0,0,4,0.549,1.397,1,0.09,0
1,1,1,4,0.665,1.292,0,0.07,0
1,0,1,5,1.327,1.525,1,0.09,0
1,0,1,5,0.62,1.11,1,0.08,0
1,0,0,4,0.592,1.335,0,0.07,0
1,1,0,1,1.759,0.727,0,0.06,0
1,0,0,5,0.622,1.509,0,0.07,0
1,0,1,5,0.677,0.719,1,0.08,0
1,0,0,4,0.646,1.035,0,0.07,0
1,0,1,2,0.739,1.866,1,0.07,0
1,1,1,4,0.661,0.807,0,0.06,0
1,0,0,5,0.642,0.859,0,0.06,0
1,0,1,5,0.695,1.554,1,0.08,0
1,1,1,5,0.563,1.587,1,0.08,0
1,1,1,1,1.24,0.772,1,0.07,0
1,1,1,4,0.994,0.984,0,0.05,0
1,0,0,2,0.605,0.69,1,0.07,0
1,1,1,4,1.456,1.315,1,0.06,0
1,1,1,3,0.833,1.135,0,0.05,0
1,1,1,4,0.944,0.986,0,0.04,0
1,0,0,4,0.739,0.957,1,0.07,0
1,1,1,4,0.629,1.339,0,0.04,0
1,0,1,4,0.831,1.229,0,0.03,0
1,0,0,3,0.795,1.28,1,0.07,0
1,1,0,4,0.568,0.825,0,0.04,0
1,0,0,2,0.655,2.558,0,0.05,0
1,1,1,6,0.568,1.309,1,0.06,0
1,0,1,4,0.606,0.991,0,0.05,0
1,1,1,5,0.678,1.085,0,0.06,0
1,1,1,5,2.47,1.208,1,0.06,0
1,0,0,4,0.6,1.054,1,0.05,0
1,1,1,5,0.997,0.151,1,0.05,0
1,0,0,6,0.628,0.726,0,0.06,0
1,0,1,5,0.651,1.023,0,0.05,0
1,1,0,2,0.575,1.119,1,0.04,0
1,0,0,4,0.593,1.288,0,0.06,0
1,0,0,2,2.705,0.937,1,0.04,0
1,0,0,4,0.807,1.407,1,0.03,0
1,0,1,4,0.747,0.868,1,0.04,0
1,0,0,4,0.648,0.69,0,0.06,0
1,1,0,1,0.779,2.207,1,0.05,0
1,1,1,5,0.82,1.923,0,0.05,0
1,1,0,6,0.311,1.987,0,0.05,0
1,1,1,6,1.436,1.052,1,0.05,0
1,1,1,5,0.544,1.309,1,0.06,0
1,1,0,6,0.628,1.304,1,0.06,0
1,0,1,1,0.851,0.531,1,0.05,0
1,1,1,5,0.845,0.69,0,0.06,0
1,1,1,5,0.784,1.155,0,0.06,0
1,0,1,2,0.792,0.858,1,0.06,0
1,0,0,6,0.582,2.447,0,0.05,0
1,0,1,2,1.19,0.924,0,0.05,0
1,1,1,4,0.724,1.216,0,0.06,0
1,0,1,5,0.604,0.997,1,0.06,0
1,1,0,1,0.548,1.417,1,0.05,0
1,0,0,4,0.628,0.881,1,0.05,0
1,0,0,3,0.614,1.685,1,0.06,0
1,0,0,4,0.712,1.058,0,0.06,0
1,0,1,3,1.248,0.966,1,0.06,0
1,0,0,4,1.222,1.411,1,0.05,0
1,1,0,1,0.88,1.38,0,0.05,0
1,1,0,3,2.176,1.639,1,0.05,0
1,1,1,3,1.027,1.208,1,0.06,0
1,1,1,4,0.956,0.675,0,0.06,0
1,1,0,5,0.538,1.483,1,0.06,0
1,0,0,4,0.605,0.922,0,0.06,0
1,0,0,2,0.618,1.672,1,0.05,0
1,0,0,6,0.566,0.837,1,0.06,0
1,1,1,5,1.555,1.025,1,0.06,0
1,0,1,4,0.912,0.892,0,0.05,0
1,1,0,5,0.707,0.751,0,0.06,0
1,1,0,4,0.646,0.716,0,0.07,0
1,1,1,4,0.975,0.808,1,0.05,0
1,0,0,4,0.669,0.575,0,0.08,0
1,1,1,6,0.716,0.839,1,0.06,0
1,0,1,5,1.25,0.954,0,0.08,0
1,1,0,4,0.833,1.289,1,0.07,0
1,1,1,4,0.592,0.763,0,0.09,0
1,0,0,4,0.593,0.89,1,0.08,0
1,0,0,4,0.671,1.541,0,0.09,0
1,0,0,5,0.598,0.721,0,0.08,0
1,1,1,4,0.863,1.215,0,0.08,0
1,1,1,5,0.706,1.385,1,0.08,0
1,0,0,4,0.651,0.991,0,0.07,0
1,1,1,5,0.706,0.706,0,0.07,0
2,1,1,6,0.726,1.489,0,0.07,0
2,0,0,4,0.954,1.228,1,0.07,0
2,0,1,5,0.826,0.036,1,0.07,0
2,0,0,5,0.723,1.287,0,0.07,0
2,1,1,2,0.995,1.845,0,0.06,0
2,1,0,3,1.304,1.353,1,0.07,0
2,0,1,4,1.16,1.443,1,0.06,0
2,0,1,4,1.215,1.441,0,0.06,0
2,1,0,6,0.94,0.035,0,0.07,0
2,0,1,5,0.945,1.87,1,0.06,0
2,0,1,5,0.959,1.429,0,0.08,0
2,0,0,6,1.013,2.345,0,0.09,0
2,1,0,4,1.321,1.459,1,0.07,0
2,0,0,5,0.742,1.751,0,0.09,0
2,1,1,5,0.675,1.791,1,0.08,0
2,0,1,4,1.945,1.569,0,0.08,0
2,1,1,4,1.291,1.543,0,0.09,0
2,0,1,3,0.98,1.304,0,0.09,0
2,0,1,1,1.723,2.526,1,0.09,0
2,1,1,6,0.864,1.86,0,0.1,0
2,0,0,2,1.884,1.239,1,0.09,0
2,1,1,6,0.912,1.824,1,0.08,0
2,1,0,4,1.121,1.39,0,0.1,0
2,1,0,5,1.156,1.021,1,0.09,0
2,0,0,3,1.443,1.791,1,0.09,0
2,1,1,4,0.817,1.321,1,0.1,0
2,1,1,6,0.663,1.409,0,0.11,0
2,1,1,5,1.022,1.991,0,0.11,0
2,0,1,4,0.737,1.793,1,0.1,0
2,1,1,4,0.965,2.042,1,0.11,0
2,0,1,5,0.871,1.609,1,0.11,0
2,1,0,5,1.14,1.51,1,0.11,0
2,1,1,5,0.859,2.243,1,0.11,0
2,0,0,6,0.635,1.978,0,0.1,0
2,0,0,6,1.602,1.355,1,0.1,0
2,0,0,5,0.938,1.506,0,0.1,0
2,0,1,5,0.933,1.143,0,0.09,0
2,1,0,3,1.326,1.61,0,0.1,0
2,1,0,5,1.072,0.926,1,0.1,0
2,1,1,4,1.22,1.47,0,0.11,0
2,1,1,5,0.759,1.691,0,0.11,0
2,0,0,5,0.645,0.176,0,0.1,0
2,1,1,5,0.622,1.389,0,0.1,0
2,0,0,5,0.688,1.341,1,0.09,0
2,1,1,5,1.589,1.655,1,0.1,0
2,0,1,5,1.012,1.093,0,0.09,0
2,1,0,5,0.937,1.247,1,0.11,0
2,0,1,6,1.084,0.113,0,0.1,0
2,0,1,2,1.045,1.609,0,0.11,0
2,1,0,4,1.222,1.325,1,0.11,0
2,0,1,5,0.94,2.62,1,0.1,0
2,0,1,3,0.94,1.933,1,0.1,0
2,0,1,2,0.905,2.44,1,0.09,0
2,1,1,6,0.955,1.924,0,0.12,0
2,1,1,5,0.79,1.529,0,0.12,0
2,0,0,6,0.602,0.889,0,0.11,0
2,1,1,4,1.155,1.309,1,0.1,0
2,0,1,2,1.002,2.04,1,0.11,0
2,1,1,5,0.606,1.476,1,0.12,0
2,0,0,4,0.76,1.127,0,0.11,0
2,0,0,5,0.968,1.309,1,0.12,0
2,1,1,5,1.084,1.262,0,0.1,0
2,1,1,6,0.706,1.853,1,0.11,0
2,1,1,6,0.753,0.911,1,0.11,0
2,1,1,6,0.811,1.788,0,0.1,0
2,0,1,4,0.871,1.373,1,0.1,0
2,0,0,5,0.619,1.775,0,0.09,0
2,1,1,5,0.799,1.723,0,0.09,0
2,0,1,4,0.848,2.139,0,0.08,0
2,0,1,6,0.793,1.427,0,0.09,0
