Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Congruency,Accuracy,Training
1,L,L,NaN,0.49,NaN,Congr,1,training1
1,R,R,NaN,0.375,NaN,Congr,1,training1
1,L,L,NaN,0.484,NaN,Incongr,1,training1
1,L,L,NaN,0.414,NaN,Congr,1,training1
1,R,R,NaN,0.411,NaN,Congr,1,training1
1,L,L,NaN,0.424,NaN,Incongr,1,training1
1,R,R,NaN,0.421,NaN,Congr,1,training1
1,L,L,NaN,0.338,NaN,Congr,1,training1
1,L,L,NaN,0.435,NaN,Incongr,1,training1
1,L,L,NaN,0.329,NaN,Congr,1,training1
1,L,L,NaN,0.489,NaN,Incongr,1,training1
1,R,R,NaN,0.46,NaN,Incongr,1,training1
1,R,R,NaN,0.36,NaN,Congr,1,training1
1,R,L,NaN,0.335,NaN,Incongr,0,training1
1,R,R,NaN,0.439,NaN,Incongr,1,training1
1,L,L,NaN,0.46,NaN,Congr,1,training1
1,R,R,NaN,0.4,NaN,Incongr,1,training1
1,L,L,NaN,0.446,NaN,Incongr,1,training1
1,R,R,NaN,0.377,NaN,Incongr,1,training1
1,R,R,NaN,0.36,NaN,Congr,1,training1
1,L,L,easy,0.371,6.712,Congr,1,training2
1,R,R,easy,0.375,39.126,Congr,1,training2
1,L,L,diff,0.946,2.062,Congr,1,training2
1,R,R,easy,0.517,0.859,Congr,1,training2
1,L,L,diff,0.59,0.932,Congr,1,training2
1,R,R,diff,0.686,0.848,Incongr,1,training2
1,R,R,easy,0.634,0.469,Congr,1,training2
1,R,R,easy,0.616,52.494,Incongr,1,training2
1,L,L,easy,0.637,1.032,Congr,1,training2
1,L,L,easy,0.804,0.177,Incongr,1,training2
1,R,R,easy,1.208,0.654,Congr,1,training2
1,L,L,easy,0.584,1.333,Congr,1,training2
1,L,L,diff,0.478,1.369,Incongr,1,training2
1,R,R,easy,0.832,1.427,Incongr,1,training2
1,L,L,easy,0.601,1.536,Incongr,1,training2
1,L,L,diff,0.655,0.516,Incongr,1,training2
1,L,L,diff,0.821,0.639,Incongr,1,training2
1,R,R,easy,0.638,1.054,Congr,1,training2
