Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,mean,sd,Condition,Training
1,1,1,33.66,NaN,NaN,1.2575,0.485,0.0333,-1,1
1,1,1,33.66,NaN,NaN,0.76436,0.485,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.78851,0.515,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.94168,0.485,0.0333,-1,1
1,0,1,33.66,NaN,NaN,1.507,0.53,0.1,-1,1
1,0,1,33.66,NaN,NaN,1.2714,0.53,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.75319,0.515,0.1,-1,1
1,0,1,33.66,NaN,NaN,2.1312,0.53,0.0333,-1,1
1,1,1,33.66,NaN,NaN,0.84735,0.47,0.0333,-1,1
1,0,0,34.314,NaN,NaN,2.9203,0.515,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.1183,0.47,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.2361,0.53,0.0333,-1,1
1,0,1,33.66,NaN,NaN,1.4833,0.53,0.0333,-1,1
1,1,1,33.66,NaN,NaN,3.4739,0.485,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.8956,0.47,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.8956,0.47,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.0241,0.515,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.3184,0.515,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.0477,0.53,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.3184,0.515,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.5659,0.485,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.1065,0.53,0.1,-1,1
1,1,1,33.66,NaN,NaN,2.3431,0.485,0.0333,-1,1
1,0,1,33.66,NaN,NaN,2.1547,0.515,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.8014,0.47,0.1,-1,1
1,0,1,33.66,NaN,NaN,1.6247,0.515,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.3068,0.485,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.7772,0.485,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.96519,0.515,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.94162,0.515,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.0829,0.485,0.1,-1,1
1,1,0,34.314,NaN,NaN,1.9781,0.47,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.76495,0.47,0.1,-1,1
1,1,0,34.314,NaN,NaN,1.0946,0.47,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.2242,0.53,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.2243,0.515,0.0333,-1,1
1,1,1,33.66,NaN,NaN,0.91801,0.485,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.0947,0.515,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.1177,0.53,0.1,-1,1
1,0,0,34.314,NaN,NaN,0.89445,0.53,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.2243,0.53,0.1,-1,1
1,1,0,34.314,NaN,NaN,1.2242,0.485,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.1418,0.47,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.2007,0.47,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.71781,0.53,0.0333,-1,1
1,0,0,34.314,NaN,NaN,0.90632,0.53,0.0333,-1,1
1,1,0,34.314,NaN,NaN,1.0241,0.485,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.76446,0.485,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.365,0.53,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.554,0.515,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.77673,0.47,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.1653,0.485,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.1773,0.47,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.0241,0.47,0.0333,-1,1
1,1,1,33.66,NaN,NaN,1.4364,0.485,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.0712,0.47,0.1,-1,1
1,0,0,34.314,NaN,NaN,0.95344,0.53,0.0333,-1,1
1,1,1,33.66,NaN,NaN,2.7671,0.47,0.0333,-1,1
1,1,0,34.314,NaN,NaN,1.2243,0.485,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.1301,0.53,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.87099,0.47,0.0333,-1,1
1,0,1,33.66,NaN,NaN,0.94165,0.515,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.5659,0.515,0.1,-1,1
1,0,1,33.66,NaN,NaN,1.1537,0.515,0.1,-1,1
1,0,1,31.6175,NaN,NaN,6.6649,0.515,0.0333,-1,1
1,0,0,36.275,NaN,NaN,2.2958,0.53,0.0333,-1,1
