Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,Coherence,Condition,Volatility,Training
1,0,NaN,2,NaN,NaN,-1,0.2,0,0,1
1,0,NaN,2,NaN,NaN,-1,0.4,0,0,1
1,0,0,5,NaN,NaN,0.98325,0.2,0,0,1
1,1,1,5,NaN,NaN,2.0998,0.2,0,0,1
1,1,0,5,NaN,NaN,0.89949,0.4,0,0,1
1,1,1,5,NaN,NaN,1.2165,0.2,0,0,1
1,1,1,5,NaN,NaN,1.2165,0.2,0,0,1
1,1,1,5,NaN,NaN,0.93318,0.2,0,0,1
1,1,0,5,NaN,NaN,0.96652,0.4,0,0,1
1,0,0,5,NaN,NaN,1.6165,0.2,0,0,1
1,0,0,5,NaN,NaN,0.91655,0.4,0,0,1
1,0,1,5,NaN,NaN,1.0332,0.2,0,0,1
1,1,1,5,NaN,NaN,1.1832,0.2,0,0,1
1,0,0,5,NaN,NaN,0.78325,0.4,0,0,1
1,0,0,5,NaN,NaN,0.68321,0.4,0,0,1
1,1,1,5,NaN,NaN,0.74982,0.2,0,0,1
1,0,0,5,NaN,NaN,0.53324,0.2,0,0,1
1,1,0,5,NaN,NaN,0.78325,0.4,0,0,1
1,1,0,5,NaN,NaN,0.86648,0.4,0,0,1
1,0,0,5,NaN,NaN,0.68318,0.4,0,0,1
1,0,1,5,NaN,NaN,0.98316,0.4,0,0,1
1,1,1,5,NaN,NaN,0.94981,0.2,0,0,1
1,0,0,5,NaN,NaN,0.66654,0.4,0,0,1
1,0,0,5,NaN,NaN,1.8665,0.2,0,0,1
1,1,1,5,NaN,NaN,2.4164,0.4,0,0,1
1,0,1,5,NaN,NaN,2.7331,0.2,0,0,1
1,0,0,5,NaN,NaN,1.6331,0.4,0,0,1
1,1,1,5,NaN,NaN,1.7832,0.2,0,0,1
1,0,0,5,NaN,NaN,1.0332,0.4,0,0,1
1,0,0,5,NaN,NaN,1.7665,0.2,0,0,1
1,1,1,5,NaN,NaN,1.3998,0.2,0,0,1
1,1,1,5,NaN,NaN,2.8831,0.4,0,0,1
1,0,0,5,NaN,NaN,1.2998,0.2,0,0,1
1,1,1,5,NaN,NaN,1.0332,0.2,0,0,1
1,1,1,5,NaN,NaN,1.2665,0.4,0,0,1
1,1,1,5,NaN,NaN,1.4332,0.2,0,0,1
1,0,0,5,NaN,NaN,0.61652,0.4,0,0,1
1,1,1,5,NaN,NaN,1.3666,0.2,0,0,1
1,1,0,5,NaN,NaN,1.1332,0.4,0,0,1
1,0,0,5,NaN,NaN,0.6832,0.4,0,0,1
