Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Correct,Stimulus1,Stimulus2,Solution,Confidence_prospective,Training
1,XX*XX,1,4,1.687,2.504,1,13,13,168,2,0
1,XX-X,1,6,2.32,1.081,1,67,3,54,6,0
1,XXX-XX,1,3,2.237,1.673,1,398,66,338,4,0
1,XX*XX,1,5,1.317,0.806,1,12,12,143,5,0
1,XX*X,NaN,NaN,NaN,5.734,NaN,24,5,96,2,0
1,XXX-XXX,1,2,2.396,0.706,1,677,160,527,2,0
1,XX-XX,1,5,2.666,2.421,1,39,18,29,5,0
1,XXX-XX,0,4,2.918,2.439,1,148,56,92,5,0
1,X*XX,1,1,1.898,1.652,1,8,31,240,1,0
1,XXX-XXX,1,5,2.17,0.887,1,652,559,97,2,0
1,XXX-XXX,0,4,2.656,1.852,0,784,431,343,2,0
1,XX-X,1,6,2.052,0.503,1,45,4,42,6,0
1,XXX-XXX,NaN,NaN,NaN,4.233,NaN,677,160,513,5,0
1,XX*XX,0,5,1.915,0.916,1,13,13,169,2,0
1,XX*X,1,4,1.726,1.422,1,24,5,119,2,0
1,XX-X,1,6,2.699,0.516,1,45,9,26,6,0
1,XXX-XXX,1,4,1.786,1.24,1,495,244,259,5,0
1,XXX-XX,1,3,2.769,2.264,1,132,55,73,4,0
1,XX-XX,1,4,2.037,1.609,0,46,27,19,3,0
1,XX-X,0,6,1.438,0.665,1,99,8,91,6,0
1,XX-X,NaN,NaN,NaN,3.089,NaN,67,3,66,6,0
1,XX-XX,0,4,1.613,0.961,0,98,64,24,5,0
1,XX*XX,1,1,1.967,1.702,0,15,31,465,1,0
1,XX*X,1,1,1.793,0.687,1,61,8,489,1,0
1,XX-XX,0,4,2.278,0.56,1,39,18,21,5,0
1,XXX-XXX,1,2,1.266,0.468,0,495,244,251,2,0
1,XX-XX,0,2,1.625,2.318,0,81,37,54,3,0
1,XX-X,0,6,1.857,0.413,1,51,9,42,6,0
1,XX*XX,1,4,1.766,1.109,1,14,14,182,3,0
1,XXX-XX,1,3,1.85,0.694,1,465,22,447,3,0
1,XXX-XX,1,3,1.178,0.352,1,663,22,631,3,0
1,XX-XX,1,3,0.856,0.587,1,58,16,32,4,0
1,XXX-XX,1,3,0.638,0.633,1,663,22,649,3,0
