Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Training
1015072,1,1,6,1.983,3.862,47,0
1015072,1,0,5,2.644,2.918,47,0
1015072,1,0,5,1.652,2.968,52,0
1015072,0,1,3,1.84,4.252,57,0
1015072,0,0,5,1.819,2.522,63,0
1015072,1,1,5,1.695,3.618,63,0
1015072,1,1,4,1.654,2.565,57,0
1015072,0,0,4,1.294,2.154,57,0
1015072,1,1,5,1.508,3.328,52,0
1015072,0,0,5,0.892,2.138,52,0
1015072,0,0,5,1.599,1.294,47,0
1015072,1,1,6,0.939,2.009,47,0
1015072,0,0,5,2.69,1.209,43,0
1015072,0,0,5,2.425,1.244,43,0
1015072,0,0,5,1.637,1.503,38,0
1015072,0,0,5,0.96,0.629,38,0
1015072,0,1,5,1.272,0.727,35,0
1015072,1,1,5,0.821,0.819,38,0
1015072,1,0,5,1.331,0.608,38,0
1015072,1,1,5,0.887,0.843,43,0
1015072,1,0,5,1.054,0.523,43,0
1015072,0,0,5,1.063,0.519,47,0
1015072,0,0,5,1.738,0.673,47,0
1015072,0,0,5,2.382,0.504,43,0
1015072,0,0,5,1.179,0.394,43,0
1015072,0,0,5,1.032,0.748,38,0
1015072,1,1,5,0.863,1.268,38,0
1015072,0,1,5,1.08,0.794,35,0
1015072,1,1,5,0.895,0.549,38,0
1015072,1,0,5,1.467,0.548,38,0
1015072,0,0,5,0.949,0.563,43,0
1015072,0,1,5,1.23,0.418,43,0
1015072,1,1,5,1.036,0.384,47,0
1015072,1,1,5,0.897,0.414,47,0
1015072,1,0,5,0.946,0.609,43,0
1015072,1,1,4,1.158,0.529,47,0
1015072,1,1,5,0.91,1.455,47,0
1015072,1,1,5,0.921,0.615,43,0
1015072,1,1,5,0.774,0.433,43,0
1015072,0,0,5,1.328,0.574,38,0
1015072,0,0,5,0.929,0.489,38,0
1015072,1,1,5,0.741,0.433,35,0
1015072,1,1,5,0.917,1.089,35,0
1015072,0,0,5,0.836,0.468,32,0
1015072,1,1,5,0.756,0.469,32,0
1015072,0,1,5,0.951,0.329,29,0
1015072,0,1,4,0.784,1.004,32,0
1015072,1,1,5,1.054,0.317,35,0
1015072,0,1,5,0.912,0.293,35,0
1015072,0,0,5,0.767,0.478,38,0
1015072,1,1,5,1.02,0.753,38,0
1015072,1,1,4,0.914,0.438,35,0
1015072,1,1,5,0.792,0.445,35,0
1015072,0,0,5,1.178,0.428,32,0
1015072,0,0,4,0.755,0.42,32,0
1015072,1,1,5,0.636,0.364,29,0
1015072,1,1,5,0.582,0.349,29,0
1015072,0,1,5,1.815,0.698,26,0
1015072,1,1,5,0.725,0.384,29,0
1015072,0,0,4,0.777,0.573,29,0
1015072,0,1,5,1.386,0.973,26,0
1015072,1,1,5,0.723,0.414,29,0
1015072,0,0,4,0.719,0.4,29,0
1015072,0,0,4,1.2,0.429,26,0
1015072,0,0,4,0.799,0.598,26,0
1015072,0,0,5,1.036,0.779,23,0
1015072,0,0,4,1.137,0.579,23,0
1015072,1,0,5,1.039,0.423,21,0
1015072,1,0,4,0.938,0.864,23,0
1015072,1,1,4,1.045,0.444,26,0
1015072,1,0,4,0.73,0.458,26,0
1015072,0,0,5,0.633,0.699,29,0
1015072,0,1,4,0.78,0.438,29,0
1015072,0,0,4,0.996,0.428,32,0
1015072,0,1,4,0.983,0.353,32,0
1015072,0,0,4,0.901,0.389,35,0
1015072,1,1,4,1.004,0.368,35,0
1015072,0,0,4,0.772,0.413,32,0
1015072,1,1,5,0.689,0.403,32,0
1015072,1,1,4,0.736,0.399,29,0
1015072,0,1,4,0.793,0.483,29,0
1015072,0,0,4,0.839,0.453,32,0
1015072,1,1,4,0.972,1.354,32,0
1015072,1,1,4,0.762,0.315,29,0
1015072,1,1,4,0.959,0.373,29,0
1015072,1,1,4,0.9,2.532,26,0
1015072,1,1,4,0.882,0.404,26,0
1015072,1,1,4,0.691,0.314,23,0
1015072,1,1,4,0.693,0.318,23,0
1015072,0,0,4,1.717,0.434,21,0
1015072,0,0,4,0.671,0.373,21,0
1015072,1,1,4,1.368,0.489,19,0
1015072,1,0,4,0.663,0.704,19,0
1015072,0,0,4,0.744,0.519,21,0
1015072,1,1,4,0.531,0.613,21,0
1015072,0,0,4,0.893,0.332,19,0
