Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Trial_number,Skin_site,raw_Confidence_NotReverseCoded,raw_Response,logTransformed_RT_dec_NaNOutlier,logTransformed_RT_conf_NaNOutlier
1,41,0.95,100,4720,10761,1,1,0.13,0.95,8.459564079,9.283683766
1,44,4.96,81.45,3798,10100,2,2,18.55,4.96,8.242229891,9.220290703
1,47,7.94,60.82,1958,12750,3,3,39.18,7.94,7.579678823,9.453286551
1,44.5,7.03,61.37,2263,5056,4,4,38.63,7.03,7.724446646,8.528330936
1,42,2.97,90.62,3013,5817,5,5,9.38,2.97,8.010691539,8.668539944
1,46,1.96,86.12,2576,3933,6,6,13.88,1.96,7.853993087,8.277157772
1,41.5,3,84.93,2395,2235,7,7,15.07,3,7.78113851,7.711996507
1,46.5,7.05,62.4,3006,2468,8,8,37.6,7.05,8.00836557,7.811163385
1,44.5,1.01,95.21,1534,2205,9,1,4.79,1.01,7.335633982,7.698482788
1,41.5,0.98,100,1895,1413,10,2,-10.3,0.98,7.546974118,7.253470383
1,42,0.97,96.55,1493,1956,11,3,3.45,0.97,7.308542798,7.578656851
1,46.5,7.98,61.53,957,4034,12,4,38.47,7.98,6.863803391,8.302513719
1,44.5,4.98,71.81,1632,2491,13,5,28.19,4.98,7.397561536,7.820439515
1,44.5,4.58,80.66,3082,8202,14,6,19.34,4.58,8.033334016,9.012133306
1,46.5,7.9,80.98,1735,2268,15,7,19.02,7.9,7.458762692,7.726653665
1,42,1.48,NaN,1464,58126,16,8,4,1.48,7.288927695,NaN
1,47,8,91.25,1430,3876,17,1,8.75,8,7.265429723,8.262558973
1,47,8.01,100,1339,1668,18,2,-17.89,8.01,7.199678346,7.419380583
1,44.5,1.39,96.47,3610,2050,19,3,3.53,1.39,8.191463051,7.625595072
1,42,0,100,3805,1765,20,4,-18.13,-0.33,8.24407127,7.475905969
1,47,8.12,95.68,4375,8344,21,5,4.32,8.12,8.383661799,9.029297997
1,42.5,0,100,999,3483,22,6,-18.68,-1.23,6.906754779,8.15564927
1,44.5,0,100,1242,1639,23,7,-13.78,-0.2,7.124478262,7.401841579
1,44.5,4.04,98.92,1151,5676,24,8,1.08,4.04,7.048386409,8.644002038
2,41,2.95,79.79,4673,29614,1,1,20.21,2.95,8.449556543,10.2960025
2,44,3.98,97.42,2361,9019,2,2,2.58,3.98,7.766840537,9.107088742
2,47,4.99,NaN,5366,43613,3,3,36.81,4.99,8.587838031,NaN
2,44.5,7.01,93.39,1325,7878,4,4,6.61,7.01,7.189167738,8.971829344
2,41,1.93,100,1784,1097,5,5,-16.55,1.93,7.486613313,7.00033446
2,48,7.99,81.69,1248,20869,6,6,18.31,7.99,7.129297549,9.946020083
2,41,1.9,100,1790,5641,7,7,-10.38,1.9,7.489970899,8.637816634
2,47.5,7.98,76.47,5965,5270,8,8,23.53,7.98,8.693664335,8.569785642
2,44.5,4.08,100,1576,1476,9,1,-18.29,4.08,7.36264527,7.297091005
2,41,1.94,100,1083,788,10,2,-16.47,1.94,6.987490247,6.66949809
2,41,1.04,100,1791,653,11,3,-14.65,1.04,7.490529402,6.481577129
2,47.5,8.35,100,1499,6926,12,4,-16.47,8.35,7.312553498,8.843037725
2,44.5,5.03,100,1040,1533,13,5,-3.82,5.03,6.946975992,7.334981879
2,44.5,3.08,100,1048,986,14,6,-18.84,3.08,6.954638865,6.893656355
2,47.5,8.49,98.68,4214,1249,15,7,1.32,8.49,8.346167594,7.13009851
2,41.5,2.13,100,3659,1030,16,8,-17.81,2.13,8.204945165,6.937314081
2,47,4.93,100,1866,1576,17,1,-16.94,4.93,7.531552381,7.36264527
2,47.5,7.92,78.76,2110,1015,18,2,21.24,7.92,7.654443226,6.922643891
2,44.5,4,100,778,684,19,3,-18.6,4,6.656726524,6.527957918
2,41.5,1.14,100,1298,588,20,4,-17.89,1.14,7.168579897,6.376726948
2,47.5,7.09,100,1528,5130,21,5,-14.65,7.09,7.33171497,8.542860938
2,41.5,0.93,100,1068,860,22,6,-0.66,0.93,6.97354302,6.756932389
2,44.5,1.02,100,2359,806,23,7,-18.76,1.02,7.765993079,6.692083743
2,45,4,100,1673,659,24,8,-18.45,4,7.422373701,6.490723535
3,41,1.08,0.58,4061,4912,1,1,99.42,1.08,8.309184528,8.49943647
3,44,1.49,100,3347,8684,2,2,-1.93,1.49,8.115819701,9.069237531
3,47,2.2,100,3290,3120,3,3,-5.64,2.2,8.098642844,8.045588281
3,48.5,4.63,97.02,4881,7182,4,4,2.98,4.63,8.493105396,8.879333175
3,44.5,1.69,100,2853,1931,5,5,-7.85,1.69,7.956126351,7.565793282
3,50,5,100,2096,1262,6,6,-18.92,5,7.647786045,7.140453043
3,44.5,2.5,100,2221,2046,7,7,-17.66,2.5,7.705712824,7.623641947
3,50,5.19,97.26,2541,4864,8,8,2.74,5.19,7.840312983,8.489616424
