Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy
1,p1_rpm.gif,Option 6,80,34.278,7.281,1,1
1,p3_rpm.gif,Option 9,60,27.402,2.134,2,0
1,p5_rpm.gif,Option 4,80,10.843,1.597,3,1
1,p7_rpm.gif,Option 7,100,20.415,0.913,4,1
1,p9_rpm.gif,Option 9,60,20.559,1.38,5,1
1,p11_rpm.gif,Option 6,80,18.583,1.132,6,1
1,p13_rpm.gif,Option 2,60,27.873,1.738,7,0
1,p15_rpm.gif,Option 3,60,29.782,2.744,8,1
1,p17_rpm.gif,Option 7,40,42.642,1.359,9,1
1,p19_rpm.gif,Option 4,80,27.01,2.894,10,1
1,p21_rpm.gif,Option 5,40,30.882,2.016,11,0
1,p23_rpm.gif,Option 7,60,48.296,1.814,12,1
1,p25_rpm.gif,Option 3,0,82.38,1.295,13,0
1,p27_rpm.gif,Option 2,0,38.996,0.606,14,0
1,p29_rpm.gif,Option 7,20,82.677,1.165,15,1
1,p31_rpm.gif,Option 5,60,75.134,2.249,16,1
1,p33_rpm.gif,Option 9,20,64.655,5.383,17,0
1,p34_rpm.gif,Option 2,20,52.26,1.776,18,1
1,p35_rpm.gif,Option 4,40,57.96,2.194,19,1
1,p36_rpm.gif,Option 7,0,101.567,0.993,20,0
2,p1_rpm.gif,Option 6,80,21.561,5.507,1,1
2,p3_rpm.gif,Option 8,80,14.361,1.676,2,1
2,p5_rpm.gif,Option 4,100,25.717,1.415,3,1
2,p7_rpm.gif,Option 7,100,27.898,1.092,4,1
2,p9_rpm.gif,Option 9,100,12.103,1.082,5,1
2,p11_rpm.gif,Option 6,100,11.027,1.549,6,1
2,p13_rpm.gif,Option 3,80,22.939,1.085,7,1
2,p15_rpm.gif,Option 3,60,34.3,1.404,8,1
2,p17_rpm.gif,Option 4,40,45.926,1.346,9,0
2,p19_rpm.gif,Option 9,100,22.944,1.234,10,0
2,p21_rpm.gif,Option 9,60,18.66,2.618,11,1
2,p23_rpm.gif,Option 7,80,37.867,1.22,12,1
2,p25_rpm.gif,Option 2,40,44.79,1.432,13,0
2,p27_rpm.gif,Option 7,40,18.546,1.958,14,0
2,p29_rpm.gif,Option 6,60,42.802,2.396,15,0
2,p31_rpm.gif,Option 9,80,29.887,1.225,16,0
2,p33_rpm.gif,Option 2,20,59.283,1.437,17,0
2,p34_rpm.gif,Option 5,40,56.711,1.208,18,0
2,p35_rpm.gif,Option 9,40,44.731,1.447,19,0
2,p36_rpm.gif,Option 4,40,38.496,1.383,20,0
3,p1_rpm.gif,Option 6,40,93.539,8.464,1,1
3,p3_rpm.gif,Option 8,100,18.866,2.246,2,1
3,p5_rpm.gif,Option 7,60,35.215,3.614,3,0
3,p7_rpm.gif,Option 3,100,19.801,1.944,4,0
3,p9_rpm.gif,Option 9,100,9.862,1.891,5,1
3,p11_rpm.gif,Option 6,100,24.026,1.849,6,1
3,p13_rpm.gif,Option 3,100,32.842,1.552,7,1
3,p15_rpm.gif,Option 3,100,23.717,1.375,8,1
3,p17_rpm.gif,Option 7,80,26.811,1.779,9,1
3,p19_rpm.gif,Option 9,80,26.199,1.798,10,0
3,p21_rpm.gif,Option 9,100,38.713,2.309,11,1
3,p23_rpm.gif,Option 7,100,21.212,2.307,12,1
3,p25_rpm.gif,Option 6,40,79.575,2.378,13,0
3,p27_rpm.gif,Option 5,20,50.285,2.082,14,0
3,p29_rpm.gif,Option 8,40,90.799,1.746,15,0
3,p31_rpm.gif,Option 5,80,32.503,1.786,16,1
3,p33_rpm.gif,Option 2,80,36.308,1.304,17,0
3,p34_rpm.gif,Option 3,40,108.401,1.589,18,0
3,p35_rpm.gif,Option 4,80,27.367,1.408,19,1
3,p36_rpm.gif,Option 3,60,54.618,4.193,20,1
4,p1_rpm.gif,Option 6,100,16.355,3.172,1,1
4,p3_rpm.gif,Option 8,100,9.071,2.251,2,1
4,p5_rpm.gif,Option 4,80,27.602,1.466,3,1
4,p7_rpm.gif,Option 7,100,18.706,0.541,4,1
4,p9_rpm.gif,Option 9,80,5.484,1.327,5,1
4,p11_rpm.gif,Option 6,100,17.597,0.589,6,1
4,p13_rpm.gif,Option 6,80,35.478,0.403,7,0
4,p15_rpm.gif,Option 8,80,24.07,0.643,8,0
4,p17_rpm.gif,Option 7,80,37.011,0.403,9,1
4,p19_rpm.gif,Option 4,80,46.629,0.389,10,1
4,p21_rpm.gif,Option 9,100,57.174,0.345,11,1
4,p23_rpm.gif,Option 7,80,141.439,0.572,12,1
4,p25_rpm.gif,Option 8,100,47.855,0.349,13,1
4,p27_rpm.gif,Option 8,100,41.553,0.251,14,1
4,p29_rpm.gif,Option 7,80,156.781,0.564,15,1
4,p31_rpm.gif,Option 5,100,57.223,0.287,16,1
4,p33_rpm.gif,Option 4,0,130.008,1.317,17,0
4,p34_rpm.gif,Option 2,80,99.959,0.573,18,1
4,p35_rpm.gif,Option 4,80,56.655,0.478,19,1
4,p36_rpm.gif,Option 2,40,76.827,1.829,20,0
5,p1_rpm.gif,Option 6,80,26.701,7.432,1,1
5,p3_rpm.gif,Option 8,100,15.706,3.573,2,1
5,p5_rpm.gif,Option 4,100,17.752,1.714,3,1
5,p7_rpm.gif,Option 7,100,23.624,3.879,4,1
5,p9_rpm.gif,Option 6,80,21.015,2.925,5,0
5,p11_rpm.gif,Option 6,80,24.899,2.318,6,1
5,p13_rpm.gif,Option 6,100,9.669,1.361,7,0
5,p15_rpm.gif,Option 3,80,15.726,1.312,8,1
5,p17_rpm.gif,Option 7,100,8.992,1.383,9,1
5,p19_rpm.gif,Option 6,100,15.811,1.17,10,0
5,p21_rpm.gif,Option 5,60,20.886,1.898,11,0
5,p23_rpm.gif,Option 2,40,29.016,1.712,12,0
5,p25_rpm.gif,Option 9,80,19.438,3.46,13,0
5,p27_rpm.gif,Option 5,60,36.724,1.096,14,0
5,p29_rpm.gif,Option 6,80,22.415,2.693,15,0
5,p31_rpm.gif,Option 4,80,51.57,4.461,16,0
5,p33_rpm.gif,Option 8,80,32.005,2.029,17,0
5,p34_rpm.gif,Option 3,80,33.254,1.756,18,0
5,p35_rpm.gif,Option 4,80,46.232,2.479,19,1
5,p36_rpm.gif,Option 2,60,39.11,3.818,20,0
6,p1_rpm.gif,Option 6,100,22.812,6.34,1,1
6,p3_rpm.gif,Option 8,100,17.409,1.545,2,1
6,p5_rpm.gif,Option 4,100,15.478,1.563,3,1
6,p7_rpm.gif,Option 7,100,18.815,1.662,4,1
6,p9_rpm.gif,Option 9,100,5.288,3.49,5,1
6,p11_rpm.gif,Option 6,100,10.171,1.091,6,1
6,p13_rpm.gif,Option 3,100,26.354,2.075,7,1
6,p15_rpm.gif,Option 3,100,30.931,1.301,8,1
6,p17_rpm.gif,Option 7,80,49.106,2.663,9,1
6,p19_rpm.gif,Option 4,80,107.315,1.723,10,1
6,p21_rpm.gif,Option 9,100,65.59,1.28,11,1
6,p23_rpm.gif,Option 7,100,31.256,0.758,12,1
6,p25_rpm.gif,Option 8,100,47.201,2.042,13,1
6,p27_rpm.gif,Option 8,80,111.894,3.31,14,1
6,p29_rpm.gif,Option 3,60,234.192,2.244,15,0
6,p31_rpm.gif,Option 5,80,109.873,2.418,16,1
6,p33_rpm.gif,Option 8,80,47.587,1.989,17,0
6,p34_rpm.gif,Option 2,60,137.449,3.997,18,1
6,p35_rpm.gif,Option 4,100,37.928,1.787,19,1
6,p36_rpm.gif,Option 4,NaN,53.013,NaN,20,0
7,p1_rpm.gif,Option 6,100,30.862,9.739,1,1
7,p3_rpm.gif,Option 8,100,28.089,1.797,2,1
7,p5_rpm.gif,Option 4,80,18.505,2.228,3,1
7,p7_rpm.gif,Option 3,80,21.99,1.71,4,0
7,p9_rpm.gif,Option 4,0,34.612,1.06,5,0
7,p11_rpm.gif,Option 6,60,29.916,3.135,6,1
7,p13_rpm.gif,Option 3,100,72.81,2.132,7,1
7,p15_rpm.gif,Option 3,80,22.618,1.816,8,1
7,p17_rpm.gif,Option 7,100,15.233,1.422,9,1
7,p19_rpm.gif,Option 4,100,24.769,4.425,10,1
7,p21_rpm.gif,Option 2,80,29.931,2.798,11,0
7,p23_rpm.gif,Option 6,0,42.776,1.25,12,0
7,p25_rpm.gif,Option 9,20,39.162,1.9,13,0
7,p27_rpm.gif,Option 8,0,13.051,1.328,14,1
7,p29_rpm.gif,Option 3,0,21.91,0.369,15,0
7,p31_rpm.gif,Option 9,80,42.107,2.576,16,0
7,p33_rpm.gif,Option 3,0,8.509,1.351,17,0
