Subj_idx,Block,Trial,Stimulus,Response,Error,Confidence,ErrorDirectionJudgment,RT_conf,RT_directionJudgment,trialFilter,MADFilter
1,1,1,466.807611,298,-168.807611,1,1,4.152666742,8.288630081,1,1
1,1,2,466.807611,362,-104.807611,2,2,3.614402151,4.742256581,1,1
1,1,3,466.807611,250,-216.807611,2,2,1.265052387,1.472497321,1,0
1,1,4,284.1437632,266,-18.14376321,3,1,0.949871381,2.003766803,1,1
1,1,5,182.6638478,138,-44.66384778,3,1,0.265895153,1.19665132,1,1
1,1,6,182.6638478,202,19.33615222,2,1,0.865804692,0.868918531,1,1
1,1,7,182.6638478,218,35.33615222,2,1,1.18898383,0.923699079,1,1
1,1,8,182.6638478,170,-12.66384778,2,1,0.701183072,0.864325346,1,1
1,1,9,284.1437632,202,-82.14376321,3,1,0.908101626,0.656253649,1,1
1,1,10,284.1437632,250,-34.14376321,2,2,0.475164512,1.322766567,1,1
1,1,11,284.1437632,250,-34.14376321,2,2,1.059298468,1.062936257,1,1
1,1,12,182.6638478,186,3.33615222,2,1,1.09428376,0.527299177,1,1
1,1,13,284.1437632,234,-50.14376321,2,1,0.352535842,0.497112918,1,1
1,1,14,284.1437632,202,-82.14376321,2,2,0.659020748,0.701028763,1,1
1,1,15,182.6638478,186,3.33615222,1,1,1.556179077,0.811783453,1,1
1,1,16,182.6638478,138,-44.66384778,2,1,0.714537541,0.520344499,1,1
1,1,17,182.6638478,154,-28.66384778,2,1,0.827282376,0.547629181,1,1
1,1,18,466.807611,410,-56.80761099,2,2,1.426280965,1.908565508,1,1
1,1,19,284.1437632,218,-66.14376321,2,1,0.673863711,1.034573879,1,1
1,1,20,466.807611,298,-168.807611,2,2,0.578968069,1.506660557,1,1
1,1,21,182.6638478,186,3.33615222,2,1,0.54481229,0.429032574,1,1
1,1,22,466.807611,426,-40.80761099,3,2,0.700799143,0.84098206,1,1
1,1,23,182.6638478,138,-44.66384778,2,1,0.606058328,0.599991765,1,1
1,1,24,284.1437632,218,-66.14376321,2,1,1.016571965,0.400650062,1,1
1,1,25,182.6638478,138,-44.66384778,2,1,0.973524419,0.624858128,1,1
1,1,26,182.6638478,218,35.33615222,2,1,0.475490423,1.377167605,1,1
1,1,27,466.807611,458,-8.807610994,2,2,0.842611879,0.349025524,1,1
1,1,28,466.807611,362,-104.807611,2,1,0.484896683,1.010945473,1,1
1,1,29,182.6638478,154,-28.66384778,2,1,0.504424245,0.406862478,1,1
1,1,30,182.6638478,186,3.33615222,2,1,0.393036083,0.271345588,1,1
1,1,31,284.1437632,234,-50.14376321,2,1,0.570830615,0.525130343,1,1
1,1,32,182.6638478,186,3.33615222,2,1,0.409098551,0.247899046,1,1
1,1,33,284.1437632,234,-50.14376321,2,1,0.311344614,0.278122823,1,1
1,1,34,466.807611,410,-56.80761099,3,2,5.44494024,2.684144916,1,1
