Subj_idx,Stimulus,Response,Confidence,Correct,RT_dec,RT_conf
1,1,1,2,1,1.674789723,0.339370381
1,1,1,2,1,1.645542054,0.27771477
1,1,1,2,1,2.985060791,0.136032549
1,2,1,2,0,0.863423944,0.21721522
1,2,1,2,0,1.186079505,0.283010347
1,2,2,1,1,2.784091529,0.288328317
1,1,2,2,0,7.731521581,0.818254554
1,2,1,2,0,1.959130146,0.058033942
1,1,1,2,1,3.740847507,0.321455647
1,1,2,1,0,1.759537613,0.141544595
1,2,1,2,0,0.722009044,0.156534189
1,2,1,2,0,2.284636669,0.319468231
1,2,1,2,0,3.408376631,0.928546336
1,1,1,2,1,1.42024281,1.055786203
1,2,1,2,0,4.349761394,0.285140521
1,2,2,1,1,1.510966477,0.305436889
1,1,1,2,1,1.61117982,0.298042395
1,2,1,1,0,6.126068877,3.839794223
1,1,2,2,0,2.77179661,0.522786002
1,1,1,2,1,1.47387318,0.292402986
1,2,1,2,0,1.590403394,0.352645012
1,1,1,1,1,3.37923393,0.437464281
1,2,1,2,0,1.373548802,0.199892978
1,1,1,2,1,1.041160035,0.003012381
1,1,2,2,0,3.219961213,0.457947261
1,1,2,2,0,2.579056463,0.348201785
1,2,2,2,1,3.662586244,0.547203225
1,1,1,2,1,0.851345961,1.605010434
1,1,2,1,0,2.221600597,0.61838257
1,2,1,2,0,1.960486814,0.372643268
1,2,1,2,0,1.167527491,0.167513496
1,2,2,2,1,5.971259448,1.207253415
1,2,1,2,0,1.290852242,0.087902563
1,2,1,2,0,3.478351397,0.625666496
1,2,1,2,0,0.90251772,0.066778105
1,1,1,2,1,0.883785626,0.000367159
1,1,1,2,1,3.044713591,0.225476525
1,1,1,2,1,3.972428571,0.241949683
1,1,1,2,1,1.385397719,0.126961349
1,2,1,2,0,0.761579613,0.169916123
1,1,1,2,1,1.515788526,0.095551314
1,1,2,1,0,2.684807046,0.200299325
1,2,1,2,0,1.263341462,0.264058984
1,2,1,2,0,0.891685837,0.116395854
2,1,2,2,0,2.771023104,3.295176971
2,2,1,2,0,2.421570087,0.371790452
2,2,1,1,0,3.694919073,0.578050625
2,2,1,2,0,2.57536948,0.592010122
2,2,2,2,1,1.852038291,0.590501365
2,1,2,2,0,2.511617285,1.800628135
2,1,1,2,1,2.860008015,0.677768515
2,1,2,2,0,6.620265483,0.381025871
2,2,1,1,0,5.146375975,1.326827268
2,2,2,1,1,1.842082084,0.792681271
2,2,1,2,0,1.911608048,0.426529296
2,2,1,2,0,1.645533656,0.600583069
2,2,1,2,0,2.481317125,0.399287236
2,1,1,2,1,3.290265348,0.977550599
2,1,1,2,1,2.615027756,0.597375678
2,2,1,1,0,4.304359672,0.965468417
2,2,1,2,0,2.731848619,0.726997178
2,1,1,1,1,3.760386697,0.606662882
2,2,1,2,0,3.19519316,0.828078267
2,2,1,2,0,6.122297453,0.857097804
2,1,2,1,0,1.829017391,1.934980711
2,2,1,1,0,6.971445593,1.296446864
2,2,2,1,1,4.105324642,0.482365883
2,1,2,2,0,5.088976047,0.737466567
2,2,2,2,1,3.780143756,0.849276436
2,2,2,2,1,2.381167229,0.740023149
2,2,2,2,1,8.20154216,1.221009038
2,1,1,2,1,2.710936899,0.321634794
2,1,1,1,1,3.819977448,0.770337305
2,1,2,2,0,2.801649835,0.702029917
2,1,1,2,1,3.681127994,0.917051981
2,2,1,2,0,2.350700517,1.025079695
2,2,1,2,0,1.716541318,0.327651159
2,1,1,2,1,4.838820576,0.867725347
2,2,1,2,0,3.11179354,0.539189648
2,1,1,2,1,3.979366798,0.911082269
2,1,1,2,1,2.718505407,0.804234875
2,1,1,2,1,1.451559538,0.543129956
2,1,1,2,1,1.55213351,0.391746719
2,1,2,2,0,3.310725467,0.43226481
2,1,2,2,0,5.01941416,1.090909812
2,2,2,1,1,3.597559957,0.708065876
2,1,1,2,1,2.640503535,1.805275703
2,1,1,2,1,2.212209824,3.874806332
3,1,1,2,1,1.203516047,0.101045166
3,1,1,2,1,1.267724507,0.360828407
3,2,2,2,1,7.693002104,7.097382443
3,2,1,2,0,2.014232883,1.169229391
3,1,1,2,1,1.135512368,0.216243905
3,1,1,2,1,1.260016972,0.308676003
3,2,1,2,0,1.159362758,0.282903978
3,1,1,2,1,0.954151343,0.155561009
3,1,1,1,1,6.376477207,1.101259303
3,1,2,1,0,4.213139618,2.084450244
3,2,1,2,0,0.703460296,0.187040556
3,2,1,2,0,0.72361204,0.18827266
3,2,1,2,0,1.126262021,0.379057582
3,1,1,2,1,1.124014281,0.147981303
3,1,1,2,1,0.684346115,0.156351776
3,2,1,1,0,3.942089222,1.871609672
3,2,1,2,0,1.391948727,0.569806582
3,1,1,1,1,3.741973243,0.821787116
3,1,1,2,1,2.06299735,0.718533399
3,1,1,2,1,1.574592242,1.029539251
3,2,2,1,1,2.122300718,0.306540231
3,2,2,1,1,1.5855081,0.125952245
3,1,1,2,1,2.682789305,0.763637008
3,1,1,2,1,1.142156216,0.081966441
3,2,2,1,1,4.042073033,2.035745027
3,1,1,2,1,1.532273814,0.15657711
3,2,1,2,0,1.193356433,0.220930661
3,2,1,2,0,1.174182535,0.291762908
3,2,1,2,0,1.506429477,0.076657801
3,2,2,2,1,3.033062015,0.347944727
3,1,1,2,1,0.772189428,0.181493986
3,2,1,2,0,1.593657904,0.291920595
3,1,1,2,1,1.192465361,1.250266505
3,1,1,2,1,0.948761994,0.203590691
3,2,1,2,0,0.983900532,0.190902487
3,2,1,2,0,2.044399616,0.872893094
3,2,1,2,0,1.531913186,0.37312146
3,2,1,2,0,1.33229826,0.138276556
3,2,1,2,0,7.361883697,1.618344781
3,1,1,2,1,0.772786119,0.124533529
3,1,1,2,1,0.922631675,0.135520299
3,1,1,1,1,4.220990843,0.263893366
3,1,1,2,1,2.169214929,1.115130626
3,2,1,2,0,1.026513807,0.276793841
4,2,1,2,0,1.229219491,0.193906938
4,1,1,2,1,2.107821508,0.171548043
4,1,1,2,1,1.543087968,0.334901028
4,1,1,2,1,1.477269981,1.761151805
4,1,1,2,1,0.577021927,0.066212671
4,1,2,2,0,5.862707821,0.491177227
4,2,2,1,1,2.91288214,1.83793417
4,1,1,2,1,1.929079113,0.3377184
4,2,1,2,0,0.930352738,0.207935481
4,1,2,1,0,5.252024855,2.21606849
4,1,1,2,1,1.263419372,0.35724546
4,1,1,2,1,0.808101006,0.186898731
4,2,1,2,0,0.662885756,0.197492684
4,2,1,2,0,0.60295957,0.214513547
4,2,1,2,0,0.9142668,0.125814619
4,2,1,2,0,2.259802369,0.283704077
4,2,2,2,1,2.404465714,0.41519636
4,1,1,2,1,0.68407646,0.136270479
4,1,1,2,1,18.44966496,6.720908501
4,2,1,2,0,0.782525856,0.348590871
4,2,2,2,1,2.397007306,1.235140218
4,2,2,1,1,12.09114168,3.060791131
4,2,2,1,1,2.583292084,1.881633059
4,2,2,2,1,4.842372265,1.665284651
4,1,2,2,0,3.063350046,3.037260781
4,2,2,2,1,2.996039164,0.24104135
4,2,1,2,0,9.33334142,0.659743679
4,1,1,1,1,1.399179934,3.131886967
4,1,2,1,0,3.34275412,0.818440233
4,2,1,2,0,3.26224745,0.403499998
4,1,1,2,1,1.068361973,0.514940375
4,2,1,2,0,1.483221498,0.272475644
4,2,1,2,0,2.105380159,0.722978026
4,2,2,2,1,6.202406173,4.301849276
4,1,1,2,1,4.142846679,1.744224248
4,1,1,2,1,2.250553421,0.37924606
4,2,1,2,0,1.092891163,0.252797428
4,1,1,2,1,3.307313737,1.335100703
4,1,1,2,1,0.612729632,0.19081338
4,1,1,2,1,5.80231324,0.241774734
4,1,1,2,1,0.85174811,0.226404452
4,2,2,1,1,2.043420371,0.577027992
4,2,1,2,0,1.042659928,0.713263015
4,1,1,2,1,1.3024497,0.353509025
5,2,2,2,1,2.568241375,1.44031571
5,2,2,2,1,4.504185003,0.990983384
5,1,1,2,1,2.03960136,0.421172603
5,1,1,2,1,1.225863278,0.338995291
5,1,1,2,1,3.1975496,1.785363289
5,1,1,2,1,4.574930942,3.732565675
5,2,1,2,0,1.850486614,1.334242288
5,2,2,2,1,1.899767995,2.014839372
5,1,1,2,1,1.894775196,0.347817831
5,1,2,1,0,1.086749302,0.781852188
5,2,1,2,0,1.743549179,0.309359935
5,1,1,2,1,1.324650908,0.239429024
5,1,1,2,1,3.706210021,0.983499783
5,2,1,2,0,3.021108595,1.185552793
5,2,1,2,0,6.197805725,0.968029197
5,1,2,2,0,1.919841361,0.89184679
5,2,1,2,0,2.647385312,0.23471241
5,1,2,1,0,1.475039037,1.319422978
5,2,1,2,0,1.730002561,1.483132391
5,2,1,2,0,1.779241022,0.224051744
5,1,1,2,1,1.472442333,0.105255595
5,2,1,2,0,3.420768589,2.593551069
5,1,1,2,1,2.997193825,2.18476016
5,1,1,2,1,4.441669112,0.2949633
5,1,2,2,0,4.198268989,1.355681653
5,1,2,2,0,3.147805888,1.889811788
5,1,1,2,1,1.396109237,0.18074474
5,1,1,2,1,1.810287629,0.321536823
5,2,2,1,1,4.051296322,1.544289748
5,2,2,2,1,3.456331669,2.170256223
5,1,1,2,1,1.682489794,3.913393457
5,1,1,2,1,2.440416014,0.63661921
5,2,1,2,0,3.394865003,0.678511696
5,2,1,2,0,1.14894702,0.184645393
5,2,1,2,0,1.732601597,0.536431525
5,1,1,2,1,1.721258865,2.968927733
5,1,1,2,1,2.619035711,1.025504703
5,2,2,2,1,3.57112826,1.602432392
5,1,1,2,1,0.932908854,0.191355021
5,2,1,2,0,1.553345553,0.769966415
5,2,1,1,0,2.384480522,1.873164148
5,2,2,1,1,3.604394148,2.226984815
5,2,1,2,0,7.37262274,1.697541903
5,2,1,2,0,3.496546515,2.011779871
6,2,1,2,0,0.833574451,0.290886299
6,2,1,2,0,0.573187055,0.275909301
6,2,1,2,0,1.300438025,0.816544724
6,1,1,2,1,0.882055734,0.262028648
6,1,1,2,1,0.675874405,0.021892365
6,1,2,1,0,1.267307896,0.263453895
6,1,1,2,1,0.743063989,0.310043868
6,1,1,2,1,0.733958265,0.218660995
6,2,1,2,0,0.81814352,0.107700677
6,2,2,1,1,1.760594769,0.301057109
6,1,1,2,1,1.121445103,1.034307649
6,1,1,2,1,0.768041514,0.150174459
6,2,1,2,0,0.873533639,0.148206637
6,2,1,2,0,0.65902849,0.207347187
6,2,1,2,0,0.850966673,1.090321052
6,1,1,2,1,1.403692208,0.945420243
6,1,1,2,1,0.978402015,0.22312475
6,1,2,1,0,1.433449795,1.722668717
6,2,1,2,0,1.11467436,0.015019452
6,1,1,2,1,1.814897408,1.547785454
