Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Ease
1,1,1,4,3.26,6.353,0.08
1,2,2,5,2.115,6.227,0.08
1,1,1,4,2.621,5.757,0.075
1,1,1,5,2.053,3.965,0.075
1,2,2,4,2.248,3.935,0.07
1,1,1,5,2.089,3.569,0.07
1,2,1,5,2.072,3.896,0.065
1,2,2,5,1.884,3.996,0.07
1,1,1,4,3.016,5.936,0.07
1,1,1,5,2.961,8.257,0.065
1,2,2,5,2.788,4.86,0.065
1,1,2,4,1.9,7.316,0.065
1,2,2,5,1.917,4.462,0.07
1,2,2,5,2.062,3.846,0.07
1,2,2,5,1.913,2.361,0.065
1,1,1,4,2.247,2.623,0.065
1,1,1,3,4.775,7.631,0.06
1,1,1,4,2.401,5.48,0.06
1,2,1,5,2.608,5.176,0.055
1,1,1,5,2.059,2.986,0.06
1,1,1,5,2.272,6.088,0.06
1,1,1,4,2.395,3.691,0.055
1,2,2,5,2.077,3.437,0.055
1,2,2,3,3.831,5.535,0.05
1,2,2,4,1.856,3.249,0.05
1,1,1,5,2.356,3.932,0.045
1,1,1,5,2.277,2.917,0.045
1,2,1,4,2.012,3.469,0.04
1,1,1,5,2.144,3.073,0.045
1,1,1,4,1.615,3.999,0.045
1,1,1,5,2.005,4.117,0.04
1,2,2,5,2.425,3.288,0.04
1,2,2,5,1.871,3.366,0.035
1,2,2,5,1.755,3.171,0.035
1,2,2,5,1.757,3.957,0.03
1,1,2,4,2.186,3.601,0.03
1,2,2,5,2.048,2.6,0.035
1,1,1,5,2.632,3.68,0.035
1,1,1,4,2.222,3.822,0.03
1,1,1,2,3.512,4.44,0.03
1,2,2,4,2.043,3.675,0.025
1,1,1,4,2.166,5.526,0.025
1,1,1,4,3.12,6.592,0.02
1,2,1,3,4.871,11.256,0.02
1,2,1,5,3.972,6.228,0.025
1,2,2,3,5.101,8.445,0.03
1,2,1,3,5.437,7.957,0.03
1,2,1,2,7.557,14.557,0.035
1,2,2,5,4.074,5.937,0.04
1,1,1,4,3.791,6.399,0.04
1,1,1,4,2.446,3.918,0.035
1,2,1,4,4.504,6.64,0.035
1,2,2,5,3.325,5.62,0.04
1,2,2,3,5.406,7.646,0.04
1,2,2,4,2.683,6.115,0.035
1,2,2,5,3.092,5.899,0.035
1,1,1,5,2.057,3.817,0.03
1,1,1,4,3.118,4.59,0.03
1,1,1,4,3.871,6.519,0.025
1,2,2,3,2.818,5.875,0.025
1,2,1,2,3.617,7.865,0.02
1,2,2,5,2.503,4.063,0.025
1,1,1,5,2.064,3.705,0.025
1,1,1,4,4.822,7.405,0.02
1,2,2,5,2.519,4.904,0.02
1,1,1,4,3.515,5.115,0.02
1,1,1,2,4.21,6.803,0.02
1,2,2,4,2.933,5.318,0.02
1,1,1,3,2.857,7.473,0.02
1,2,1,1,24.195,24.716,0.02
1,1,1,5,2.654,4.526,0.025
1,1,1,3,2.574,4.47,0.025
1,1,1,5,2.493,4.422,0.02
1,2,1,5,3.106,8.546,0.02
1,1,1,4,2.597,5.429,0.025
1,2,2,3,2.606,4.718,0.025
1,1,1,4,2.443,4.523,0.02
1,2,1,4,3.068,6.893,0.02
1,1,1,3,3.127,37.431,0.025
1,1,1,4,1.76,3.545,0.08
1,2,1,5,3.287,5.134,0.08
1,2,2,5,2.129,4.529,0.085
1,2,1,4,2.952,4.511,0.085
1,2,2,5,2.146,3.834,0.09
1,2,2,5,2.108,4.451,0.09
1,2,2,5,2.51,4.357,0.085
1,2,2,5,2.113,3.762,0.085
1,1,2,5,3.848,5.224,0.08
1,2,2,5,1.951,6.855,0.085
1,1,1,5,2.259,3.563,0.085
1,1,1,5,2.526,8.277,0.08
1,1,1,5,2.037,3.493,0.08
1,2,2,3,3.269,5.036,0.075
1,1,1,5,3.85,6.234,0.075
1,2,2,4,2.037,7.437,0.07
1,1,1,5,2.539,4.651,0.07
1,1,1,4,2.813,6.893,0.065
1,1,1,4,2.878,9.35,0.065
1,2,1,4,2.736,3.889,0.06
1,1,1,5,2.14,3.62,0.065
1,2,2,4,2.599,6.063,0.065
1,2,1,5,2.98,5.077,0.06
1,1,1,5,1.996,4.588,0.065
1,2,1,4,3.744,5.368,0.065
1,1,1,3,3.611,6.154,0.07
1,2,2,5,2.48,3.864,0.07
1,1,1,5,1.636,3.108,0.065
1,1,1,5,1.595,2.931,0.065
1,1,1,5,2.125,3.933,0.06
1,2,1,5,1.991,4.064,0.06
1,1,1,4,2.79,4.967,0.065
1,1,2,4,3.413,5.813,0.065
1,2,2,5,2.766,4.302,0.07
1,1,1,4,2.809,4.601,0.07
1,2,2,5,2.234,4.595,0.065
1,2,2,5,2.342,3.967,0.065
1,1,2,4,2.316,6.155,0.06
1,1,1,5,2.832,5.103,0.065
1,2,2,4,1.476,57.108,0.065
1,2,2,5,2.714,4.913,0.06
1,2,1,5,4.797,8.326,0.06
1,2,2,4,3.592,7.127,0.065
1,1,1,2,2.934,4.59,0.065
1,2,2,5,2.09,3.306,0.06
1,2,2,4,1.779,2.594,0.06
1,1,1,4,3.267,3.932,0.055
1,2,2,4,1.523,4.171,0.055
1,1,1,4,2.198,5.398,0.05
1,1,1,4,1.882,4.362,0.05
1,1,1,5,1.515,2.747,0.045
1,2,1,5,1.94,3.243,0.045
1,1,1,4,1.512,4.112,0.05
1,1,1,4,1.343,5.631,0.05
1,1,2,3,3.243,5.683,0.045
1,2,1,2,5.402,6.387,0.05
1,2,2,5,2.501,4.085,0.055
1,1,1,4,1.691,3.29,0.055
1,1,1,4,2.332,3.62,0.05
1,1,1,4,1.487,3.191,0.05
1,1,1,4,1.959,3.439,0.045
1,2,1,3,2.799,4.591,0.045
1,1,1,4,1.554,4.179,0.05
1,2,1,4,2.688,3.472,0.05
1,1,1,3,3.051,5.242,0.055
1,1,1,4,2.045,3.789,0.055
1,2,2,5,1.624,2.688,0.05
