"Subj_idx","Condition","Stim_idx","Stimulus","Response","Confidence","RT_decConf","Resp_raw"
13,"face","face_197","2","1","2","3.515","5"
13,"face","face_140","1","1","2","3.594","5"
13,"face","face_108","2","1","2","2.989","5"
13,"face","face_24","1","2","1","4.233","3"
13,"face","face_4","2","1","2","3.235","5"
13,"face","face_211","2","2","1","3.412","3"
13,"face","face_161","2","1","1","3.39","4"
13,"face","face_148","2","2","2","2.353","2"
13,"face","face_194","2","1","3","1.919","6"
13,"face","face_102","2","2","1","3.624","3"
13,"face","face_110","1","2","2","1.467","2"
13,"face","face_205","2","1","1","1.788","4"
13,"face","face_181","1","1","1","1.852","4"
13,"face","face_73","2","2","2","1.855","2"
13,"face","face_29","1","1","2","4.634","5"
13,"face","face_174","2","2","2","2.794","2"
13,"face","face_49","2","2","3","1.656","1"
13,"face","face_154","2","2","3","0.819","1"
13,"face","face_21","2","2","3","3.225","1"
13,"face","face_191","1","1","3","2.659","6"
13,"face","face_116","2","1","2","2.246","5"
13,"face","face_125","1","1","1","2.6","4"
13,"face","face_178","1","1","3","2.484","6"
13,"face","face_190","1","1","2","1.902","5"
13,"face","face_75","1","2","2","2.679","2"
13,"face","face_117","2","2","2","1.425","2"
13,"face","face_14","2","1","1","2.215","4"
13,"face","face_207","1","1","3","5.325","6"
13,"face","face_3","1","2","2","3.866","2"
13,"face","face_83","2","2","1","3.307","3"
13,"face","face_43","2","2","2","2.451","2"
13,"face","face_85","2","1","1","3.548","4"
13,"face","face_168","2","2","3","2.274","1"
13,"face","face_35","1","1","3","2.309","6"
13,"face","face_203","2","1","2","1.445","5"
13,"face","face_7","1","1","1","4.499","4"
13,"face","face_86","1","1","2","4.281","5"
13,"face","face_122","1","1","3","6.336","6"
13,"face","face_74","1","1","2","2.426","5"
13,"face","face_48","1","2","1","7.445","3"
13,"face","face_72","2","2","3","2.34","1"
13,"face","face_23","2","2","2","2.017","2"
13,"face","face_216","1","2","2","2.19","2"
13,"face","face_90","1","1","3","2.099","6"
13,"face","face_195","2","1","2","2.603","5"
13,"face","face_62","1","2","2","1.905","2"
13,"face","face_152","1","2","2","1.604","2"
13,"face","face_196","1","1","2","1.348","5"
13,"face","face_136","1","1","3","1.413","6"
13,"face","face_145","2","2","3","1.395","1"
13,"face","face_146","2","2","2","2.01","2"
13,"face","face_199","1","1","3","1.862","6"
13,"face","face_15","1","2","3","3.051","1"
13,"face","face_206","2","2","3","1.755","1"
13,"face","face_80","1","1","3","1.319","6"
13,"face","face_46","1","2","2","2.383","2"
13,"face","face_96","2","2","3","3.03","1"
13,"face","face_124","1","2","2","4.498","2"
13,"face","face_55","2","2","2","3.159","2"
13,"face","face_37","2","1","1","2.383","4"
13,"face","face_188","2","2","1","3.809","3"
13,"face","face_165","2","2","2","1.903","2"
13,"face","face_143","1","1","3","1.638","6"
13,"face","face_212","2","2","2","2.941","2"
13,"face","face_123","1","2","1","1.822","3"
13,"face","face_27","2","1","2","2.442","5"
13,"face","face_133","2","2","2","2.029","2"
13,"face","face_30","1","1","1","2.562","4"
13,"face","face_171","1","2","2","2.599","2"
13,"face","face_120","1","2","2","1.696","2"
13,"face","face_176","1","1","3","4.409","6"
13,"face","face_77","1","1","1","3.788","4"
13,"face","face_92","1","2","2","2.046","2"
13,"face","face_144","2","2","2","1.57","2"
13,"face","face_127","2","2","3","1.18","1"
13,"face","face_118","1","2","2","1.274","2"
13,"face","face_13","1","2","3","1.036","1"
13,"face","face_28","1","2","1","6.739","3"
13,"face","face_170","2","1","1","1.961","4"
13,"face","face_59","2","2","3","1.639","1"
13,"face","face_97","1","1","2","2.693","5"
13,"face","face_185","1","1","1","1.624","4"
13,"face","face_201","2","1","3","2.443","6"
13,"face","face_160","1","2","2","1.846","2"
13,"face","face_60","2","2","1","3.266","3"
13,"face","face_111","1","2","2","1.497","2"
13,"face","face_158","1","2","3","1.043","1"
13,"face","face_99","2","1","1","3.479","4"
13,"face","face_105","1","2","2","2.079","2"
13,"face","face_69","2","2","3","3.416","1"
13,"face","face_192","1","1","2","2.37","5"
13,"face","face_114","1","1","3","1.843","6"
13,"face","face_51","2","2","3","1.888","1"
13,"face","face_11","2","2","3","1.084","1"
13,"face","face_26","2","2","1","3.214","3"
13,"face","face_214","1","2","2","1.881","2"
13,"face","face_64","1","2","3","0.914","1"
13,"face","face_56","1","1","3","1.684","6"
13,"face","face_76","1","1","1","6.215","4"
13,"face","face_54","1","2","1","1.84","3"
13,"face","face_32","1","1","3","1.851","6"
13,"face","face_10","1","1","2","3.108","5"
13,"face","face_88","2","2","2","1.509","2"
13,"face","face_204","2","2","3","2.808","1"
13,"face","face_184","2","2","3","2.155","1"
13,"face","face_61","2","2","2","1.843","2"
13,"face","face_94","1","2","2","1.87","2"
13,"face","face_142","1","1","3","3.053","6"
13,"face","face_172","2","2","3","1.025","1"
13,"face","face_79","1","1","3","1.526","6"
13,"face","face_150","2","2","2","0.99","2"
13,"face","face_187","2","2","3","2.452","1"
13,"face","face_156","1","2","2","3.655","2"
13,"face","face_6","1","1","2","4.242","5"
13,"face","face_84","2","2","2","1.9","2"
13,"face","face_139","1","2","2","2.229","2"
13,"face","face_45","1","2","2","4.833","2"
13,"face","face_121","1","2","3","1.305","1"
13,"face","face_134","2","2","3","1.427","1"
13,"face","face_141","1","1","3","2.718","6"
13,"face","face_210","2","2","2","2.084","2"
13,"face","face_213","2","2","3","1.957","1"
13,"face","face_70","2","2","3","1.075","1"
13,"face","face_100","1","1","3","2.838","6"
13,"face","face_12","2","2","3","3.897","1"
13,"face","face_163","1","2","3","1.736","1"
13,"face","face_101","1","1","3","1.776","6"
13,"face","face_128","2","1","3","7.384","6"
13,"face","face_41","1","2","3","1.762","1"
13,"face","face_129","1","2","2","4.131","2"
13,"face","face_202","2","1","2","3.145","5"
13,"face","face_200","2","2","3","2.083","1"
13,"face","face_81","1","2","2","1.223","2"
13,"face","face_186","2","2","3","1.828","1"
13,"face","face_119","2","2","3","1.345","1"
13,"face","face_209","1","2","2","2.425","2"
13,"face","face_106","2","2","3","2.117","1"
13,"face","face_159","2","2","3","1.575","1"
13,"face","face_166","2","2","3","1.196","1"
13,"face","face_169","2","2","3","4.651","1"
13,"face","face_2","1","2","3","2.598","1"
13,"face","face_208","2","2","1","2.282","3"
13,"face","face_58","1","1","1","4.805","4"
13,"face","face_87","2","2","1","2.958","3"
13,"face","face_93","2","2","1","7.653","3"
13,"face","face_155","2","2","2","1.558","2"
13,"face","face_44","1","2","3","1.383","1"
13,"face","face_115","2","1","1","2.38","4"
13,"face","face_16","2","2","2","1.473","2"
13,"face","face_1","1","2","2","1.135","2"
13,"face","face_147","1","2","1","5.55","3"
13,"face","face_31","2","1","1","3.261","4"
13,"face","face_131","2","1","2","1.918","5"
13,"face","face_175","1","1","3","1.257","6"
13,"face","face_52","2","1","3","1.155","6"
13,"face","face_78","1","1","1","1.706","4"
13,"face","face_109","1","2","3","1.487","1"
13,"face","face_5","2","2","3","1.986","1"
13,"face","face_65","1","2","2","1.762","2"
13,"face","face_103","2","1","2","1.288","5"
13,"face","face_130","2","2","1","3.843","3"
13,"face","face_164","2","2","2","2.013","2"
13,"face","face_20","1","1","1","5.28","4"
13,"face","face_36","2","2","3","2.159","1"
13,"face","face_167","1","2","3","1.675","1"
13,"face","face_67","2","2","2","2.372","2"
13,"face","face_180","1","2","1","1.644","3"
13,"face","face_71","2","2","2","2.862","2"
13,"face","face_89","1","2","2","1.56","2"
13,"face","face_193","1","1","1","5.822","4"
13,"face","face_17","2","2","1","1.927","3"
13,"face","face_126","2","2","3","1.273","1"
13,"face","face_173","1","1","1","3.277","4"
13,"face","face_135","2","2","3","1.319","1"
13,"face","face_33","1","2","3","2.6","1"
13,"face","face_104","2","2","1","3.231","3"
13,"face","face_8","2","1","1","2.913","4"
13,"face","face_189","1","1","2","1.226","5"
13,"face","face_149","1","2","3","1.713","1"
13,"face","face_91","2","2","3","1.129","1"
13,"face","face_57","1","2","3","1.937","1"
13,"face","face_157","2","2","2","2.569","2"
13,"face","face_132","1","2","2","1.894","2"
13,"face","face_112","1","2","3","4.036","1"
13,"face","face_162","1","1","1","1.895","4"
13,"face","face_182","2","2","2","1.64","2"
13,"face","face_98","2","2","3","4.278","1"
13,"face","face_22","2","2","2","2.365","2"
13,"face","face_63","1","1","1","3.571","4"
13,"face","face_66","1","1","3","2.762","6"
13,"face","face_113","2","2","2","1.558","2"
13,"face","face_25","1","1","3","1.909","6"
14,"face","face_43","1","1","1","5.631","4"
14,"face","face_31","1","2","1","3.643","3"
14,"face","face_152","2","2","3","2.054","1"
14,"face","face_33","2","2","2","2.492","2"
14,"face","face_54","1","1","3","1.696","6"
14,"face","face_125","1","1","3","1.436","6"
14,"face","face_84","2","2","2","3.282","2"
14,"face","face_160","1","1","3","1.636","6"
14,"face","face_118","2","1","1","2.931","4"
14,"face","face_128","2","1","2","6.204","5"
14,"face","face_91","2","1","2","1.64","5"
14,"face","face_151","1","1","3","1.39","6"
14,"face","face_105","1","1","3","1.535","6"
14,"face","face_21","1","1","3","1.449","6"
14,"face","face_132","2","2","3","1.735","1"
14,"face","face_74","1","1","3","1.289","6"
14,"face","face_143","2","2","2","2.381","2"
14,"face","face_158","2","2","2","2.237","2"
14,"face","face_65","1","1","3","1.243","6"
14,"face","face_164","2","2","1","2.769","3"
14,"face","face_139","1","1","3","1.553","6"
14,"face","face_120","1","1","3","1.066","6"
14,"face","face_201","1","1","3","3.744","6"
14,"face","face_187","1","2","1","2.008","3"
14,"face","face_193","1","1","3","1.088","6"
14,"face","face_207","2","2","3","1.428","1"
14,"face","face_145","1","2","2","1.795","2"
14,"face","face_112","1","1","1","5.458","4"
14,"face","face_36","2","2","3","1.797","1"
14,"face","face_155","1","1","3","1.541","6"
14,"face","face_60","2","1","2","4.142","5"
14,"face","face_171","1","1","3","1.255","6"
14,"face","face_100","2","2","2","1.485","2"
14,"face","face_59","2","2","3","1.673","1"
14,"face","face_121","2","2","3","1.974","1"
14,"face","face_185","2","2","1","1.823","3"
14,"face","face_89","1","1","2","2.79","5"
14,"face","face_53","1","1","2","1.973","5"
14,"face","face_48","2","2","2","2.838","2"
14,"face","face_180","2","2","2","2.419","2"
14,"face","face_142","2","1","2","2.505","5"
14,"face","face_46","2","2","2","2.468","2"
14,"face","face_116","1","1","3","2.184","6"
14,"face","face_37","1","2","1","2.024","3"
14,"face","face_97","2","2","2","2.614","2"
14,"face","face_94","2","1","1","3.045","4"
14,"face","face_77","2","1","1","2.169","4"
14,"face","face_57","1","1","1","1.209","4"
14,"face","face_51","1","1","3","1.736","6"
14,"face","face_13","2","2","2","1.699","2"
14,"face","face_88","1","1","3","1.062","6"
14,"face","face_170","2","2","2","3.132","2"
14,"face","face_214","2","1","2","1.397","5"
14,"face","face_182","1","1","3","1.188","6"
14,"face","face_30","1","1","3","1.677","6"
14,"face","face_113","2","2","3","1.553","1"
14,"face","face_124","1","1","3","1.267","6"
14,"face","face_71","1","2","1","2.768","3"
14,"face","face_70","2","2","3","2.767","1"
14,"face","face_192","1","1","2","2.832","5"
14,"face","face_169","2","2","2","1.845","2"
14,"face","face_140","2","1","1","1.858","4"
14,"face","face_81","1","1","1","1.343","4"
14,"face","face_119","2","2","3","1.473","1"
14,"face","face_130","1","1","3","1.079","6"
14,"face","face_16","1","1","2","1.715","5"
14,"face","face_211","1","2","2","2.382","2"
14,"face","face_87","2","2","2","3.718","2"
14,"face","face_64","1","1","3","1.407","6"
14,"face","face_188","2","2","2","2.719","2"
14,"face","face_204","1","1","3","1.017","6"
14,"face","face_154","2","2","3","1.632","1"
14,"face","face_98","2","2","1","2.038","3"
14,"face","face_150","2","2","3","1.372","1"
14,"face","face_7","2","1","2","2.894","5"
14,"face","face_172","2","2","2","2.049","2"
14,"face","face_175","2","2","3","3.838","1"
14,"face","face_93","2","2","1","3.755","3"
14,"face","face_1","1","1","1","1.555","4"
14,"face","face_181","2","2","1","4.396","3"
14,"face","face_190","2","2","1","1.666","3"
14,"face","face_198","2","2","2","2.695","2"
14,"face","face_5","1","1","3","2.169","6"
14,"face","face_205","2","2","3","2.098","1"
14,"face","face_86","2","2","1","3.413","3"
14,"face","face_50","1","1","3","4.115","6"
14,"face","face_101","2","2","3","1.26","1"
14,"face","face_73","1","1","2","3.137","5"
14,"face","face_189","2","2","2","2.578","2"
14,"face","face_149","2","2","3","1.514","1"
14,"face","face_72","1","1","1","3.164","4"
14,"face","face_76","1","1","1","3.052","4"
14,"face","face_68","2","2","1","2.289","3"
14,"face","face_92","1","1","2","9.389","5"
14,"face","face_52","1","1","2","3.831","5"
