Subj_idx,Stimulus,Response,Confidence,RT_decConf,Condition,Stim_idx,Resp_raw
1,1,1,3,2.499,scene,122,6
1,2,2,2,2.007,scene,2,2
1,1,1,3,3.208,scene,71,6
1,2,2,1,2.125,scene,67,3
1,1,2,1,3.461,scene,190,3
1,1,1,1,2.547,scene,149,4
1,1,1,1,1.802,scene,40,4
1,2,2,1,1.479,scene,144,3
1,2,1,1,2.477,scene,1,4
1,2,1,2,1.444,scene,237,5
1,2,2,1,3.257,scene,83,3
1,1,1,1,2.098,scene,156,4
1,1,2,2,2.443,scene,177,2
1,2,2,2,1.262,scene,174,2
1,1,1,2,1.376,scene,39,5
1,1,2,2,1.463,scene,215,2
1,2,2,2,2.098,scene,43,2
1,1,1,3,1.444,scene,74,6
1,1,1,3,0.832,scene,213,6
1,2,2,2,1.705,scene,194,2
1,2,2,3,1.395,scene,238,1
1,1,1,3,1.359,scene,161,6
1,1,1,1,3.172,scene,118,4
1,2,2,1,2.674,scene,131,3
1,1,1,1,3.556,scene,185,4
1,1,2,1,3.778,scene,21,3
1,2,1,2,1.536,scene,34,5
1,2,1,2,1.381,scene,108,5
1,1,1,3,0.956,scene,147,6
1,2,2,3,1.482,scene,62,1
1,1,2,1,2.02,scene,165,3
1,1,1,1,2.095,scene,219,4
1,2,2,3,1.872,scene,231,1
1,1,1,3,2.885,scene,191,6
1,2,2,3,1.438,scene,128,1
1,2,2,1,3.073,scene,208,3
1,2,2,1,0.946,scene,180,3
1,1,1,2,3.386,scene,26,5
1,2,2,2,2.408,scene,244,2
1,1,2,3,2.443,scene,187,1
1,1,1,1,3.35,scene,137,4
1,1,1,3,1.235,scene,151,6
1,1,1,3,1.016,scene,155,6
1,1,1,3,0.891,scene,5,6
1,2,2,3,1.181,scene,125,1
1,2,2,2,2.132,scene,27,2
1,2,2,2,1.378,scene,222,2
1,1,1,3,0.937,scene,70,6
1,2,1,3,1.177,scene,221,6
1,2,2,1,3.809,scene,126,3
1,2,1,1,1.629,scene,189,4
1,2,2,2,2.505,scene,98,2
1,1,1,3,1.217,scene,46,6
1,1,1,3,1.166,scene,211,6
1,1,1,2,2.806,scene,116,5
1,1,1,3,1.066,scene,16,6
1,2,2,2,1.765,scene,4,2
1,1,1,3,1.246,scene,31,6
1,2,2,2,3.272,scene,139,2
1,2,2,3,1.373,scene,42,1
1,2,2,2,2.902,scene,6,2
1,1,1,3,2.872,scene,110,6
1,1,1,3,1.139,scene,216,6
1,2,2,1,3.419,scene,179,3
1,1,1,1,1.383,scene,239,4
1,1,2,2,1.435,scene,82,2
1,1,1,2,2.464,scene,35,5
1,2,1,1,2.297,scene,12,4
1,1,2,1,1.454,scene,50,3
1,2,2,2,1.716,scene,22,2
1,1,1,3,1.099,scene,233,6
1,1,1,3,1.716,scene,7,6
1,2,2,1,2.868,scene,195,3
1,2,2,2,1.504,scene,78,2
1,2,2,1,3.729,scene,104,3
1,2,1,1,3.761,scene,153,4
1,1,1,2,1.74,scene,227,5
1,2,2,2,2.629,scene,223,2
1,2,2,1,2.048,scene,175,3
1,2,2,2,2.956,scene,226,2
1,2,2,2,3.513,scene,134,2
1,2,1,2,1.634,scene,101,5
1,1,1,2,2.584,scene,14,5
1,2,1,1,2.085,scene,203,4
1,1,1,3,1.144,scene,184,6
1,2,2,2,3.202,scene,130,2
1,2,2,1,2.502,scene,65,3
1,2,2,2,2.071,scene,178,2
1,2,1,1,1.521,scene,121,4
1,2,2,2,2.435,scene,36,2
1,2,2,1,2.542,scene,162,3
1,2,2,1,1.958,scene,218,3
1,1,1,1,2.174,scene,197,4
1,1,2,1,1.067,scene,106,3
1,1,1,3,1.062,scene,217,6
1,1,1,2,3.386,scene,119,5
1,1,2,1,2.664,scene,169,3
1,1,1,3,1.163,scene,47,6
1,2,2,2,2.001,scene,88,2
1,1,1,3,1.133,scene,158,6
1,2,1,3,1.199,scene,246,6
1,2,1,1,4.286,scene,97,4
1,2,2,1,1.143,scene,113,3
1,1,2,2,3.968,scene,54,2
1,2,2,1,2.604,scene,63,3
1,2,1,1,2.282,scene,242,4
1,1,1,1,2.909,scene,141,4
1,2,1,1,2.006,scene,235,4
1,1,2,2,4.873,scene,45,2
1,2,2,1,5.235,scene,127,3
1,1,1,1,3.572,scene,25,4
1,2,2,1,2.034,scene,170,3
1,2,1,1,1.997,scene,20,4
1,1,2,2,2.179,scene,234,2
1,1,2,2,1.685,scene,188,2
1,1,2,1,2.592,scene,228,3
1,1,2,1,1.605,scene,236,3
1,2,2,3,1.819,scene,44,1
1,1,2,1,3.738,scene,182,3
1,1,2,1,2.399,scene,30,3
1,2,1,1,1.562,scene,100,4
1,1,1,3,1.379,scene,142,6
1,2,2,2,4.135,scene,120,2
1,1,2,2,1.501,scene,204,2
1,1,1,3,1.368,scene,9,6
1,1,2,3,4.249,scene,87,1
1,1,2,1,2.916,scene,212,3
1,1,1,1,1.083,scene,202,4
1,2,2,1,3.239,scene,115,3
1,1,1,2,1.849,scene,84,5
1,1,1,2,2.485,scene,51,5
1,2,2,1,1.976,scene,3,3
1,1,2,2,1.564,scene,207,2
1,2,2,1,2.98,scene,133,3
1,2,1,1,2.21,scene,146,4
1,1,2,2,1.782,scene,15,2
1,1,1,3,1.115,scene,245,6
1,2,2,1,3.278,scene,111,3
1,2,2,1,1.264,scene,138,3
1,1,1,3,1.333,scene,140,6
1,2,2,3,1.532,scene,61,1
1,2,2,1,2.493,scene,96,3
1,1,1,2,1.63,scene,225,5
1,2,2,3,1.49,scene,29,1
1,2,2,2,4.573,scene,159,2
1,1,2,2,1.747,scene,102,2
1,2,2,3,1.266,scene,150,1
1,1,2,2,2.276,scene,8,2
1,2,2,2,4.216,scene,124,2
1,1,2,2,2.002,scene,93,2
1,2,2,1,2.238,scene,76,3
1,2,1,1,1.186,scene,230,4
1,1,2,2,1.857,scene,132,2
1,1,2,2,1.48,scene,196,2
1,1,1,1,2.954,scene,201,4
1,2,1,1,0.936,scene,148,4
1,2,2,1,1.355,scene,85,3
1,2,1,1,1.579,scene,205,4
1,1,2,1,3.986,scene,129,3
1,2,2,1,3.1,scene,123,3
1,2,2,1,0.836,scene,214,3
1,2,1,1,1.457,scene,114,4
1,1,1,2,1.165,scene,160,5
1,2,2,1,1.606,scene,73,3
1,1,1,2,2.537,scene,152,5
1,1,1,1,1.921,scene,105,4
1,2,2,1,2.859,scene,220,3
1,2,2,1,1.363,scene,168,3
1,1,2,2,1.944,scene,167,2
1,2,2,3,1.72,scene,64,1
1,2,2,2,1.967,scene,17,2
1,1,1,1,1.72,scene,109,4
1,1,1,1,2.351,scene,99,4
1,2,1,1,1.391,scene,199,4
1,2,2,3,1.83,scene,241,1
1,2,2,2,1.272,scene,164,2
1,1,1,1,1.896,scene,210,4
1,1,2,1,3.733,scene,135,3
1,2,2,2,1.498,scene,171,2
1,1,2,1,1.428,scene,172,3
1,2,2,3,2.093,scene,56,1
1,2,1,1,1.631,scene,200,4
1,1,1,2,1.295,scene,181,5
1,1,1,1,2.53,scene,41,4
1,2,2,1,1.927,scene,37,3
1,1,1,1,1.373,scene,49,4
1,1,1,2,1.273,scene,32,5
1,1,2,1,1.556,scene,72,3
1,2,1,1,2.281,scene,112,4
1,1,1,3,2.941,scene,240,6
1,1,2,1,1.486,scene,198,3
1,1,2,1,1.214,scene,94,3
10,1,1,3,5.062,scene,51,6
10,2,1,2,2.148,scene,73,5
10,1,1,3,2.006,scene,146,6
10,2,2,1,1.96,scene,119,3
10,1,2,1,0.995,scene,232,3
10,2,2,1,1.109,scene,45,3
10,2,2,3,1.891,scene,150,1
10,1,2,1,1.287,scene,174,3
10,1,1,3,1.614,scene,246,6
10,2,2,1,1.535,scene,47,3
10,2,2,1,1.722,scene,12,3
10,1,1,3,1.902,scene,120,6
10,2,1,1,1.77,scene,122,4
10,2,1,1,1.716,scene,132,4
10,2,2,2,1.823,scene,192,2
10,1,2,2,0.943,scene,215,2
10,2,2,2,0.691,scene,143,2
10,2,1,1,2.299,scene,171,4
10,2,1,1,0.775,scene,27,4
10,2,1,1,1.158,scene,97,4
10,1,1,3,1.267,scene,208,6
10,2,1,1,0.979,scene,136,4
10,1,1,1,0.687,scene,197,4
10,2,2,2,1.766,scene,185,2
10,2,2,2,0.856,scene,212,2
10,2,1,3,1.824,scene,109,6
10,1,1,2,3.042,scene,20,5
10,1,1,3,1.071,scene,209,6
10,1,1,1,1.215,scene,113,4
10,1,1,1,0.966,scene,155,4
10,2,1,1,0.506,scene,64,4
10,2,2,2,2.385,scene,89,2
10,2,2,2,0.618,scene,137,2
10,2,2,2,1.436,scene,99,2
10,2,2,2,0.42,scene,87,2
10,2,2,2,0.587,scene,61,2
10,1,2,2,0.596,scene,184,2
10,2,2,2,0.693,scene,211,2
10,2,2,2,0.762,scene,124,2
10,2,2,2,0.991,scene,196,2
10,1,1,1,1.849,scene,1,4
10,2,1,1,1.408,scene,79,4
10,1,1,2,1.334,scene,193,5
10,2,2,1,1.435,scene,159,3
10,1,2,1,0.934,scene,121,3
10,2,2,1,0.451,scene,131,3
10,2,2,1,0.514,scene,67,3
10,1,1,3,1.64,scene,56,6
10,2,2,1,1.295,scene,91,3
10,2,1,1,2.076,scene,130,4
10,1,1,1,0.581,scene,182,4
10,1,1,1,1.464,scene,180,4
10,2,1,1,0.88,scene,147,4
10,1,1,2,1.879,scene,223,5
10,2,2,1,1.62,scene,63,3
10,1,2,1,1.131,scene,210,3
10,2,2,1,0.984,scene,50,3
10,2,1,1,1.057,scene,123,4
10,2,1,1,0.593,scene,245,4
10,1,1,3,1.236,scene,110,6
10,1,1,1,1.277,scene,30,4
10,1,2,2,2.037,scene,84,2
