Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy
1,2,NaN,NaN,NaN,NaN,0.7,E,NaN
1,2,2,6,0.18854,0.53948,0.92,E,1
1,1,1,1,1.4765,0.1643,0.92,E,1
1,2,2,6,0.094087,0.088148,0.91964,E,1
1,2,2,6,0.18229,0.35761,0.85275,E,1
1,1,1,6,0.54553,0.28121,0.80684,E,1
1,2,2,6,0.018351,0.53335,0.77238,E,1
1,2,2,6,0.43359,0.29911,0.74382,E,1
1,1,1,6,0.40439,0.28711,0.71881,E,1
1,1,1,1,0.90229,0.17008,0.69677,E,1
1,2,1,4,1.1016,0.23486,0.67642,E,0
1,2,2,6,0.56313,0.29313,0.73827,E,1
1,2,2,5,0.60364,0.55133,0.72214,E,1
1,2,2,6,0.59817,0.31062,0.70829,E,1
1,1,2,6,0.47535,0.72719,0.69553,E,0
1,2,2,6,0.3582,0.041142,0.73672,E,1
1,2,2,6,0.36389,0.31636,0.72455,E,1
1,1,1,6,0.44003,0.32274,0.71416,E,1
1,1,1,6,0.58015,0.22316,0.70445,E,1
1,2,2,5,0.598,0.48124,0.69549,E,1
1,1,1,2,1.4823,0.43968,0.68762,E,1
1,2,2,2,0.70966,0.29948,0.68029,E,1
1,2,2,4,0.40475,0.59813,0.6731,E,1
1,1,1,5,0.34593,0.55137,0.66631,E,1
1,2,2,6,0.43999,0.57466,0.66023,E,1
1,2,2,6,0.258,0.1003,0.65452,E,1
1,1,1,4,0.39841,0.099592,0.64893,E,1
1,1,1,5,0.40462,0.34614,0.64335,E,1
1,1,2,1,1.2891,0.3866,0.63788,E,0
1,1,1,6,0.33433,0.32289,0.65597,E,1
1,1,1,1,1.0315,0.24604,0.65116,E,1
1,2,2,4,0.53325,0.32897,0.64636,E,1
1,2,2,4,0.99062,0.21136,0.64152,E,1
1,1,2,4,0.43425,0.28197,0.63696,E,0
1,1,1,1,0.46345,0.18205,0.65257,E,1
1,2,2,3,0.38752,0.39272,0.6483,E,1
1,1,2,1,1.7818,0.37555,0.64402,E,0
1,2,1,1,1.1601,0.82055,0.65754,E,0
1,2,2,6,0.30495,0.32396,0.67326,E,1
1,1,1,6,0.42198,0.35755,0.66872,E,1
1,1,1,6,0.43406,0.34029,0.66472,E,1
1,2,1,1,0.82031,0.31705,0.66099,E,0
1,1,1,6,1.0143,0.31687,0.67526,E,1
1,1,1,1,1.1309,0.53358,0.67107,E,1
1,2,2,5,0.92614,0.62753,0.66722,E,1
1,2,2,6,0.35181,0.33439,0.66373,E,1
1,2,2,6,0.30483,0.35207,0.66046,E,1
1,2,2,6,0.33392,0.3694,0.65735,E,1
1,2,2,4,1.0905,0.32265,0.65437,E,1
1,1,1,2,0.82029,0.31105,0.65141,E,1
1,2,2,6,0.46312,0.29315,0.7,H,1
1,2,2,3,0.37513,0.26408,0.47475,H,1
1,1,2,1,0.88496,0.28181,0.29837,H,0
1,2,2,6,0.25836,0.27562,0.59588,H,1
1,1,2,2,1.7402,0.31092,0.45253,H,0
1,2,2,6,0.43378,0.27557,0.64673,H,1
1,1,1,6,0.26375,0.28759,0.52239,H,1
1,1,2,1,1.565,0.30518,0.45113,H,0
1,2,2,5,0.50442,0.2874,0.55054,H,1
1,1,2,2,0.92579,0.28752,0.479,H,0
1,2,2,5,0.24055,0.24618,0.57686,H,1
1,2,2,2,0.51564,0.44031,0.50348,H,1
1,2,1,1,0.83218,0.32265,0.46145,H,0
1,1,1,4,0.33431,0.3055,0.51859,H,1
1,1,1,5,0.36969,0.34653,0.4738,H,1
1,1,2,1,0.55121,0.32247,0.44483,H,0
1,2,1,1,1.4649,0.75153,0.48149,H,0
1,2,2,6,0.41093,0.42188,0.54443,H,1
1,1,1,5,0.34013,0.31112,0.49517,H,1
1,2,2,2,1.1371,0.36333,0.4645,H,1
1,2,1,1,1.1432,0.30487,0.44214,H,0
1,2,2,4,0.42208,0.77976,0.47026,H,1
1,2,1,1,1.5472,0.32839,0.44798,H,0
1,2,2,5,0.39856,0.67409,0.48272,H,1
1,1,1,4,0.2938,0.31667,0.45653,H,1
1,1,1,4,0.36913,0.32253,0.43754,H,1
1,1,1,3,0.053602,0.39867,0.42274,H,1
1,2,1,4,0.041591,0.28115,0.40951,H,0
1,1,1,2,0.48116,0.35211,0.42533,H,1
1,1,1,2,0.42211,0.34016,0.41255,H,1
1,2,1,1,0.53918,0.31126,0.4016,H,0
1,1,1,1,0.43433,0.2762,0.41715,H,1
1,2,1,2,0.72063,0.7323,0.40481,H,0
1,1,1,4,0.087969,0.299,0.41965,H,1
1,1,1,4,0.24625,0.31651,0.40773,H,1
1,1,1,2,0.42968,0.27534,0.39793,H,1
1,1,1,1,0.873,0.24649,0.38969,H,1
1,1,1,3,0.11779,0.66283,0.38161,H,1
1,1,1,2,0.31659,1.1373,0.37472,H,1
1,2,2,4,0.5797,0.19349,0.3681,H,1
1,2,1,3,0.34598,0.3112,0.36238,H,0
1,2,2,3,0.38714,0.33465,0.37089,H,1
1,1,1,3,0.34024,0.32897,0.36507,H,1
1,2,2,3,0.31129,0.46306,0.35956,H,1
1,2,1,2,0.43401,0.3346,0.35415,H,0
1,1,1,4,0.7035,0.39321,0.36051,H,1
1,1,1,5,0.13488,0.3401,0.35519,H,1
1,2,1,1,0.62779,0.29305,0.34991,H,0
1,1,1,2,0.29312,1.1491,0.35618,H,1
1,1,1,2,1.2777,0.29322,0.351,H,1
1,1,1,5,1.1898,0.34061,0.64847,E,1
1,1,1,5,0.38725,0.52811,0.64552,E,1
1,1,1,6,0.3289,0.29911,0.64251,E,1
1,1,1,6,0.30466,0.29373,0.63947,E,1
1,2,2,6,0.39914,0.51644,0.63675,E,1
1,1,1,4,0.37577,0.36929,0.63421,E,1
1,2,2,6,0.41675,0.27612,0.6318,E,1
1,1,1,5,0.393,0.31103,0.62951,E,1
1,2,2,6,0.33433,0.28197,0.6273,E,1
1,2,2,6,0.27587,0.35746,0.62516,E,1
1,2,2,6,0.29356,0.35157,0.62306,E,1
1,2,2,6,0.24661,0.15267,0.62094,E,1
1,1,1,6,0.69187,0.29345,0.61882,E,1
1,1,1,6,0.3517,0.25244,0.61667,E,1
1,2,2,6,0.24058,0.14074,0.61447,E,1
1,1,1,6,0.32265,0.0057763,0.61221,E,1
1,1,1,5,0.59232,0.61522,0.60988,E,1
1,2,2,6,0.018353,0.31104,0.60775,E,1
1,1,1,6,0.33988,0.45747,0.60574,E,1
1,2,2,6,0.36381,0.55072,0.60385,E,1
1,1,1,6,0.4166,0.39247,0.60204,E,1
1,1,2,5,0.38125,0.40509,0.60031,E,0
1,2,2,2,1.3477,0.33394,0.60698,E,1
1,2,2,6,0.2702,0.38108,0.60512,E,1
1,2,2,6,0.90899,0.35768,0.60336,E,1
1,1,1,6,0.68549,0.36343,0.60168,E,1
1,2,2,6,0.047288,0.33984,0.60007,E,1
1,1,1,6,0.08839,0.13476,0.59851,E,1
1,1,1,3,0.3343,0.34048,0.59699,E,1
1,1,1,6,0.32264,0.31137,0.59551,E,1
1,2,2,6,0.15901,0.30551,0.59405,E,1
1,1,1,3,0.36986,0.27029,0.59258,E,1
1,1,1,3,0.030007,0.32837,0.5911,E,1
1,1,1,3,0.3692,0.35199,0.58961,E,1
1,1,1,4,0.56261,0.31711,0.5881,E,1
1,1,1,4,0.50361,0.31674,0.58655,E,1
1,2,2,5,0.26395,0.2638,0.58495,E,1
1,1,1,5,0.31091,0.37585,0.5833,E,1
1,2,2,1,1.284,0.27612,0.58159,E,1
1,2,1,1,1.4187,0.25202,0.57981,E,0
1,1,2,3,0.42799,0.29346,0.58564,E,0
1,1,2,1,0.61543,0.34061,0.5905,E,0
1,1,1,3,0.51633,0.2758,0.5948,E,1
1,1,1,4,0.38108,0.32294,0.5935,E,1
1,2,2,3,0.34041,0.29887,0.5922,E,1
1,2,2,5,0.43944,0.38095,0.59089,E,1
1,2,1,1,0.45193,0.34059,0.58957,E,0
1,1,1,5,0.54565,0.34622,0.59375,E,1
1,1,1,6,0.39299,0.31035,0.5925,E,1
1,1,1,1,0.3871,0.31125,0.59125,E,1
1,1,1,1,0.39846,0.31663,0.34656,H,1
1,1,1,1,0.3752,0.29354,0.34204,H,1
1,2,2,2,0.35806,0.29381,0.33783,H,1
1,2,1,1,0.55066,0.35797,0.33401,H,0
1,2,1,1,0.38127,0.39905,0.3396,H,0
1,2,1,1,0.38719,0.28795,0.34594,H,0
1,2,1,1,1.289,0.1523,0.352,H,0
1,1,1,1,0.50421,0.28142,0.35785,H,1
1,2,2,1,0.18193,0.29311,0.35298,H,1
1,1,1,3,0.058769,0.29365,0.34883,H,1
1,2,2,1,1.2074,0.31719,0.34463,H,1
1,1,1,2,0.082835,0.42807,0.34035,H,1
1,2,2,2,0.30537,0.34602,0.33665,H,1
1,2,2,2,0.43984,0.32272,0.33311,H,1
1,2,1,2,0.38094,0.58639,0.32964,H,0
1,2,1,1,0.83816,0.28125,0.33476,H,0
1,2,1,1,0.83199,0.2994,0.33992,H,0
1,1,1,3,0.053016,0.31125,0.34584,H,1
1,1,1,2,0.26993,0.35754,0.34177,H,1
1,2,1,1,0.11726,0.38697,0.33799,H,0
1,1,1,2,0.64463,0.30521,0.34355,H,1
1,2,2,1,0.62157,0.28711,0.33956,H,1
1,2,1,1,1.2421,0.29373,0.33614,H,0
1,1,1,3,0.21084,0.40514,0.3413,H,1
1,2,1,2,0.33415,0.22896,0.33769,H,0
1,1,1,1,0.11771,0.2645,0.34304,H,1
1,2,2,1,0.4403,0.28116,0.33921,H,1
1,2,1,1,1.0019,0.28115,0.33589,H,0
