Subj_idx,Stimulus,Response,Confidence,RT_dec,Accuracy,nbrA,CA,IA,prmt,mt,Apmt,EMGtrial,force,EMG,Gender,age,RT_conf,Block,Trial
1,2,1,2,1.018066406,0,5,1,4,901.3671875,116.6992188,0.33984375,I C I I I,1.259780377,1,F,20,NaN,1,1
1,1,1,2,0.690917969,1,1,1,0,525.390625,165.5273438,0.525390625,C,0.932192935,1,F,20,NaN,1,2
1,1,1,3,0.75,1,2,1,1,576.171875,173.828125,0.260742188,I C,0.95981793,1,F,20,NaN,1,3
1,1,1,3,0.697753906,1,2,2,0,447.7539063,250,0.349121094,C C,1.059130412,1,F,20,NaN,1,4
1,1,1,3,0.690917969,1,2,1,1,409.6679688,281.25,0.26171875,I C,1.043530415,1,F,20,NaN,1,5
1,1,1,1,1.314941406,1,6,6,0,1186.035156,128.90625,0.512207031,C C C C C C,1.174180392,1,F,20,NaN,1,6
1,2,2,4,0.567382813,1,1,1,0,455.5664063,111.8164063,0.455566406,C,1.719942649,1,F,20,NaN,1,7
1,1,1,3,0.642578125,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,F,20,NaN,1,8
1,2,2,4,0.555664063,1,1,1,0,451.171875,104.4921875,0.451171875,C,1.647042662,1,F,20,NaN,1,9
1,1,1,3,0.636230469,1,1,1,0,461.9140625,174.3164063,0.461914063,C,0.870717946,1,F,20,NaN,1,10
1,2,1,1,1.176757813,0,2,0,2,1025.390625,151.3671875,0.694335938,I I,1.23954288,1,F,20,NaN,1,11
1,2,2,4,0.509765625,1,1,1,0,362.7929688,146.9726563,0.362792969,C,1.351992714,1,F,20,NaN,1,12
1,1,1,4,0.577636719,1,1,1,0,395.9960938,181.640625,0.395996094,C,0.871355446,1,F,20,NaN,1,13
1,2,2,3,0.569824219,1,1,1,0,427.734375,142.0898438,0.427734375,C,1.052392768,1,F,20,NaN,1,14
1,2,2,4,0.589355469,1,1,1,0,462.890625,126.4648438,0.462890625,C,1.142405252,1,F,20,NaN,1,15
1,2,2,3,0.912597656,1,4,3,1,785.6445313,126.953125,0.386230469,C I C C,1.332117718,1,F,20,NaN,1,16
