Subj_idx,Stimulus,Response,Confidence,Condition
1002,30,1,1,0
1002,20,1,1,0
1002,3,1,0,0
1002,30,1,1,0
1002,-30,0,1,0
1002,-6,0,1,0
1002,-10,0,1,0
1002,-20,0,1,0
1002,0,0,0,0
1002,30,1,1,0
1002,-10,0,1,0
1002,6,1,1,0
1002,-20,0,1,0
1002,-3,0,1,0
1002,-10,0,1,0
1002,30,1,1,0
1002,-20,0,1,0
1002,20,1,1,0
1002,0,0,0,0
1002,6,1,1,0
1002,-30,0,1,0
1002,30,1,1,0
1002,-3,0,1,0
1002,6,1,1,0
1002,-30,0,1,0
1002,0,1,0,0
1002,3,0,0,0
1002,-6,0,0,0
1002,6,1,1,0
1002,3,0,1,0
1002,30,1,1,0
1002,3,0,0,0
1002,10,1,0,0
1002,-6,0,1,0
1002,-3,0,0,0
1002,-30,0,1,0
1002,-10,0,1,0
1002,20,1,1,0
1002,-6,0,1,0
1002,-30,0,1,0
1002,10,1,1,0
1002,0,0,1,0
1002,0,1,1,0
1002,6,0,1,0
1002,-10,0,1,0
1002,20,1,1,0
1002,-10,0,1,0
1002,-10,0,1,0
1002,-20,0,1,0
1002,-30,0,1,0
1002,6,1,1,0
1002,-3,0,1,0
1002,-3,0,0,0
1002,6,1,1,0
1002,-30,0,1,0
1002,3,1,0,0
1002,-20,0,1,0
1002,10,1,1,0
1002,0,0,0,0
1002,-6,0,0,0
1002,3,1,1,0
1002,-20,0,1,0
1002,-3,0,0,0
1002,-6,0,1,0
1002,10,1,1,0
1002,10,1,1,0
1002,3,1,1,0
1002,20,1,1,0
1002,-10,0,1,0
1002,6,1,0,0
1002,20,1,1,0
1002,-6,0,0,0
1002,10,1,1,0
1002,10,1,1,0
1002,-3,0,1,0
1002,-3,0,0,0
1002,30,1,1,0
1002,0,1,0,0
1002,30,1,1,0
1002,0,0,0,0
1002,20,1,1,0
1002,-6,0,1,0
1002,20,1,1,0
1002,0,1,0,0
1002,6,1,1,0
1002,-10,0,1,0
1002,30,1,1,0
1002,-6,0,1,0
1002,3,1,1,0
1002,-30,0,1,0
1002,-10,0,1,0
1002,-3,1,0,0
1002,-3,1,0,0
1002,-30,0,1,0
1002,20,1,1,0
1002,-20,0,1,0
1002,-6,0,0,0
1002,3,1,1,0
1002,6,1,1,0
1002,10,1,0,0
1002,-20,0,1,0
1002,3,1,1,0
1002,0,1,0,0
1002,-20,0,1,0
1002,10,0,1,0
1002,30,1,1,0
1002,10,1,1,0
1002,-20,0,1,0
1002,20,1,1,0
1002,-30,0,1,0
1004,30,1,1,0
1004,20,1,1,0
1004,3,1,1,0
1004,30,1,0,0
1004,-30,0,1,0
1004,-6,0,1,0
1004,-10,0,1,0
1004,-20,0,1,0
1004,0,1,0,0
1004,30,1,1,0
1004,-10,0,0,0
1004,6,1,1,0
1004,-20,0,1,0
1004,-3,0,0,0
1004,-10,0,1,0
1004,30,1,1,0
1004,-20,0,1,0
1004,20,1,1,0
1004,0,0,0,0
1004,6,1,1,0
1004,-30,0,1,0
1004,30,1,1,0
1004,-3,0,0,0
1004,6,1,1,0
1004,-30,0,1,0
1004,0,1,0,0
1004,3,1,1,0
1004,-6,0,0,0
1004,6,1,1,0
1004,3,1,0,0
1004,30,1,1,0
1004,3,1,0,0
1004,10,1,1,0
1004,-6,1,0,0
1004,-3,1,0,0
1004,-30,0,1,0
1004,-10,0,1,0
1004,20,1,1,0
1004,-6,0,1,0
1004,-30,0,1,0
1004,10,1,1,0
1004,0,1,0,0
1004,0,1,0,0
1004,6,1,1,0
1004,-10,0,1,0
1004,20,1,1,0
1004,-10,0,1,0
1004,-10,0,1,0
1004,-20,0,1,0
1004,-30,0,1,0
1004,6,1,0,0
1004,-3,1,0,0
1004,-3,0,1,0
1004,6,1,1,0
1004,-30,0,1,0
1004,3,1,1,0
1004,-20,0,1,0
1004,10,1,1,0
1004,0,1,0,0
1004,-6,0,1,0
1004,3,1,0,0
1004,-20,0,1,0
1004,-3,1,0,0
1004,-6,0,1,0
1004,10,1,1,0
1004,10,1,1,0
1004,3,1,0,0
1004,20,1,1,0
1004,-10,0,1,0
1004,6,1,0,0
1004,20,1,1,0
1004,-6,0,0,0
1004,10,1,1,0
1004,10,1,1,0
1004,-3,0,0,0
1004,-3,0,0,0
1004,30,1,1,0
1004,0,1,0,0
1004,30,1,1,0
1004,0,1,1,0
1004,20,1,1,0
1004,-6,0,1,0
1004,20,1,1,0
1004,0,1,0,0
1004,6,1,0,0
1004,-10,0,1,0
1004,30,1,1,0
1004,-6,0,1,0
1004,3,1,0,0
1004,-30,0,1,0
1004,-10,0,1,0
1004,-3,1,0,0
1004,-3,1,0,0
1004,-30,0,1,0
1004,20,1,1,0
1004,-20,0,1,0
1004,-6,0,0,0
1004,3,1,0,0
1004,6,1,0,0
1004,10,1,1,0
1004,-20,0,1,0
1004,3,0,0,0
1004,0,0,0,0
1004,-20,0,1,0
1004,10,1,1,0
1004,30,1,1,0
1004,10,1,1,0
1004,-20,0,1,0
1004,20,1,1,0
1004,-30,0,0,0
1003,30,1,1,0
1003,20,1,1,0
1003,3,1,0,0
1003,30,1,1,0
1003,-30,0,1,0
1003,-6,1,0,0
1003,-10,0,0,0
1003,-20,0,0,0
1003,0,1,1,0
1003,30,1,1,0
1003,-10,0,0,0
1003,6,0,0,0
1003,-20,0,0,0
1003,-3,0,0,0
1003,-10,0,1,0
1003,30,1,1,0
1003,-20,0,1,0
1003,20,1,1,0
1003,0,1,0,0
1003,6,1,1,0
1003,-30,0,1,0
1003,30,1,1,0
1003,-3,0,0,0
1003,6,1,1,0
1003,-30,0,1,0
1003,0,1,0,0
1003,3,0,0,0
1003,-6,0,0,0
1003,6,1,0,0
1003,3,0,1,0
1003,30,1,1,0
1003,3,0,0,0
1003,10,1,1,0
1003,-6,0,0,0
1003,-3,1,0,0
1003,-30,0,1,0
1003,-10,0,0,0
1003,20,1,1,0
1003,-6,0,1,0
1003,-30,0,1,0
1003,10,1,1,0
1003,0,0,1,0
1003,0,0,0,0
1003,6,1,1,0
1003,-10,0,1,0
1003,20,1,1,0
1003,-10,0,1,0
1003,-10,0,1,0
1003,-20,0,1,0
1003,-30,0,1,0
1003,6,1,1,0
1003,-3,0,0,0
1003,-3,0,0,0
1003,6,1,1,0
1003,-30,0,1,0
1003,3,1,0,0
1003,-20,0,1,0
1003,10,1,1,0
1003,0,1,0,0
1003,-6,0,1,0
1003,3,1,1,0
1003,-20,0,1,0
1003,-3,1,0,0
1003,-6,0,1,0
1003,10,1,1,0
1003,10,1,1,0
1003,3,1,0,0
1003,20,1,1,0
1003,-10,0,1,0
1003,6,1,1,0
1003,20,1,1,0
1003,-6,0,1,0
1003,10,1,1,0
1003,10,1,0,0
1003,-3,0,0,0
1003,-3,0,0,0
1003,30,1,1,0
1003,0,1,0,0
1003,30,1,1,0
1003,0,1,0,0
1003,20,1,1,0
1003,-6,0,0,0
1003,20,1,1,0
1003,0,1,1,0
1003,6,1,1,0
1003,-10,0,1,0
1003,30,1,1,0
1003,-6,0,0,0
1003,3,1,0,0
1003,-30,0,1,0
1003,-10,0,0,0
1003,-3,0,0,0
1003,-3,0,1,0
1003,-30,0,1,0
1003,20,1,1,0
1003,-20,0,1,0
1003,-6,1,0,0
1003,3,0,0,0
1003,6,1,1,0
1003,10,1,1,0
1003,-20,0,1,0
1003,3,1,1,0
1003,0,0,0,0
1003,-20,0,1,0
1003,10,1,1,0
1003,30,1,1,0
1003,10,1,1,0
1003,-20,0,1,0
1003,20,1,1,0
1003,-30,0,1,0
1005,30,1,1,0
1005,20,1,1,0
1005,3,0,1,0
1005,30,1,1,0
1005,-30,0,1,0
1005,-6,0,0,0
1005,-10,1,0,0
1005,-20,1,0,0
1005,0,1,0,0
1005,30,1,1,0
1005,-10,0,1,0
1005,6,1,1,0
1005,-20,0,1,0
1005,-3,1,1,0
1005,-10,0,1,0
1005,30,1,1,0
1005,-20,0,1,0
1005,20,1,1,0
1005,0,0,0,0
1005,6,0,0,0
1005,-30,0,1,0
1005,30,1,1,0
1005,-3,1,0,0
1005,6,1,0,0
1005,-30,0,1,0
1005,0,1,0,0
1005,3,1,0,0
1005,-6,0,1,0
1005,6,1,1,0
1005,3,1,0,0
1005,30,1,1,0
1005,3,1,0,0
1005,10,1,1,0
1005,-6,0,1,0
1005,-3,1,0,0
1005,-30,0,1,0
1005,-10,1,0,0
1005,20,1,1,0
1005,-6,0,0,0
1005,-30,0,1,0
1005,10,1,1,0
1005,0,0,0,0
1005,0,0,0,0
1005,6,0,0,0
1005,-10,0,1,0
1005,20,1,1,0
1005,-10,0,1,0
1005,-10,0,1,0
1005,-20,0,1,0
1005,-30,0,1,0
1005,6,1,1,0
1005,-3,1,0,0
1005,-3,1,0,0
1005,6,1,0,0
1005,-30,0,1,0
1005,3,1,0,0
1005,-20,0,0,0
1005,10,1,1,0
1005,0,0,0,0
1005,-6,0,0,0
1005,3,0,0,0
1005,-20,0,1,0
1005,-3,0,1,0
1005,-6,0,0,0
1005,10,1,1,0
1005,10,0,0,0
1005,3,1,0,0
1005,20,1,1,0
1005,-10,0,1,0
1005,6,1,0,0
1005,20,1,1,0
1005,-6,0,1,0
1005,10,1,1,0
1005,10,1,1,0
1005,-3,0,1,0
1005,-3,0,0,0
1005,30,1,1,0
1005,0,1,0,0
1005,30,1,1,0
1005,0,0,0,0
1005,20,1,1,0
1005,-6,1,0,0
1005,20,1,1,0
1005,0,1,0,0
1005,6,1,1,0
1005,-10,0,1,0
1005,30,1,1,0
1005,-6,1,0,0
1005,3,1,0,0
1005,-30,0,1,0
1005,-10,0,1,0
1005,-3,0,0,0
1005,-3,1,0,0
1005,-30,0,1,0
1005,20,1,1,0
1005,-20,0,1,0
1005,-6,1,0,0
1005,3,1,0,0
1005,6,1,0,0
1005,10,1,1,0
1005,-20,0,1,0
1005,3,1,0,0
1005,0,1,0,0
1005,-20,0,1,0
1005,10,1,1,0
1005,30,1,1,0
1005,10,1,0,0
1005,-20,0,1,0
1005,20,1,1,0
1005,-30,0,1,0
1006,30,1,1,0
1006,20,1,1,0
1006,3,1,1,0
1006,30,1,1,0
1006,-30,0,1,0
1006,-6,0,0,0
1006,-10,0,1,0
1006,-20,0,1,0
1006,0,1,1,0
1006,30,1,1,0
1006,-10,0,1,0
1006,6,1,1,0
1006,-20,0,1,0
1006,-3,1,1,0
1006,-10,0,1,0
1006,30,1,1,0
1006,-20,0,1,0
1006,20,1,1,0
1006,0,0,0,0
1006,6,1,1,0
1006,-30,0,1,0
1006,30,1,1,0
1006,-3,1,0,0
1006,6,1,1,0
1006,-30,0,1,0
1006,0,1,1,0
1006,3,0,0,0
1006,-6,0,1,0
1006,6,1,1,0
1006,3,1,0,0
1006,30,1,1,0
1006,3,1,0,0
1006,10,1,1,0
1006,-6,0,1,0
1006,-3,0,1,0
1006,-30,0,1,0
1006,-10,0,1,0
1006,20,1,1,0
1006,-6,0,1,0
1006,-30,0,1,0
1006,10,1,1,0
1006,0,0,0,0
1006,0,1,0,0
1006,6,1,0,0
1006,-10,0,0,0
1006,20,1,1,0
1006,-10,0,1,0
1006,-10,0,1,0
1006,-20,0,1,0
1006,-30,0,1,0
1006,6,1,1,0
1006,-3,0,1,0
1006,-3,0,1,0
1006,6,1,1,0
1006,-30,0,1,0
1006,3,0,0,0
1006,-20,0,1,0
1006,10,1,1,0
1006,0,0,1,0
1006,-6,0,1,0
1006,3,1,1,0
1006,-20,0,1,0
1006,-3,1,0,0
1006,-6,0,0,0
1006,10,1,1,0
1006,10,1,1,0
1006,3,1,1,0
1006,20,1,1,0
1006,-10,0,1,0
1006,6,1,1,0
1006,20,1,1,0
1006,-6,0,1,0
1006,10,1,1,0
1006,10,1,1,0
1006,-3,0,1,0
1006,-3,1,1,0
1006,30,1,1,0
1006,0,1,0,0
1006,30,1,1,0
1006,0,0,1,0
1006,20,1,1,0
1006,-6,0,0,0
1006,20,1,1,0
1006,0,1,1,0
1006,6,1,1,0
1006,-10,1,0,0
1006,30,1,1,0
1006,-6,0,1,0
1006,3,1,0,0
1006,-30,0,1,0
1006,-10,0,0,0
1006,-3,0,0,0
1006,-3,1,1,0
1006,-30,0,1,0
1006,20,1,1,0
1006,-20,0,1,0
1006,-6,1,1,0
1006,3,1,0,0
1006,6,1,1,0
1006,10,1,1,0
1006,-20,0,1,0
1006,3,1,1,0
1006,0,0,1,0
1006,-20,1,1,0
1006,10,1,1,0
1006,30,1,1,0
1006,10,1,0,0
1006,-20,0,1,0
1006,20,1,1,0
1006,-30,0,1,0
1001,30,1,1,0
1001,20,1,1,0
1001,3,1,0,0
1001,30,1,1,0
