Subj_idx,Stimulus,Response,Confidence,RT_decConf,Picture_ID,Accuracy,Confidence_raw
101,0,0,2,3.700532184,words\slide14.jpg,1,2
101,1,0,1,3.733835546,words\slide7.jpg,0,4
101,0,0,1,7.250695973,words\slide16.jpg,1,4
101,0,0,2,2.333800431,words\slide217.jpg,1,2
101,0,0,2,1.705886644,words\slide18.jpg,1,2
101,1,0,1,3.327000326,shapes\slide.284.jpeg,0,4
101,1,1,2,1.916787779,shapes\slide.288.jpeg,1,8
101,0,0,2,2.0158068,shapes\slide.299.jpeg,1,2
101,0,1,2,2.537563875,shapes\slide.300.jpeg,0,8
101,1,1,1,1.797412793,shapes\slide.292.jpeg,1,6
101,0,0,2,3.585948648,faces\slide015.jpg,1,2
101,1,1,2,1.620128048,faces\slide005.jpg,1,8
101,1,1,1,2.042358807,faces\slide004.jpg,1,6
101,0,0,2,1.198201154,faces\slide018.jpg,1,2
101,1,0,2,3.777148831,faces\slide012.jpg,0,2
101,0,0,2,1.860656486,words\slide33.jpg,1,2
101,1,1,2,1.113847151,words\slide34.jpg,1,8
101,0,0,2,0.981366054,words\slide35.jpg,1,2
101,0,1,1,3.347659421,words\slide36.jpg,0,6
101,1,1,2,0.948988946,words\slide37.jpg,1,8
101,1,1,1,3.150469926,shapes\slide.028.jpeg,1,6
101,0,0,2,1.798629349,shapes\slide.033.jpeg,1,2
101,1,1,2,1.783643606,shapes\slide.023.jpeg,1,8
101,1,0,2,2.744560594,shapes\slide.025.jpeg,0,2
101,0,0,2,3.696845861,shapes\slide.036.jpeg,1,2
101,1,1,1,2.863364872,faces\slide025.jpg,1,6
101,0,0,2,1.752023042,faces\slide035.jpg,1,2
101,0,0,2,3.902521559,faces\slide036.jpg,1,2
101,0,0,1,1.886698265,faces\slide037.jpg,1,4
101,1,1,1,1.617924758,faces\slide026.jpg,1,6
101,0,0,2,1.317073975,words\slide52.jpg,1,2
101,0,0,1,5.122242085,words\slide53.jpg,1,4
101,1,1,2,1.519760516,words\slide48.jpg,1,8
101,0,0,2,2.316452685,words\slide55.jpg,1,2
101,0,0,2,2.451381189,words\slide191.jpg,1,2
101,1,0,1,4.677115952,shapes\slide.042.jpeg,0,4
101,1,1,1,1.920464938,shapes\slide.047.jpeg,1,6
101,0,1,1,2.779445956,shapes\slide.053.jpeg,0,6
101,0,0,2,1.167652728,shapes\slide.054.jpeg,1,2
101,0,0,2,0.908815835,shapes\slide.055.jpeg,1,2
101,0,1,1,4.737395778,faces\slide053.jpg,0,6
101,0,0,2,3.287099923,faces\slide054.jpg,1,2
101,1,0,2,1.063262386,faces\slide041.jpg,0,2
101,0,1,2,2.725786629,faces\slide107.jpg,0,8
101,0,0,2,1.182771893,faces\slide057.jpg,1,2
102,0,0,2,1.858717107,words\slide14.jpg,1,2
102,1,0,2,0.100245107,words\slide7.jpg,0,2
102,0,0,2,0.050226285,words\slide16.jpg,1,2
102,0,0,2,0.066902158,words\slide217.jpg,1,2
102,0,0,2,0.033569839,words\slide18.jpg,1,2
102,1,0,2,0.755470013,shapes\slide.284.jpeg,0,2
102,1,0,2,0.050273936,shapes\slide.288.jpeg,0,2
102,0,0,2,0.050242413,shapes\slide.299.jpeg,1,2
102,0,0,2,0.033515957,shapes\slide.300.jpeg,1,2
102,1,0,2,0.016897631,shapes\slide.292.jpeg,0,2
102,0,0,2,27.15427501,faces\slide015.jpg,1,2
102,1,0,2,0.050215289,faces\slide005.jpg,0,2
102,1,0,2,0.033546747,faces\slide004.jpg,0,2
102,0,0,2,0.016897631,faces\slide018.jpg,1,2
102,1,0,2,0.000234588,faces\slide012.jpg,0,2
102,0,0,2,0.572534641,words\slide33.jpg,1,2
102,1,0,2,0.100270765,words\slide34.jpg,0,2
102,0,0,2,0.050253043,words\slide35.jpg,1,2
102,0,0,2,0.066880166,words\slide36.jpg,1,2
102,1,0,2,0.10022678,words\slide37.jpg,0,2
102,1,0,2,0.235312897,shapes\slide.028.jpeg,0,2
102,0,0,2,0.051980926,shapes\slide.033.jpeg,1,2
102,1,0,2,0.06863664,shapes\slide.023.jpeg,0,2
102,1,0,2,0.050255975,shapes\slide.025.jpeg,0,2
102,0,0,2,0.251954316,shapes\slide.036.jpeg,1,2
102,1,0,2,1.662303217,faces\slide025.jpg,0,2
102,0,0,2,0.033517057,faces\slide035.jpg,1,2
102,0,0,2,0.016933186,faces\slide036.jpg,1,2
102,0,0,2,0.033563241,faces\slide037.jpg,1,2
102,1,0,2,0.01688187,faces\slide026.jpg,0,2
102,0,0,2,0.491943202,words\slide52.jpg,1,2
102,0,0,2,0.100263434,words\slide53.jpg,1,2
102,1,0,2,0.10023741,words\slide48.jpg,0,2
102,0,0,2,0.100323181,words\slide55.jpg,1,2
102,0,0,2,0.55861957,words\slide191.jpg,1,2
102,1,0,2,0.655497247,shapes\slide.042.jpeg,0,2
102,1,0,2,0.200244997,shapes\slide.047.jpeg,0,2
102,0,0,2,0.033572038,shapes\slide.053.jpeg,1,2
102,0,0,2,0.033575704,shapes\slide.054.jpeg,1,2
102,0,0,2,0.018634312,shapes\slide.055.jpeg,1,2
102,0,0,2,0.318293464,faces\slide053.jpg,1,2
102,0,0,2,0.066886764,faces\slide054.jpg,1,2
102,1,0,2,0.066886397,faces\slide041.jpg,0,2
102,0,0,2,0.033405628,faces\slide107.jpg,1,2
102,0,0,2,0.050264039,faces\slide057.jpg,1,2
103,0,1,1,3.153343624,words\slide14.jpg,0,6
103,1,1,2,1.738212802,words\slide7.jpg,1,8
103,0,1,2,1.572608683,words\slide16.jpg,0,8
103,0,0,2,1.555656436,words\slide217.jpg,1,2
103,0,0,2,0.94755503,words\slide18.jpg,1,2
103,1,0,1,4.924712804,shapes\slide.284.jpeg,0,4
103,1,0,1,4.035124348,shapes\slide.288.jpeg,0,4
103,0,0,2,2.217534097,shapes\slide.299.jpeg,1,2
103,0,1,1,1.680740695,shapes\slide.300.jpeg,0,6
