Subj_idx,Stimulus,Response,Confidence,RT_decConf,Difficulty,Accuracy,Trial_in_block
1,0,1,14,3.61,24,0,1
1,1,1,50,3.059,27,1,2
1,0,0,20,3.329,27,1,3
1,1,1,47,2.631,24,1,4
1,1,1,48,3.107,21,1,5
1,0,0,24,3.885,18,1,6
1,1,1,22,4.017,15,1,7
1,1,1,28,2.539,12,1,8
1,0,0,24,8.224,9,1,9
1,1,1,27,4.68,6,1,10
1,0,1,29,4.064,3,0,11
1,0,1,2,7.112,6,0,12
1,1,1,27,3.732,9,1,13
1,0,0,27,4.008,9,1,14
1,1,1,27,3.11,6,1,15
1,1,1,30,3.728,3,1,16
1,1,1,30,4.317,1,1,17
1,0,1,24,3.86,1,0,18
1,1,0,15,8.635,4,0,19
1,1,1,26,3.757,7,1,20
1,1,1,25,2.487,7,1,21
1,1,0,26,4.624,4,0,22
1,1,0,32,4.207,7,0,23
1,1,1,26,45.397,10,1,24
1,0,0,26,3.746,10,1,25
1,0,1,3,3.981,7,0,26
1,0,1,27,2.893,10,0,27
1,1,1,27,2.276,13,1,28
1,0,0,25,4.735,13,1,29
1,1,1,26,2.352,10,1,30
1,1,1,38,3.059,7,1,31
1,1,1,31,5.024,4,1,32
1,1,1,9,3.346,1,1,33
1,0,1,28,2.354,1,0,34
1,1,1,30,2.168,4,1,35
1,0,0,7,2.733,4,1,36
1,0,1,23,3.423,1,0,37
1,1,1,24,2.313,4,1,38
1,0,0,19,3.527,4,1,39
1,1,0,32,2.797,1,0,40
1,1,1,22,2.066,4,1,41
1,1,1,26,2.98,4,1,42
1,0,1,30,2.175,1,0,43
1,1,1,24,2.511,4,1,44
1,0,1,24,2.429,4,0,45
1,0,1,24,2.448,7,0,46
1,0,0,21,2.852,10,1,47
1,0,1,5,4.167,10,0,48
1,1,1,24,2.241,13,1,49
1,1,1,24,7.341,13,1,50
1,1,1,33,3.415,10,1,51
1,1,1,26,2.098,7,1,52
1,0,1,25,2.496,4,0,53
1,1,1,28,2.187,7,1,54
1,1,1,23,2.087,7,1,55
1,1,1,4,3.677,4,1,56
1,1,1,25,1.986,1,1,57
1,1,1,27,2.482,1,1,58
1,1,0,20,2.534,1,0,59
1,0,1,22,3.589,4,0,60
1,1,1,22,2.206,7,1,1
1,0,1,21,2.008,7,0,2
1,0,0,20,3.534,10,1,3
1,1,1,28,2.531,10,1,4
1,0,0,27,3.153,7,1,5
1,1,1,49,3.204,4,1,6
1,0,1,28,1.751,1,0,7
1,0,1,24,1.728,4,0,8
1,1,1,27,1.702,7,1,9
1,0,1,25,1.986,7,0,10
1,0,0,28,2.075,10,1,11
1,1,1,28,1.897,10,1,12
1,0,1,24,1.958,7,0,13
1,0,1,26,2.026,10,0,14
1,0,0,29,2.018,13,1,15
1,1,1,24,1.724,13,1,16
1,1,1,21,2.278,10,1,17
1,0,0,28,2.312,7,1,18
1,1,1,28,2.568,4,1,19
1,0,0,33,1.659,1,1,20
1,1,1,23,1.838,1,1,21
1,0,0,23,2.781,1,1,22
1,1,1,21,2.027,1,1,23
1,0,1,28,1.813,1,0,24
1,1,1,25,1.849,4,1,25
1,0,0,31,2.263,4,1,26
1,0,1,10,2.753,1,0,27
1,0,1,22,1.884,4,0,28
1,1,1,23,1.917,7,1,29
1,0,0,23,2.096,7,1,30
1,1,1,23,1.722,4,1,31
1,1,1,24,2.042,1,1,32
1,0,1,31,2.755,1,0,33
1,1,1,25,2.184,4,1,34
1,1,1,21,1.957,4,1,35
1,1,0,24,1.716,1,0,36
1,0,0,11,3.774,4,1,37
1,1,1,24,1.916,4,1,38
1,0,1,22,1.783,1,0,39
1,1,0,24,1.938,4,0,40
1,0,0,27,1.876,7,1,41
1,1,0,29,2.319,7,0,42
1,0,0,26,1.993,10,1,43
1,0,1,24,1.781,10,0,44
1,1,1,36,3.629,13,1,45
1,0,0,39,2.222,13,1,46
1,0,0,26,2.931,10,1,47
1,0,0,23,3.497,7,1,48
1,0,0,26,3.313,4,1,49
1,0,0,15,3.655,1,1,50
1,1,1,18,2.08,1,1,51
1,0,0,20,2.624,1,1,52
1,1,1,9,2.649,1,1,53
1,0,0,24,2.622,1,1,54
1,0,1,8,2.718,1,0,55
1,1,1,24,2.246,4,1,56
1,1,1,26,1.922,4,1,57
1,1,0,26,2.133,1,0,58
1,1,1,12,2.486,4,1,59
1,0,0,28,1.764,4,1,60
1,1,1,9,2.027,1,1,1
1,1,1,21,2.372,1,1,2
1,0,1,16,2.707,1,0,3
1,0,0,12,2.292,4,1,4
1,0,1,18,2.641,4,0,5
1,0,0,24,1.803,7,1,6
1,1,0,15,2.269,7,0,7
1,0,0,25,1.972,10,1,8
1,1,1,26,2.231,10,1,9
1,0,1,22,2.389,7,0,10
1,0,0,28,1.874,10,1,11
1,1,1,26,1.972,10,1,12
1,0,1,22,2.094,7,0,13
1,1,1,20,2.51,10,1,14
1,0,0,24,2.01,10,1,15
1,0,1,15,2.029,7,0,16
1,1,1,27,1.87,10,1,17
1,1,1,17,2.198,10,1,18
1,1,1,23,1.973,7,1,19
1,0,1,11,2.4,4,0,20
1,1,0,23,2.199,7,0,21
1,0,0,33,2.096,10,1,22
1,0,0,14,2.231,10,1,23
1,1,1,8,2.915,7,1,24
1,0,0,27,2.792,4,1,25
1,0,0,28,2.474,1,1,26
1,1,1,12,1.831,1,1,27
1,1,0,9,2.372,1,0,28
1,0,1,7,2.293,4,0,29
1,0,1,15,2.171,7,0,30
1,0,1,5,2.402,10,0,31
1,0,0,13,1.961,13,1,32
1,0,0,13,2.195,13,1,33
1,1,1,16,1.93,10,1,34
1,1,1,11,4.189,7,1,35
1,0,1,8,2.067,4,0,36
1,1,1,24,2.194,7,1,37
1,0,1,6,1.977,7,0,38
1,1,1,10,3.017,10,1,39
1,1,1,20,2.653,10,1,40
1,0,0,22,2.001,7,1,41
1,1,1,26,2.512,4,1,42
1,0,0,31,2.73,1,1,43
1,1,0,14,2.244,1,0,44
1,1,1,9,1.936,4,1,45
1,1,1,26,2.866,4,1,46
1,1,1,10,1.754,1,1,47
1,1,0,25,2.63,1,0,48
1,0,1,10,1.612,4,0,49
1,1,1,10,2.248,7,1,50
1,0,0,13,1.843,7,1,51
1,1,1,7,1.713,4,1,52
1,1,0,26,1.82,1,0,53
1,0,0,24,2.43,4,1,54
1,0,1,13,2.112,4,0,55
1,1,0,12,2.199,7,0,56
1,0,0,18,2.407,10,1,57
1,0,0,24,1.806,10,1,58
1,0,0,7,2.635,7,1,59
1,0,0,12,1.891,4,1,60
1,0,0,7,2.076,1,1,1
1,0,1,17,2.71,1,0,2
1,1,0,27,2.025,4,0,3
1,0,0,32,2.427,7,1,4
1,1,1,28,2.535,7,1,5
1,1,0,25,4.486,4,0,6
1,0,1,9,2.217,7,0,7
1,1,1,39,4.318,10,1,8
1,0,0,27,1.892,10,1,9
1,0,0,26,2.184,7,1,10
1,0,0,28,1.968,4,1,11
1,0,0,26,2.382,1,1,12
1,0,0,24,2.012,1,1,13
1,1,1,11,2.334,1,1,14
1,1,0,19,2.523,1,0,15
1,1,0,18,2.398,4,0,16
1,1,1,24,1.827,7,1,17
1,1,1,27,2.093,7,1,18
1,1,1,44,2.881,4,1,19
1,1,0,17,1.83,1,0,20
1,1,0,19,1.853,4,0,21
1,0,0,12,2.026,7,1,22
1,1,0,16,1.932,7,0,23
1,0,0,19,2.465,10,1,24
1,0,1,25,2.527,10,0,25
1,1,1,30,2.053,13,1,26
1,0,0,26,2.593,13,1,27
1,0,0,18,1.959,10,1,28
1,0,0,24,2.485,7,1,29
1,0,0,27,2.009,4,1,30
1,1,1,9,2.635,1,1,31
1,1,0,11,2.144,1,0,32
1,1,0,18,1.851,4,0,33
1,0,1,9,2.111,7,0,34
1,1,1,26,2.158,10,1,35
1,0,0,25,1.925,10,1,36
1,0,1,8,2.666,7,0,37
1,0,0,20,2.208,10,1,38
1,1,1,20,2.072,10,1,39
1,0,0,29,1.793,7,1,40
1,0,1,6,2.122,4,0,41
1,1,1,29,2.29,7,1,42
1,1,1,38,2.564,7,1,43
1,1,0,7,2.145,4,0,44
1,0,0,21,1.916,7,1,45
1,1,1,18,1.949,7,1,46
1,1,1,31,1.747,4,1,47
1,1,1,36,2.146,1,1,48
1,1,0,12,1.941,1,0,49
1,1,0,15,1.977,4,0,50
1,1,0,6,2.205,7,0,51
1,1,1,28,1.781,10,1,52
1,0,1,5,2.585,10,0,53
1,1,1,47,2.31,13,1,54
1,0,0,8,1.971,13,1,55
1,0,0,22,1.949,10,1,56
1,0,0,10,1.699,7,1,57
1,1,0,23,2.289,4,0,58
1,0,0,16,2.39,7,1,59
1,1,1,30,1.819,7,1,60
2,0,0,50,1.8978,15,1,1
2,1,0,50,2.1291,12,0,2
2,0,0,50,1.7142,15,1,3
2,0,0,50,1.5847,18,1,4
2,0,1,50,1.8981,12,0,5
2,1,1,50,1.6103,15,1,6
2,0,0,50,1.8739,15,1,7
2,1,1,50,2.1621,18,1,8
2,1,1,50,1.6812,18,1,9
2,0,0,50,1.8424,18,1,10
2,1,1,49,2.0326,15,1,11
2,0,0,50,1.6488,12,1,12
2,1,0,50,1.9612,6,0,13
2,0,1,50,1.6565,9,0,14
2,0,0,50,2.354,9,1,15
2,0,0,50,3.3452,6,1,16
2,0,1,50,1.6978,1,0,17
2,0,1,50,1.752,4,0,18
2,1,1,48,5.5303,7,1,19
2,1,1,43,2.7364,7,1,20
2,1,1,38,2.0327,4,1,21
2,1,1,37,1.7219,1,1,22
2,0,1,50,1.6491,1,0,23
2,1,1,50,2.7622,4,1,24
2,0,0,50,2.2177,10,1,25
2,1,1,50,2.6729,10,1,26
2,1,1,50,1.5943,7,1,27
2,1,1,50,1.5144,4,1,28
2,1,1,50,1.4485,1,1,29
2,1,1,48,1.6737,1,1,30
2,1,1,50,1.985,1,1,31
2,0,1,49,1.8341,1,0,32
2,0,1,50,1.8742,4,0,33
2,1,1,50,1.9765,7,1,34
2,1,1,48,1.5285,7,1,35
2,1,1,43,1.6337,4,1,36
2,0,1,50,1.442,1,0,37
2,1,1,50,1.6102,4,1,38
2,1,1,50,1.569,1,1,1
2,1,1,50,1.5362,1,1,2
2,0,1,50,1.5834,1,0,3
2,0,1,50,2.1695,4,0,4
2,0,0,50,1.8742,10,1,5
2,1,1,50,1.8743,7,1,6
2,1,1,50,1.4983,7,1,7
2,0,1,50,1.6501,7,0,8
2,1,1,50,1.9372,10,1,9
2,0,0,41,2.7216,7,1,10
2,0,0,49,1.8488,4,1,11
2,1,1,41,2.4971,1,1,12
2,1,1,48,1.6583,1,1,13
2,1,1,47,1.6895,4,1,14
2,0,0,46,1.6007,4,1,15
2,1,0,43,1.6979,1,0,16
2,0,0,45,2.0731,4,1,17
2,1,0,14,3.0574,1,0,18
2,0,0,30,1.4016,4,1,19
2,1,1,36,1.9458,4,1,20
2,0,0,44,1.7139,1,1,21
2,0,1,42,1.8652,1,0,22
2,1,0,42,2.4103,4,0,23
2,0,0,46,1.9216,7,1,24
2,0,0,44,1.7767,7,1,25
2,1,0,46,2.1449,4,0,26
2,1,1,42,1.5141,7,1,27
2,1,1,44,2.0572,7,1,28
2,1,1,41,1.9144,4,1,29
2,0,1,45,1.4254,1,0,30
2,1,0,42,1.9058,4,0,31
2,1,0,47,2.329,7,0,32
2,1,1,45,2.0659,10,1,33
2,1,0,43,2.1302,10,0,34
2,0,1,50,1.8486,13,0,35
2,0,0,50,1.8659,16,1,36
2,0,0,50,1.4902,19,1,37
2,0,1,48,2.0663,19,0,38
2,1,1,50,1.5776,22,1,39
2,0,0,50,1.7857,22,1,40
2,0,0,50,1.7303,22,1,41
2,0,0,50,1.4581,10,1,1
2,1,1,49,1.4265,7,1,2
2,1,1,50,1.6817,1,1,3
2,0,1,50,1.6583,7,0,4
2,1,1,50,1.5208,13,1,5
2,0,1,50,1.682,10,0,6
2,0,1,12,3.3223,10,0,7
2,0,1,45,1.8884,13,0,8
2,0,0,45,2.0017,16,1,9
2,1,1,50,1.8809,16,1,10
2,0,1,50,1.9221,13,0,11
2,0,1,46,1.4813,16,0,12
2,0,0,44,1.4803,19,1,13
2,0,0,48,2.4015,19,1,14
2,1,1,50,1.3379,13,1,15
2,1,1,50,1.8102,13,1,16
2,0,1,50,1.5523,13,0,17
2,1,1,50,1.5216,16,1,18
2,1,1,50,1.7062,7,1,19
2,0,0,50,3.0817,1,1,20
2,0,0,50,1.6578,1,1,21
2,0,1,50,1.6105,1,0,22
2,0,0,50,4.6183,4,1,23
