Subj_idx,Stimulus,Response,Confidence,RT_decConf,Condition,Accuracy,Raw_Response,StimulusType
81,1,1,2,3.913,"big, no feedback",1,5,Word
81,0,0,2,3.672,"big, no feedback",1,2,Word
81,1,1,3,2.875,"big, no feedback",1,6,Word
81,0,0,1,6.981,"big, no feedback",1,3,Word
81,1,1,3,2.548,"big, no feedback",1,6,Word
81,0,0,1,4.447,"big, no feedback",1,3,Word
81,1,1,2,3.575,"big, no feedback",1,5,Word
81,1,1,2,2.263,"big, no feedback",1,5,Word
81,0,1,1,2.757,"big, no feedback",0,4,Word
81,0,1,1,3.175,"big, no feedback",0,4,Word
81,0,0,1,3.811,"big, no feedback",1,3,Word
81,0,1,2,2.532,"big, no feedback",0,5,Word
81,0,1,1,3.355,"big, no feedback",0,4,Word
81,1,1,3,2.025,"big, no feedback",1,6,Word
81,0,1,1,3.602,"big, no feedback",0,4,Word
81,1,1,2,2.693,"big, no feedback",1,5,Word
81,0,0,1,3.053,"big, no feedback",1,3,Word
81,0,1,2,2.589,"big, no feedback",0,5,Word
81,1,1,3,4.536,"big, no feedback",1,6,Word
81,1,1,3,1.562,"big, no feedback",1,6,Word
81,0,1,2,3.254,"big, no feedback",0,5,Word
81,0,1,1,4.012,"big, no feedback",0,4,Word
81,0,0,2,3.506,"big, no feedback",1,2,Word
81,0,1,2,2.049,"big, no feedback",0,5,Word
81,0,0,2,2.694,"big, no feedback",1,2,Word
81,1,1,3,2.872,"big, no feedback",1,6,Word
81,1,1,2,1.693,"big, no feedback",1,5,Word
81,0,1,1,6.244,"big, no feedback",0,4,Word
81,0,1,2,2.109,"big, no feedback",0,5,Word
81,0,1,2,1.97,"big, no feedback",0,5,Word
81,1,1,3,1.252,"big, no feedback",1,6,Word
81,0,1,2,3.646,"big, no feedback",0,5,Word
81,0,0,3,2.147,"big, no feedback",1,1,Word
81,1,0,1,3.387,"big, no feedback",0,3,Word
81,1,1,2,1.786,"big, no feedback",1,5,Word
81,0,0,2,2.405,"big, no feedback",1,2,Word
81,1,1,2,2.025,"big, no feedback",1,5,Word
81,1,1,1,4.742,"big, no feedback",1,4,Word
81,1,1,1,2.475,"big, no feedback",1,4,Word
81,1,1,3,2.081,"big, no feedback",1,6,Word
81,0,1,2,2.496,"big, no feedback",0,5,Word
