Subj_idx,Stimulus,Response,Confidence,RT_decConf,Condition,Accuracy,Raw_Response,StimulusType
10,0,0,2,6.373,Paintings-Paintings,1,2,Painting
10,1,1,3,2.874,Paintings-Paintings,1,6,Painting
10,0,0,3,2.43,Paintings-Paintings,1,1,Painting
10,0,0,3,2.82,Paintings-Paintings,1,1,Painting
10,1,1,3,2.955,Paintings-Paintings,1,6,Painting
10,0,0,2,5.624,Paintings-Paintings,1,2,Painting
10,0,0,3,4.679,Paintings-Paintings,1,1,Painting
10,0,0,3,7.918,Paintings-Paintings,1,1,Painting
10,1,1,1,6.389,Paintings-Paintings,1,4,Painting
10,1,0,1,6.586,Paintings-Paintings,0,3,Painting
10,1,0,1,6.119,Paintings-Paintings,0,3,Painting
10,0,0,3,4.946,Paintings-Paintings,1,1,Painting
10,0,0,3,3.503,Paintings-Paintings,1,1,Painting
10,1,0,1,11.082,Paintings-Paintings,0,3,Painting
10,0,0,3,4.329,Paintings-Paintings,1,1,Painting
10,0,0,3,2.688,Paintings-Paintings,1,1,Painting
10,0,0,3,2.183,Paintings-Paintings,1,1,Painting
10,0,0,3,3.175,Paintings-Paintings,1,1,Painting
10,1,0,1,10.367,Paintings-Paintings,0,3,Painting
10,0,0,3,8.017,Paintings-Paintings,1,1,Painting
10,1,0,3,3.348,Paintings-Paintings,0,1,Painting
10,0,0,3,3.988,Paintings-Paintings,1,1,Painting
10,1,1,3,2.667,Paintings-Paintings,1,6,Painting
10,1,1,2,4.313,Paintings-Paintings,1,5,Painting
10,1,1,3,4.435,Paintings-Paintings,1,6,Painting
10,1,1,3,2.12,Paintings-Paintings,1,6,Painting
10,1,1,1,6.828,Paintings-Paintings,1,4,Painting
10,0,0,3,5.966,Paintings-Paintings,1,1,Painting
10,0,0,2,5.637,Paintings-Paintings,1,2,Painting
10,1,0,3,3.353,Paintings-Paintings,0,1,Painting
10,1,1,3,4.555,Paintings-Paintings,1,6,Painting
10,0,0,3,3.786,Paintings-Paintings,1,1,Painting
10,0,0,3,4.938,Paintings-Paintings,1,1,Painting
10,1,1,3,5.003,Paintings-Paintings,1,6,Painting
10,1,1,1,8.104,Paintings-Paintings,1,4,Painting
10,0,1,3,3.575,Paintings-Paintings,0,6,Painting
10,1,1,3,2.431,Paintings-Paintings,1,6,Painting
10,0,1,1,12.982,Paintings-Paintings,0,4,Painting
10,0,1,3,4.733,Paintings-Paintings,0,6,Painting
10,1,1,3,1.606,Paintings-Paintings,1,6,Painting
10,1,0,2,5.791,Paintings-Paintings,0,2,Painting
10,1,0,1,8.636,Paintings-Paintings,0,3,Painting
10,0,0,3,4.405,Paintings-Paintings,1,1,Painting
10,0,0,3,8.49,Paintings-Paintings,1,1,Painting
10,0,0,3,3.578,Paintings-Paintings,1,1,Painting
10,0,0,3,3.521,Paintings-Paintings,1,1,Painting
10,1,0,3,3.626,Paintings-Paintings,0,1,Painting
10,0,1,3,1.84,Paintings-Paintings,0,6,Painting
10,1,1,1,6.287,Paintings-Paintings,1,4,Painting
10,1,1,3,2.185,Paintings-Paintings,1,6,Painting
10,1,1,3,1.082,Paintings-Paintings,1,6,Painting
10,0,0,2,4.585,Paintings-Paintings,1,2,Painting
10,0,0,3,3.368,Paintings-Paintings,1,1,Painting
10,1,0,2,5.849,Paintings-Paintings,0,2,Painting
