Subj_idx,Stimulus,Response,Confidence,RT_decConf,Accuracy,Raw_Response,StimulusType
1,1,1,2,6.842,1,5,Painting
1,0,0,2,4.011,1,2,Painting
1,0,0,2,4.179,1,2,Painting
1,1,1,3,1.613,1,6,Painting
1,1,1,3,0.92,1,6,Painting
1,1,1,3,1.608,1,6,Painting
1,1,1,3,1.232,1,6,Painting
1,0,0,2,1.918,1,2,Painting
1,1,1,2,4.099,1,5,Painting
1,0,0,1,3.582,1,3,Painting
1,0,0,2,2.608,1,2,Painting
1,0,0,1,5.696,1,3,Painting
1,0,0,2,2.331,1,2,Painting
1,0,0,2,1.939,1,2,Painting
1,1,1,3,1.598,1,6,Painting
1,1,1,3,1.203,1,6,Painting
1,1,1,3,1.147,1,6,Painting
1,1,1,3,1.417,1,6,Painting
1,0,1,1,3.676,0,4,Painting
1,0,0,1,1.857,1,3,Painting
1,1,0,1,3.676,0,3,Painting
1,0,0,2,2.177,1,2,Painting
1,1,1,3,1.532,1,6,Painting
1,1,1,3,0.82,1,6,Painting
1,1,1,3,0.879,1,6,Painting
1,1,1,3,0.963,1,6,Painting
1,0,0,2,4.236,1,2,Painting
1,1,1,3,1.312,1,6,Painting
1,1,1,2,2.222,1,5,Painting
1,0,0,3,1.696,1,1,Painting
1,0,0,3,1.355,1,1,Painting
1,0,0,3,1.089,1,1,Painting
1,1,1,2,2.529,1,5,Painting
1,1,1,3,1.025,1,6,Painting
1,0,0,3,2.371,1,1,Painting
1,0,0,2,2.835,1,2,Painting
1,0,1,3,1.393,0,6,Painting
1,1,1,3,0.814,1,6,Painting
1,1,1,1,2.377,1,4,Painting
1,0,0,3,1.804,1,1,Painting
1,0,0,3,1.292,1,1,Painting
1,1,1,3,1.636,1,6,Painting
1,1,1,3,0.865,1,6,Painting
1,0,0,2,3.204,1,2,Painting
1,0,0,2,1.276,1,2,Painting
1,1,1,2,2.289,1,5,Painting
1,0,0,2,2.001,1,2,Painting
1,0,0,2,2.073,1,2,Painting
1,0,1,1,3.103,0,4,Painting
1,1,1,1,3.665,1,4,Painting
1,0,1,1,3.812,0,4,Painting
1,0,0,2,2.343,1,2,Painting
1,1,1,3,1.474,1,6,Painting
