Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Accuracy,StimulusType
1,1,1,3,3.396,0.886,1,Word
1,1,1,3,1.402,0.75,1,Word
1,1,0,1,2.777,0.352,0,Word
1,1,1,3,1.338,0.301,1,Word
1,1,0,1,1.197,0.74,0,Word
1,0,0,3,0.858,1.023,1,Word
1,1,1,3,1.292,1.029,1,Word
1,1,1,3,0.898,0.346,1,Word
1,1,1,3,0.589,0.243,1,Word
1,1,1,3,1.164,0.25,1,Word
1,1,1,3,0.871,0.377,1,Word
1,0,0,3,1.616,1.112,1,Word
1,0,0,2,0.869,0.83,1,Word
1,0,0,2,0.75,0.359,1,Word
1,0,0,2,1.063,0.325,1,Word
1,0,0,2,0.759,0.316,1,Word
1,1,1,3,1.053,0.265,1,Word
1,0,0,2,0.933,0.254,1,Word
1,1,1,3,0.946,0.311,1,Word
1,1,1,3,1.094,0.305,1,Word
1,1,1,3,2.621,0.272,1,Word
1,0,0,2,0.857,0.35,1,Word
1,0,0,3,1.529,0.196,1,Word
1,0,0,3,0.867,0.264,1,Word
1,0,0,2,1.136,0.253,1,Word
1,1,1,3,0.878,0.304,1,Word
1,0,0,2,0.882,0.272,1,Word
1,0,0,1,0.853,0.256,1,Word
1,0,0,1,0.643,0.713,1,Word
1,0,0,3,0.659,0.255,1,Word
1,0,0,2,1.131,0.478,1,Word
1,1,1,3,0.91,0.254,1,Word
1,1,1,3,0.829,0.314,1,Word
1,1,1,2,3.195,0.391,1,Word
1,0,0,2,1.005,0.737,1,Word
1,0,0,2,0.738,0.296,1,Word
1,0,0,3,0.59,0.228,1,Word
1,1,1,2,0.969,0.242,1,Word
1,0,0,3,0.75,0.225,1,Word
1,0,0,2,0.807,0.22,1,Word
1,0,0,2,0.965,0.188,1,Word
1,0,0,2,1.164,0.195,1,Word
1,1,1,3,1.74,0.421,1,Word
1,1,1,3,1.771,0.203,1,Word
1,0,0,2,0.979,0.233,1,Word
1,0,0,3,0.623,0.183,1,Word
1,0,0,1,0.62,0.869,1,Word
1,1,1,3,0.849,0.22,1,Word
1,0,0,2,0.742,0.231,1,Word
1,0,0,2,0.621,0.256,1,Word
1,0,0,3,0.939,0.211,1,Word
1,0,0,3,0.813,0.226,1,Word
1,1,1,2,0.833,0.277,1,Word
1,1,0,2,0.95,0.226,0,Word
1,0,0,3,0.695,0.214,1,Word
1,1,1,2,0.879,0.238,1,Word
1,0,0,2,0.729,0.234,1,Word
1,1,1,2,1.15,0.206,1,Word
1,1,1,3,0.782,0.223,1,Word
1,1,1,3,0.766,0.201,1,Word
1,0,0,2,0.72,0.177,1,Word
1,1,0,2,0.744,0.212,0,Word
1,0,0,3,0.622,0.219,1,Word
1,1,1,3,0.796,0.317,1,Word
1,0,0,3,0.784,0.183,1,Word
1,1,1,3,0.791,0.162,1,Word
1,0,0,3,1.411,0.213,1,Word
1,0,0,3,0.677,0.207,1,Word
1,1,1,3,0.884,0.227,1,Word
1,0,0,3,0.709,0.248,1,Word
1,0,0,2,0.627,0.914,1,Word
1,0,0,3,0.606,0.239,1,Word
1,1,1,3,0.843,0.187,1,Word
1,1,1,3,0.695,0.226,1,Word
1,0,0,3,1.114,0.196,1,Word
1,0,0,2,1.035,0.213,1,Word
1,1,0,2,1.02,0.199,0,Word
1,1,1,3,0.629,0.235,1,Word
1,1,1,3,0.725,0.25,1,Word
1,1,1,3,0.72,0.253,1,Word
1,0,0,2,0.787,0.24,1,Word
1,1,1,2,0.868,0.306,1,Word
1,1,1,3,0.935,0.194,1,Word
1,1,1,3,1.305,0.231,1,Word
1,1,1,3,3.546,0.234,1,Word
1,1,1,3,1.634,0.237,1,Word
1,0,0,3,0.724,0.345,1,Word
1,0,0,3,0.788,0.267,1,Word
1,0,0,3,0.697,0.216,1,Word
1,0,0,3,0.56,0.219,1,Word
1,1,0,1,0.663,3.692,0,Word
1,1,0,1,3.313,0.985,0,Word
1,0,0,3,0.865,0.803,1,Word
1,1,1,3,1.089,0.278,1,Word
1,1,1,3,0.817,0.289,1,Word
1,1,1,3,0.699,0.23,1,Word
10,1,0,2,3.49,1.846,0,Word
10,1,1,3,1.924,1.226,1,Word
10,0,0,2,3.118,1.187,1,Word
10,1,0,2,1.364,0.61,0,Word
10,1,1,3,1.65,0.876,1,Word
10,1,0,1,1.438,0.642,0,Word
10,0,0,2,1.311,0.698,1,Word
10,1,0,2,1.241,0.716,0,Word
10,0,0,2,1.923,0.335,1,Word
10,1,0,2,1.681,0.373,0,Word
10,1,0,1,2.34,0.528,0,Word
10,0,0,2,1.297,1.848,1,Word
10,1,0,3,1.626,0.704,0,Word
10,1,0,3,1.619,0.9,0,Word
10,0,0,3,1.724,1.569,1,Word
10,0,0,3,1.318,0.356,1,Word
10,1,0,1,4.557,0.521,0,Word
10,1,1,2,1.52,1.348,1,Word
10,0,0,1,3.69,1.592,1,Word
10,0,0,3,2.372,1.056,1,Word
10,1,1,2,1.633,0.765,1,Word
10,1,1,1,3.163,0.377,1,Word
10,1,1,2,2.324,0.52,1,Word
10,0,0,2,1.38,0.547,1,Word
10,1,0,2,2.525,1.991,0,Word
10,1,0,3,0.997,0.903,0,Word
10,0,0,1,3.325,0.521,1,Word
10,0,0,2,1.491,1.734,1,Word
10,1,1,3,1.533,0.739,1,Word
10,1,0,1,1.806,1.15,0,Word
10,0,0,1,2.047,0.724,1,Word
10,0,0,1,2.617,0.902,1,Word
10,0,0,1,1.5,0.344,1,Word
10,1,0,2,3.966,1.334,0,Word
10,0,0,2,1.45,0.818,1,Word
10,1,1,2,1.765,0.735,1,Word
10,0,1,1,1.964,0.652,0,Word
10,0,0,2,1.475,1.031,1,Word
10,0,0,3,1.231,0.664,1,Word
10,1,0,3,1.354,0.59,0,Word
10,0,0,3,1.377,1.354,1,Word
