Subj_idx,Stimulus,Response,Confidence,RT_decConf,Accuracy,Raw_Response,StimulusType
1,1,1,2,6.931,1,5,Word
1,1,1,2,4.051,1,5,Word
1,0,0,2,3.475,1,2,Word
1,0,1,1,5.568,0,4,Word
1,0,0,1,4.001,1,3,Word
1,1,1,2,3.417,1,5,Word
1,1,1,2,4.044,1,5,Word
1,0,1,1,2.907,0,4,Word
1,0,0,2,2.52,1,2,Word
1,0,1,1,5.512,0,4,Word
1,1,0,2,3.486,0,2,Word
1,0,1,1,10.622,0,4,Word
1,1,1,3,1.969,1,6,Word
1,1,0,2,3.953,0,2,Word
1,0,0,1,5.518,1,3,Word
1,1,1,1,3.331,1,4,Word
1,0,0,3,3.188,1,1,Word
1,0,0,3,2.473,1,1,Word
1,1,1,2,2.478,1,5,Word
1,1,0,2,2.036,0,2,Word
1,1,1,1,4.705,1,4,Word
1,1,1,1,2.868,1,4,Word
1,0,0,2,3.785,1,2,Word
1,0,0,1,4.756,1,3,Word
1,1,1,3,3.938,1,6,Word
1,1,1,2,1.996,1,5,Word
1,0,1,1,3.954,0,4,Word
1,1,0,2,4.543,0,2,Word
1,1,0,1,7.026,0,3,Word
1,0,0,1,4.087,1,3,Word
1,0,0,3,2.559,1,1,Word
1,1,0,2,1.432,0,2,Word
1,0,1,1,5.981,0,4,Word
1,1,1,3,2.816,1,6,Word
1,0,1,1,2.954,0,4,Word
1,1,1,1,3.728,1,4,Word
1,0,0,2,2.544,1,2,Word
1,0,0,2,1.491,1,2,Word
1,0,0,1,3.411,1,3,Word
1,1,0,2,2.435,0,2,Word
1,1,0,1,5.679,0,3,Word
1,0,0,3,5.256,1,1,Word
1,1,0,2,7.019,0,2,Word
1,1,0,2,2.557,0,2,Word
1,0,1,1,2.627,0,4,Word
1,0,0,1,2.824,1,3,Word
1,1,1,1,3.538,1,4,Word
1,1,1,2,4.029,1,5,Word
1,0,1,2,4.123,0,5,Word
1,0,1,1,2.427,0,4,Word
1,0,0,1,2.712,1,3,Word
1,0,0,1,2.365,1,3,Word
1,0,0,2,6.286,1,2,Word
1,0,0,2,2.622,1,2,Word
1,1,1,3,2.592,1,6,Word
1,0,0,2,3.598,1,2,Word
1,0,0,1,4.963,1,3,Word
1,0,0,2,4.667,1,2,Word
1,1,1,3,1.817,1,6,Word
1,0,0,3,5.372,1,1,Word
1,1,1,1,1.652,1,4,Word
1,1,0,1,2.82,0,3,Word
1,0,0,2,2.465,1,2,Word
1,0,0,2,1.876,1,2,Word
1,1,0,3,2.577,0,1,Word
1,1,0,3,2.78,0,1,Word
1,1,1,1,2.351,1,4,Word
1,0,0,2,2.412,1,2,Word
1,1,0,1,2.9,0,3,Word
1,0,0,1,2.015,1,3,Word
1,0,0,1,1.482,1,3,Word
1,0,0,1,1.482,1,3,Word
1,1,1,1,1.194,1,4,Word
1,1,1,2,2.639,1,5,Word
1,0,1,1,1.268,0,4,Word
1,1,1,1,1.146,1,4,Word
1,1,0,3,2.708,0,1,Word
1,1,0,2,1.322,0,2,Word
1,1,0,1,2.218,0,3,Word
1,0,1,1,1.661,0,4,Word
1,0,0,1,1.551,1,3,Word
1,1,1,1,1.613,1,4,Word
1,1,1,2,1.399,1,5,Word
1,0,1,2,1.445,0,5,Word
1,0,1,2,1.485,0,5,Word
1,1,0,1,2.941,0,3,Word
1,1,1,1,4.224,1,4,Word
1,1,1,3,1.938,1,6,Word
1,0,0,1,2.381,1,3,Word
1,0,1,2,1.6,0,5,Word
1,1,0,2,1.88,0,2,Word
1,0,0,2,3.255,1,2,Word
1,1,0,1,1.003,0,3,Word
1,1,1,1,1.562,1,4,Word
1,1,1,3,1.562,1,6,Word
1,0,0,1,2.922,1,3,Word
10,1,1,3,3.681,1,6,Word
10,0,0,2,4.777,1,2,Word
10,0,0,3,1.884,1,1,Word
10,0,0,3,1.516,1,1,Word
10,0,0,3,1.361,1,1,Word
10,0,0,3,1.017,1,1,Word
10,1,1,3,2.316,1,6,Word
10,0,0,3,1.969,1,1,Word
10,1,1,2,2.561,1,5,Word
10,0,0,3,3.049,1,1,Word
10,1,1,2,2.61,1,5,Word
