Subj_idx,Stimulus,Response,Confidence,RT_decConf,Condition,Accuracy,Raw_Response,StimulusType
1,0,1,2,3.389,"big, no feedback",0,5,Word
1,1,1,1,3.684,"big, no feedback",1,4,Word
1,0,0,2,2.097,"big, no feedback",1,2,Word
1,0,0,2,3.871,"big, no feedback",1,2,Word
1,1,1,2,2.575,"big, no feedback",1,5,Word
1,1,1,1,3.423,"big, no feedback",1,4,Word
1,1,1,3,1.529,"big, no feedback",1,6,Word
1,0,0,1,1.768,"big, no feedback",1,3,Word
1,0,1,1,1.572,"big, no feedback",0,4,Word
1,0,0,1,2.474,"big, no feedback",1,3,Word
1,0,1,1,2.662,"big, no feedback",0,4,Word
1,1,1,3,1.093,"big, no feedback",1,6,Word
1,1,1,3,0.913,"big, no feedback",1,6,Word
1,1,0,1,1.798,"big, no feedback",0,3,Word
1,1,1,2,1.553,"big, no feedback",1,5,Word
1,1,1,2,2.148,"big, no feedback",1,5,Word
1,0,0,1,1.515,"big, no feedback",1,3,Word
1,0,0,1,1.909,"big, no feedback",1,3,Word
1,0,0,2,1.034,"big, no feedback",1,2,Word
1,1,1,3,1.474,"big, no feedback",1,6,Word
1,1,0,1,3.104,"big, no feedback",0,3,Word
1,0,0,3,1.461,"big, no feedback",1,1,Word
1,1,0,1,1.764,"big, no feedback",0,3,Word
1,1,0,1,2.812,"big, no feedback",0,3,Word
1,0,1,1,3.326,"big, no feedback",0,4,Word
1,0,1,2,3.199,"big, no feedback",0,5,Word
1,0,0,1,4.089,"big, no feedback",1,3,Word
1,1,1,2,1.099,"big, no feedback",1,5,Word
1,1,1,2,1.679,"big, no feedback",1,5,Word
1,0,0,2,2.028,"big, no feedback",1,2,Word
1,0,1,1,1.273,"big, no feedback",0,4,Word
1,1,0,1,1.381,"big, no feedback",0,3,Word
1,0,0,1,5.092,"big, no feedback",1,3,Word
1,0,1,2,1.276,"big, no feedback",0,5,Word
1,1,1,2,1.86,"big, no feedback",1,5,Word
1,1,1,3,1.836,"big, no feedback",1,6,Word
1,0,0,3,1.92,"big, no feedback",1,1,Word
1,0,0,2,2.664,"big, no feedback",1,2,Word
1,0,0,2,1.956,"big, no feedback",1,2,Word
1,0,0,1,2.025,"big, no feedback",1,3,Word
1,1,0,1,1.664,"big, no feedback",0,3,Word
1,0,1,2,1.185,"big, no feedback",0,5,Word
1,0,1,1,2.579,"big, no feedback",0,4,Word
1,1,1,3,1.117,"big, no feedback",1,6,Word
1,0,1,2,1.419,"big, no feedback",0,5,Word
1,1,1,2,0.942,"big, no feedback",1,5,Word
1,0,0,1,1.331,"big, no feedback",1,3,Word
1,1,0,1,1.783,"big, no feedback",0,3,Word
1,0,1,1,0.975,"big, no feedback",0,4,Word
1,0,1,1,1.763,"big, no feedback",0,4,Word
1,0,0,1,1.503,"big, no feedback",1,3,Word
1,1,1,2,0.854,"big, no feedback",1,5,Word
1,0,1,1,1.999,"big, no feedback",0,4,Word
1,0,0,2,1.168,"big, no feedback",1,2,Word
1,0,0,2,1.752,"big, no feedback",1,2,Word
1,0,0,2,1.592,"big, no feedback",1,2,Word
1,0,0,1,2.467,"big, no feedback",1,3,Word
1,0,1,2,1.464,"big, no feedback",0,5,Word
1,0,1,2,2.315,"big, no feedback",0,5,Word
1,0,0,2,2.281,"big, no feedback",1,2,Word
1,0,0,2,3.806,"big, no feedback",1,2,Word
1,0,0,2,1.881,"big, no feedback",1,2,Word
1,0,0,1,1.586,"big, no feedback",1,3,Word
1,1,1,2,1.416,"big, no feedback",1,5,Word
1,1,1,1,1.33,"big, no feedback",1,4,Word
1,1,1,1,2.302,"big, no feedback",1,4,Word
1,1,1,3,0.92,"big, no feedback",1,6,Word
1,1,1,3,1.183,"big, no feedback",1,6,Word
1,1,1,1,1.552,"big, no feedback",1,4,Word
1,0,0,3,1.533,"big, no feedback",1,1,Word
1,1,0,1,1.867,"big, no feedback",0,3,Word
1,1,1,1,3.66,"big, no feedback",1,4,Word
1,1,1,2,5.576,"big, no feedback",1,5,Word
1,1,1,2,1.158,"big, no feedback",1,5,Word
1,1,1,1,1.288,"big, no feedback",1,4,Word
1,1,1,3,1.161,"big, no feedback",1,6,Word
1,0,1,1,1.16,"big, no feedback",0,4,Word
1,1,1,2,1.042,"big, no feedback",1,5,Word
1,0,0,2,1.692,"big, no feedback",1,2,Word
1,1,0,2,2.607,"big, no feedback",0,2,Word
1,1,0,1,0.965,"big, no feedback",0,3,Word
1,0,0,1,1.69,"big, no feedback",1,3,Word
1,0,0,1,2.224,"big, no feedback",1,3,Word
1,1,1,2,1.361,"big, no feedback",1,5,Word
1,0,0,1,1.428,"big, no feedback",1,3,Word
1,1,1,1,2.244,"big, no feedback",1,4,Word
1,0,0,1,1.614,"big, no feedback",1,3,Word
1,1,1,2,2.085,"big, no feedback",1,5,Word
1,1,1,3,1.076,"big, no feedback",1,6,Word
1,1,1,3,2.196,"big, no feedback",1,6,Word
1,0,1,1,3.922,"big, no feedback",0,4,Word
1,0,0,1,1.515,"big, no feedback",1,3,Word
1,0,0,1,2.429,"big, no feedback",1,3,Word
1,1,1,1,1.822,"big, no feedback",1,4,Word
1,1,1,1,2.923,"big, no feedback",1,4,Word
1,0,0,2,1.392,"big, no feedback",1,2,Word
1,1,1,2,1.182,"big, no feedback",1,5,Word
1,1,1,1,1.613,"big, no feedback",1,4,Word
1,0,0,2,1.897,"big, no feedback",1,2,Word
1,0,0,1,2.966,"big, no feedback",1,3,Word
1,1,1,2,1.292,"big, no feedback",1,5,Word
1,1,1,1,3.316,"big, no feedback",1,4,Word
1,1,0,1,1.104,"big, no feedback",0,3,Word
1,1,0,1,1.546,"big, no feedback",0,3,Word
1,0,0,1,4.965,"big, no feedback",1,3,Word
1,0,1,1,3.97,"big, no feedback",0,4,Word
1,0,0,1,2.007,"big, no feedback",1,3,Word
1,0,1,1,3.67,"big, no feedback",0,4,Word
1,0,1,1,1.693,"big, no feedback",0,4,Word
1,1,1,2,1.081,"big, no feedback",1,5,Word
1,0,1,3,1.11,"big, no feedback",0,6,Word
1,0,1,1,1.034,"big, no feedback",0,4,Word
1,0,1,2,1.151,"big, no feedback",0,5,Word
1,0,1,1,1.167,"big, no feedback",0,4,Word
1,1,1,2,1.158,"big, no feedback",1,5,Word
1,1,0,1,2.632,"big, no feedback",0,3,Word
1,0,0,1,1.931,"big, no feedback",1,3,Word
1,1,0,1,1.397,"big, no feedback",0,3,Word
1,1,0,2,2.179,"big, no feedback",0,2,Word
1,1,1,3,1.014,"big, no feedback",1,6,Word
1,1,1,3,0.958,"big, no feedback",1,6,Word
1,0,1,2,1.78,"big, no feedback",0,5,Word
1,0,0,1,4.476,"big, no feedback",1,3,Word
1,1,1,3,1.81,"big, no feedback",1,6,Word
1,1,1,1,1.321,"big, no feedback",1,4,Word
1,0,1,1,3.89,"big, no feedback",0,4,Word
1,0,1,2,2.108,"big, no feedback",0,5,Word
1,0,1,2,1.152,"big, no feedback",0,5,Word
1,0,0,1,1.473,"big, no feedback",1,3,Word
1,1,0,2,1.023,"big, no feedback",0,2,Word
1,1,1,3,1.121,"big, no feedback",1,6,Word
1,0,1,1,2.722,"big, no feedback",0,4,Word
1,1,1,3,0.986,"big, no feedback",1,6,Word
1,0,0,2,1.329,"big, no feedback",1,2,Word
1,1,0,1,1.28,"big, no feedback",0,3,Word
1,1,1,2,2.29,"big, no feedback",1,5,Word
1,0,0,2,4.019,"big, no feedback",1,2,Word
1,0,0,1,1.229,"big, no feedback",1,3,Word
1,1,1,3,1.585,"big, no feedback",1,6,Word
1,1,0,1,1.713,"big, no feedback",0,3,Word
1,1,1,2,1.849,"big, no feedback",1,5,Word
1,1,1,1,2.534,"big, no feedback",1,4,Word
1,1,0,1,1.662,"big, no feedback",0,3,Word
1,1,0,1,1.017,"big, no feedback",0,3,Word
1,1,1,3,1.703,"big, no feedback",1,6,Word
1,0,0,1,1.826,"big, no feedback",1,3,Word
1,1,1,2,3.055,"big, no feedback",1,5,Word
1,0,0,2,1.251,"big, no feedback",1,2,Word
1,1,1,2,2.089,"big, no feedback",1,5,Word
1,1,1,2,1.47,"big, no feedback",1,5,Word
26,0,0,1,6.428,"big, no feedback",1,3,Word
26,0,0,2,2.293,"big, no feedback",1,2,Word
26,0,0,2,3.253,"big, no feedback",1,2,Word
26,0,0,3,3.49,"big, no feedback",1,1,Word
26,1,1,1,4.968,"big, no feedback",1,4,Word
26,1,1,2,3.243,"big, no feedback",1,5,Word
26,1,1,3,2.177,"big, no feedback",1,6,Word
26,0,1,1,4.401,"big, no feedback",0,4,Word
26,1,1,1,3.943,"big, no feedback",1,4,Word
26,1,0,1,6.682,"big, no feedback",0,3,Word
26,1,1,3,3.174,"big, no feedback",1,6,Word
26,1,1,3,2.426,"big, no feedback",1,6,Word
26,0,0,2,5.687,"big, no feedback",1,2,Word
26,0,0,1,5.045,"big, no feedback",1,3,Word
26,1,1,3,1.97,"big, no feedback",1,6,Word
26,0,0,1,6.978,"big, no feedback",1,3,Word
26,1,1,2,2.341,"big, no feedback",1,5,Word
26,0,1,1,3.5,"big, no feedback",0,4,Word
26,0,0,2,4.321,"big, no feedback",1,2,Word
26,0,1,2,7.145,"big, no feedback",0,5,Word
26,1,1,3,1.816,"big, no feedback",1,6,Word
26,1,1,3,1.424,"big, no feedback",1,6,Word
26,0,1,2,7.212,"big, no feedback",0,5,Word
26,1,1,3,2.187,"big, no feedback",1,6,Word
26,0,0,3,5.037,"big, no feedback",1,1,Word
26,1,1,2,2.525,"big, no feedback",1,5,Word
26,1,1,3,1.805,"big, no feedback",1,6,Word
26,0,0,1,6.647,"big, no feedback",1,3,Word
26,0,0,2,2.506,"big, no feedback",1,2,Word
26,1,1,1,5.305,"big, no feedback",1,4,Word
26,1,1,3,3.538,"big, no feedback",1,6,Word
26,1,1,3,1.416,"big, no feedback",1,6,Word
26,1,1,3,1.564,"big, no feedback",1,6,Word
26,1,1,2,5.546,"big, no feedback",1,5,Word
26,0,0,2,9.643,"big, no feedback",1,2,Word
26,0,0,1,6.201,"big, no feedback",1,3,Word
26,1,1,3,1.938,"big, no feedback",1,6,Word
26,0,0,2,5.772,"big, no feedback",1,2,Word
26,1,1,3,1.7,"big, no feedback",1,6,Word
26,1,1,3,1.643,"big, no feedback",1,6,Word
26,1,1,3,1.184,"big, no feedback",1,6,Word
26,0,0,2,3.736,"big, no feedback",1,2,Word
26,0,1,1,8.106,"big, no feedback",0,4,Word
26,0,0,3,2.259,"big, no feedback",1,1,Word
26,0,0,3,2.98,"big, no feedback",1,1,Word
26,0,1,1,3.975,"big, no feedback",0,4,Word
26,1,1,3,1.36,"big, no feedback",1,6,Word
26,1,1,3,1.36,"big, no feedback",1,6,Word
26,1,1,3,1.475,"big, no feedback",1,6,Word
26,1,1,3,1.42,"big, no feedback",1,6,Word
26,1,0,1,6.834,"big, no feedback",0,3,Word
26,0,0,2,3.242,"big, no feedback",1,2,Word
26,1,1,2,2.032,"big, no feedback",1,5,Word
26,0,0,2,3.746,"big, no feedback",1,2,Word
26,1,0,1,3.14,"big, no feedback",0,3,Word
26,1,1,2,2.682,"big, no feedback",1,5,Word
26,1,1,3,1.192,"big, no feedback",1,6,Word
26,1,1,1,4.994,"big, no feedback",1,4,Word
26,0,0,2,2.064,"big, no feedback",1,2,Word
26,0,1,3,1.595,"big, no feedback",0,6,Word
26,1,1,3,1.087,"big, no feedback",1,6,Word
26,0,0,1,4.149,"big, no feedback",1,3,Word
26,0,0,2,2.822,"big, no feedback",1,2,Word
26,0,0,2,1.466,"big, no feedback",1,2,Word
26,1,1,3,1.37,"big, no feedback",1,6,Word
26,0,0,1,3.969,"big, no feedback",1,3,Word
26,1,1,3,1.313,"big, no feedback",1,6,Word
26,0,0,2,2.832,"big, no feedback",1,2,Word
26,0,0,2,2.768,"big, no feedback",1,2,Word
26,1,1,2,4.191,"big, no feedback",1,5,Word
26,0,0,1,2.967,"big, no feedback",1,3,Word
26,1,1,3,1.32,"big, no feedback",1,6,Word
26,1,1,3,1.155,"big, no feedback",1,6,Word
26,0,1,1,4.864,"big, no feedback",0,4,Word
26,1,0,1,2.911,"big, no feedback",0,3,Word
26,0,0,1,3.118,"big, no feedback",1,3,Word
26,0,0,2,1.88,"big, no feedback",1,2,Word
26,1,1,2,2.148,"big, no feedback",1,5,Word
26,1,1,1,4.116,"big, no feedback",1,4,Word
26,0,0,2,2.513,"big, no feedback",1,2,Word
26,0,1,2,3.434,"big, no feedback",0,5,Word
26,0,1,1,1.917,"big, no feedback",0,4,Word
26,0,1,2,5.052,"big, no feedback",0,5,Word
26,0,1,1,4.397,"big, no feedback",0,4,Word
