Subj_idx,Trial_number,Stimulus,Response,Confidence,RT_dec,RT_conf,Time_finish,Response_angle_in_degrees,Response_raw_in_degrees,RT_start_trial
1053,1,229,0,25,3.3,11.3,14.6,33.2,164.2,14.8
1053,2,335,0,22,3.2,7.3,10.5,295.3,-39.7,2.9
1053,3,125,1,31,2.6,12.5,15.1,113,-12,3.4
1053,4,203,1,20,2.7,9.6,12.3,187.7,-15.3,2.8
1053,5,56,0,19,3,6.1,9.1,115.5,59.5,3.2
1053,6,42,1,20,4.6,12.2,16.8,24.1,-17.9,2.5
1053,7,275,1,17,3.2,3.6,6.8,260.1,-14.9,7
1053,8,155,1,18,3,12.8,15.8,155.8,0.8,4.8
1053,9,96,1,17,2.6,22.1,24.7,110.8,14.8,3.4
1053,10,59,1,18,2.9,6.7,9.6,57,-2,2.5
1053,11,293,0,17,1.8,11.8,13.6,240.4,-52.6,2.8
1053,12,287,1,28,3.3,2.9,6.2,304.7,17.7,2.8
1053,13,312,1,14,2.6,1.9,4.5,301.6,-10.4,3.8
1053,14,117,1,16,2.5,5.8,8.3,117.6,0.6,3.8
1053,15,219,1,18,2.9,3,5.9,236.2,17.2,2.3
1053,16,75,1,26,2.3,23.2,25.5,84.8,9.8,4.1
1053,17,167,1,18,2.2,8.1,10.3,174.2,7.2,3.1
1053,18,175,0,24,1.5,6.2,7.7,213.2,38.2,3.4
1053,19,323,0,35,2.5,11.3,13.8,118.6,155.6,2.2
1053,20,14,1,27,2.4,5.9,8.3,8.4,-5.6,3
1053,21,21,1,30,2,10.5,12.5,18.3,-2.7,1.9
1053,22,127,0,14,2.1,5.5,7.6,109.8,-17.2,2.5
1053,23,137,1,22,1.7,8.1,9.8,116.4,-20.6,2
1053,24,220,0,12,1.6,8.2,9.8,337.9,117.9,2.6
1053,25,171,1,24,1.2,6,7.2,178.5,7.5,1.4
1053,26,200,1,15,3,1.1,4.1,212.6,12.6,3.5
1053,27,324,1,48,2.2,14.5,16.7,280.5,-43.5,3.6
1053,28,66,0,24,2.5,5,7.5,143.7,77.7,2.6
1053,29,227,1,28,1.8,2.7,4.5,247.3,20.3,2.8
1053,30,14,1,25,2.1,14.8,16.9,37.7,23.7,2.3
2230,1,7,0,27,1.6,11.3,12.9,327,-40,10.4
2230,2,217,1,37,3.7,11.9,15.6,230.4,13.4,2.6
2230,3,192,1,20,3.5,12.2,15.7,197.6,5.6,2.9
2230,4,218,1,14,3.4,12.9,16.3,217.5,-0.5,2.7
2230,5,85,0,11,2.8,6.4,9.2,97.8,12.8,3.7
2230,6,113,1,28,2,11.2,13.2,123,10,2.6
2230,7,110,1,23,1.9,12.6,14.5,109.6,-0.4,3.3
2230,8,81,1,12,1.2,10.3,11.5,79.3,-1.7,2.6
2230,9,153,1,14,1.5,5.1,6.6,146.3,-6.7,2.6
2230,10,240,1,16,0.8,6.8,7.6,241.8,1.8,2.1
2230,11,309,0,13,1.6,7.2,8.8,332.7,23.7,1.4
2230,12,254,0,24,0.5,9.1,9.6,229.5,-24.5,1.9
2230,13,15,1,11,0.6,9,9.6,12,-3,2.2
2230,14,86,0,9,0.4,3.5,3.9,69.8,-16.2,0.8
2230,15,327,0,10,1,8.6,9.6,302.3,-24.7,3.1
2230,16,152,1,29,0.9,9,9.9,157,5,1.8
2230,17,118,0,17,1.3,7.1,8.4,85.7,-32.3,1.9
2230,18,42,0,21,0.6,7,7.6,64,22,1.4
2230,19,276,1,10,2.6,4.5,7.1,267.1,-8.9,1.5
2230,20,209,1,29,0.8,15,15.8,218.7,9.7,1.2
2230,21,323,1,17,0.6,9.4,10,313.5,-9.5,2.7
2230,22,296,1,22,0.4,6.8,7.2,308.2,12.2,3.4
2230,23,295,1,14,1.4,6.9,8.3,286.6,-8.4,3.7
2230,24,24,1,19,2.4,7.8,10.2,32.4,8.4,2.1
2230,25,175,0,15,1.1,7,8.1,156.6,-18.4,1.1
2230,26,159,1,12,0.5,10.5,11,157.5,-1.5,2.2
2230,27,40,0,11,1.6,7,8.6,51.5,11.5,2.1
2230,28,282,1,22,1,11.3,12.3,285.7,3.7,3.3
2230,29,217,1,19,1.1,6.2,7.3,223.8,6.8,2
2230,30,227,1,24,0.5,11.8,12.3,223.7,-3.3,4
2554,1,12,0,18,1.8,11.3,13.1,349.7,-22.3,5.1
2554,2,128,1,16,1.8,11,12.8,123,-5,1.8
2554,3,79,0,17,1.6,20.1,21.7,21.8,-57.2,2.7
2554,4,181,0,4,1.8,10.8,12.6,149.6,-31.4,1.3
2554,5,352,1,18,1.6,13.9,15.5,356,4,1.6
2554,6,264,0,14,1.7,26.5,28.2,317.2,53.2,3.3
2554,7,337,1,14,1.2,9.1,10.3,325.3,-11.7,2.4
2554,8,54,1,16,1.8,8.1,9.9,43.4,-10.6,2.5
2554,9,269,0,2,2,7.5,9.5,252.6,-16.4,2
2554,10,136,1,16,4.4,6.2,10.6,120.3,-15.7,1.6
2554,11,113,1,27,1.8,9.6,11.4,122.9,9.9,2.2
2554,12,356,1,23,1.3,8.4,9.7,9.9,13.9,3.6
2554,13,72,1,15,1.7,7,8.7,67.5,-4.5,2.3
2554,14,17,1,25,2.7,6,8.7,359.6,-17.4,3.9
2554,15,142,0,14,1,3.9,4.9,66.4,-75.6,2.8
2554,16,158,1,17,0.9,3.6,4.5,147.4,-10.6,1.5
2554,17,344,1,20,1.4,7.3,8.7,344,0,1.1
2554,18,284,1,16,2.1,9.4,11.5,297.1,13.1,2.3
2554,19,109,1,21,1.8,10.2,12,110.7,1.7,3
2554,20,28,1,17,1,7.7,8.7,22.8,-5.2,2
2554,21,315,0,18,1.2,3.1,4.3,277.1,-37.9,4.7
2554,22,248,1,17,1.8,9.4,11.2,243.8,-4.2,2.5
2554,23,116,1,6,1.7,9.2,10.9,113.3,-2.7,2.5
2554,24,18,0,17,1.5,11.1,12.6,37.4,19.4,2.1
2554,25,178,0,15,1.8,6.6,8.4,162.3,-15.7,3.7
2554,26,126,1,17,1.6,10,11.6,133.8,7.8,1.3
2554,27,173,1,23,1.1,12.8,13.9,166.1,-6.9,2.1
2554,28,110,1,21,1.2,9.6,10.8,90,-20,2.5
2554,29,101,1,19,1.9,8.2,10.1,117,16,1.5
2554,30,164,1,20,1.1,6.2,7.3,157.6,-6.4,1.3
2734,1,357,0,17,7.2,16.6,23.8,47,50,5.5
2734,2,256,0,29,3.4,10.5,13.9,218.5,-37.5,4.4
2734,3,318,0,30,3.1,22.1,25.2,265,-53,2.8
2734,4,143,0,28,2.1,13.3,15.4,95.6,-47.4,2.4
2734,5,160,1,37,4,17,21,176.2,16.2,3.6
2734,6,319,0,27,3.4,26.1,29.5,86,127,3.5
2734,7,197,1,40,3,21.9,24.9,198.6,1.6,2.7
2734,8,337,1,22,2.5,20.4,22.9,328.9,-8.1,3.8
2734,9,296,0,19,2.1,9.4,11.5,266.4,-29.6,2.8
2734,10,262,0,0,2.9,26.9,29.8,323.1,61.1,2
2734,11,92,1,29,3.6,11.4,15,88.5,-3.5,2.7
2734,12,20,0,18,2.1,14.8,16.9,52.9,32.9,5.5
2734,13,276,1,15,1.9,13.5,15.4,272,-4,3
2734,14,337,1,18,1.5,20.8,22.3,320,-17,3.2
2734,15,344,0,18,1,15,16,5.6,21.6,2.9
2734,16,94,1,26,2.2,17.8,20,84.5,-9.5,2.4
2734,17,338,1,28,1.8,17.4,19.2,324,-14,4.8
2734,18,126,1,36,2.7,16.2,18.9,104.4,-21.6,3.3
2734,19,87,1,37,1.9,15.7,17.6,74,-13,1.8
2734,20,342,1,32,1.1,16.8,17.9,0.6,18.6,2.4
2734,21,333,1,34,2.2,14.1,16.3,312.4,-20.6,2
2734,22,253,1,41,1.6,23.4,25,265.1,12.1,4.4
2734,23,145,0,16,1.9,10.6,12.5,119.3,-25.7,3.5
2734,24,240,0,40,2.7,21.6,24.3,127.6,-112.4,1.9
2734,25,89,1,37,1.9,18.2,20.1,87.1,-1.9,2.9
2734,26,282,1,36,2.4,12.4,14.8,296.4,14.4,4.5
2734,27,60,1,47,1,14.5,15.5,15.7,-44.3,3.4
2734,28,306,0,22,1.3,10.4,11.7,259.4,-46.6,2.2
2734,29,61,0,0,1,14.8,15.8,137.4,76.4,2.5
2734,30,335,1,24,1.6,13.3,14.9,333.7,-1.3,1.9
3127,1,202,1,13,2.8,14.8,17.6,200.2,-1.8,1.5
3127,2,42,1,15,0.6,7.8,8.4,56.4,14.4,2.4
