Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Prompt_time
1,1,1,27,0.81847,4.4333,0.04,0.05
1,1,1,11,0.86741,2.4818,0.02,0.75
1,1,1,33,0.8611,3.2099,0.08,1.5
1,1,1,32,0.80597,3.0317,0.16,1.5
1,2,2,76,0.90268,2.1679,0.02,0.05
1,1,2,81,0.93259,2.4977,0.04,0.75
1,1,1,72,0.991,1.9364,0.16,0.05
1,2,1,26,0.78305,1.6669,0.08,0.05
1,2,1,40,0.68217,2.1489,0.02,0.75
1,2,1,24,0.7189,1.6028,0.02,0.05
1,2,2,73,0.69855,1.5073,0.08,0.05
1,1,1,15,0.69519,2.9701,0.16,1.5
1,1,1,79,0.75153,3.0757,0.04,1.5
1,1,1,92,0.76338,2.2424,0.04,0.75
1,2,1,87,0.75649,3.0437,0.02,1.5
1,1,1,65,0.79947,1.6833,0.16,0.05
1,2,2,63,0.79538,3.058,0.04,1.5
1,2,1,83,0.77514,2.4142,0.16,0.75
1,2,1,57,0.80823,3.0709,0.02,1.5
1,1,1,49,0.89098,3.1413,0.08,1.5
1,2,2,61,0.79494,2.2617,0.08,0.75
1,2,1,52,1.0049,2.4593,0.08,0.75
1,2,2,78,0.82298,2.2774,0.16,0.75
1,2,2,88,0.77085,1.667,0.04,0.05
1,2,2,71,0.8837,2.3996,0.08,0.75
1,1,2,47,0.92914,3.2656,0.04,1.5
1,2,1,38,0.76927,2.9827,0.08,1.5
1,1,2,75,0.76458,3.0024,0.02,1.5
1,2,1,71,0.7418,1.6872,0.04,0.05
1,1,2,73,0.73971,2.9777,0.08,1.5
1,1,2,62,0.94065,1.7876,0.02,0.05
1,2,2,62,0.72241,1.5202,0.04,0.05
1,1,1,65,0.78983,1.5507,0.08,0.05
1,1,1,54,0.9193,3.182,0.16,1.5
1,1,2,66,0.85362,1.6636,0.16,0.05
1,2,2,84,0.773,1.5832,0.08,0.05
1,2,2,88,0.72988,2.9925,0.16,1.5
1,1,1,67,0.72146,2.2128,0.02,0.75
1,2,2,83,0.75637,2.2477,0.08,0.75
1,1,1,81,0.75765,2.9957,0.04,1.5
1,2,1,48,0.7807,2.2967,0.16,0.75
1,1,1,51,0.99707,2.5376,0.04,0.75
1,2,1,74,0.77736,3.0646,0.02,1.5
1,1,2,72,1.1445,2.722,0.04,0.75
1,1,1,68,0.93297,2.4735,0.02,0.75
1,2,2,93,0.82592,1.6852,0.16,0.05
1,1,1,77,0.76604,2.2328,0.16,0.75
1,1,2,61,0.9664,1.8626,0.02,0.05
1,2,2,95,0.87113,3.183,0.16,1.5
1,1,2,51,1.0222,2.5258,0.04,0.75
1,2,2,79,0.77576,3.0138,0.02,1.5
1,1,1,75,0.97153,3.2219,0.04,1.5
1,1,1,75,0.77988,3.0303,0.08,1.5
1,2,1,76,0.78107,2.2847,0.08,0.75
1,2,2,74,0.85001,1.7708,0.02,0.05
1,2,2,86,0.78131,3.0562,0.16,1.5
1,1,1,75,0.82946,1.6641,0.02,0.05
1,2,2,84,0.70432,1.4634,0.16,0.05
1,1,1,72,0.72492,1.4488,0.08,0.05
1,1,1,81,0.69633,1.468,0.16,0.05
1,2,2,86,0.6685,1.3675,0.08,0.05
1,2,1,78,0.75638,1.5154,0.02,0.75
1,2,2,65,0.77683,1.6484,0.04,0.05
1,1,1,87,0.74169,2.2207,0.16,0.75
1,2,2,85,0.79804,3.0115,0.04,1.5
1,1,1,89,0.8496,3.1245,0.02,1.5
1,2,2,91,0.80587,2.2726,0.08,0.75
1,1,1,82,0.81358,1.7712,0.04,0.05
1,2,2,53,0.93289,2.375,0.02,0.75
1,1,1,50,0.81789,2.26,0.04,0.75
1,2,2,95,0.77271,2.2149,0.16,0.75
1,2,2,94,0.7982,2.9993,0.08,1.5
1,2,1,80,0.94025,1.8364,0.04,0.05
1,1,2,66,0.75538,1.5777,0.02,0.05
1,2,2,84,0.74101,2.979,0.16,1.5
1,1,1,80,0.7584,2.2005,0.16,0.75
1,2,2,52,0.80555,2.26,0.08,0.75
1,2,1,51,0.77589,3.0139,0.08,1.5
1,2,2,77,0.83196,1.642,0.16,0.05
1,1,1,88,0.76324,2.23,0.16,0.75
1,1,1,71,0.80459,1.6146,0.08,0.05
1,1,2,89,0.74864,1.571,0.02,0.05
1,2,2,61,0.81427,2.2933,0.04,0.75
1,1,1,77,0.78748,2.2542,0.04,0.75
1,1,2,74,0.79315,2.3091,0.02,0.75
1,2,2,75,0.80832,1.6676,0.16,0.05
1,1,2,84,0.72526,1.5968,0.04,0.05
1,1,1,50,0.75506,3.0423,0.02,1.5
1,2,2,52,0.77834,3.0286,0.04,1.5
1,1,1,76,0.78619,1.5593,0.08,0.05
1,2,2,93,0.72661,2.9768,0.04,1.5
1,2,1,46,0.97232,3.2473,0.02,1.5
1,1,1,81,0.74631,2.9966,0.16,1.5
1,2,2,92,0.78803,3.0015,0.08,1.5
1,2,1,73,0.80313,2.3191,0.08,0.75
1,2,2,75,0.73944,2.2185,0.02,0.75
1,2,1,51,0.79268,3.1168,0.16,1.5
1,2,1,68,1.0022,3.2526,0.04,1.5
1,1,2,72,0.7475,2.2266,0.04,0.75
1,1,2,75,1.1639,2.6553,0.02,0.75
1,1,1,77,0.74828,2.974,0.08,1.5
1,2,2,78,0.81061,3.0363,0.08,1.5
1,1,1,78,0.83271,2.3117,0.04,0.75
1,2,2,90,0.75954,1.6557,0.16,0.05
