Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Prompt_time
1,1,2,86,1.6071,0.02,0.05
1,2,2,89,2.1376,0.08,0.75
1,2,2,97,1.513,0.16,0.05
1,1,2,97,1.4607,0.08,0.05
1,1,2,95,2.1163,0.02,0.75
1,1,1,100,2.9684,0.16,1.5
1,2,2,82,2.1307,0.04,0.75
1,1,2,95,1.5555,0.04,0.05
1,1,1,93,1.6004,0.16,0.05
1,2,2,67,1.4713,0.04,0.05
1,2,2,98,2.9477,0.16,1.5
1,1,1,88,2.0925,0.16,0.75
1,1,1,92,1.5389,0.08,0.05
1,2,2,73,2.815,0.04,1.5
1,1,1,51,2.0921,0.04,0.75
1,1,2,54,2.8944,0.08,1.5
1,1,1,83,1.4904,0.02,0.05
1,1,2,51,2.8226,0.08,1.5
1,2,1,52,2.8747,0.04,1.5
1,2,2,70,2.8626,0.02,1.5
1,2,2,85,2.0921,0.08,0.75
1,1,2,51,2.9097,0.02,1.5
1,2,1,71,2.2068,0.02,0.75
1,2,2,76,2.1514,0.16,0.75
1,2,1,97,3.1178,0.04,1.5
1,1,1,83,3.0171,0.16,1.5
1,2,2,91,1.5913,0.02,0.05
1,2,2,86,2.1229,0.04,0.75
1,1,1,95,2.1938,0.16,0.75
1,2,2,91,2.9173,0.02,1.5
1,1,1,70,1.6601,0.08,0.05
1,1,2,69,2.0664,0.08,0.75
1,2,1,69,2.9174,0.04,1.5
1,1,2,83,2.1662,0.02,0.75
1,1,2,74,3.0475,0.08,1.5
1,2,1,75,1.8822,0.08,0.05
1,1,1,73,2.2332,0.08,0.75
1,1,1,91,2.1428,0.16,0.75
1,1,1,61,1.751,0.04,0.05
1,1,1,90,1.5485,0.16,0.05
1,1,1,72,1.5343,0.16,0.05
1,1,2,63,2.1072,0.02,0.75
1,1,1,67,1.6743,0.04,0.05
1,2,1,66,1.4375,0.02,0.05
1,1,1,76,2.8076,0.08,1.5
1,1,1,78,2.8888,0.16,1.5
1,2,2,73,2.989,0.02,1.5
1,1,2,81,2.1541,0.04,0.75
1,2,2,73,1.6684,0.02,0.05
1,1,1,51,2.8665,0.04,1.5
1,1,1,82,2.1749,0.08,0.75
1,1,1,67,2.9644,0.08,1.5
1,1,1,81,2.9656,0.08,1.5
1,1,1,99,1.5485,0.16,0.05
1,2,2,63,1.4876,0.04,0.05
1,1,1,81,1.452,0.08,0.05
1,2,1,50,1.4707,0.02,0.05
1,2,2,79,2.2082,0.04,0.75
1,1,1,89,2.1681,0.08,0.75
1,2,2,84,1.4874,0.08,0.05
1,2,1,67,2.8956,0.02,1.5
1,2,1,50,2.8763,0.02,1.5
1,2,2,86,2.1944,0.16,0.75
1,2,2,68,1.5746,0.04,0.05
1,2,2,51,2.7384,0.16,1.5
1,2,1,74,2.886,0.04,1.5
1,2,2,80,1.5549,0.16,0.05
1,1,1,75,2.0788,0.02,0.75
1,1,2,71,2.3807,0.02,0.75
1,1,1,76,2.932,0.16,1.5
1,1,2,81,2.2317,0.04,0.75
1,2,2,86,2.0657,0.16,0.75
1,1,1,76,2.2048,0.08,0.75
1,2,2,81,2.9066,0.02,1.5
1,1,1,76,2.8686,0.16,1.5
1,2,1,58,2.8963,0.02,1.5
1,2,2,70,3.0295,0.08,1.5
1,1,1,72,1.5651,0.16,0.05
1,1,1,77,2.0835,0.16,0.75
1,2,2,77,1.5246,0.02,0.05
1,1,1,94,2.835,0.16,1.5
1,1,1,79,1.4519,0.16,0.05
1,1,1,69,1.4761,0.04,0.05
1,1,2,76,2.0555,0.02,0.75
1,1,1,66,2.1795,0.02,0.75
1,1,1,80,1.4215,0.02,0.05
1,1,2,51,2.8744,0.08,1.5
1,2,2,79,1.5392,0.08,0.05
1,1,1,60,2.0857,0.04,0.75
1,1,1,79,2.8795,0.04,1.5
1,1,1,83,2.1739,0.04,0.75
1,2,2,87,2.101,0.08,0.75
1,2,2,80,2.9464,0.04,1.5
1,1,1,84,2.1426,0.16,0.75
1,2,2,78,1.5171,0.04,0.05
1,1,1,83,1.5214,0.08,0.05
1,2,2,82,3.0065,0.02,1.5
1,1,1,76,2.8789,0.08,1.5
1,1,1,74,2.2308,0.04,0.75
1,1,1,52,2.8594,0.02,1.5
1,2,2,91,2.15,0.16,0.75
1,2,2,67,2.9462,0.04,1.5
1,1,1,83,2.9782,0.04,1.5
1,2,1,73,1.643,0.04,0.05
1,2,2,69,1.4776,0.04,0.05
1,2,2,78,2.0769,0.08,0.75
1,1,1,87,1.5062,0.16,0.05
1,2,2,81,1.5181,0.08,0.05
1,1,2,74,1.6262,0.08,0.05
1,2,2,86,2.1614,0.08,0.75
1,2,2,84,2.8352,0.08,1.5
1,1,1,80,1.5041,0.16,0.05
1,2,2,84,2.877,0.16,1.5
1,1,2,86,1.4862,0.02,0.05
1,2,1,82,2.1576,0.04,0.75
1,2,2,86,2.0983,0.02,0.75
1,1,1,96,2.1325,0.16,0.75
1,2,2,84,1.5754,0.02,0.05
1,1,2,82,2.1061,0.02,0.75
1,2,2,91,2.8541,0.16,1.5
1,2,2,93,7.3067,0.02,0.05
1,1,1,76,2.6413,0.02,0.75
1,2,2,83,1.7597,0.04,0.05
1,2,2,89,2.8887,0.16,1.5
1,1,2,82,1.5257,0.02,0.05
1,2,2,82,1.5034,0.08,0.05
1,1,1,89,2.9043,0.08,1.5
1,2,2,77,2.9023,0.02,1.5
1,2,1,75,2.2381,0.02,0.75
1,2,2,88,1.4962,0.16,0.05
1,2,2,95,1.4907,0.16,0.05
1,2,1,80,1.5887,0.08,0.05
1,1,1,96,2.7855,0.08,1.5
1,1,1,92,2.8415,0.16,1.5
1,2,2,84,2.9279,0.04,1.5
1,1,1,95,2.903,0.02,1.5
1,2,2,76,2.2679,0.04,0.75
1,2,2,72,2.9298,0.04,1.5
1,2,2,78,2.1485,0.04,0.75
1,1,1,79,1.4744,0.04,0.05
1,2,1,58,2.2272,0.08,0.75
1,1,1,77,2.1075,0.08,0.75
1,1,1,85,2.0515,0.16,0.75
1,1,1,92,2.0786,0.16,0.75
1,1,1,77,2.2773,0.02,0.75
1,2,2,85,1.5135,0.04,0.05
1,2,2,87,2.1081,0.16,0.75
1,1,1,84,2.2312,0.16,0.75
1,1,1,63,2.8839,0.08,1.5
1,1,2,77,1.5074,0.02,0.05
