Subj_idx,Stimulus,Response,Confidence,RT_decConf,DotProportion,DotNumber
1,2,2,60,7.0092,0.27273,11
1,1,1,98,12.25,0.57576,33
1,1,1,100,1.7022,0.8,20
1,2,2,100,1.5187,1,9
1,2,2,82,7.0761,0.11628,43
1,2,2,66,3.5212,0.33333,9
1,1,2,51,4.656,0.058824,51
1,1,1,59,2.787,0.27273,11
1,2,2,94,2.6201,1,5
1,1,1,88,2.6702,0.4,10
1,1,1,99,2.4199,1,9
1,1,1,100,1.2849,0.84615,13
1,2,2,93,3.5045,0.5,12
1,1,1,54,3.7882,0.030303,33
1,1,1,95,3.6881,0.86667,15
1,1,2,68,3.1874,0,16
1,1,1,92,3.6214,0.53846,13
1,2,2,98,2.3196,1,10
1,2,1,50,1.9357,0.16667,12
1,2,2,59,1.9357,0.22222,18
1,1,1,54,3.5046,0.052632,57
1,1,1,100,3.2709,0.6,30
1,1,1,100,1.3851,0.57143,28
1,1,2,52,2.1694,0.15385,26
1,1,2,54,2.7536,0.16667,12
1,1,1,91,2.9038,1,6
1,2,2,100,1.6021,0.51351,37
1,2,2,90,1.4518,0.66667,12
1,1,1,84,1.9858,0.45455,11
1,1,1,57,3.6213,0.037037,27
1,1,1,66,2.4197,0.5,12
1,2,2,58,2.3364,0.027027,37
1,2,2,66,3.004,0.6,10
1,1,1,99,2.8204,0.84615,13
1,1,1,95,1.7355,1,6
1,1,1,100,2.7535,0.55556,9
1,1,2,52,2.3864,0.076923,13
1,1,1,74,1.9691,0.41667,24
1,1,2,59,1.9858,0,20
1,1,1,62,2.5532,0.44444,18
1,2,2,97,2.6535,0.56522,23
1,2,2,100,1.3851,0.83333,24
1,2,2,79,2.3196,0.66667,6
1,1,1,100,5.3069,0.69231,13
1,2,2,88,2.9371,1,10
1,1,1,89,4.1889,0.77778,9
1,2,2,50,2.2695,0.066667,15
1,1,1,84,2.2028,0.36842,19
1,1,1,96,2.0026,0.77778,9
1,1,1,96,2.3363,0.18182,22
1,2,2,100,1.7523,1,14
1,2,2,100,1.5187,0.9,20
1,1,1,99,2.1862,0.46154,26
1,2,1,52,2.3363,0.41176,17
1,2,2,65,3.7382,1,5
1,1,1,56,2.4531,0.38462,13
1,2,2,60,2.1195,0.16667,36
1,2,2,54,1.5853,0.027027,37
1,2,2,73,1.3184,0.5,8
1,2,2,99,3.1039,0.28571,28
1,1,1,89,3.0539,0.69231,13
1,1,1,58,2.4197,0.076923,13
1,1,1,100,1.9524,1,16
1,2,1,50,2.5032,0.14286,14
1,1,1,64,2.5699,0.1,20
1,2,2,93,2.9204,0.77778,9
1,1,1,98,2.2029,0.85714,14
1,2,2,97,3.2209,1,10
1,2,2,100,1.0679,0.33333,15
1,1,1,86,2.1193,0.13043,23
1,2,2,87,1.6854,0.066667,15
1,1,1,63,3.7048,0.33333,9
1,2,2,100,1.2015,0.88889,18
1,1,1,92,2.5532,0.11111,9
1,2,2,89,1.385,0.1,20
1,1,1,100,1.4018,0.76471,17
1,2,2,100,1.7857,0.8,10
1,2,2,87,2.7535,0.3,20
1,1,1,100,1.2181,0.47059,34
1,2,2,100,1.2683,0.6,10
1,1,1,90,2.0026,0.57143,14
1,1,1,90,3.321,0.29412,17
1,1,1,66,2.2195,0.14286,14
1,1,1,100,1.4185,0.85714,14
1,2,2,72,2.4364,0.1,20
1,1,1,86,1.6355,0.75,8
1,1,1,92,1.6688,1,6
1,2,2,63,2.787,0.42857,7
1,1,1,56,3.0038,0.066667,15
1,2,2,85,1.7356,0.23077,26
1,1,1,66,2.2195,0.16667,12
1,2,2,95,1.7522,0.30769,26
1,1,1,100,1.3516,0.83333,12
1,2,2,94,2.303,1,6
1,1,1,60,2.9704,0.019608,51
1,2,2,90,3.1874,0.25926,27
1,1,1,67,3.0207,0.63636,11
1,2,2,82,3.7382,0.5,12
1,2,2,98,1.7023,0.66667,12
1,2,2,51,2.8204,0.12195,41
1,1,1,52,3.6714,0.23077,13
1,2,2,93,1.7688,0.5,12
1,2,2,87,1.4686,0.27273,22
1,1,1,84,3.8718,0.75,8
1,1,1,99,1.1681,1,14
1,1,1,94,2.036,0.57895,19
1,2,2,95,1.5853,0.66667,12
1,1,1,51,2.2029,0,40
1,2,2,79,2.5866,0.25,24
1,2,2,97,2.5699,0.69231,13
1,1,1,90,2.0525,0.75,8
1,2,2,80,3.2375,1,5
1,1,1,99,1.5352,0.081081,37
1,1,1,100,1.1013,0.68421,19
1,2,2,100,1.3851,0.28,25
1,1,1,97,3.3377,1,15
1,2,2,53,1.5686,0.33333,9
1,1,1,94,1.8857,0.81818,11
1,1,1,100,0.98448,0.55556,18
1,2,1,50,1.5186,0.066667,15
1,2,2,100,1.2516,0.88235,17
1,1,1,95,1.385,0.13043,23
1,1,1,100,1.1847,0.73913,23
1,1,1,54,1.8523,0.058824,17
1,2,2,97,2.8538,0.46154,26
1,1,1,100,1.4184,0.85714,14
1,2,2,96,2.1696,0.71429,14
1,1,1,100,1.4519,0.35135,37
1,1,1,90,2.3197,0.26316,19
1,2,2,99,1.9192,0.83333,12
1,2,2,80,2.6035,0.77778,9
