Subj_idx,Stimulus,Response,Confidence,RT_dec,stim1,stim2,incentive,accuracy,feeback_performance,feedback_lottery,block,trial_in_block
1001,1,-1,0.7,877,0.317,0.26,1,0,0,-1,1,1
1001,-1,-1,0.9,698,0.188,0.266,1,1,1,0,1,2
1001,-1,-1,0.7,821,0.414,0.532,3,1,0,1,1,3
1001,-1,-1,0.85,869,0.415,0.493,2,1,0,1,1,4
1001,-1,-1,0.85,793,0.083,0.113,1,1,1,0,1,5
1001,1,1,0.6,1419,0.451,0.354,3,1,0,1,1,6
1001,-1,-1,0.8,881,0.269,0.321,3,1,0,1,1,7
1001,-1,-1,0.6,4633,0.201,0.232,2,1,0,1,1,8
1001,1,1,0.6,1738,0.244,0.235,2,1,0,1,1,9
1001,-1,-1,0.65,937,0.402,0.48,3,1,0,-1,1,10
1001,1,1,0.65,1689,0.488,0.391,2,1,1,0,1,11
1001,1,1,0.6,2115,0.507,0.476,3,1,0,1,1,12
1001,1,1,0.6,1649,0.42,0.41,3,1,0,-1,1,13
1001,1,-1,0.65,996,0.095,0.038,3,0,0,1,1,14
1001,-1,-1,0.7,1206,0.464,0.543,1,1,1,0,1,15
1001,-1,-1,0.9,718,0.049,0.128,2,1,1,0,1,16
1001,-1,-1,0.9,875,0.032,0.084,1,1,0,1,1,17
1001,1,1,0.65,1310,0.406,0.376,3,1,1,0,1,18
1001,1,1,0.75,814,0.199,0.102,1,1,1,0,1,19
1001,1,1,0.6,1717,0.191,0.182,3,1,0,1,1,20
1001,-1,-1,0.65,1593,0.298,0.328,2,1,0,1,1,21
1001,-1,-1,0.8,922,0.317,0.348,3,1,1,0,1,22
1001,1,-1,0.65,1372,0.128,0.071,1,0,0,1,1,23
1001,1,1,0.7,1197,0.464,0.407,1,1,0,1,1,24
1001,-1,-1,0.65,1420,0.488,0.54,3,1,0,1,1,25
1001,-1,-1,0.7,1711,0.397,0.427,2,1,1,0,1,26
1001,-1,-1,0.75,975,0.361,0.478,1,1,1,0,1,27
1001,-1,-1,0.9,950,0.284,0.362,3,1,1,0,1,28
