Subj_idx,Stimulus,Response,Confidence,RT_dec,Coherence,Accuracy
1,1,1,3.306280052,1.947823746,0.7,1
1,2,1,2.255243695,0.510806173,0.7,0
1,1,1,4.11745351,1.069127193,0.73,1
1,2,2,4.333418956,1.070337201,0.73,1
1,2,2,3.760883436,0.880920458,0.7,1
1,2,1,1.570955792,2.343864899,0.7,0
1,2,2,4.680387505,0.638764142,0.73,1
1,1,1,5.010120016,0.419233412,0.73,1
1,1,1,4.190595371,0.409904467,0.7,1
1,2,2,5.429365649,0.090975386,0.7,1
1,2,2,4.594611572,0.356801861,0.67,1
1,1,1,1.829784358,0.66014331,0.67,1
1,2,2,1.950330135,1.259204148,0.64,1
1,1,1,3.025398375,0.485660298,0.64,1
1,1,1,4.967649449,0.293877643,0.61,1
1,2,2,2.859788825,0.783273089,0.61,1
1,1,1,2.935631839,0.379240152,0.58,1
1,1,1,4.471701852,0.344964592,0.58,1
1,1,1,3.754944744,0.664517393,0.55,1
1,2,2,4.201887907,0.517419445,0.55,1
1,2,1,1.779677031,0.543785094,0.52,0
1,1,1,2.197226058,0.731629389,0.55,1
1,1,2,4.117426143,2.125031926,0.55,0
1,1,1,4.210986806,0.523134428,0.58,1
1,1,1,2.84498534,0.286762874,0.58,1
1,2,1,3.667410809,1.407726968,0.55,0
1,2,2,2.849173412,0.727880895,0.58,1
1,2,1,5.09478059,0.795896951,0.58,0
1,2,2,4.535297598,0.402687006,0.61,1
1,2,2,4.441860485,1.164874258,0.61,1
1,2,2,1.595266832,2.350983818,0.58,1
1,1,1,3.234731654,0.783808182,0.58,1
1,1,1,3.897479903,0.60741453,0.55,1
1,1,1,3.132259834,0.52894157,0.55,1
1,1,2,1.063217086,1.325662172,0.52,0
1,1,1,1.915734385,0.865140164,0.55,1
1,2,2,2.843956035,0.492138649,0.55,1
1,2,2,4.204059389,1.097927262,0.52,1
1,2,2,2.652543468,0.47872978,0.52,1
1,2,1,4.69940279,0.242753188,0.5,0
1,2,2,1.625032588,0.514343844,0.53,1
1,2,1,1.564133109,1.246241899,0.53,0
1,2,1,1.941619966,1.349461497,0.56,0
1,1,1,5.228945912,0.323916299,0.59,1
1,2,2,5.352384293,0.332083073,0.59,1
1,1,1,5.511120392,0.392433744,0.56,1
1,2,1,4.390349862,0.243115112,0.56,0
1,1,1,3.969658096,0.28461549,0.59,1
1,2,2,1.89663273,2.059965701,0.59,1
1,2,2,3.172105836,0.746744869,0.56,1
1,1,1,1.947552861,1.952274978,0.56,1
1,1,1,4.355988062,0.123665937,0.53,1
1,1,2,4.108465842,1.304149472,0.53,0
1,2,2,2.998627784,0.596921572,0.56,1
1,2,2,5.186271025,0.263112218,0.56,1
1,2,1,5.186728453,0.683616181,0.53,0
1,2,2,5.219522898,0.265914939,0.56,1
1,1,1,5.526030335,0.341833704,0.56,1
1,1,1,4.916531354,0.407130071,0.53,1
1,1,1,4.621543582,0.162984612,0.53,1
1,2,1,1.667376455,1.326455015,0.5,0
1,1,1,2.944869726,0.200785573,0.53,1
1,1,1,4.334360905,0.314591861,0.53,1
1,2,2,2.90909539,0.746864087,0.5,1
1,2,1,4.461822453,0.289139441,0.5,0
1,1,2,3.958020473,0.871088599,0.53,0
1,2,2,4.989099207,0.339261125,0.56,1
1,1,1,1.085948022,0.984602399,0.56,1
1,2,1,4.724752919,0.583485718,0.53,0
1,1,1,5.382670294,0.230245879,0.56,1
1,1,2,5.129670385,0.417922307,0.56,0
1,2,2,5.096727048,0.166911696,0.59,1
1,1,1,5.595334976,0.100569108,0.59,1
1,1,1,4.991123129,0.227680814,0.56,1
1,2,2,4.107237593,1.177363439,0.56,1
1,1,1,5.463255983,0.281620516,0.53,1
1,2,1,4.601344405,0.798185913,0.53,0
1,1,1,4.108960884,1.029298192,0.56,1
1,2,2,5.338225222,0.908728788,0.56,1
1,2,2,2.048824136,1.26318057,0.53,1
1,1,2,5.740656017,0.191339814,0.53,0
1,2,2,5.427977679,0.572034374,0.56,1
1,1,1,4.607254814,0.188388456,0.56,1
1,1,1,2.635072972,0.797637915,0.53,1
1,2,2,4.79163954,0.291936688,0.53,1
1,2,1,2.940130685,1.104522108,0.5,0
1,2,2,4.734719877,0.419954471,0.53,1
1,1,1,5.194132603,0.175116124,0.53,1
1,2,1,5.624299453,0.252246449,0.5,0
1,1,1,4.597444934,0.353033642,0.53,1
1,1,2,5.658735225,1.783208783,0.53,0
1,2,2,5.86572318,0.342196657,0.56,1
1,1,1,2.648220273,0.454488965,0.56,1
1,1,1,4.060349089,1.560367577,0.53,1
1,2,2,2.988006673,0.395984978,0.53,1
1,2,1,3.089707061,0.948119124,0.5,0
1,2,1,5.053943188,0.85252496,0.53,0
1,1,1,5.711594877,0.344995969,0.56,1
1,1,1,4.55811508,0.901814895,0.56,1
1,1,2,3.050415041,0.75972618,0.53,0
1,2,2,5.577992966,1.303802365,0.56,1
1,2,2,2.921115262,2.269958756,0.56,1
1,2,2,1,1.351299673,0.53,1
1,2,1,1.65150203,1.285291923,0.53,0
1,2,2,2.70760834,0.177415409,0.56,1
1,1,1,4.906856128,0.570320361,0.56,1
1,2,1,4.982605993,0.379741759,0.53,0
1,1,1,3.103950714,1.026812848,0.56,1
1,2,1,5.078520556,1.097454099,0.56,0
1,1,1,2.800173256,2.105560327,0.59,1
1,2,1,3.110643189,1.482215116,0.59,0
1,2,2,5.29876435,0.458182204,0.62,1
1,2,2,6,0.163522094,0.62,1
1,2,2,4.639442733,0.205306952,0.59,1
1,1,1,5.211088597,0.257174733,0.59,1
1,2,1,2.906332021,0.958766508,0.56,0
1,1,1,5.987843231,0.330110657,0.59,1
1,2,2,5.460944761,0.20234693,0.59,1
1,1,2,5.779574094,0.328812846,0.56,0
1,2,2,5.119777337,1.291289941,0.59,1
1,1,1,2.926235758,0.23896151,0.59,1
1,2,2,3.142692779,0.621510663,0.56,1
1,2,1,3.880936085,0.329998324,0.56,0
1,1,1,4.919151536,0.255448603,0.59,1
1,1,1,4.872355649,0.364603067,0.59,1
1,1,1,5.206802925,1.622136265,0.56,1
1,1,1,5.1715568,0.01243027,0.56,1
1,2,2,4.073077037,0.281541071,0.53,1
1,1,1,5.642541028,0.189772477,0.53,1
1,1,1,3.617651561,0.202112815,0.5,1
1,2,1,4.459400886,0.241178704,0.5,0
1,1,1,5.808096976,0.327169395,0.53,1
1,2,1,5.376043819,0.164156996,0.53,0
1,2,2,4.308587036,1.522055632,0.56,1
1,2,1,4.369611686,0.34392979,0.56,0
1,1,2,1.063975756,1.070986862,0.59,0
1,1,1,5.309115638,0.253095053,0.62,1
1,2,2,5.017803802,0.321205097,0.62,1
1,1,1,3.933126234,1.341024629,0.59,1
1,1,1,4.079852621,1.317581262,0.59,1
