Subj_idx,Stimulus,Response,Confidence,RT_decConf,Condition,Accuracy,Raw_Response,StimulusType
10,1,0,2,4.564,Words,0,2,Word
10,1,0,1,3.007,Words,0,3,Word
10,0,0,1,1.612,Words,1,3,Word
10,0,1,3,2.128,Words,0,6,Word
10,0,1,3,0.784,Words,0,6,Word
10,0,0,3,1.462,Words,1,1,Word
10,0,0,2,1.696,Words,1,2,Word
10,1,1,3,2.754,Words,1,6,Word
10,0,0,2,2.088,Words,1,2,Word
10,1,0,2,0.762,Words,0,2,Word
10,1,0,2,1.68,Words,0,2,Word
10,0,0,1,1.49,Words,1,3,Word
10,1,0,2,1.74,Words,0,2,Word
10,0,0,2,1.179,Words,1,2,Word
10,1,0,1,1.554,Words,0,3,Word
10,0,1,1,1.113,Words,0,4,Word
10,0,0,1,2.162,Words,1,3,Word
10,1,0,2,1.888,Words,0,2,Word
10,0,1,2,1.29,Words,0,5,Word
10,1,1,1,3.339,Words,1,4,Word
10,0,0,3,0.969,Words,1,1,Word
10,0,0,2,1.16,Words,1,2,Word
10,0,1,2,2.095,Words,0,5,Word
10,0,0,1,1.296,Words,1,3,Word
10,1,0,3,2.498,Words,0,1,Word
10,0,1,3,1.667,Words,0,6,Word
10,1,0,2,2.036,Words,0,2,Word
10,1,1,3,1.033,Words,1,6,Word
10,1,0,2,1.445,Words,0,2,Word
10,1,0,3,2.305,Words,0,1,Word
10,0,1,1,1.497,Words,0,4,Word
10,1,1,3,1.283,Words,1,6,Word
10,0,0,3,1.638,Words,1,1,Word
10,1,1,3,0.872,Words,1,6,Word
10,1,1,3,0.748,Words,1,6,Word
10,0,0,2,1.46,Words,1,2,Word
10,1,1,3,0.879,Words,1,6,Word
10,0,0,2,1.746,Words,1,2,Word
10,1,1,3,1.297,Words,1,6,Word
10,0,0,1,2.787,Words,1,3,Word
10,0,0,3,0.984,Words,1,1,Word
10,1,1,2,1.318,Words,1,5,Word
10,0,1,2,3.031,Words,0,5,Word
10,1,0,3,1.586,Words,0,1,Word
10,0,0,1,1.399,Words,1,3,Word
10,1,1,2,1.717,Words,1,5,Word
10,0,0,2,1.349,Words,1,2,Word
10,1,1,2,3.508,Words,1,5,Word
10,1,0,3,0.938,Words,0,1,Word
10,0,0,2,1.18,Words,1,2,Word
10,1,0,2,1.09,Words,0,2,Word
10,0,0,1,1.324,Words,1,3,Word
10,1,0,3,2.157,Words,0,1,Word
10,0,1,1,3.291,Words,0,4,Word
10,0,1,1,1.195,Words,0,4,Word
10,1,1,3,1.953,Words,1,6,Word
10,0,0,1,4.007,Words,1,3,Word
10,1,0,1,1.833,Words,0,3,Word
10,0,0,2,2.149,Words,1,2,Word
10,0,0,3,1.236,Words,1,1,Word
10,1,1,3,1.673,Words,1,6,Word
10,1,1,1,1.563,Words,1,4,Word
10,0,1,1,1.137,Words,0,4,Word
10,0,1,1,1.77,Words,0,4,Word
10,0,0,2,1.544,Words,1,2,Word
10,0,0,2,2.591,Words,1,2,Word
10,1,1,3,1.404,Words,1,6,Word
10,1,0,3,3.865,Words,0,1,Word
10,1,0,2,1.714,Words,0,2,Word
10,0,1,1,1.154,Words,0,4,Word
10,0,1,2,2.49,Words,0,5,Word
10,1,0,2,1.706,Words,0,2,Word
10,1,1,2,1.355,Words,1,5,Word
10,1,1,2,0.73,Words,1,5,Word
10,0,1,1,4.035,Words,0,4,Word
10,0,0,3,1.669,Words,1,1,Word
10,1,1,3,1.015,Words,1,6,Word
10,1,1,3,0.772,Words,1,6,Word
10,0,1,1,1.851,Words,0,4,Word
10,1,0,3,1.957,Words,0,1,Word
10,0,1,1,1.196,Words,0,4,Word
10,0,0,1,1.17,Words,1,3,Word
10,0,0,1,2.025,Words,1,3,Word
10,1,0,1,2.077,Words,0,3,Word
10,1,0,2,3.806,Words,0,2,Word
10,0,0,2,1.081,Words,1,2,Word
10,0,1,1,1.284,Words,0,4,Word
10,0,0,2,3.254,Words,1,2,Word
10,1,1,2,1.094,Words,1,5,Word
10,1,1,1,1.329,Words,1,4,Word
10,1,1,3,0.913,Words,1,6,Word
10,0,0,3,1.939,Words,1,1,Word
10,0,0,2,2.297,Words,1,2,Word
10,0,1,2,0.947,Words,0,5,Word
10,0,1,1,1.347,Words,0,4,Word
10,1,0,2,1.075,Words,0,2,Word
10,0,0,3,0.941,Words,1,1,Word
10,1,0,2,1.982,Words,0,2,Word
10,0,0,2,0.738,Words,1,2,Word
10,0,0,2,0.764,Words,1,2,Word
10,1,1,2,2.739,Words,1,5,Word
10,0,1,1,1.434,Words,0,4,Word
10,0,0,1,0.886,Words,1,3,Word
10,1,0,3,1.656,Words,0,1,Word
10,1,1,3,1.307,Words,1,6,Word
10,1,1,3,0.988,Words,1,6,Word
10,0,0,1,1.577,Words,1,3,Word
10,1,1,2,3.105,Words,1,5,Word
10,1,0,3,1.015,Words,0,1,Word
10,1,1,1,1.604,Words,1,4,Word
10,1,0,2,1.626,Words,0,2,Word
10,1,1,1,4.286,Words,1,4,Word
10,0,1,1,0.79,Words,0,4,Word
10,1,0,2,1.18,Words,0,2,Word
10,1,0,3,3.458,Words,0,1,Word
10,1,0,2,1.083,Words,0,2,Word
10,0,0,1,1.653,Words,1,3,Word
10,0,1,2,2.664,Words,0,5,Word
10,1,1,3,1.249,Words,1,6,Word
10,0,1,1,1.03,Words,0,4,Word
10,0,1,3,0.898,Words,0,6,Word
10,1,1,3,0.724,Words,1,6,Word
10,1,0,3,0.877,Words,0,1,Word
10,1,0,1,2.096,Words,0,3,Word
10,0,0,2,1.792,Words,1,2,Word
10,1,1,2,1.246,Words,1,5,Word
10,0,0,2,1.218,Words,1,2,Word
10,1,0,3,4.663,Words,0,1,Word
10,1,1,1,1.566,Words,1,4,Word
10,1,1,1,2.565,Words,1,4,Word
10,0,0,1,1.458,Words,1,3,Word
10,1,1,3,0.989,Words,1,6,Word
10,0,0,2,1.131,Words,1,2,Word
10,0,0,2,0.708,Words,1,2,Word
10,1,1,1,1.583,Words,1,4,Word
10,1,0,1,1.924,Words,0,3,Word
10,0,1,2,1.66,Words,0,5,Word
10,1,0,2,1.343,Words,0,2,Word
10,1,0,2,0.926,Words,0,2,Word
10,1,0,1,0.719,Words,0,3,Word
10,0,0,3,2.024,Words,1,1,Word
10,0,1,1,1.468,Words,0,4,Word
10,1,1,2,1.894,Words,1,5,Word
10,0,0,2,1.119,Words,1,2,Word
10,0,0,2,0.92,Words,1,2,Word
10,0,1,2,1.241,Words,0,5,Word
10,0,1,1,1.389,Words,0,4,Word
10,1,0,2,2.394,Words,0,2,Word
10,0,1,3,1.135,Words,0,6,Word
10,1,1,2,1.895,Words,1,5,Word
10,1,1,2,1.392,Words,1,5,Word
10,0,0,2,0.973,Words,1,2,Word
10,0,1,1,1.692,Words,0,4,Word
10,0,0,1,1.245,Words,1,3,Word
10,1,1,1,2.289,Words,1,4,Word
10,0,1,2,0.874,Words,0,5,Word
10,0,0,1,7.101,Words,1,3,Word
10,1,1,3,1.153,Words,1,6,Word
10,0,0,2,1.321,Words,1,2,Word
10,0,0,2,0.761,Words,1,2,Word
10,0,0,1,1.889,Words,1,3,Word
10,0,1,1,2.538,Words,0,4,Word
10,1,0,2,3.065,Words,0,2,Word
10,0,1,1,1.57,Words,0,4,Word
10,1,1,2,1.112,Words,1,5,Word
10,1,1,1,1.345,Words,1,4,Word
10,0,1,2,2.145,Words,0,5,Word
10,0,0,3,0.8,Words,1,1,Word
10,1,0,1,1.142,Words,0,3,Word
10,1,0,1,2.51,Words,0,3,Word
10,0,0,2,2.622,Words,1,2,Word
10,0,0,1,3.305,Words,1,3,Word
10,1,1,2,1.064,Words,1,5,Word
10,1,1,1,1.556,Words,1,4,Word
10,0,1,1,3.915,Words,0,4,Word
10,0,1,2,1.137,Words,0,5,Word
10,0,0,2,1.385,Words,1,2,Word
10,1,1,3,1.591,Words,1,6,Word
10,0,0,2,1.18,Words,1,2,Word
10,1,1,1,2.995,Words,1,4,Word
10,1,0,2,4.575,Words,0,2,Word
10,0,0,2,0.731,Words,1,2,Word
10,1,0,3,0.836,Words,0,1,Word
10,1,1,3,1.575,Words,1,6,Word
10,1,0,2,0.749,Words,0,2,Word
10,1,1,2,2.022,Words,1,5,Word
10,1,0,1,0.904,Words,0,3,Word
10,1,0,3,0.634,Words,0,1,Word
10,0,1,3,1.126,Words,0,6,Word
10,0,1,1,1.007,Words,0,4,Word
10,1,0,2,2.092,Words,0,2,Word
10,1,1,2,1.229,Words,1,5,Word
