Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Side
1,1,1,10,1.591776374,2.3976,0.1,1,1,2
1,0,2,10,0.833542922,2.64579,0.1,1,1,0
1,1,1,10,0.616823116,1.22298,0.1,1,1,1
1,1,1,10,0.625164729,1.68994,0.047863009,1,1,2
1,0,2,8,1.458462175,1.74822,0.023988329,1,1,0
1,0,2,7,3.791806127,1.73162,0.023988329,1,1,0
1,1,1,10,0.96680649,1.08992,0.023988329,1,1,1
1,0,2,10,0.966702953,1.43162,0.012302688,1,1,0
1,1,2,9,1.3000927,1.03991,0.012302688,1,0,2
1,1,1,10,0.658384408,1.12333,0.104712855,1,1,1
1,0,2,8,1.241800964,0.95657,0.050118723,1,1,0
1,1,1,10,0.475138574,1.01486,0.050118723,1,1,2
1,1,1,10,0.941797295,1.33994,0.025118864,1,1,1
1,0,2,8,0.816793135,1.08997,0.012882496,1,1,0
1,1,1,7,1.625114098,1.1734,0.012882496,1,1,2
1,0,2,10,0.916807727,1.4565,0.00676083,1,1,0
1,1,2,7,1.666811069,1.24836,0.00676083,1,0,1
1,0,2,10,1.600232618,1.00668,0.1,1,1,0
1,1,1,10,0.933520535,0.84815,0.1,1,1,2
1,1,1,10,1.016769697,0.87335,0.047863009,1,1,1
1,0,1,6,2.616769925,1.75652,0.023988329,1,0,0
1,0,2,10,1.075069113,1.26485,0.023988329,1,1,0
1,1,1,10,0.625042702,0.83173,0.023988329,1,1,2
1,0,2,6,1.966839201,0.97305,0.012302688,1,1,0
1,0,2,10,0.649980502,0.99012,0.012302688,1,1,0
1,1,2,8,1.116867062,1.45653,0.012302688,1,0,1
1,1,1,10,0.841731219,0.85659,0.104712855,1,1,1
1,1,1,10,0.716839415,0.95648,0.050118723,1,1,1
1,1,1,10,0.900239417,0.95658,0.025118864,1,1,2
1,1,2,9,1.375222116,1.74822,0.012882496,1,0,2
1,0,2,10,1.466704232,1.22325,0.104712855,1,1,0
1,1,1,10,0.658417403,1.78984,0.104712855,1,1,2
1,1,1,10,1.216824197,3.44829,0.050118723,1,1,1
1,1,1,10,0.725119018,0.97319,0.025118864,1,1,2
1,1,1,7,2.524914048,1.14845,0.012882496,1,1,2
1,0,1,6,2.891822711,0.92325,0.00676083,1,0,0
1,0,2,9,0.941845935,1.47329,0.00676083,1,1,0
1,1,1,4,2.400394297,2.12268,0.00676083,1,1,1
1,0,2,9,0.875092551,1.03992,0.003548134,1,1,0
1,1,2,9,2.441600886,1.78166,0.003548134,1,0,1
1,1,1,10,0.94193838,1.33149,0.1,1,1,2
1,1,1,10,0.866846227,1.26492,0.047863009,1,1,1
1,1,1,10,0.85837576,1.01494,0.023988329,1,1,1
1,1,2,7,1.950106482,1.16502,0.012302688,1,0,2
1,0,1,9,1.100072619,1.13982,0.104712855,1,0,0
1,0,2,10,0.783357563,1.49804,0.104712855,1,1,0
1,1,1,10,1.066797758,1.13128,0.104712855,1,1,1
1,1,1,10,0.825353201,1.02295,0.050118723,1,1,2
1,0,2,7,2.058539487,1.25605,0.025118864,1,1,0
1,0,2,9,1.51680767,0.99787,0.025118864,1,1,0
1,0,2,6,2.208432806,2.04812,0.1,2,1,0
1,2,1,10,0.775076252,1.16449,0.1,2,1,2
1,2,1,10,0.716783379,0.97322,0.047863009,2,1,1
1,0,2,8,1.100099925,2.06473,0.023988329,2,1,0
1,2,1,10,1.950309291,1.28095,0.023988329,2,1,2
1,0,1,4,1.683534402,1.43138,0.012302688,2,0,0
1,2,2,6,1.19172654,1.98959,0.012302688,2,0,2
1,2,1,10,0.725173348,1.85624,0.104712855,2,1,1
1,2,1,10,0.77518747,1.49802,0.050118723,2,1,1
1,0,2,10,0.891802515,1.13959,0.025118864,2,1,0
1,2,1,10,0.675068203,1.03965,0.025118864,2,1,2
1,0,2,10,0.866861018,1.08974,0.012882496,2,1,0
1,2,2,8,0.908471519,1.43136,0.012882496,2,0,1
1,2,1,10,0.741805658,1.03961,0.104712855,2,1,2
1,0,2,6,0.800225109,1.63959,0.050118723,2,1,0
1,2,1,10,0.816700691,0.92307,0.050118723,2,1,1
1,2,1,10,0.750084694,0.823,0.025118864,2,1,1
1,0,2,10,0.908567376,1.03131,0.012882496,2,1,0
1,2,1,9,1.041681896,1.44808,0.012882496,2,1,2
1,0,2,10,1.158484675,1.11458,0.00676083,2,1,0
1,0,2,9,0.825230891,1.23962,0.00676083,2,1,0
1,2,2,7,2.158506576,0.98169,0.00676083,2,0,2
1,2,1,10,0.975198734,2.19782,0.1,2,1,2
1,0,2,9,0.97518565,1.02298,0.047863009,2,1,0
1,0,2,4,3.508358822,1.40627,0.047863009,2,1,0
