Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,ContrastLevel,BlockNumber
1,1,0,1,1.251242411,0.456038401,0.053092118,2,1
1,0,0,1,1.24509902,0.279367769,0.053092118,2,1
1,0,1,1,1.197784428,0.415991732,0.035394745,1,1
1,1,0,1,1.954741156,0.344745702,0.035394745,1,1
1,0,1,1,1.444625711,0.400379033,0.035394745,1,1
1,1,0,1,1.273114209,0.488234752,0.035394745,1,1
1,0,0,1,1.600956146,0.471609816,0.035394745,1,1
1,1,0,1,1.435176955,0.408390456,0.053092118,2,1
1,1,1,1,1.288237108,0.263484317,0.035394745,1,1
1,1,1,3,0.679250536,0.640624583,0.070789491,3,1
1,0,0,2,1.288778907,0.639627409,0.070789491,3,1
1,1,1,2,0.809399004,0.711940721,0.053092118,2,1
1,0,1,2,0.738577459,0.415995025,0.070789491,3,1
1,1,1,1,1.273620583,0.343679368,0.053092118,2,1
1,1,1,2,1.894763497,0.416106037,0.035394745,1,1
1,1,1,2,0.744074934,0.520473456,0.070789491,3,1
1,0,0,3,0.611528361,0.448444486,0.070789491,3,1
1,1,1,3,0.80723584,0.471691302,0.053092118,2,1
1,0,1,3,1.065477315,0.448218921,0.053092118,2,1
1,1,1,3,0.707575026,0.391570525,0.053092118,2,1
1,0,0,2,1.532806114,0.368188547,0.070789491,3,1
1,1,1,2,1.445986233,0.56045419,0.053092118,2,1
1,0,0,1,1.403760841,0.631764456,0.053092118,2,1
1,1,1,1,0.74421351,0.623921844,0.035394745,1,1
1,1,1,4,0.607312181,0.615366149,0.070789491,3,1
1,0,1,3,1.268219159,0.615183529,0.053092118,2,1
1,0,1,2,0.718631331,0.407167276,0.035394745,1,1
1,1,1,2,0.775248871,0.607338109,0.053092118,2,1
1,0,0,1,0.908774825,0.440628953,0.070789491,3,1
1,0,0,4,0.748938914,0.383794298,0.070789491,3,1
1,1,1,3,1.252736171,0.631759358,0.053092118,2,1
1,1,1,4,0.695233497,0.511682518,0.070789491,3,1
1,0,0,3,0.716358069,0.50392981,0.070789491,3,1
1,0,1,2,1.008995569,1.047858482,0.035394745,1,1
1,0,0,3,1.004589232,0.35238995,0.035394745,1,1
1,0,1,1,1.26063551,0.407222452,0.035394745,1,1
1,0,0,2,0.775272938,0.799733133,0.053092118,2,1
1,0,0,1,1.853580018,0.488316927,0.035394745,1,1
1,1,0,1,2.166734376,0.591699302,0.053092118,2,1
1,0,0,3,0.75848908,0.360284579,0.070789491,3,1
1,0,0,1,1.727192438,0.408102069,0.035394745,1,1
