Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,BlockNumber,BlockType,ConfCollected
1,0,1,NaN,0.923807687,NaN,0.073268852,1,0,0
1,0,0,NaN,0.927844447,NaN,0.073268852,1,0,0
1,1,1,NaN,0.549749326,NaN,0.073268852,1,0,0
1,0,1,NaN,0.650244616,NaN,0.073268852,1,0,0
1,0,1,NaN,1.263243849,NaN,0.073268852,1,0,0
1,0,1,NaN,0.588102447,NaN,0.073268852,1,0,0
1,1,0,NaN,0.904430247,NaN,0.073268852,1,0,0
1,1,0,NaN,0.861140361,NaN,0.073268852,1,0,0
1,0,1,NaN,0.49050324,NaN,0.073268852,1,0,0
1,1,1,NaN,0.566261335,NaN,0.073268852,1,0,0
1,0,1,NaN,0.507360404,NaN,0.073268852,1,0,0
1,0,1,NaN,0.864329614,NaN,0.073268852,1,0,0
1,1,1,NaN,0.581727239,NaN,0.073268852,1,0,0
1,1,1,NaN,0.498117929,NaN,0.073268852,1,0,0
1,0,1,NaN,0.734669187,NaN,0.073268852,1,0,0
1,1,1,NaN,0.514845002,NaN,0.073268852,1,0,0
1,1,1,NaN,0.528265471,NaN,0.073268852,1,0,0
1,0,1,NaN,0.533393997,NaN,0.073268852,1,0,0
1,0,1,NaN,0.938174118,NaN,0.073268852,1,0,0
1,1,1,NaN,0.622181452,NaN,0.073268852,1,0,0
1,0,1,NaN,0.627490512,NaN,0.073268852,1,0,0
1,1,1,NaN,0.648899616,NaN,0.073268852,1,0,0
1,1,1,NaN,0.525072012,NaN,0.073268852,1,0,0
1,0,1,NaN,0.569290451,NaN,0.073268852,1,0,0
1,0,1,NaN,0.550036919,NaN,0.073268852,1,0,0
1,1,1,NaN,0.443257657,NaN,0.073268852,1,0,0
1,1,1,NaN,0.648725815,NaN,0.073268852,1,0,0
1,0,1,NaN,0.564543189,NaN,0.073268852,1,0,0
1,1,1,NaN,0.570034312,NaN,0.073268852,1,0,0
1,1,1,NaN,0.478928362,NaN,0.073268852,1,0,0
1,0,1,NaN,0.555029478,NaN,0.073268852,1,0,0
1,1,1,NaN,0.664079483,NaN,0.073268852,1,0,0
1,0,1,NaN,0.588411439,NaN,0.073268852,1,0,0
1,1,1,NaN,0.698016269,NaN,0.073268852,1,0,0
1,0,1,NaN,0.62297096,NaN,0.073268852,1,0,0
1,1,1,NaN,0.571310994,NaN,0.073268852,1,0,0
1,0,1,NaN,0.535828557,NaN,0.073268852,1,0,0
1,1,1,NaN,0.604987625,NaN,0.073268852,1,0,0
1,0,0,NaN,0.569837187,NaN,0.073268852,1,0,0
1,0,0,NaN,0.710593317,NaN,0.073268852,1,0,0
1,1,1,NaN,0.682495084,NaN,0.073268852,1,0,0
1,1,0,NaN,1.015603681,NaN,0.073268852,1,0,0
1,1,0,NaN,0.684664218,NaN,0.073268852,1,0,0
1,0,0,NaN,0.977925048,NaN,0.073268852,1,0,0
1,0,1,NaN,0.637748797,NaN,0.073268852,1,0,0
1,0,0,NaN,0.610728349,NaN,0.073268852,1,0,0
1,1,1,NaN,0.503509925,NaN,0.073268852,1,0,0
1,0,0,NaN,0.733275833,NaN,0.073268852,1,0,0
1,1,1,NaN,1.177112101,NaN,0.073268852,1,0,0
1,1,1,NaN,1.030433707,NaN,0.073268852,1,0,0
1,0,0,NaN,0.554833883,NaN,0.073268852,1,0,1
1,1,1,2,0.540996717,0.248053126,0.073268852,1,0,1
1,1,1,3,0.465561843,0.344681833,0.073268852,1,0,1
1,0,0,2,0.55828431,0.312836083,0.073268852,1,0,1
1,0,0,2,0.610973028,0.591716906,0.073268852,1,0,1
1,1,1,3,0.544364585,0.239696505,0.073268852,1,0,1
1,0,0,1,0.788664085,0.264100126,0.073268852,1,0,1
1,0,0,2,0.633144393,0.265014701,0.073268852,1,0,1
1,1,1,3,0.494287902,0.256352481,0.073268852,1,0,1
1,1,1,3,0.499360595,0.20792772,0.073268852,1,0,1
1,1,1,2,0.568552501,0.247434275,0.073268852,1,0,1
1,1,1,3,0.460515752,0.23188439,0.073268852,1,0,1
1,0,0,1,0.713330043,0.256091701,0.073268852,1,0,1
1,0,1,1,0.589916338,0.280328898,0.073268852,1,0,1
1,0,0,1,0.682861961,0.184279462,0.073268852,1,0,1
1,1,1,2,1.215972315,0.208330159,0.073268852,1,0,1
1,0,0,1,0.716592748,0.216018763,0.073268852,1,0,1
1,0,0,1,0.513025444,0.248012848,0.073268852,1,0,1
1,0,0,1,0.574643421,0.240055169,0.073268852,1,0,1
1,0,1,2,0.683378861,0.23231842,0.073268852,1,0,1
1,0,1,2,0.680416708,0.239850957,0.073268852,1,0,1
1,0,0,1,0.68467926,0.287518893,0.073268852,1,0,1
1,1,1,2,0.537732299,0.199228818,0.073268852,1,0,1
1,0,0,1,0.622006816,0.216179099,0.073268852,1,0,1
1,1,1,2,0.571740356,0.391132943,0.073268852,1,0,1
1,1,1,3,0.456163879,0.255188673,0.073268852,1,0,1
1,1,1,2,0.676667548,0.200576122,0.073268852,1,0,1
1,0,0,1,0.841074697,0.232243526,0.073268852,1,0,1
1,1,1,2,0.502608806,0.135057681,0.073268852,1,0,1
1,0,0,1,0.707386154,0.18330158,0.073268852,1,0,1
1,0,0,1,0.736215623,0.288212085,0.073268852,1,0,1
1,1,1,3,0.636073433,0.368298657,0.073268852,1,0,1
1,1,1,2,0.594003751,0.295480456,0.073268852,1,0,1
1,1,1,3,0.590464703,0.191265335,0.073268852,1,0,1
1,1,1,3,0.474784889,0.256179885,0.073268852,1,0,1
1,1,1,4,0.615452141,0.368594589,0.073268852,1,0,1
1,1,1,3,0.483976931,0.3040447,0.073268852,1,0,1
1,0,0,2,0.753062883,0.344427963,0.073268852,1,0,1
1,0,0,1,0.709777935,0.272836858,0.073268852,1,0,1
1,0,1,1,0.738783617,0.384542292,0.073268852,1,0,1
1,1,1,3,0.59143177,0.200690303,0.073268852,1,0,1
1,1,1,3,0.571928943,0.439878249,0.073268852,1,0,1
1,0,0,1,0.58456323,0.272086539,0.073268852,1,0,1
1,0,1,1,0.965812431,0.240148255,0.073268852,1,0,1
1,1,1,1,1.203001888,0.143944451,0.073268852,1,0,1
1,0,1,1,0.75976104,0.151378622,0.073268852,1,0,1
1,0,0,1,0.604526662,0.224186459,0.073268852,1,0,1
1,1,1,2,0.753010223,0.255931445,0.073268852,1,0,1
1,1,1,3,0.55793137,0.224454339,0.073268852,1,0,1
1,1,1,1,0.747227523,0.471972275,0.073268852,1,0,1
1,0,1,2,0.699440446,0.631228718,0.073268852,2,1,1
1,1,1,1,0.648162088,0.191731237,0.073268852,2,1,1
1,1,1,1,0.501031135,0.183248553,0.073268852,2,1,1
1,1,1,2,0.465135147,0.256069407,0.073268852,2,1,1
1,0,0,1,0.589890355,0.191933504,0.073268852,2,1,1
1,1,1,1,0.538888738,0.208827023,0.073268852,2,1,1
1,1,1,2,0.704379305,0.231482539,0.073268852,2,1,1
1,1,1,3,0.396154348,0.280879113,0.073268852,2,1,1
1,0,0,1,1.104940446,0.152408364,0.073268852,2,1,1
1,0,1,2,0.670039142,0.199790464,0.073268852,2,1,1
1,1,1,3,0.523179737,0.271598408,0.073268852,2,1,1
1,1,1,3,0.544076967,0.224254925,0.073268852,2,1,1
1,1,1,2,0.397094861,0.239718671,0.073268852,2,1,1
1,0,0,1,0.624857045,0.216017681,0.073268852,2,1,1
1,1,1,2,0.502019827,0.208503856,0.073268852,2,1,1
1,0,0,3,0.795416631,0.2708815,0.073268852,2,1,1
1,1,1,1,0.639446548,0.320749483,0.073268852,2,1,1
1,0,0,1,0.612291877,0.184313126,0.073268852,2,1,1
1,1,1,2,0.512898024,0.208807194,0.073268852,2,1,1
1,0,1,2,0.486272259,0.224001297,0.073268852,2,1,1
1,1,1,2,0.514681369,0.192637821,0.073268852,2,1,1
1,0,0,2,0.5993717,0.223926038,0.073268852,2,1,1
1,0,0,1,1.084703846,0.399538087,0.073268852,2,1,1
1,0,1,1,0.625371319,0.183853446,0.073268852,2,1,1
1,1,1,2,0.502639933,0.215749807,0.073268852,2,1,1
