Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,BlockNumber,BlockType,ConfCollected,Points
1,0,0,NaN,1.687993981,NaN,0.052266292,1,0,0,3
1,0,0,NaN,0.900892554,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.633399487,NaN,0.052266292,1,0,0,3
1,0,1,NaN,0.653578976,NaN,0.052266292,1,0,0,-3
1,0,0,NaN,0.898272344,NaN,0.052266292,1,0,0,3
1,0,1,NaN,0.510952702,NaN,0.052266292,1,0,0,-3
1,1,1,NaN,0.668527039,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.529141318,NaN,0.052266292,1,0,0,3
1,0,0,NaN,0.854015927,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.5220281,NaN,0.052266292,1,0,0,3
1,0,0,NaN,0.927303972,NaN,0.052266292,1,0,0,3
1,0,0,NaN,0.53189919,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.465092233,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.686018196,NaN,0.052266292,1,0,0,3
1,0,0,NaN,0.586287681,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.479161332,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.708573652,NaN,0.052266292,1,0,0,3
1,0,0,NaN,0.521089041,NaN,0.052266292,1,0,0,3
1,0,0,NaN,0.542302717,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.457826354,NaN,0.052266292,1,0,0,3
1,0,1,NaN,0.686633149,NaN,0.052266292,1,0,0,-3
1,1,1,NaN,0.507805508,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.4169951,NaN,0.052266292,1,0,0,3
1,0,1,NaN,0.565944922,NaN,0.052266292,1,0,0,-3
1,0,0,NaN,0.449692905,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.446943752,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.508055764,NaN,0.052266292,1,0,0,3
1,0,0,NaN,0.480329224,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.429025459,NaN,0.052266292,1,0,0,3
1,1,1,NaN,0.626104745,NaN,0.052266292,1,0,0,3
