Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast,Condition,Accuracy,Gender,Age
N01,RIGHT,LEFT,0,2.93722337787,0.5,IF,0,M,21
N01,RIGHT,RIGHT,0,2.7824599559,0.55,IF,1,M,21
N01,LEFT,RIGHT,0,2.05237505492,0.5,IF,0,M,21
N01,RIGHT,RIGHT,1,2.40449291514,0.55,IF,1,M,21
N01,LEFT,RIGHT,1,1.15782432933,0.55,IF,0,M,21
N01,RIGHT,LEFT,1,2.27115527703,0.6,IF,0,M,21
N01,LEFT,LEFT,1,1.19611596689,0.65,IF,1,M,21
N01,LEFT,RIGHT,1,1.88827218162,0.65,IF,0,M,21
N01,LEFT,RIGHT,1,1.13784523029,0.7,IF,0,M,21
N01,RIGHT,LEFT,1,1.21290473617,0.75,IF,0,M,21
N01,LEFT,RIGHT,1,1.12949166354,0.8,IF,0,M,21
N01,RIGHT,RIGHT,1,0.710570584284,0.85,IF,1,M,21
N01,RIGHT,RIGHT,1,3.13011573488,0.85,IF,1,M,21
N01,LEFT,RIGHT,1,1.44643226918,0.8,IF,0,M,21
N01,RIGHT,RIGHT,1,1.0586572967,0.85,IF,1,M,21
N01,RIGHT,RIGHT,1,1.19642942492,0.85,IF,1,M,21
N01,RIGHT,RIGHT,1,0.913435281953,0.8,IF,1,M,21
N01,LEFT,RIGHT,1,0.89624629938,0.8,IF,0,M,21
N01,RIGHT,RIGHT,1,1.25512085482,0.85,IF,1,M,21
N01,RIGHT,RIGHT,1,0.662918730639,0.85,IF,1,M,21
N01,RIGHT,RIGHT,1,0.729045825079,0.8,IF,1,M,21
N01,RIGHT,RIGHT,1,1.61972156307,0.8,IF,1,M,21
N01,LEFT,RIGHT,1,1.4967721235,0.75,IF,0,M,21
N01,RIGHT,RIGHT,1,0.729304669658,0.8,IF,1,M,21
N01,RIGHT,RIGHT,1,0.787883744109,0.8,IF,1,M,21
N01,RIGHT,LEFT,1,2.55431212205,0.75,IF,0,M,21
N01,RIGHT,RIGHT,1,0.475290588569,0.8,IF,1,M,21
N01,LEFT,RIGHT,1,1.38229884673,0.8,IF,0,M,21
N01,LEFT,RIGHT,1,0.870777989971,0.85,IF,0,M,21
N01,RIGHT,RIGHT,1,0.596595085226,0.9,IF,1,M,21
N01,LEFT,LEFT,1,1.06760705938,0.9,IF,1,M,21
N01,RIGHT,RIGHT,1,0.721323725069,0.85,IF,1,M,21
N01,LEFT,LEFT,1,1.43000104674,0.85,IF,1,M,21
N01,LEFT,RIGHT,1,0.755094401306,0.8,IF,0,M,21
N01,LEFT,LEFT,1,1.04634596873,0.85,IF,1,M,21
N01,RIGHT,RIGHT,1,0.661480010487,0.85,IF,1,M,21
N01,LEFT,LEFT,1,0.680276958039,0.8,IF,1,M,21
N01,LEFT,LEFT,1,0.504789192462,0.8,IF,1,M,21
N01,RIGHT,RIGHT,1,0.44620414474,0.75,IF,1,M,21
N01,RIGHT,RIGHT,1,0.304231624352,0.75,IF,1,M,21
N01,RIGHT,RIGHT,1,0.479589114198,0.7,IF,1,M,21
N01,RIGHT,RIGHT,1,0.499250773108,0.7,IF,1,M,21
N01,LEFT,LEFT,1,0.813243964687,0.65,IF,1,M,21
N01,RIGHT,RIGHT,1,0.429728548974,0.65,IF,1,M,21
N01,LEFT,LEFT,1,0.77103353478,0.6,IF,1,M,21
N01,RIGHT,RIGHT,1,0.279872932937,0.6,IF,1,M,21
N01,RIGHT,RIGHT,1,0.28825409105,0.55,IF,1,M,21
N01,LEFT,LEFT,1,0.304679339984,0.55,IF,1,M,21
N01,LEFT,LEFT,1,0.538244419731,0.5,IF,1,M,21
N01,LEFT,LEFT,0,1.49554787437,0.5,IF,1,M,21
N01,LEFT,LEFT,0,1.11306812102,0.45,IF,1,M,21
N01,RIGHT,RIGHT,0,0.395625925856,0.45,IF,1,M,21
N01,LEFT,LEFT,0,0.388112323824,0.4,IF,1,M,21
N01,LEFT,LEFT,0,0.796578928828,0.4,IF,1,M,21
N01,LEFT,LEFT,0,0.954371969216,0.35,IF,1,M,21
N01,RIGHT,RIGHT,0,0.629579556873,0.35,IF,1,M,21
N01,LEFT,LEFT,0,0.387919185683,0.3,IF,1,M,21
N01,RIGHT,RIGHT,0,0.521550086094,0.3,IF,1,M,21
N01,LEFT,LEFT,0,0.580271382816,0.25,IF,1,M,21
N01,LEFT,LEFT,0,0.521089570597,0.25,IF,1,M,21
N01,LEFT,LEFT,0,0.429897793336,0.2,IF,1,M,21
N01,RIGHT,RIGHT,0,0.52963997284,0.2,IF,1,M,21
N01,RIGHT,RIGHT,0,0.455081658205,0.15,IF,1,M,21
N01,RIGHT,LEFT,0,1.12912501441,0.15,IF,0,M,21
N01,RIGHT,RIGHT,0,0.296420777682,0.2,IF,1,M,21
N01,LEFT,LEFT,0,0.346460543107,0.2,IF,1,M,21
N01,LEFT,LEFT,0,0.463539331686,0.15,IF,1,M,21
N01,LEFT,LEFT,0,0.304027108708,0.15,IF,1,M,21
N01,RIGHT,RIGHT,0,0.421399159823,0.1,IF,1,M,21
N01,LEFT,LEFT,0,0.254677405581,0.1,IF,1,M,21
N01,RIGHT,RIGHT,0,0.7042004494,0.05,IF,1,M,21
N01,LEFT,LEFT,0,0.538134055212,0.05,IF,1,M,21
N01,RIGHT,LEFT,0,0.668754110346,0.01,IF,0,M,21
N01,LEFT,LEFT,0,0.662320259493,0.06,IF,1,M,21
N01,RIGHT,LEFT,0,0.579710458172,0.06,IF,0,M,21
N01,RIGHT,RIGHT,0,0.296507533174,0.11,IF,1,M,21
N01,LEFT,LEFT,0,0.255327076884,0.11,IF,1,M,21
N01,LEFT,LEFT,0,0.304747322341,0.06,IF,1,M,21
N01,RIGHT,RIGHT,0,0.321229175897,0.06,IF,1,M,21
N01,RIGHT,LEFT,0,0.537416117499,0.01,IF,0,M,21
N01,LEFT,LEFT,0,0.329600946978,0.06,IF,1,M,21
N01,LEFT,LEFT,0,0.296477097785,0.06,IF,1,M,21
N01,RIGHT,LEFT,0,0.471875263145,0.01,IF,0,M,21
N01,LEFT,LEFT,0,0.245930736652,0.06,IF,1,M,21
N01,LEFT,LEFT,0,0.163433006499,0.06,IF,1,M,21
N01,LEFT,LEFT,0,0.271447117208,0.01,IF,1,M,21
N01,RIGHT,LEFT,0,0.370686967624,0.01,IF,0,M,21
N01,LEFT,LEFT,0,0.604064598447,0.06,IF,1,M,21
N01,RIGHT,LEFT,0,0.250605013454,0.06,IF,0,M,21
N01,RIGHT,RIGHT,0,0.421682182234,0.11,IF,1,M,21
N01,LEFT,LEFT,0,0.352868509246,0.11,IF,1,M,21
N01,RIGHT,RIGHT,0,0.454800911481,0.06,IF,1,M,21
N01,RIGHT,RIGHT,0,0.453730546637,0.06,IF,1,M,21
N01,LEFT,RIGHT,1,1.95500030718,0.01,IF,0,M,21
N01,RIGHT,RIGHT,0,0.672040013364,0.06,IF,1,M,21
N01,RIGHT,RIGHT,0,0.404041501693,0.06,IF,1,M,21
N01,RIGHT,LEFT,1,1.08803842496,0.01,IF,0,M,21
N01,RIGHT,RIGHT,0,0.695955824573,0.06,IF,1,M,21
N01,RIGHT,RIGHT,0,0.404608683893,0.06,IF,1,M,21
N01,LEFT,RIGHT,0,1.05485882447,0.01,IF,0,M,21
N01,LEFT,LEFT,0,1.33039767621,0.01,IF,1,M,21
N01,LEFT,LEFT,1,1.30460737552,0.01,IF,1,M,21
N01,RIGHT,LEFT,1,0.963019082788,0.01,IF,0,M,21
N01,RIGHT,LEFT,0,1.44617058034,0.06,IF,0,M,21
N01,RIGHT,RIGHT,0,0.613017205382,0.11,IF,1,M,21
N01,RIGHT,LEFT,0,0.745744140819,0.11,IF,0,M,21
N01,RIGHT,RIGHT,0,0.655267457478,0.16,IF,1,M,21
N01,LEFT,LEFT,0,1.41122543253,0.16,IF,1,M,21
N01,LEFT,LEFT,0,0.496427661274,0.11,IF,1,M,21
N01,LEFT,RIGHT,0,0.752777600661,0.11,IF,0,M,21
N01,LEFT,LEFT,0,0.527728790184,0.16,IF,1,M,21
N01,RIGHT,RIGHT,0,0.954761942616,0.16,IF,1,M,21
N01,LEFT,LEFT,0,0.479862749809,0.11,IF,1,M,21
N01,RIGHT,RIGHT,0,0.462200451409,0.11,IF,1,M,21
N01,LEFT,RIGHT,0,0.629711539019,0.06,IF,0,M,21
N01,LEFT,LEFT,0,0.505053726025,0.11,IF,1,M,21
N01,RIGHT,RIGHT,0,0.488338058814,0.11,IF,1,M,21
N01,LEFT,LEFT,0,0.37148170569,0.06,IF,1,M,21
N01,LEFT,RIGHT,0,0.546388919931,0.06,IF,0,M,21
N01,RIGHT,LEFT,0,0.721190320561,0.11,IF,0,M,21
N01,LEFT,RIGHT,0,0.92983749113,0.16,IF,0,M,21
N01,LEFT,RIGHT,0,1.02976911073,0.21,IF,0,M,21
N01,RIGHT,LEFT,0,0.629832712468,0.26,IF,0,M,21
N01,RIGHT,RIGHT,0,0.654131386196,0.31,IF,1,M,21
N01,LEFT,RIGHT,0,1.29631866212,0.31,IF,0,M,21
N01,RIGHT,RIGHT,0,0.445802224567,0.36,IF,1,M,21
N01,LEFT,RIGHT,1,1.98752938304,0.36,IF,0,M,21
N01,RIGHT,RIGHT,1,1.13881632383,0.41,IF,1,M,21
N01,RIGHT,RIGHT,1,0.670536155114,0.41,IF,1,M,21
N01,RIGHT,RIGHT,1,0.49681194569,0.36,IF,1,M,21
N01,RIGHT,RIGHT,1,0.621124158846,0.36,IF,1,M,21
N01,RIGHT,RIGHT,1,0.329105729004,0.31,IF,1,M,21
N01,RIGHT,RIGHT,1,0.462332433788,0.31,IF,1,M,21
N01,RIGHT,RIGHT,1,0.56313644466,0.26,IF,1,M,21
N01,RIGHT,RIGHT,1,0.471151636448,0.26,IF,1,M,21
N01,LEFT,LEFT,1,0.512570172315,0.21,IF,1,M,21
N01,RIGHT,LEFT,1,0.915405344684,0.21,IF,0,M,21
N01,LEFT,LEFT,1,0.379553672392,0.26,IF,1,M,21
N01,RIGHT,RIGHT,1,0.396306601586,0.26,IF,1,M,21
N01,LEFT,LEFT,1,0.470776169328,0.21,IF,1,M,21
N01,LEFT,RIGHT,1,0.754403201398,0.21,IF,0,M,21
N01,LEFT,LEFT,1,0.780511226272,0.26,IF,1,M,21
N01,LEFT,LEFT,1,0.33824208728,0.26,IF,1,M,21
N01,RIGHT,RIGHT,1,0.311653635232,0.21,IF,1,M,21
N01,RIGHT,RIGHT,1,0.613097703317,0.21,IF,1,M,21
N01,RIGHT,RIGHT,1,0.313382204855,0.16,IF,1,M,21
N01,LEFT,LEFT,1,0.396573126083,0.16,IF,1,M,21
N01,RIGHT,RIGHT,1,0.788183548721,0.11,IF,1,M,21
N01,RIGHT,RIGHT,1,0.545413844055,0.11,IF,1,M,21
N01,LEFT,LEFT,1,0.504153174581,0.06,IF,1,M,21
N01,RIGHT,RIGHT,0,0.488339765463,0.06,IF,1,M,21
N01,RIGHT,RIGHT,1,0.970672916155,0.01,IF,1,M,21
N01,LEFT,RIGHT,1,0.692068890203,0.01,IF,0,M,21
N01,LEFT,RIGHT,1,0.520967259305,0.06,IF,0,M,21
N01,RIGHT,LEFT,1,0.638147594873,0.11,IF,0,M,21
N01,LEFT,RIGHT,1,0.755036659306,0.16,IF,0,M,21
N01,LEFT,RIGHT,1,0.546087977476,0.21,IF,0,M,21
N01,RIGHT,RIGHT,1,0.370414469857,0.26,IF,1,M,21
N01,RIGHT,RIGHT,1,0.429712335579,0.26,IF,1,M,21
N01,RIGHT,RIGHT,1,0.504526934586,0.21,IF,1,M,21
N01,RIGHT,RIGHT,1,0.437439555535,0.21,IF,1,M,21
N01,RIGHT,RIGHT,0,0.502715023002,0.16,IF,1,M,21
N01,LEFT,RIGHT,0,0.38809611043,0.16,IF,0,M,21
N01,LEFT,RIGHT,0,0.35428475868,0.21,IF,0,M,21
N01,RIGHT,RIGHT,0,0.312755573308,0.26,IF,1,M,21
N01,LEFT,RIGHT,0,1.10424493649,0.26,IF,0,M,21
N01,RIGHT,RIGHT,0,0.313135306817,0.31,IF,1,M,21
N01,RIGHT,RIGHT,0,0.354951496469,0.31,IF,1,M,21
N01,RIGHT,RIGHT,0,0.254895574879,0.26,IF,1,M,21
N01,LEFT,RIGHT,1,1.19578743353,0.26,IF,0,M,21
N01,RIGHT,RIGHT,1,0.424141204916,0.31,IF,1,M,21
N01,LEFT,LEFT,1,0.745811269851,0.31,IF,1,M,21
N01,RIGHT,RIGHT,1,0.3790843389,0.26,IF,1,M,21
N01,LEFT,LEFT,1,0.822038704995,0.26,IF,1,M,21
N01,LEFT,RIGHT,1,0.404898533132,0.21,IF,0,M,21
N01,RIGHT,LEFT,1,0.654866106343,0.26,IF,0,M,21
N01,RIGHT,RIGHT,1,0.754715521354,0.31,IF,1,M,21
N01,RIGHT,RIGHT,0,0.555415482493,0.31,IF,1,M,21
N01,RIGHT,RIGHT,0,0.496837545652,0.26,IF,1,M,21
N01,RIGHT,RIGHT,1,0.446654704865,0.26,IF,1,M,21
N01,LEFT,RIGHT,1,0.295732137514,0.21,IF,0,M,21
N01,LEFT,RIGHT,1,0.296635248698,0.26,IF,0,M,21
N01,RIGHT,RIGHT,1,0.30405896646,0.31,IF,1,M,21
N01,RIGHT,RIGHT,1,0.287544401828,0.31,IF,1,M,21
N01,LEFT,LEFT,1,0.355149469804,0.26,IF,1,M,21
N01,LEFT,LEFT,1,0.229880101047,0.26,IF,1,M,21
N01,RIGHT,RIGHT,1,0.295639692806,0.21,IF,1,M,21
N01,RIGHT,RIGHT,1,0.246321847895,0.21,IF,1,M,21
N01,LEFT,LEFT,1,0.488132974366,0.16,IF,1,M,21
N01,RIGHT,RIGHT,0,0.296720582061,0.16,IF,1,M,21
N01,RIGHT,RIGHT,0,0.506460588425,0.11,IF,1,M,21
N01,RIGHT,RIGHT,0,0.158724880777,0.11,IF,1,M,21
N01,LEFT,RIGHT,0,0.13821074157,0.06,IF,0,M,21
N01,RIGHT,RIGHT,0,0.138315985911,0.11,IF,1,M,21
N01,RIGHT,RIGHT,0,0.0881138029508,0.11,IF,1,M,21
N01,LEFT,RIGHT,0,0.11262154323,0.06,IF,0,M,21
N01,RIGHT,RIGHT,0,0.171314395266,0.11,IF,1,M,21
N01,LEFT,LEFT,0,0.130086152581,0.11,IF,1,M,21
N01,LEFT,LEFT,0,0.280048435321,0.06,IF,1,M,21
N01,LEFT,LEFT,0,0.305006451206,0.06,IF,1,M,21
