Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy,Feedback,Study
1,2,1,0.6,1.52439,1.68085,1,0,0,1
1,1,1,0.9,1.09177,0.767859,2,1,0,1
1,1,1,0.8,1.13924,0.758984,2,1,0,1
1,2,2,0.8,1.22064,1.28017,2,1,0,1
1,2,1,0.5,2.28339,1.62588,2,0,0,1
1,2,2,0.8,1.1885,0.753059,1,1,0,1
1,2,1,0.7,1.35659,1.13235,2,0,0,1
1,1,1,0.7,1.16421,1.27209,2,1,0,1
1,2,2,0.8,1.30781,1.2117,1,1,0,1
1,1,1,0.7,1.30178,1.13199,2,1,0,1
1,2,2,0.9,1.26767,0.627741,1,1,0,1
1,2,2,0.6,1.48401,1.65575,1,1,0,1
1,1,1,0.9,1.40369,0.947255,2,1,0,1
1,2,2,0.8,1.55597,1.37931,1,1,0,1
1,1,1,0.8,1.63282,2.28484,2,1,0,1
1,2,2,0.6,2.86829,0.739779,2,1,0,1
1,1,1,0.9,1.50352,0.59589,2,1,0,1
1,1,1,0.8,1.15605,0.491846,1,1,0,1
1,1,1,0.7,1.32419,0.843486,2,1,0,1
1,2,2,0.9,1.40411,0.784953,1,1,0,1
1,2,1,0.6,1.60671,0.507721,2,0,0,1
1,2,2,0.7,1.51615,1.04698,2,1,0,1
1,1,1,1,1.9718,0.721076,2,1,0,1
1,2,1,0.8,1.43589,1.00088,1,0,0,1
1,1,1,0.9,1.39641,0.78767,2,1,0,1
1,1,2,0.6,2.10741,0.798272,2,0,0,1
1,2,2,0.9,1.33615,0.756129,1,1,0,1
1,1,1,0.8,1.4396,1.55454,1,1,0,1
1,2,2,0.6,1.46081,0.819306,2,1,0,1
1,1,1,0.8,1.3281,1.54593,1,1,0,1
1,2,1,0.8,1.04329,0.720083,2,0,0,1
1,1,1,0.8,1.09279,0.835947,2,1,0,1
1,2,1,0.8,0.892617,1.11894,2,0,0,1
1,2,2,0.6,1.90943,0.646468,1,1,0,1
1,1,1,0.9,1.41983,0.315285,2,1,0,1
1,1,1,0.7,1.14284,1.79696,1,1,0,1
1,2,2,0.9,1.46412,0.324947,2,1,0,1
1,2,1,0.7,1.76681,1.3645,2,0,0,1
1,1,1,0.8,1.74731,0.763918,2,1,0,1
1,2,1,0.7,1.25829,2.15586,2,0,0,1
1,1,1,0.7,1.26309,1.33191,2,1,0,1
1,2,2,1,1.52444,0.643082,1,1,0,1
1,2,2,0.9,1.24972,0.755549,1,1,0,1
1,1,1,0.9,1.27712,0.392855,1,1,0,1
1,1,1,0.8,1.09985,0.507661,1,1,0,1
1,1,1,0.8,1.49818,1.01922,2,1,0,1
1,1,1,0.9,1.092,0.910609,2,1,0,1
1,2,2,0.9,1.12181,0.355818,1,1,0,1
1,1,1,1,0.609166,1.21136,1,1,0,1
1,2,1,0.7,1.17269,0.603888,2,0,0,1
1,1,1,0.8,1.19596,0.428537,2,1,0,1
1,2,1,0.6,1.05909,0.691129,2,0,0,1
1,1,1,0.7,1.04464,1.0596,1,1,0,1
1,2,2,0.9,1.00472,0.442848,1,1,0,1
1,2,1,0.6,1.31658,0.307928,2,0,0,1
1,2,2,0.8,1.06097,2.1474,2,1,0,1
1,1,1,0.6,4.67552,0.494976,2,1,0,1
1,1,1,0.7,1.12379,0.996035,1,1,0,1
1,2,2,0.6,1.31092,0.920704,1,1,0,1
1,2,2,0.8,1.05593,0.739671,2,1,0,1
1,2,1,0.9,1.18597,0.539053,1,0,0,1
1,1,1,0.6,1.43524,0.993277,2,1,0,1
1,1,1,0.6,1.09397,2.44442,1,1,0,1
1,2,1,0.7,1.82753,2.32137,2,0,0,1
1,1,1,0.9,1.08398,0.819087,2,1,0,1
1,2,2,0.7,1.23781,0.918039,2,1,0,1
1,1,1,0.8,1.03961,1.41158,1,1,0,1
1,1,1,0.8,1.07466,0.571775,1,1,0,1
1,2,2,0.7,1.04422,1.30724,2,1,0,1
1,1,1,0.7,1.20514,0.826026,1,1,0,1
1,1,1,0.9,1.0332,0.491613,1,1,0,1
1,1,1,0.7,1.08338,0.375147,1,1,0,1
1,1,1,0.8,1.09325,0.372049,1,1,0,1
1,1,1,1,1.00375,1.15926,1,1,0,1
1,2,2,0.6,1.46929,1.90748,2,1,0,1
1,1,1,0.8,0.992041,1.32364,1,1,0,1
1,2,1,0.6,1.27323,0.37956,2,0,0,1
1,2,2,0.6,0.635535,0.951433,1,1,0,1
1,1,1,0.7,1.27689,0.440198,1,1,0,1
1,1,1,0.8,0.979638,0.288659,1,1,0,1
1,1,1,0.8,1.26337,0.395989,2,1,0,1
1,1,1,0.6,1.24873,0.395851,2,1,0,1
1,1,1,0.8,1.04225,0.379431,2,1,0,1
1,2,2,0.7,1.07044,0.299241,1,1,0,1
1,2,2,0.7,1.0078,0.332031,2,1,0,1
1,2,2,0.8,0.625443,0.974696,1,1,0,1
1,1,1,0.6,1.02727,0.483101,1,1,0,1
1,1,1,0.6,1.38266,0.478882,2,1,0,1
1,2,1,0.8,4.37521,1.09925,2,0,0,1
1,1,1,0.8,1.33992,0.683552,2,1,0,1
1,2,2,0.9,1.35812,0.722836,2,1,0,1
1,1,1,0.7,1.11613,0.470973,2,1,0,1
1,2,2,0.9,1.13481,0.803301,1,1,0,1
1,2,2,0.8,1.10737,0.974156,2,1,0,1
1,1,1,0.8,1.28004,1.07771,1,1,0,1
1,2,2,0.7,1.09233,0.923482,1,1,0,1
1,2,2,0.9,0.679775,1.29447,2,1,0,1
1,1,1,0.9,1.26746,0.443323,1,1,0,1
1,2,2,0.6,2.63997,0.638046,2,1,0,1
1,1,1,0.7,1.14424,0.339623,2,1,0,1
1,1,1,0.7,1.47561,3.56548,1,1,0,1
1,2,2,0.8,1.36597,0.49369,1,1,0,1
1,1,2,0.6,1.11587,1.39879,2,0,0,1
1,1,1,0.7,1.08906,0.377075,1,1,0,1
1,2,2,0.8,0.845812,0.643118,1,1,0,1
1,2,2,0.9,0.96939,1.35554,1,1,0,1
1,1,1,0.6,1.24476,0.364579,1,1,0,1
1,2,2,0.6,1.03013,0.877321,1,1,0,1
1,1,1,0.7,1.1438,1.06021,1,1,0,1
1,2,2,0.9,1.02874,0.877206,1,1,0,1
1,2,2,0.7,1.06258,1.57949,1,1,0,1
1,1,1,0.8,1.14475,0.359806,2,1,0,1
