Subj_idx,Stimulus_1,Response_1,Confidence_1,RT_decConf_1,SOA_1,Accuracy_1,Stimulus_2,Response_2,Confidence_2,RT_decConf_2,SOA_2,Accuracy_2,Condition_Attention,Training,Task
1,different,different,3,NaN,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,3,NaN,0.45,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,4,NaN,0.383333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,4,NaN,0.35,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,4,NaN,0.3,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,same,4,NaN,0.266666667,0,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,3,NaN,0.366666667,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,3,NaN,0.333333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,3,NaN,0.3,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,same,3,NaN,0.283333333,0,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,4,NaN,0.333333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,3,NaN,0.316666667,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,same,3,NaN,0.3,0,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,3,NaN,0.333333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,2,NaN,0.316666667,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,4,NaN,0.316666667,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,4,NaN,0.3,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,4,NaN,0.3,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,4,NaN,0.3,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,different,3,NaN,0.283333333,0,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,3,NaN,0.3,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,2,NaN,0.3,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,different,2,NaN,0.283333333,0,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,4,NaN,0.3,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,different,3,NaN,0.283333333,0,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,same,3,NaN,0.283333333,0,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,2,NaN,0.3,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,3,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,3,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,4,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,4,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,3,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,4,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,4,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,4,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,3,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,4,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,same,4,NaN,0.283333333,0,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,4,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,same,same,3,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
1,different,different,2,NaN,0.283333333,1,NaN,NaN,NaN,NaN,NaN,NaN,full_attention,1,central_task
