Subj_idx,Stimulus,Response,Confidence,RT_dec,Conf_presses,Condition,Accuracy,Contrast,Orientation
1,0,0,6,0.8830156,2,Discrimination,1,0.045,NaN
1,1,1,3,0.932024,1,Discrimination,1,0.045,NaN
1,1,0,2,1.3326874,1,Discrimination,0,0.045,NaN
1,1,0,5,0.7660649,2,Discrimination,0,0.045,NaN
1,1,1,6,0.7660602,3,Discrimination,1,0.045,NaN
1,1,1,6,0.7331742,3,Discrimination,1,0.045,NaN
1,1,0,1,1.2820248,2,Discrimination,0,0.045,NaN
1,1,1,4,0.9994294,0,Discrimination,1,0.045,NaN
1,1,1,3,1.0987147,4,Discrimination,1,0.045,NaN
1,0,0,3,0.8828483,1,Discrimination,1,0.045,NaN
1,1,1,1,1.3148098,2,Discrimination,1,0.045,NaN
1,1,0,2,1.1826678,3,Discrimination,0,0.045,NaN
1,0,0,2,1.2484622,2,Discrimination,1,0.045,NaN
1,1,0,2,1.3483434,3,Discrimination,0,0.045,NaN
1,0,0,6,0.7157744,4,Discrimination,1,0.045,NaN
1,0,0,6,0.8987626,4,Discrimination,1,0.045,NaN
1,1,1,4,0.8493312,0,Discrimination,1,0.045,NaN
1,1,0,6,1.1653405,4,Discrimination,0,0.045,NaN
1,0,1,3,1.3322857,2,Discrimination,0,0.045,NaN
1,1,1,3,0.9153406,4,Discrimination,1,0.045,NaN
1,1,1,5,0.7324294,2,Discrimination,1,0.045,NaN
1,0,NaN,NaN,NaN,0,Discrimination,NaN,0.045,NaN
1,0,0,1,0.9325069,3,Discrimination,1,0.045,NaN
1,0,0,6,0.7154422,4,Discrimination,1,0.045,NaN
1,1,0,5,0.6828401,1,Discrimination,0,0.045,NaN
1,1,0,2,1.2485406,2,Discrimination,0,0.045,NaN
1,0,0,6,0.6326186,6,Discrimination,1,0.045,NaN
1,0,NaN,NaN,NaN,0,Discrimination,NaN,0.045,NaN
1,1,1,3,0.7823533,1,Discrimination,1,0.045,NaN
1,0,0,2,1.3986022,1,Discrimination,1,0.045,NaN
1,0,0,5,0.8159315,1,Discrimination,1,0.045,NaN
1,0,1,3,0.9491499,2,Discrimination,0,0.045,NaN
1,0,0,6,1.2988141,4,Discrimination,1,0.045,NaN
1,1,0,4,0.8496469,1,Discrimination,0,0.045,NaN
1,0,1,2,0.9983662,1,Discrimination,0,0.045,NaN
1,0,0,5,0.7153249,2,Discrimination,1,0.045,NaN
1,0,0,6,0.749098,4,Discrimination,1,0.045,NaN
1,0,0,6,0.7488152,4,Discrimination,1,0.045,NaN
1,1,0,4,1.0815972,4,Discrimination,0,0.045,NaN
1,0,1,1,0.9158824,1,Discrimination,0,0.045,NaN
1,1,NaN,NaN,NaN,0,Discrimination,NaN,0.045,NaN
1,0,0,6,0.7826257,0,Discrimination,1,0.045,NaN
1,0,1,1,1.1321072,2,Discrimination,0,0.045,NaN
1,1,1,6,0.6997085,5,Discrimination,1,0.045,NaN
1,0,0,5,0.9659478,4,Discrimination,1,0.045,NaN
1,1,1,5,0.682869,3,Discrimination,1,0.045,NaN
1,1,1,3,1.0673968,5,Discrimination,1,0.045,NaN
1,1,1,6,0.7657709,5,Discrimination,1,0.045,NaN
1,1,1,6,0.5996301,3,Discrimination,1,0.045,NaN
1,0,1,4,0.9157806,2,Discrimination,0,0.045,NaN
1,1,0,2,0.882212,1,Discrimination,0,0.045,NaN
1,1,1,2,1.4813533,2,Discrimination,1,0.045,NaN
1,0,1,2,0.9163857,0,Discrimination,0,0.045,NaN
1,1,1,6,0.632924,5,Discrimination,1,0.045,NaN
1,1,1,5,0.6990136,2,Discrimination,1,0.045,NaN
1,0,1,3,0.7829083,3,Discrimination,0,0.045,NaN
1,1,0,2,0.9657317,2,Discrimination,0,0.045,NaN
1,0,0,4,0.7992657,2,Discrimination,1,0.045,NaN
1,0,0,4,0.8162859,5,Discrimination,1,0.045,NaN
1,1,1,6,0.7826236,1,Discrimination,1,0.045,NaN
1,0,0,6,0.7326604,0,Discrimination,1,0.045,NaN
1,1,1,6,0.6659753,1,Discrimination,1,0.045,NaN
1,0,0,4,0.8014702,1,Discrimination,1,0.045,NaN
1,1,1,4,0.8325504,1,Discrimination,1,0.045,NaN
1,1,1,1,0.9831393,0,Discrimination,1,0.045,NaN
1,0,1,1,1.0334197,3,Discrimination,0,0.045,NaN
1,0,0,2,0.9993101,0,Discrimination,1,0.045,NaN
1,0,0,2,0.7652041,4,Discrimination,1,0.045,NaN
1,0,0,3,0.7320851,1,Discrimination,1,0.045,NaN
1,1,1,3,0.9155163,2,Discrimination,1,0.045,NaN
1,0,0,2,0.6665335,1,Discrimination,1,0.045,NaN
1,0,0,3,0.8000832,2,Discrimination,1,0.045,NaN
1,0,1,3,0.9989348,3,Discrimination,0,0.045,NaN
1,1,1,4,0.6331788,1,Discrimination,1,0.045,NaN
1,0,1,1,1.0992052,2,Discrimination,0,0.045,NaN
1,1,1,6,0.5680195,4,Discrimination,1,0.045,NaN
1,0,1,2,1.4323958,1,Discrimination,0,0.045,NaN
1,1,1,1,1.1987733,3,Discrimination,1,0.045,NaN
1,1,1,5,0.6822165,4,Discrimination,1,0.045,NaN
1,0,0,6,0.882133,1,Discrimination,1,0.045,NaN
1,1,1,2,1.1486812,3,Discrimination,1,0.045,NaN
1,0,1,2,0.9993482,1,Discrimination,0,0.045,NaN
1,1,1,3,0.9992685,2,Discrimination,1,0.045,NaN
1,0,0,2,1.0150858,1,Discrimination,1,0.045,NaN
1,1,1,6,0.5995404,4,Discrimination,1,0.045,NaN
1,0,0,3,0.9157309,3,Discrimination,1,0.045,NaN
1,1,0,1,1.0152793,1,Discrimination,0,0.045,NaN
1,0,1,2,0.7830703,3,Discrimination,0,0.045,NaN
1,1,0,2,1.3319002,3,Discrimination,0,0.045,NaN
1,0,1,2,1.4319806,0,Discrimination,0,0.045,NaN
1,0,1,3,1.1983602,3,Discrimination,0,0.045,NaN
1,0,0,2,1.1990989,1,Discrimination,1,0.045,NaN
1,1,0,3,1.2815111,3,Discrimination,0,0.045,NaN
1,1,1,2,0.7823771,2,Discrimination,1,0.045,NaN
1,1,0,2,1.181992,1,Discrimination,0,0.045,NaN
1,0,0,4,0.8323201,4,Discrimination,1,0.045,NaN
1,1,1,3,0.8487141,2,Discrimination,1,0.045,NaN
1,0,0,2,1.3157055,2,Discrimination,1,0.045,NaN
1,1,1,6,0.7152675,2,Discrimination,1,0.045,NaN
1,1,1,4,0.8162661,0,Discrimination,1,0.045,NaN
1,1,1,6,0.9150739,5,Discrimination,1,0.045,NaN
1,1,1,4,0.8162475,2,Discrimination,1,0.045,NaN
1,1,0,2,1.3486032,2,Discrimination,0,0.045,NaN
1,0,1,2,0.865953,2,Discrimination,0,0.045,NaN
1,0,1,2,0.7320817,1,Discrimination,0,0.045,NaN
1,1,0,3,1.0153342,1,Discrimination,0,0.045,NaN
1,1,1,3,0.949055,4,Discrimination,1,0.045,NaN
1,0,0,3,1.1648145,2,Discrimination,1,0.045,NaN
1,1,1,3,0.8156182,2,Discrimination,1,0.045,NaN
1,1,1,6,0.7822579,3,Discrimination,1,0.045,NaN
1,0,0,1,1.1825394,0,Discrimination,1,0.045,NaN
1,0,0,2,1.3152303,2,Discrimination,1,0.045,NaN
1,0,0,4,1.0823219,3,Discrimination,1,0.045,NaN
1,0,0,4,0.8500464,2,Discrimination,1,0.045,NaN
1,0,1,2,0.716004,1,Discrimination,0,0.045,NaN
1,0,0,6,0.6663359,2,Discrimination,1,0.045,NaN
1,0,NaN,NaN,NaN,0,Discrimination,NaN,0.045,NaN
1,1,1,2,1.0988178,2,Discrimination,1,0.045,NaN
1,1,1,2,1.3323671,4,Discrimination,1,0.045,NaN
1,0,0,6,1.3979034,2,Discrimination,1,0.045,NaN
1,0,1,2,1.0761621,1,Discrimination,0,0.045,NaN
1,0,1,6,0.916153,4,Discrimination,0,0.045,NaN
1,1,1,6,0.7656733,5,Discrimination,1,0.045,NaN
1,1,1,6,0.982156,4,Discrimination,1,0.045,NaN
