Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Prediction_Success,Trial_count,Block_count,Accuracy
AC,1,2,1,1,2.446140766,1.633206844,1.918789387,1,0,0,0
AC,1,1,1,1,1.704405427,0.812043428,0.929433167,1,1,0,1
AC,2,2,1,2,1.55234158,1.846280932,1.446147323,1,2,0,1
AC,1,1,1,1,2.398402691,1.011983633,1.317691803,1,3,0,1
AC,2,2,1,2,2.364118576,4.904830933,1.365719438,1,4,0,1
AC,2,2,1,2,3.423727751,1.093405962,2.081420422,1,5,0,1
AC,2,2,1,2,2.845516682,0.435458094,2.83518362,1,6,0,1
AC,1,1,1,1,2.423422098,0.657183647,1.000510931,1,7,0,1
AC,2,2,1,1,2.234652519,1.894231915,1.670677662,1,8,0,1
AC,1,1,2,2,1.692587733,1.434492111,0.95401293,1,9,0,1
AC,1,1,2,1,1.834727407,2.175668001,2.435801029,1,10,0,1
AC,2,2,2,2,1.069150448,0.952281594,0.54220289,1,11,0,1
AC,1,1,1,1,1.633790135,0.799285591,1.800013185,1,12,0,1
AC,1,2,1,1,2.975769758,0.812046885,0.611866117,1,13,0,0
AC,2,2,2,2,1.093591928,1.37585187,0.75298053,1,14,0,1
AC,1,1,2,2,0.692635536,0.50612694,0.330515116,1,15,0,1
AC,1,1,1,2,3.398250341,2.81102705,0.318688959,2,16,0,1
AC,2,2,1,2,1.127701998,0.506159306,0.529691815,2,17,0,1
AC,2,1,1,1,1.706283808,0.834588051,2.728372335,1,18,0,0
AC,2,1,1,1,1.058354497,0.833616674,1.376483679,2,19,0,0
AC,1,2,1,1,1.352411032,0.728758395,3.058702469,1,20,0,0
AC,1,1,1,2,0.892555296,0.693427086,0.953584015,1,21,0,1
AC,1,1,2,2,0.775926292,2.022745132,1.517679334,2,22,0,1
AC,2,1,1,1,1.481842875,0.741530538,0.388341427,2,23,0,0
AC,2,2,1,2,2.092554808,2.682432175,0.317764193,1,24,0,1
AC,1,1,2,2,0.858261883,0.704274893,0.294213951,1,25,0,1
AC,2,2,2,2,0.692635119,1.11687994,0.40004012,2,26,0,1
AC,2,2,2,1,1.682714701,1.857113481,0.799078822,2,27,0,1
AC,1,1,1,2,0.918092906,0.775986731,2.151928425,1,28,0,1
AC,2,1,1,2,1.339704394,0.858089805,0.318695128,2,29,0,0
AC,2,2,1,1,1.694334149,0.927889287,0.611698985,2,30,0,1
AC,1,2,1,2,0.635780156,0.433623165,1.846076131,2,31,0,0
AC,1,2,1,1,1.305523753,0.740266562,0.258723587,2,32,0,0
AC,2,1,1,1,0.976047039,0.646238029,2.058838129,2,33,0,0
AC,1,1,1,2,2.540549755,0.76403892,3.000876665,2,34,0,1
AC,1,2,1,2,1.859222054,0.305384427,2.034279585,2,35,0,0
AC,2,1,1,2,0.612179101,1.023053169,0.587365687,1,36,0,0
AC,2,2,2,2,0.670053899,0.752266347,0.682405233,1,37,0,1
AC,1,2,1,2,1.917087674,0.340527117,0.952888727,1,38,0,0
AC,2,2,1,2,1.81018889,1.148179173,0.471660316,2,39,0,1
AC,2,2,1,2,0.599593341,1.25808835,0.27162388,1,40,0,1
AC,1,1,1,1,1.046079874,0.976716578,0.470129937,2,41,0,1
AC,1,1,1,1,5.434406757,0.374870539,1.000058532,2,42,0,1
AC,1,1,1,1,1.15194881,1.246305704,1.658293247,2,43,0,1
AC,2,1,1,2,1.23601532,0.598914206,1.564759851,2,44,0,0
AC,2,1,1,1,2.128884077,0.752185464,0.354002982,2,45,0,0
AC,2,1,1,1,0.871241093,1.187226653,1.470677376,2,46,0,0
AC,1,1,2,2,1.058255196,0.847347081,0.388359517,1,47,0,1
AC,1,1,1,2,0.598558843,0.800266564,1.470572233,1,48,0,1
AC,2,2,1,2,0.658306718,0.610119343,0.506038368,2,49,0,1
AC,1,1,2,2,0.481607646,1.069583893,0.435454249,2,0,1,1
AC,2,1,1,2,0.494515628,0.386652797,0.43496874,2,1,1,0
AC,1,1,2,2,0.59934926,2.127713919,0.658934236,2,2,1,1
AC,2,2,2,2,0.400482088,0.634607852,0.223262116,1,3,1,1
AC,1,1,1,1,1.527943492,1.14048183,1.777378559,2,4,1,1
AC,1,1,1,2,0.375999361,0.552496731,0.457939953,1,5,1,1
AC,2,2,1,2,1.093726277,0.669907629,1.189262152,2,6,1,1
AC,1,1,2,2,0.706350863,2.834429502,0.328493834,2,7,1,1
AC,2,2,2,2,0.669141471,1.163971663,0.330484688,1,8,1,1
AC,2,2,2,1,1.398538589,1.176663637,1.800974607,2,9,1,1
AC,1,1,1,2,1.834728241,1.457075596,0.235768944,1,10,1,1
AC,1,2,1,2,0.870102286,0.753139496,0.76380986,2,11,1,0
AC,2,2,1,2,0.821947277,0.517098784,0.282452106,1,12,1,1
AC,2,2,2,2,0.504419863,0.564018309,0.91772294,2,13,1,1
AC,1,1,2,2,0.365124971,0.775113583,0.316791683,2,14,1,1
AC,2,2,2,2,0.517054856,0.375785321,0.329593033,2,15,1,1
AC,2,1,1,1,2.069732428,0.975557327,0.635582685,2,16,1,0
AC,1,1,1,1,3.622962952,0.92858541,2.048037529,1,17,1,1
AC,1,2,1,1,1.341565847,1.292499542,1.410805583,1,18,1,0
AC,2,2,1,2,0.928796351,0.481674612,0.329606891,1,19,1,1
AC,2,2,2,2,0.458304554,0.52856952,0.353186399,1,20,1,1
AC,1,1,2,2,0.422109634,0.423826367,0.32954067,2,21,1,1
AC,1,1,1,2,0.705345213,1.281696677,0.658907294,2,22,1,1
AC,1,1,2,2,0.353415877,0.422910839,0.316822082,2,23,1,1
AC,2,1,2,1,0.951422989,0.859095812,1.553032637,2,24,1,0
AC,2,1,2,1,1.375996351,1.17579937,2.800767183,2,25,1,0
