Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Attention_Decision,Trial_count,Block_count,Accuracy
AS,2,1,2,1,3.081452298,1.057995521,1.211792453,2,0,0,0
AS,2,2,1,2,0.975973031,0.457530744,2.635232213,1,1,0,1
AS,2,2,1,2,0.940684684,1.364026653,1.235303901,1,2,0,1
AS,2,2,1,2,1.128962225,12.71610508,1.529399513,2,3,0,1
AS,1,1,1,1,2.023044438,4.04604383,1.129460805,1,4,0,1
AS,1,1,1,2,0.728931116,0.905218465,4.599803725,2,5,0,1
AS,1,1,1,2,0.552480526,0.646380016,1.035284112,1,6,0,1
AS,1,1,1,1,0.564262045,0.83459788,0.836194493,2,7,0,1
AS,1,1,1,2,0.576049724,0.540461844,1.99999846,1,8,0,1
AS,2,2,2,2,0.458395463,0.834483149,1.129427695,2,9,0,1
AS,2,2,1,1,0.622256411,0.84728185,1.270497152,2,10,0,1
AS,2,2,2,2,0.564273595,0.598638701,0.776509573,2,11,0,1
AS,1,1,1,1,0.423753154,0.716966335,2.26988923,2,12,0,1
AS,2,2,2,2,0.422329792,0.364061303,0.800776015,1,13,0,1
AS,1,1,2,2,0.435459597,0.457548454,0.728839485,1,14,0,1
AS,1,2,1,1,1.293623981,0.822831761,0.376563551,2,15,0,0
AS,2,1,1,1,0.458320773,0.517099392,0.847105903,2,16,0,0
AS,1,1,1,2,0.529746401,0.340404324,0.869965923,2,17,0,1
AS,2,1,1,1,0.423104036,0.705881289,1.434636073,1,18,0,0
AS,1,1,2,2,0.587777728,1.211118311,0.988263141,2,19,0,1
AS,1,1,2,2,0.493025068,0.458743507,0.88242736,2,20,0,1
AS,1,1,2,2,1.200159546,0.516973111,0.764088177,2,21,0,1
AS,1,1,1,1,0.446602394,0.446431067,1.071265852,2,22,0,1
AS,2,2,2,2,0.352456501,0.35231482,0.88239887,1,23,0,1
AS,1,1,1,2,0.434711149,0.811830646,1.081694466,2,24,0,1
AS,2,2,2,2,0.752472209,1.434572932,1.270600333,2,25,0,1
AS,2,2,2,2,0.905390947,0.658117259,0.587662226,1,26,0,1
AS,2,2,2,2,1.717087611,0.833963393,1.482358521,1,27,0,1
AS,2,2,1,1,0.576016614,0.528741925,0.611827412,1,28,0,1
AS,1,1,1,2,0.458438584,0.611062408,0.858858547,1,29,0,1
AS,2,2,2,2,0.528972158,1.799201347,0.917721097,2,30,0,1
AS,1,1,1,2,0.43484898,0.551643911,0.929452951,1,31,0,1
AS,2,2,1,2,0.681245243,0.81173786,1.376449975,1,32,0,1
AS,1,1,2,2,0.481229304,1.458818968,1.211752413,1,33,0,1
AS,1,1,2,2,0.423723123,0.446395262,1.987498523,1,34,0,1
AS,2,2,1,1,0.811946147,0.622850857,0.893499316,1,35,0,1
AS,2,2,1,2,0.739983052,1.482313091,2.658762527,1,36,0,1
AS,1,1,1,2,0.517134813,0.540551935,0.553037627,1,37,0,1
AS,2,1,1,1,0.516344014,0.52875463,0.447298867,1,38,0,0
AS,1,1,2,2,0.47078914,0.422208901,1.03466695,1,39,0,1
AS,2,2,2,2,0.752487225,2.010330438,1.352930827,1,40,0,1
AS,2,2,1,2,0.95218207,0.469259902,0.788501305,2,41,0,1
AS,2,2,2,2,0.457657025,0.553001821,0.835352874,2,42,0,1
AS,2,2,2,2,0.705501674,2.563816595,3.470431856,2,43,0,1
AS,1,2,1,2,1.670048545,0.658149215,0.858890502,1,44,0,0
AS,1,1,2,2,0.623573126,0.92806963,1.987597854,1,45,0,1
AS,1,1,2,1,0.775999443,0.822170324,0.941203285,1,46,0,1
AS,1,1,1,2,0.494272482,1.458448209,1.458203346,1,47,0,1
AS,1,1,1,1,0.528253739,0.447141785,1.258841144,1,48,0,1
AS,2,1,1,1,0.470216253,0.433903409,0.776471458,1,49,0,0
AS,1,1,1,1,0.740471623,0.601194361,0.105914322,1,0,1,1
AS,2,2,1,2,0.893719924,0.869820777,1.764668763,2,1,1,1
AS,1,1,2,1,0.79950473,0.787514924,0.835384829,1,2,1,1
AS,1,1,1,2,0.858323776,1.022875806,1.635298819,1,3,1,1
AS,2,2,2,2,0.469875909,0.964090641,0.97671455,1,4,1,1
AS,2,1,1,1,0.62308032,0.575834892,0.400062679,1,5,1,0
AS,2,2,2,2,0.540650881,0.952262536,2.31765018,1,6,1,1
AS,1,1,1,1,0.787735916,0.752259302,1.388281929,1,7,1,1
AS,2,2,2,2,0.623009479,0.728771724,1.517658804,1,8,1,1
AS,1,1,2,2,0.399555628,1.011062716,0.435407236,2,9,1,1
AS,1,1,2,2,0.352470746,0.905167259,0.835364424,1,10,1,1
AS,1,1,1,2,0.528918642,0.692839265,2.341124667,1,11,1,1
AS,2,2,2,2,0.222908685,0.199344877,0.611996814,2,12,1,1
AS,1,2,1,1,0.246091724,0.223394946,1.258822279,1,13,1,0
AS,2,1,1,1,0.211669252,0.175418009,0.50596699,1,14,1,0
AS,2,2,1,2,2.187649598,0.340584121,1.258812654,1,15,1,1
AS,2,2,2,2,0.175212032,0.141362446,0.353038628,2,16,1,1
AS,1,1,2,2,0.481273579,0.834654091,0.858845842,1,17,1,1
AS,1,1,2,2,0.352528497,0.434633763,0.835299358,1,18,1,1
AS,2,1,2,2,0.234814946,0.575851832,0.717729029,2,19,1,0
AS,1,1,2,2,0.364077859,0.64631418,1.306127383,1,20,1,1
AS,2,1,2,1,0.4708338,0.516123406,0.59941487,1,21,1,0
AS,1,1,1,2,1.528229099,0.341160088,0.788288013,1,22,1,1
AS,1,1,2,2,0.470114612,0.811020982,1.023581134,1,23,1,1
AS,2,2,2,2,0.340747363,0.317002217,0.682329415,2,24,1,1
AS,1,1,2,2,0.28256935,0.3523179,0.481717874,2,25,1,1
AS,2,1,1,2,0.481863021,0.469278767,0.764761164,2,26,1,0
AS,1,1,2,2,0.328565054,0.470946221,0.728846415,1,27,1,1
AS,2,1,1,1,0.293606271,0.293783373,0.470710214,1,28,1,0
AS,2,2,2,2,0.316509797,0.294186857,0.741240091,1,29,1,1
AS,1,1,2,2,0.269477276,0.329455569,1.741162321,2,30,1,1
AS,2,2,2,2,0.281887892,0.71701523,0.729470122,1,31,1,1
AS,2,2,2,2,0.505414124,0.705262586,0.729489758,1,32,1,1
AS,2,2,2,2,0.482542169,0.611133249,0.317072288,2,33,1,1
AS,1,1,2,2,0.481905371,0.493487458,1.082327028,1,34,1,1
AS,1,1,1,1,0.282537395,0.246466333,0.576385063,1,35,1,1
AS,2,1,1,1,0.364398567,0.51692614,0.282426513,1,36,1,0
AS,2,1,1,1,0.588589317,0.598692602,0.681574807,1,37,1,0
AS,1,1,2,2,0.363705174,0.61167572,0.741217761,1,38,1,1
AS,1,1,1,1,0.646536712,0.588212013,0.764139382,1,39,1,1
AS,1,2,1,2,0.611309581,0.916967644,0.988282391,1,40,1,0
AS,2,1,1,1,0.575307821,0.588274768,0.588317119,2,41,1,0
AS,1,1,1,2,0.540725187,1.610364395,1.976359961,1,42,1,1
AS,2,2,1,2,0.576690371,0.728792515,1.293483069,1,43,1,1
AS,1,1,2,2,0.576697301,0.669946134,1.16406346,1,44,1,1
AS,2,1,2,1,0.964194207,0.646438151,4.411542355,1,45,1,0
AS,2,2,2,2,0.223061532,0.210486903,0.423612627,2,46,1,1
AS,1,1,2,2,0.234151583,0.235331622,0.635414321,2,47,1,1
AS,2,2,2,2,0.199552779,0.211146801,0.694182545,2,48,1,1
AS,1,1,1,1,1.081868103,0.716006904,0.539748045,1,49,1,1
AS,1,1,2,2,0.399411636,0.468870663,0.670659932,1,0,2,1
AS,1,1,2,2,0.246551419,0.305271519,0.411861138,1,1,2,1
AS,1,2,1,1,1.046552805,0.728738229,0.905939963,1,2,2,0
AS,1,1,2,2,0.729610264,0.740410792,1.62353193,1,3,2,1
AS,2,2,2,2,0.152521798,0.786950892,0.141888362,2,4,2,1
AS,2,2,2,2,0.199665585,0.468885293,0.18820054,2,5,2,1
AS,2,2,1,2,0.998844602,0.505204297,0.753030851,1,6,2,1
AS,2,2,2,2,0.245924632,0.329439014,0.411796457,1,7,2,1
AS,2,2,2,2,0.682829921,0.646103582,1.258173547,1,8,2,1
AS,1,1,1,2,0.823050444,0.669930349,0.964744763,1,9,2,1
AS,1,1,2,2,0.728944206,0.787557274,0.694119789,1,10,2,1
AS,2,2,2,2,0.646593308,0.952274856,1.788177901,1,11,2,1
AS,1,1,2,1,1.293627446,0.705231016,0.764745379,1,12,2,1
AS,2,2,2,2,0.682518837,0.705187896,0.84641328,1,13,2,1
AS,1,1,1,2,1.42302203,0.516976576,1.294150667,1,14,2,1
AS,1,1,1,2,0.564208144,0.62224486,0.858857777,1,15,2,1
AS,2,2,2,2,0.517145208,0.882971371,0.470009891,1,16,2,1
AS,1,1,2,2,0.646567128,0.599312074,1.058883341,1,17,2,1
AS,2,2,2,2,0.564925022,0.552239898,0.446474573,1,18,2,1
AS,2,2,1,2,0.693005202,0.552966786,0.435342171,2,19,2,1
AS,2,2,2,2,0.575984273,1.411054939,0.659851319,1,20,2,1
AS,2,2,2,2,0.505424134,0.458164461,0.588293634,1,21,2,1
AS,1,2,2,2,0.528909787,0.598685672,0.494208572,1,22,2,0
AS,1,1,1,2,0.576655336,0.599319389,0.893528962,1,23,2,1
AS,2,2,2,2,0.305450931,0.269933506,0.353008598,2,24,2,1
AS,2,2,2,2,0.424050762,0.422822983,0.610852581,1,25,2,1
AS,1,1,1,2,0.340599136,0.316314599,0.470738319,1,26,2,1
AS,1,1,1,2,0.517184478,0.517020851,1.047051386,1,27,2,1
AS,2,1,1,2,1.222371219,0.305889451,0.553009522,1,28,2,0
AS,1,1,1,2,0.764244874,0.811083737,0.764781955,1,29,2,1
AS,2,2,2,2,0.493672645,0.505193132,0.588319429,1,30,2,1
AS,1,1,2,2,0.587487434,0.551552665,1.153238676,2,31,2,1
AS,2,2,2,2,0.493800852,0.506027051,0.8578533,1,32,2,1
AS,2,2,2,2,0.398806024,0.482374692,0.741261267,1,33,2,1
AS,1,1,2,2,0.564884982,1.704465242,1.328749471,1,34,2,1
AS,2,2,2,2,0.435460367,0.48178756,0.917060045,1,35,2,1
AS,2,2,2,2,0.493656475,0.916322761,0.647763721,1,36,2,1
AS,1,1,2,2,0.493617975,0.940512202,0.964761318,1,37,2,1
AS,1,1,1,1,0.505300163,0.48180912,0.588313269,1,38,2,1
AS,1,1,2,2,0.411299802,0.386887444,0.658918068,1,39,2,1
AS,1,1,1,1,0.764180193,0.657499712,1.541240707,2,40,2,1
AS,1,1,1,2,0.482055523,1.057325613,1.388234574,1,41,2,1
AS,2,2,1,1,0.388417066,0.398712853,0.564136533,2,42,2,1
AS,1,1,2,1,1.117127575,0.516983506,0.764733444,2,43,2,1
AS,2,2,1,1,0.845839238,0.611756571,0.764836625,1,44,2,1
AS,2,2,2,2,0.551661621,0.470051471,0.776533444,2,45,2,1
AS,2,2,2,2,0.163596834,0.175815718,0.282444223,2,46,2,1
AS,1,1,2,1,1.999415948,0.458205656,0.458875179,1,47,2,1
AS,2,2,2,2,0.199597824,0.199343337,0.75295693,1,48,2,1
AS,1,1,2,2,0.270186454,0.258284428,0.68235598,2,49,2,1
AS,1,1,1,1,0.305241103,0.31680009,0.317705235,1,0,3,1
AS,2,2,2,2,0.611337686,0.633920889,1.447067094,1,1,3,1
AS,1,1,1,1,0.363468397,0.32952795,0.976504337,1,2,3,1
AS,2,1,1,1,0.905393257,0.740498573,0.729455107,2,3,3,0
AS,2,2,2,2,0.352460736,0.281745055,1.000045046,2,4,3,1
AS,2,2,1,2,0.728936891,0.810450405,0.76478465,1,5,3,1
AS,2,1,1,1,0.22375146,0.234667874,0.434693823,1,6,3,0
AS,1,1,2,2,0.55247167,0.646399266,0.894154209,1,7,3,1
AS,1,1,2,2,0.84644177,0.740488948,2.105857726,1,8,3,1
AS,1,1,2,2,0.446617024,0.83458941,0.882379235,1,9,3,1
AS,2,2,2,2,0.623032579,0.634641232,0.752977335,1,10,3,1
AS,2,2,2,2,0.235519119,0.257508644,0.446454937,2,11,3,1
AS,2,1,1,1,0.422294372,0.469975625,0.423628412,1,12,3,0
AS,1,1,2,2,0.42302434,0.786631339,0.647119609,1,13,3,1
AS,1,1,2,2,0.317347566,0.704533003,0.846940736,2,14,3,1
AS,2,2,2,2,0.399563328,0.611075498,0.482418967,1,15,3,1
AS,1,1,2,2,0.952460043,0.669907249,0.964750538,1,16,3,1
AS,1,1,1,1,0.64722741,0.869243655,0.446492668,1,17,3,1
AS,1,1,1,2,0.504342272,0.906252587,1.294124102,1,18,3,1
AS,2,2,2,2,1.199486558,0.4339704,1.364736601,1,19,3,1
AS,2,2,2,2,0.587795823,0.89338805,0.588296329,2,20,3,1
AS,2,2,2,2,0.411309427,0.376361039,0.458309992,2,21,3,1
AS,2,2,2,2,0.41197972,0.458162536,0.646431991,2,22,3,1
AS,2,2,2,2,0.375968719,0.398699763,0.376592426,2,23,3,1
AS,1,1,2,1,0.975326994,0.541163707,0.670559061,2,24,3,1
AS,1,1,2,2,0.705395798,1.246314257,0.953004824,1,25,3,1
AS,1,1,2,2,0.506122532,0.657500867,0.999294672,1,26,3,1
AS,1,1,2,2,0.952460428,0.481663204,0.788279542,2,27,3,1
AS,2,2,2,2,0.399633014,0.552132867,0.564773716,1,28,3,1
AS,1,1,2,2,0.493622595,1.328756786,0.812401607,2,29,3,1
AS,2,2,2,2,0.58708164,0.56474253,0.753611052,1,30,3,1
AS,1,1,2,2,0.518069218,0.575807556,0.599116107,2,31,3,1
AS,2,2,2,2,0.58841799,0.76349835,0.858203269,1,32,3,1
AS,2,2,2,2,0.893627138,0.539972503,0.870617736,1,33,3,1
AS,1,1,2,2,0.563728814,0.752440639,0.765015652,2,34,3,1
AS,1,1,1,1,0.505439534,0.410413907,0.389252911,1,35,3,1
AS,2,2,2,2,0.588511546,0.587430839,0.493533274,1,36,3,1
AS,1,1,1,1,0.457670885,0.482376232,0.282446148,2,37,3,1
AS,1,1,1,1,0.623049905,2.080641094,0.57653098,1,38,3,1
AS,2,2,1,2,0.65821274,0.940501037,1.258918145,1,39,3,1
AS,1,1,2,2,0.517332705,0.622718416,1.070586319,1,40,3,1
AS,2,2,2,2,0.517145208,0.611186764,0.894122254,1,41,3,1
AS,1,1,2,2,0.446607014,0.516962331,0.423629567,1,42,3,1
AS,1,1,2,2,0.587790818,0.599301294,0.788271072,2,43,3,1
AS,2,1,1,1,0.905400187,1.09342324,1.023554183,2,44,3,0
AS,2,2,2,2,0.587737302,0.705232941,0.717092231,1,45,3,1
AS,1,1,1,2,0.646580218,0.905176499,0.811768275,1,46,3,1
AS,2,2,2,2,0.623128061,1.469812384,0.694164065,1,47,3,1
AS,2,1,1,1,0.235478308,0.22290445,0.375917129,1,48,3,0
AS,1,1,1,1,0.317193564,0.34049634,0.400063449,1,49,3,1
AS,2,1,1,1,0.258115411,0.269741774,0.435403386,1,0,4,0
AS,2,2,1,1,0.31722706,0.269243578,0.423587602,1,1,4,1
AS,2,1,1,1,0.353156824,0.363402946,0.270026677,1,2,4,0
AS,2,2,2,2,0.552437405,0.528784275,1.011818095,1,3,4,1
AS,1,1,1,1,0.563580202,0.471593799,0.600064373,2,4,4,1
AS,1,2,1,2,0.599546927,0.552270698,0.576539065,1,5,4,0
AS,1,1,1,1,0.494388754,0.598587496,1.069956837,1,6,4,1
AS,2,2,2,2,0.528958682,0.540541154,0.811811396,1,7,4,1
AS,1,1,2,2,0.375977959,0.34053176,0.682463397,2,8,4,1
AS,1,1,2,2,0.517173698,0.764041591,0.764715734,2,9,4,1
AS,1,1,1,2,0.399532528,0.528764255,0.82358791,1,10,4,1
AS,2,2,2,2,0.540434893,0.551851043,0.97676152,1,11,4,1
AS,2,2,2,2,0.517528672,0.576470534,0.751957459,1,12,4,1
AS,2,1,1,1,0.587711122,0.540543079,0.364882518,2,13,4,0
AS,1,1,2,2,0.28211697,0.280831055,0.81180254,1,14,4,1
AS,1,1,2,2,0.399537148,0.776672045,0.76394842,1,15,4,1
AS,2,2,2,2,0.388855586,0.410713825,0.716956325,2,16,4,1
AS,2,2,1,1,0.787112209,0.552922126,0.776528054,2,17,4,1
AS,1,1,1,1,0.223114277,0.211087125,0.400059599,1,18,4,1
AS,1,1,2,2,0.341526997,0.493304581,0.54060314,1,19,4,1
AS,1,1,2,2,0.423080551,0.505206992,0.788320738,1,20,4,1
AS,1,1,2,2,0.364281911,0.505241257,0.729437012,1,21,4,1
AS,2,2,2,2,0.506168348,0.540462614,0.622913998,1,22,4,1
AS,1,1,2,2,0.575986198,0.622900523,0.811789065,2,23,4,1
AS,2,1,2,2,0.540689766,0.599324394,0.753006596,2,24,4,0
AS,1,1,2,2,0.481972362,0.505143081,0.611789296,1,25,4,1
AS,2,1,1,1,0.387746003,0.340554861,0.658862243,2,26,4,0
AS,1,1,2,2,0.352551212,0.387541181,0.530167981,2,27,4,1
AS,2,2,2,2,0.31723553,0.269245888,0.364762011,1,28,4,1
AS,2,1,2,1,0.434736559,0.38698793,0.846193057,1,29,4,0
AS,2,2,2,2,0.435505413,0.364066309,0.775856606,2,30,4,1
AS,1,1,2,2,0.363553868,0.387582762,0.5647356,2,31,4,1
AS,1,1,2,2,0.776006758,0.49277597,0.588289784,1,32,4,1
AS,2,2,2,2,0.599480706,0.505093416,0.70600295,2,33,4,1
AS,1,1,2,2,0.317190869,0.305258428,0.353036318,2,34,4,1
AS,1,1,2,2,0.293775673,0.364087869,0.67048745,2,35,4,1
AS,2,2,2,2,0.281115958,0.270635369,0.529560059,2,36,4,1
AS,2,2,1,1,1.481181178,0.694087834,0.482386242,2,37,4,1
AS,1,1,1,2,0.87012647,0.470059941,0.411824563,2,38,4,1
AS,2,2,2,2,0.15179876,0.141216144,0.341282904,1,39,4,1
AS,1,1,2,2,0.258368359,0.281730425,0.552961011,2,40,4,1
AS,1,1,1,2,0.363672064,0.341086167,0.905953053,1,41,4,1
AS,2,2,2,2,0.528960223,1.069888691,0.658893428,1,42,4,1
AS,2,2,2,2,0.5296001,0.517012381,0.611167899,2,43,4,1
AS,2,1,2,2,0.494315603,0.493459738,0.693508788,1,44,4,0
AS,1,1,2,2,0.434795464,0.399382376,0.988273921,1,45,4,1
AS,1,1,2,2,0.646589843,0.446543488,0.38832197,2,46,4,1
AS,2,1,1,2,0.493688431,0.398661263,0.517716169,2,47,4,0
AS,1,2,1,2,0.352574313,0.387525396,0.400068454,2,48,4,0
AS,2,1,1,1,0.447258827,0.422859173,0.400089629,1,49,4,0
AS,1,1,2,2,0.364025498,0.387337129,1.258871175,1,0,5,1
AS,1,1,2,2,0.387478425,0.386968295,0.776513423,1,1,5,1
AS,1,1,2,2,0.340700392,0.38698023,0.482375462,1,2,5,1
AS,2,2,2,2,0.646469722,0.422910764,1.50596699,2,3,5,1
AS,2,1,2,2,0.376023005,0.305891761,0.446188514,2,4,5,0
AS,1,1,2,2,0.43482357,0.458175241,0.705845868,2,5,5,1
AS,2,2,2,2,0.705493974,0.716884329,0.694168685,1,6,5,1
AS,1,1,1,1,0.434211413,0.482372382,0.176536832,1,7,5,1
AS,2,2,2,2,0.411351007,0.446396417,0.423595302,1,8,5,1
AS,2,2,2,2,0.152537968,0.152284635,0.494195866,2,9,5,1
AS,2,2,2,2,0.152489458,0.16412583,0.505941195,2,10,5,1
AS,2,2,2,2,0.128963765,0.175868464,0.447108675,1,11,5,1
AS,1,1,2,2,0.223840781,0.246285381,0.52878235,2,12,5,1
AS,1,1,2,2,0.246649211,0.552223343,0.541286523,2,13,5,1
AS,2,2,2,2,0.670109376,0.505238562,0.505969686,1,14,5,1
AS,1,1,1,2,0.411314817,0.505234327,0.400006468,2,15,5,1
AS,2,2,2,2,0.317175854,0.269278228,0.470680953,2,16,5,1
AS,1,1,1,2,0.399620694,0.387540411,0.69415752,2,17,5,1
AS,1,1,2,2,0.317198954,0.317024547,0.601045749,1,18,5,1
AS,2,2,2,2,0.223061917,0.211179141,0.470655158,1,19,5,1
AS,1,1,2,2,0.387121911,0.423557186,0.647114219,2,20,5,1
AS,2,2,2,2,0.175914665,0.152338151,0.353080978,1,21,5,1
AS,2,2,2,2,0.164877744,0.152339691,0.446482273,2,22,5,1
AS,1,1,1,2,0.093709298,0.527966141,0.424261359,1,23,5,1
AS,2,2,2,2,0.129633287,0.175202791,0.446379476,1,24,5,1
AS,1,1,1,1,0.142404268,0.163078233,0.411215486,2,25,5,1
AS,2,2,2,2,0.140042266,0.153022689,0.482437447,1,26,5,1
AS,1,2,2,2,0.37687964,0.44577733,0.916791312,1,27,5,0
AS,2,2,1,1,0.398925376,0.352916196,0.470676333,2,28,5,1
AS,1,1,2,2,0.116485002,0.175968565,0.764775025,1,29,5,1
AS,2,2,2,2,0.152482528,0.175856914,0.635346175,2,30,5,1
AS,2,2,2,2,0.128947979,0.152320056,0.682427591,2,31,5,1
AS,1,1,2,2,0.129658312,0.152792841,0.364089409,2,32,5,1
AS,1,1,2,2,0.129224798,0.222830529,0.470436091,1,33,5,1
AS,1,1,2,2,0.140256713,0.164611706,0.353034008,2,34,5,1
AS,2,2,1,1,0.199529679,0.199321776,0.646479732,1,35,5,1
AS,1,1,2,2,0.152484838,0.175903884,0.482444762,1,36,5,1
AS,1,1,2,2,0.234854216,0.22289675,0.423598382,1,37,5,1
AS,2,1,1,1,0.280868785,0.305603007,0.470679413,2,38,5,0
AS,2,2,1,2,0.505404499,0.434929446,0.729457417,2,39,5,1
AS,2,1,1,1,0.24657914,0.269962381,0.564779876,1,40,5,0
AS,1,1,2,2,0.364896763,0.363384081,0.599331709,1,41,5,1
AS,2,2,2,2,0.176006681,0.175848829,0.470647843,2,42,5,1
AS,2,1,2,2,0.199543924,0.199394542,0.411853438,2,43,5,0
AS,1,1,2,2,0.505447235,0.446427602,0.75297387,2,44,5,1
AS,2,1,2,2,0.62307031,0.328100739,0.800070687,2,45,5,0
AS,1,1,2,2,0.245957743,0.235330467,0.458908674,2,46,5,1
AS,2,1,1,1,0.376007605,0.328748701,0.353032853,2,47,5,0
AS,1,1,1,2,0.293638226,0.399377371,0.482434752,1,48,5,1
AS,1,1,1,1,0.411944684,0.387628577,0.646498982,1,49,5,1
AS,1,1,1,1,0.199255941,0.210966234,0.788776198,1,0,6,1
AS,2,2,2,2,0.411286712,0.364074394,0.717717478,2,1,6,1
AS,1,1,1,1,0.258383374,0.222191807,0.411835343,1,2,6,1
AS,1,1,1,1,0.234786455,0.211246517,2.458812038,1,3,6,1
AS,2,1,1,2,0.622503968,0.329254597,0.600108263,2,4,6,0
AS,1,1,2,2,0.24658607,0.269995107,2.070577464,2,5,6,1
AS,1,1,2,2,0.493011593,0.611080118,0.635346945,1,6,6,1
