"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Coherence","Accuracy","Training"
172,1,1,20,2.17749480327981,1.08522833270766,0.064,1,1
172,1,1,10,3.32630123290437,0.849339172738837,0.064,1,1
172,0,0,20,2.34086955944257,0.770846502484346,0.256,1,1
172,1,0,30,3.36653800896421,2.41755613152782,0.032,0,1
172,0,0,30,3.09007246731198,0.948910333851003,0.256,1,1
172,0,1,10,4.96252685903164,0.648832994331315,0.032,0,1
172,0,0,20,2.66972100417112,1.33206094426714,0.064,1,1
172,0,0,20,3.1398450673878,0.71965389810066,0.128,1,1
172,1,1,30,2.64362299127062,0.718383320261608,0.064,1,1
172,1,1,10,4.50974230423343,1.05226032446261,0.064,1,1
172,0,0,10,4.8476661999721,1.43188296073279,0.128,1,1
172,1,0,10,8.52718022281805,1.08511784768046,0.064,0,1
172,1,0,10,5.06253935651877,0.914365649901796,0.032,0,1
172,1,0,20,3.84964768557984,0.502878346323967,0.032,0,1
172,0,0,10,2.4942846637714,0.916822885252244,0.256,1,1
172,1,1,20,2.32346997856075,0.900790179270203,0.032,1,1
172,1,0,10,4.28705942585296,1.00309690140781,0.128,0,1
172,0,1,10,1.82210732986638,1.16466223881434,0.128,0,1
172,1,0,20,4.85756457185739,0.48565354913444,0.128,0,1
172,0,1,10,3.3794315515061,1.51645170385559,0.064,0,1
172,0,1,30,2.71028621660121,0.78075393051951,0.064,0,1
172,0,1,20,7.87963048493292,1.23525432385755,0.064,0,1
172,1,1,30,5.21639821219654,1.58381044149975,0.256,1,1
172,0,0,30,5.30408830832859,1.40010493058979,0.128,1,1
172,0,0,40,5.20930000187224,1.16836409103777,0.256,1,1
172,1,1,10,7.71826679779956,0.601273113559757,0.064,1,1
172,0,0,30,2.58079746041406,0.918373599995859,0.256,1,1
172,1,0,10,3.86825535686512,0.632590789411566,0.128,0,1
172,0,0,10,7.3221471769248,0.568008969210437,0.128,1,1
172,1,0,10,4.460665518347,0.769532455127803,0.064,0,1
172,0,1,10,6.0220985152137,0.685342259073863,0.032,0,1
172,0,0,40,3.44933687851334,0.964915569515142,0.032,1,1
172,0,0,10,5.06140914900426,0.615045102646051,0.128,1,1
172,1,0,10,4.62387877317087,0.467948172257864,0.128,0,1
172,1,1,50,2.14107972249447,0.965219252408133,0.256,1,1
172,1,1,50,7.10658152678295,1.20046693509177,0.256,1,1
172,0,0,10,2.88877176268212,0.902009438923327,0.032,1,1
172,0,0,30,3.88519216848363,0.617515016605495,0.032,1,1
172,0,0,50,2.24021015097969,1.38058771998109,0.256,1,1
172,0,0,10,5.64209944497817,0.56884213500598,0.064,1,1
172,1,1,10,5.04655525187263,0.965305587704293,0.032,1,1
172,0,0,10,5.57175368721073,0.567509975348017,0.032,1,1
172,0,1,20,2.5138501738474,0.715669493996771,0.128,0,1
172,0,0,40,2.32792439684458,1.05204146750655,0.128,1,1
172,1,1,50,1.93095198851905,0.931257482645335,0.256,1,1
172,0,0,10,3.72185303317569,0.919653837723657,0.032,1,1
172,1,1,50,2.16089518231095,0.784568682745914,0.256,1,1
172,1,1,50,1.53575156686385,0.586141192621668,0.256,1,1
172,1,1,50,2.53506963877403,0.733000248137629,0.128,1,0
172,1,1,10,2.19549118444044,0.898413241782691,0.128,1,0
172,0,0,10,2.64796933949948,0.884771661254461,0.064,1,0
172,1,1,50,2.29688383917895,1.1655403834848,0.256,1,0
172,1,1,50,3.2004442947146,1.08488691585616,0.256,1,0
172,0,0,30,1.64165418427368,1.5474047187363,0.128,1,0
172,1,1,20,3.82526219063392,1.34766016254073,0.032,1,0
172,0,0,50,2.37665312470391,1.21442759396811,0.256,1,0
172,1,1,50,1.92690177639446,0.932104232662823,0.256,1,0
172,0,0,10,4.17077181943564,0.766383631793433,0.032,1,0
172,1,0,20,2.50730287931219,0.763076325834845,0.032,0,0
172,1,0,10,3.08949679804756,0.513938622245449,0.064,0,0
172,0,0,40,4.41661036759976,1.03520216043585,0.256,1,0
172,1,0,30,3.31437730214931,0.587458560568863,0.032,0,0
172,1,1,30,4.89245338950423,1.4154831788037,0.256,1,0
172,0,0,20,2.94190600561525,0.97001327631739,0.128,1,0
172,1,0,10,9.17507349065633,0.665641510493471,0.032,0,0
172,0,0,10,3.20559331970068,0.581666548936395,0.128,1,0
172,0,0,10,3.1141120173306,0.699123002439621,0.032,1,0
172,0,0,10,4.4572202570379,1.68602448903583,0.032,1,0
172,0,0,30,2.80148647645186,0.935241584875272,0.256,1,0
172,0,0,50,2.74956726696831,0.832038303891779,0.064,1,0
172,1,1,30,2.76386813521269,0.698905051098322,0.128,1,0
172,1,1,30,2.74270632777375,1.04933186744526,0.064,1,0
172,1,0,10,4.1465704662042,0.649295763592818,0.032,0,0
172,0,1,30,2.46372679889831,0.547876846019761,0.064,0,0
172,0,0,30,3.31807160758215,1.01472348857531,0.128,1,0
172,0,0,40,1.96648500029917,0.633135969637893,0.256,1,0
172,1,0,10,5.00702274240751,0.535529993063421,0.032,0,0
172,1,1,50,2.75437246012734,0.784942399868625,0.128,1,0
172,0,0,20,2.61976607360889,0.602142202080344,0.064,1,0
172,1,0,40,1.91647120476409,0.93506046187575,0.064,0,0
172,0,0,50,1.84450590551563,1.1182905249116,0.256,1,0
172,1,0,10,2.33249745069421,0.60217389860563,0.128,0,0
172,1,1,50,5.45753722228622,0.713425380041357,0.128,1,0
172,0,0,10,2.76783684198745,0.451918183118338,0.064,1,0
172,1,1,10,2.54232240739092,0.834815523206955,0.064,1,0
172,1,0,10,3.80251948128897,0.534976058559725,0.064,0,0
172,1,1,50,4.95177147349017,0.599742624217412,0.256,1,0
172,1,1,50,1.25457078981143,1.03163252800005,0.256,1,0
172,0,0,50,1.32303920769668,0.765993613602594,0.032,1,0
172,1,1,30,2.14614090282703,0.601386013562791,0.064,1,0
172,0,0,50,1.64823589218035,0.614913788471371,0.128,1,0
172,0,1,10,5.61776285324246,0.917785252120579,0.032,0,0
172,1,1,50,2.27434519507899,0.866006412961753,0.256,1,0
172,1,1,10,2.51883015070064,0.601267076126533,0.032,1,0
172,1,1,30,5.90737732086563,0.801717710146448,0.128,1,0
172,0,0,20,3.61247828788147,0.498640973764937,0.064,1,0
172,0,0,10,3.01308704228001,0.65118034839537,0.064,1,0
172,0,0,30,7.4949545169964,0.59715437656641,0.128,1,0
172,0,0,10,4.61505476253852,3.93331141744973,0.128,1,0
172,0,0,10,1.93220385031216,0.683368924003094,0.032,1,0
172,0,0,10,4.48941849253792,0.534271490092622,0.032,1,0
172,0,0,50,1.79808860899368,0.603448702646419,0.256,1,0
172,1,0,10,8.08126445587911,1.02411652729264,0.032,0,0
172,1,1,50,1.28477154050418,0.636190307142911,0.256,1,0
172,0,0,30,1.75079105469747,1.05295855362434,0.032,1,0
172,1,0,20,2.92819771145144,1.23642830276187,0.064,0,0
172,1,1,50,1.19818508717627,0.947071331671439,0.256,1,0
172,0,0,30,3.37236926391046,0.967086932398146,0.128,1,0
172,0,0,30,3.17521144600864,0.714026406525634,0.032,1,0
172,1,0,30,1.86856960526714,1.0008639567059,0.064,0,0
172,1,1,50,1.4291096657489,0.767146461490542,0.256,1,0
172,1,1,50,1.77723350316612,0.783556507056346,0.128,1,0
172,1,1,50,1.68682535456354,0.501703159930883,0.256,1,0
172,1,0,10,7.30993405311531,1.06854116895562,0.128,0,0
172,0,0,40,2.5648806731496,0.886517385091865,0.032,1,0
172,1,0,40,2.50247715888149,0.530706687604776,0.032,0,0
172,1,0,10,3.72221437355969,0.483496374219656,0.064,0,0
172,1,1,50,1.88771883431775,1.0341196486461,0.256,1,0
172,1,1,20,2.31096464298014,0.567781961719505,0.128,1,0
172,0,0,10,3.3602291930418,1.11619523368776,0.064,1,0
172,1,1,10,2.66315408797702,0.752435953398002,0.064,1,0
172,0,0,50,1.96235026410618,0.783959807600593,0.256,1,0
172,0,0,40,1.61568265560153,0.434558147424599,0.128,1,0
172,0,0,10,1.56697234191606,0.801212376978714,0.032,1,0
172,0,0,10,1.40909708373877,0.703412296923343,0.128,1,0
172,0,0,10,1.87174771015067,0.383285848920234,0.064,1,0
172,0,0,50,1.79598999718111,0.833383142158855,0.256,1,0
172,0,0,20,1.60623377062427,0.549233155410504,0.032,1,0
172,1,1,20,2.54835863319761,0.515667743142229,0.128,1,0
172,1,1,50,0.956610174403992,0.864194881101837,0.256,1,0
172,1,1,10,2.48858140241285,0.932977547388989,0.032,1,0
172,1,1,50,1.34024528883863,0.914826306063216,0.256,1,0
172,0,0,10,2.1771361797417,0.470624264564365,0.064,1,0
172,1,1,20,1.46267779486324,0.819734618580667,0.032,1,0
172,0,0,20,1.23054331466113,0.698640913391486,0.064,1,0
172,0,0,20,1.2704269008718,0.547218765792437,0.128,1,0
172,0,0,50,2.28053869602457,0.484173170490889,0.128,1,0
172,1,1,10,2.40305995231564,0.471014886499615,0.032,1,0
172,1,1,50,1.65386972305714,0.881135918924119,0.256,1,0
172,0,0,10,2.76609504248342,1.03358382644202,0.064,1,0
172,0,0,50,1.38132187186973,0.633719487566967,0.256,1,0
172,0,0,50,1.68177172102523,0.601752787633799,0.064,1,0
172,0,1,10,2.68120842849929,1.00350895622978,0.064,0,0
172,0,0,50,1.64955990129965,0.618682052461663,0.128,1,0
172,0,0,50,1.51991779430886,1.03200654699327,0.032,1,0
172,0,0,10,2.0606608091495,0.583442158067599,0.032,1,0
172,0,0,50,1.60361865639244,0.765352438187459,0.256,1,0
172,0,0,10,2.40651879785024,0.783912111876067,0.128,1,0
172,0,0,50,1.25566960267141,0.519824515964603,0.256,1,0
