Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Accuracy,Training,cond,Int.Block,five_s_to,exclude_subj
101,1,1,50,3.335374282,46.8676725,0.256,1,1,Expt,Practice,TRUE,FALSE
101,1,NaN,50,5.005882255,0,0.064,0,1,Expt,Practice,TRUE,FALSE
101,1,1,20,3.309516026,1.531529051,0.256,1,1,Expt,Practice,TRUE,FALSE
101,1,0,10,4.088873795,1.198951904,0.064,0,1,Expt,Practice,TRUE,FALSE
101,0,1,20,4.758075875,1.231766473,0.128,0,1,Expt,Practice,TRUE,FALSE
101,1,1,20,4.908070366,1.056102093,0.032,1,1,Expt,Practice,TRUE,FALSE
101,1,NaN,50,5.008276997,0,0.128,0,1,Expt,Practice,TRUE,FALSE
101,1,1,30,3.714411767,1.232860151,0.064,1,1,Expt,Practice,TRUE,FALSE
101,0,1,40,3.95156271,2.333016369,0.032,0,1,Expt,Practice,TRUE,FALSE
101,1,NaN,50,5.001109073,0,0.256,0,1,Expt,Practice,TRUE,FALSE
101,0,1,10,3.221266801,1.033730444,0.128,0,1,Expt,Practice,TRUE,FALSE
101,1,1,20,4.315912065,1.115752375,0.032,1,1,Expt,Practice,TRUE,FALSE
101,0,1,20,3.334612964,1.035110296,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,40,3.624856649,0.768548077,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,2.868068857,1.284743297,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,4.597832567,1.01958538,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,10,3.651386568,1.065114447,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,3.182837737,1.434328451,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,0,40,3.774103708,0.9337798,0.064,0,0,Expt,Pre,TRUE,FALSE
101,0,NaN,50,5.010248213,0,0.128,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.975477522,1.083575358,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,1,10,3.399289396,0.734772654,0.064,0,0,Expt,Pre,TRUE,FALSE
101,0,1,20,3.408116703,0.91724724,0.128,0,0,Expt,Pre,TRUE,FALSE
101,1,1,40,3.944375165,0.951687081,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,10,3.736914729,1.134359996,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,20,4.068141306,0.916929672,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,1,20,4.119961059,0.819684092,0.128,0,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.707042194,1.166506222,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,3.593500721,1.24831141,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,0,30,3.919811331,1.147816493,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,1,10,4.657675444,0.914374939,0.128,0,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.684217136,0.932553903,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,10,2.975205536,1.033272204,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,4.268468232,0.798558265,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.828643619,0.76756277,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,4.46809512,0.885448769,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,4.783233188,0.852383044,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,0,10,3.388029312,0.753219981,0.128,0,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.415978024,0.668579622,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.686469998,0.68191205,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,1,10,4.194293434,1.451395926,0.256,0,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.810841691,1.03116907,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,10,4.098359483,0.782660841,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,1,10,4.457717705,1.102859472,0.128,0,0,Expt,Pre,TRUE,FALSE
101,0,1,40,2.907345574,1.016004588,0.064,0,0,Expt,Pre,TRUE,FALSE
101,0,1,20,4.175829503,0.882123661,0.128,0,0,Expt,Pre,TRUE,FALSE
101,1,1,20,4.396986423,0.717736572,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,1,30,3.682444852,0.883876022,0.128,0,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.227370629,0.93577728,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,30,2.930263307,0.601259707,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,1,10,3.851928125,0.866650064,0.128,0,0,Expt,Pre,TRUE,FALSE
101,0,0,30,4.038495476,1.367265427,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,50,3.959240493,0.647362328,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,NaN,50,5.016195975,0,0.128,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.182653596,0.783673014,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.279561382,0.700599063,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,0,40,3.585380999,0.731833035,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,40,2.726258084,0.484747221,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,3.771768737,0.88516652,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,1,10,3.925211498,0.634689186,0.256,0,0,Expt,Pre,TRUE,FALSE
