Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Accuracy,Training,exclude_subj
101,1,NaN,50,5.0073614,0,0.128,0,1,FALSE
101,0,0,40,1.831317194,4.051920723,0.032,1,1,FALSE
101,1,0,10,2.391681068,3.561736477,0.128,0,1,FALSE
101,0,1,-30,1.977081431,4.075762108,0.064,0,1,FALSE
101,1,1,10,2.466974976,4.583985196,0.256,1,1,FALSE
101,0,0,-20,2.084961896,2.72756631,0.064,1,1,FALSE
101,1,0,20,1.708399682,2.308493563,0.032,0,1,FALSE
101,0,1,20,1.947679601,2.825167198,0.064,0,1,FALSE
101,1,1,-30,2.783123358,1.404467675,0.256,1,1,FALSE
101,1,0,30,1.503469844,2.142536643,0.032,0,1,FALSE
101,1,1,-10,1.750869461,3.463684896,0.128,1,1,FALSE
101,1,0,-20,2.659145376,3.244827685,0.256,0,1,FALSE
101,1,1,20,2.22616669,2.111916165,0.032,1,0,FALSE
101,0,0,20,1.866193133,2.990236017,0.064,1,0,FALSE
101,1,1,30,2.000689773,1.061560939,0.256,1,0,FALSE
101,1,0,10,1.990648371,1.584379438,0.256,0,0,FALSE
101,0,1,30,1.875923911,0.828010511,0.128,0,0,FALSE
101,1,0,-40,1.17211235,1.793179551,0.032,0,0,FALSE
101,0,1,10,1.530319665,1.300836029,0.128,0,0,FALSE
101,1,0,-30,1.603338681,1.126732847,0.256,0,0,FALSE
101,1,1,-20,1.90067966,1.462136001,0.032,1,0,FALSE
101,0,1,-10,1.329694794,1.10848179,0.128,0,0,FALSE
101,1,1,10,1.720759746,0.87279684,0.256,1,0,FALSE
101,1,1,-10,1.644502571,1.873487217,0.064,1,0,FALSE
101,0,1,10,1.525090372,1.42311237,0.032,0,0,FALSE
101,0,1,-20,1.380334683,0.975825652,0.032,0,0,FALSE
101,1,1,10,1.506208106,2.738782891,0.256,1,0,FALSE
101,0,1,10,1.234957444,1.252362962,0.032,0,0,FALSE
101,0,0,10,2.104331381,2.438010858,0.064,1,0,FALSE
101,1,0,-20,1.374288228,1.73872946,0.128,0,0,FALSE
101,0,0,-10,1.112508132,0.91326492,0.064,1,0,FALSE
101,0,0,30,1.012456059,0.977661927,0.032,1,0,FALSE
101,0,0,10,2.102878783,1.10155629,0.256,1,0,FALSE
101,0,0,-20,1.270846157,0.800977455,0.128,1,0,FALSE
101,0,0,30,1.110645896,0.883694345,0.032,1,0,FALSE
101,1,0,30,1.124090579,0.754863804,0.032,0,0,FALSE
101,0,0,30,1.353199293,0.659072324,0.128,1,0,FALSE
101,1,0,-10,1.753611345,0.776060507,0.064,0,0,FALSE
101,0,0,40,1.283975687,0.851276834,0.256,1,0,FALSE
101,0,0,-10,1.300167387,0.694572228,0.032,1,0,FALSE
101,1,0,10,0.952262892,1.36926632,0.256,0,0,FALSE
101,0,1,-20,0.866051556,2.052405526,0.256,0,0,FALSE
101,0,1,10,1.23107117,0.993043407,0.064,0,0,FALSE
101,1,0,30,1.282380607,1.345456329,0.128,0,0,FALSE
101,0,1,10,0.950596269,0.685386326,0.032,0,0,FALSE
101,0,0,10,1.318646053,0.734337856,0.256,1,0,FALSE
101,0,0,10,1.408315309,0.81952223,0.064,1,0,FALSE
101,0,0,10,1.351572516,0.636445361,0.064,1,0,FALSE
101,1,0,30,1.239780118,0.970533268,0.064,0,0,FALSE
101,1,1,10,0.881593028,0.811799794,0.128,1,0,FALSE
101,1,1,-20,0.889549414,1.118679259,0.128,1,0,FALSE
101,0,1,-30,0.894737049,1.197010884,0.064,0,0,FALSE
101,1,0,10,0.885324744,0.822282529,0.064,0,0,FALSE
101,0,0,-20,1.536400533,1.238338991,0.256,1,0,FALSE
101,1,0,20,1.033740304,0.664861585,0.128,0,0,FALSE
101,0,1,-10,1.15120182,1.216931583,0.128,0,0,FALSE
101,0,0,10,0.694532683,2.384682818,0.064,1,0,FALSE
101,0,1,10,1.226777674,2.48581166,0.032,0,0,FALSE
101,1,0,10,0.807138016,2.911866054,0.128,0,0,FALSE
101,1,0,-20,1.136785417,1.09508601,0.256,0,0,FALSE
101,1,0,10,1.306690796,0.834566824,0.128,0,0,FALSE
101,1,1,10,1.355733189,0.991740839,0.064,1,0,FALSE
101,0,0,-10,0.967020106,1.021077464,0.128,1,0,FALSE
101,0,0,-10,1.151886763,2.454398169,0.256,1,0,FALSE
101,1,0,10,0.880381322,0.873029884,0.128,0,0,FALSE
101,0,1,-10,1.083392475,1.744399181,0.064,0,0,FALSE
101,0,0,20,1.274445955,2.189691142,0.032,1,0,FALSE
101,1,0,20,1.357774434,0.600566006,0.064,0,0,FALSE
101,1,1,20,2.153190237,1.969269641,0.256,1,0,FALSE
101,0,0,20,1.344820591,1.779213236,0.128,1,0,FALSE
101,1,1,-20,1.69481644,0.929096488,0.064,1,0,FALSE
101,1,1,-20,1.383990328,1.044018976,0.128,1,0,FALSE
101,1,0,20,1.615742819,1.505230651,0.128,0,0,FALSE
101,1,1,10,0.744492459,1.555252009,0.032,1,0,FALSE
101,0,0,20,1.576570063,1.060277992,0.128,1,0,FALSE
101,1,0,20,1.472877741,1.969324581,0.256,0,0,FALSE
101,0,1,10,1.097478933,1.468500325,0.256,0,0,FALSE
101,1,0,10,1.15627897,0.670176609,0.256,0,0,FALSE
101,0,1,10,1.214815474,4.194129837,0.256,0,0,FALSE
101,0,0,10,1.45710383,0.927355604,0.032,1,0,FALSE
101,1,0,20,1.363333067,0.483049249,0.128,0,0,FALSE
101,1,0,-20,1.061721534,1.871112406,0.128,0,0,FALSE
101,1,0,-10,1.315553396,1.742740405,0.064,0,0,FALSE
101,0,1,-10,1.306507259,2.861514753,0.032,0,0,FALSE
101,0,1,-10,1.420572134,1.660262899,0.128,0,0,FALSE
101,0,0,10,1.38542089,2.050923948,0.032,1,0,FALSE
101,1,0,10,1.714813512,2.693098801,0.256,0,0,FALSE
101,0,0,-10,1.221120632,1.54344829,0.256,1,0,FALSE
101,0,0,20,1.621913946,1.317958695,0.128,1,0,FALSE
101,1,1,-10,1.324731449,0.902257836,0.032,1,0,FALSE
101,1,0,10,1.645737521,1.380124582,0.256,0,0,FALSE
101,1,1,20,1.140940053,0.785751739,0.032,1,0,FALSE
101,0,0,20,1.529224179,1.546973226,0.032,1,0,FALSE
101,0,0,10,1.544608075,0.809279482,0.064,1,0,FALSE
101,0,0,10,1.259583993,0.839426025,0.032,1,0,FALSE
101,1,0,-20,1.241402065,0.968419273,0.256,0,0,FALSE
101,1,1,20,1.231421339,0.91191707,0.064,1,0,FALSE
101,1,1,10,1.458689552,0.677039018,0.256,1,0,FALSE
101,0,0,20,1.187302747,0.617479477,0.064,1,0,FALSE
101,0,1,30,1.276576252,0.849871026,0.064,0,0,FALSE
101,1,1,10,1.452246441,0.595281471,0.064,1,0,FALSE
101,1,0,20,1.211851414,1.009939369,0.064,0,0,FALSE
101,0,0,20,1.334982046,1.259849639,0.256,1,0,FALSE
101,0,0,30,1.191882114,0.769315525,0.032,1,0,FALSE
101,0,1,-10,1.316018879,1.209260464,0.032,0,0,FALSE
101,0,1,-20,1.806275574,1.31002495,0.032,0,0,FALSE
101,0,0,30,2.001493954,1.118286224,0.128,1,0,FALSE
101,1,1,20,1.695140347,0.92663655,0.064,1,0,FALSE
101,1,0,20,1.302302513,0.611864696,0.128,0,0,FALSE
101,0,0,20,1.135526318,0.811596333,0.032,1,0,FALSE
101,1,0,10,1.450659208,0.902927082,0.256,0,0,FALSE
101,0,1,-10,1.331339684,1.034054853,0.032,0,0,FALSE
101,0,0,10,1.564883773,1.317232698,0.256,1,0,FALSE
101,0,1,10,1.389678161,0.786535393,0.064,0,0,FALSE
101,1,0,10,1.469161722,1.371928511,0.064,0,0,FALSE
101,1,1,20,1.41599005,0.738138398,0.064,1,0,FALSE
101,1,1,10,1.430917217,0.652440845,0.256,1,0,FALSE
101,0,0,-10,1.349341093,0.85299538,0.032,1,0,FALSE
101,1,1,10,1.741349087,1.620330336,0.032,1,0,FALSE
101,0,0,20,1.417423933,0.91442893,0.256,1,0,FALSE
101,0,0,-10,2.544374427,1.876696094,0.256,1,0,FALSE
101,1,0,20,1.614675105,0.626780089,0.032,0,0,FALSE
101,1,1,-20,1.190391782,0.858460131,0.064,1,0,FALSE
101,0,0,10,1.872750654,1.683382815,0.128,1,0,FALSE
101,1,0,20,1.53980472,0.570782009,0.256,0,0,FALSE
101,0,0,-20,1.75677947,1.034415285,0.064,1,0,FALSE
101,1,0,20,1.816547906,0.810787926,0.064,0,0,FALSE
101,0,0,10,1.732677571,0.537236109,0.128,1,0,FALSE
101,0,0,10,1.805095866,1.550615286,0.064,1,0,FALSE
