Subj_idx,Stimulus,Response,Confidence,Difficulty,Item
1,2,1,3,2,Item 12111011
1,2,2,3,2,Item 12111021
1,1,1,3,2,Item 12111030
1,1,2,3,2,Item 12111040
1,1,1,2,2,Item 12111050
1,1,2,3,2,Item 12111060
1,2,2,4,2,Item 12111071
1,2,2,3,2,Item 12111081
1,1,2,3,2,Item 12111090
1,1,1,3,2,Item 12111100
1,2,2,3,2,Item 12111111
1,1,1,2,2,Item 12111120
1,2,2,2,2,Item 12111131
1,2,2,3,2,Item 12111141
1,2,2,3,2,Item 12111151
1,2,2,2,2,Item 12111161
1,1,1,1,2,Item 12111170
1,2,1,1,2,Item 12111181
1,2,2,1,2,Item 12111191
1,2,NaN,3,2,Item 12111201
1,1,2,1,2,Item 12111210
1,1,1,2,2,Item 12111220
1,1,2,3,2,Item 12111230
1,2,1,2,2,Item 12111241
1,1,1,2,2,Item 12111250
1,1,2,3,2,Item 12111260
1,2,2,3,2,Item 12111271
1,2,2,4,2,Item 12111281
1,1,2,4,2,Item 12111290
1,2,1,3,2,Item 12111301
1,1,2,3,2,Item 12111310
1,1,1,2,2,Item 12111320
1,2,2,3,2,Item 12111331
1,2,2,3,2,Item 12111341
1,1,1,3,2,Item 12111350
1,2,2,3,2,Item 12111361
1,1,2,1,2,Item 12111370
1,1,2,2,2,Item 12111380
1,1,2,2,2,Item 12111390
1,2,2,3,2,Item 12111401
1,2,1,2,2,Item 12111411
1,2,2,3,2,Item 12111421
1,2,2,3,2,Item 12111431
1,1,1,2,2,Item 12111440
1,1,2,3,2,Item 12111450
1,1,2,3,2,Item 12111460
1,2,2,3,2,Item 12111471
1,1,2,3,2,Item 12111480
1,1,1,2,2,Item 12111490
1,1,2,2,2,Item 12111500
1,2,1,2,2,Item 12111511
1,1,1,1,2,Item 12111520
1,2,2,3,2,Item 12111531
1,2,2,3,2,Item 12111541
1,2,2,2,2,Item 12111551
1,1,2,3,2,Item 12111560
1,2,2,3,2,Item 12111571
1,2,2,2,2,Item 12111581
1,1,2,1,2,Item 12111590
1,1,2,3,2,Item 12111600
5,2,1,1,2,Item 12111011
5,2,2,2,2,Item 12111021
5,1,2,2,2,Item 12111030
5,1,1,1,2,Item 12111040
5,1,1,2,2,Item 12111050
5,1,2,3,2,Item 12111060
5,2,1,1,2,Item 12111071
5,2,1,1,2,Item 12111081
5,1,1,2,2,Item 12111090
5,1,1,2,2,Item 12111100
5,2,1,2,2,Item 12111111
5,1,2,2,2,Item 12111120
5,2,1,1,2,Item 12111131
5,2,2,2,2,Item 12111141
5,2,1,1,2,Item 12111151
5,2,2,2,2,Item 12111161
5,1,1,2,2,Item 12111170
5,2,2,3,2,Item 12111181
5,2,2,3,2,Item 12111191
5,2,2,2,2,Item 12111201
5,1,1,2,2,Item 12111210
5,1,1,1,2,Item 12111220
5,1,1,1,2,Item 12111230
5,2,2,2,2,Item 12111241
5,1,2,2,2,Item 12111250
5,1,2,2,2,Item 12111260
5,2,2,3,2,Item 12111271
5,2,1,1,2,Item 12111281
5,1,2,2,2,Item 12111290
5,2,2,2,2,Item 12111301
5,1,2,2,2,Item 12111310
5,1,1,2,2,Item 12111320
5,2,2,2,2,Item 12111331
5,2,1,3,2,Item 12111341
5,1,1,2,2,Item 12111350
5,2,2,3,2,Item 12111361
5,1,2,2,2,Item 12111370
5,1,1,1,2,Item 12111380
5,1,1,1,2,Item 12111390
5,2,2,1,2,Item 12111401
5,2,2,2,2,Item 12111411
5,2,1,2,2,Item 12111421
5,2,1,1,2,Item 12111431
5,1,2,1,2,Item 12111440
5,1,2,1,2,Item 12111450
5,1,1,2,2,Item 12111460
5,2,1,2,2,Item 12111471
5,1,2,2,2,Item 12111480
5,1,2,1,2,Item 12111490
5,1,1,3,2,Item 12111500
5,2,2,3,2,Item 12111511
5,1,2,2,2,Item 12111520
5,2,2,1,2,Item 12111531
5,2,2,2,2,Item 12111541
5,2,1,2,2,Item 12111551
5,1,1,1,2,Item 12111560
5,2,2,2,2,Item 12111571
5,2,2,1,2,Item 12111581
5,1,1,2,2,Item 12111590
5,1,1,2,2,Item 12111600
9,2,2,2,2,Item 12111011
9,2,2,3,2,Item 12111021
9,1,1,2,2,Item 12111030
9,1,2,3,2,Item 12111040
9,1,1,1,2,Item 12111050
9,1,2,3,2,Item 12111060
9,2,1,2,2,Item 12111071
9,2,2,4,2,Item 12111081
9,1,1,2,2,Item 12111090
9,1,1,1,2,Item 12111100
9,2,2,4,2,Item 12111111
9,1,2,3,2,Item 12111120
9,2,1,2,2,Item 12111131
9,2,2,3,2,Item 12111141
9,2,2,3,2,Item 12111151
9,2,1,1,2,Item 12111161
9,1,1,2,2,Item 12111170
9,2,2,3,2,Item 12111181
9,2,1,2,2,Item 12111191
9,2,1,3,2,Item 12111201
9,1,2,3,2,Item 12111210
9,1,1,1,2,Item 12111220
9,1,1,3,2,Item 12111230
9,2,1,3,2,Item 12111241
9,1,1,3,2,Item 12111250
9,1,2,3,2,Item 12111260
9,2,1,3,2,Item 12111271
9,2,2,3,2,Item 12111281
9,1,1,2,2,Item 12111290
9,2,2,3,2,Item 12111301
9,1,2,3,2,Item 12111310
9,1,1,3,2,Item 12111320
9,2,1,4,2,Item 12111331
9,2,1,4,2,Item 12111341
9,1,1,3,2,Item 12111350
9,2,1,3,2,Item 12111361
9,1,2,2,2,Item 12111370
9,1,2,2,2,Item 12111380
9,1,2,3,2,Item 12111390
9,2,2,3,2,Item 12111401
9,2,2,3,2,Item 12111411
9,2,1,3,2,Item 12111421
9,2,1,2,2,Item 12111431
9,1,2,3,2,Item 12111440
9,1,1,2,2,Item 12111450
9,1,2,3,2,Item 12111460
9,2,2,3,2,Item 12111471
9,1,2,3,2,Item 12111480
9,1,1,2,2,Item 12111490
9,1,2,3,2,Item 12111500
9,2,2,2,2,Item 12111511
9,1,1,1,2,Item 12111520
9,2,1,2,2,Item 12111531
9,2,1,2,2,Item 12111541
9,2,2,3,2,Item 12111551
9,1,1,2,2,Item 12111560
9,2,2,3,2,Item 12111571
9,2,1,2,2,Item 12111581
9,1,2,3,2,Item 12111590
9,1,2,3,2,Item 12111600
13,2,1,3,2,Item 12111011
13,2,2,3,2,Item 12111021
13,1,1,4,2,Item 12111030
13,1,1,1,2,Item 12111040
13,1,2,3,2,Item 12111050
13,1,2,2,2,Item 12111060
13,2,2,3,2,Item 12111071
13,2,2,4,2,Item 12111081
13,1,2,4,2,Item 12111090
13,1,1,4,2,Item 12111100
13,2,2,4,2,Item 12111111
13,1,2,3,2,Item 12111120
13,2,2,1,2,Item 12111131
13,2,2,2,2,Item 12111141
13,2,1,4,2,Item 12111151
13,2,1,4,2,Item 12111161
13,1,1,4,2,Item 12111170
13,2,2,3,2,Item 12111181
13,2,2,4,2,Item 12111191
13,2,1,3,2,Item 12111201
13,1,2,2,2,Item 12111210
13,1,1,4,2,Item 12111220
13,1,1,4,2,Item 12111230
13,2,2,3,2,Item 12111241
13,1,1,2,2,Item 12111250
13,1,1,3,2,Item 12111260
13,2,2,4,2,Item 12111271
13,2,1,4,2,Item 12111281
13,1,1,4,2,Item 12111290
13,2,1,4,2,Item 12111301
13,1,2,3,2,Item 12111310
13,1,2,1,2,Item 12111320
13,2,1,4,2,Item 12111331
13,2,1,4,2,Item 12111341
13,1,1,3,2,Item 12111350
13,2,2,3,2,Item 12111361
13,1,1,4,2,Item 12111370
13,1,1,2,2,Item 12111380
13,1,1,3,2,Item 12111390
13,2,2,2,2,Item 12111401
13,2,2,2,2,Item 12111411
13,2,1,4,2,Item 12111421
13,2,1,4,2,Item 12111431
13,1,2,3,2,Item 12111440
13,1,1,3,2,Item 12111450
13,1,1,2,2,Item 12111460
13,2,1,3,2,Item 12111471
13,1,1,3,2,Item 12111480
13,1,1,3,2,Item 12111490
13,1,1,3,2,Item 12111500
13,2,1,3,2,Item 12111511
13,1,2,4,2,Item 12111520
13,2,1,3,2,Item 12111531
13,2,1,4,2,Item 12111541
13,2,1,3,2,Item 12111551
13,1,2,4,2,Item 12111560
13,2,1,3,2,Item 12111571
13,2,2,3,2,Item 12111581
13,1,1,4,2,Item 12111590
13,1,1,4,2,Item 12111600
17,2,2,2,2,Item 12111011
17,2,2,3,2,Item 12111021
17,1,1,4,2,Item 12111030
17,1,1,3,2,Item 12111040
17,1,2,2,2,Item 12111050
17,1,1,3,2,Item 12111060
17,2,2,4,2,Item 12111071
17,2,2,3,2,Item 12111081
17,1,1,2,2,Item 12111090
17,1,2,3,2,Item 12111100
17,2,2,3,2,Item 12111111
17,1,1,3,2,Item 12111120
17,2,1,3,2,Item 12111131
17,2,2,4,2,Item 12111141
17,2,1,3,2,Item 12111151
17,2,1,3,2,Item 12111161
17,1,1,3,2,Item 12111170
17,2,2,2,2,Item 12111181
17,2,2,4,2,Item 12111191
17,2,2,2,2,Item 12111201
17,1,2,3,2,Item 12111210
17,1,1,2,2,Item 12111220
17,1,1,3,2,Item 12111230
17,2,2,2,2,Item 12111241
17,1,1,3,2,Item 12111250
17,1,1,2,2,Item 12111260
17,2,1,4,2,Item 12111271
17,2,2,3,2,Item 12111281
17,1,2,2,2,Item 12111290
17,2,1,3,2,Item 12111301
17,1,2,2,2,Item 12111310
17,1,1,2,2,Item 12111320
17,2,1,3,2,Item 12111331
17,2,2,4,2,Item 12111341
17,1,1,2,2,Item 12111350
17,2,2,4,2,Item 12111361
17,1,1,3,2,Item 12111370
17,1,1,2,2,Item 12111380
