Subj_idx,Stimulus,Response,Confidence,RT_dec,Accuracy,Difficulty,Order
9,2,2,NaN,0.258,1,64,DS
9,2,NaN,1,NaN,NaN,16,DS
9,1,NaN,1,NaN,NaN,64,DS
9,2,2,3,0.239,1,128,DS
9,2,2,3,0.254,1,128,DS
9,1,1,4,0.272,1,64,DS
9,1,2,1,0.707,0,16,DS
9,1,2,1,0.496,0,32,DS
9,1,1,1,2.049,1,16,DS
9,1,1,2,0.661,1,64,DS
9,2,2,3,0.501,1,64,DS
9,2,2,3,0.319,1,64,DS
9,2,2,4,0.334,1,128,DS
9,2,2,3,0.317,1,32,DS
9,1,1,1,0.398,1,16,DS
9,2,2,2,0.389,1,64,DS
9,1,1,3,0.247,1,128,DS
9,1,1,4,0.238,1,128,DS
9,1,2,2,0.764,0,16,DS
9,2,2,2,0.38,1,32,DS
9,1,2,2,0.392,0,16,DS
9,2,2,0,0.393,1,16,DS
9,2,2,4,0.392,1,128,DS
9,2,2,3,0.415,1,64,DS
9,2,2,2,0.377,1,16,DS
9,2,2,3,0.273,1,64,DS
9,1,1,3,0.431,1,32,DS
9,1,2,3,0.343,0,16,DS
9,1,2,1,0.386,0,32,DS
9,1,1,2,0.377,1,64,DS
9,2,2,3,0.536,1,32,DS
9,2,2,2,0.653,1,64,DS
9,1,1,3,0.448,1,128,DS
9,1,1,4,0.254,1,128,DS
9,1,1,4,0.322,1,64,DS
9,1,1,3,0.387,1,32,DS
9,1,1,4,0.252,1,128,DS
9,2,1,2,0.429,0,16,DS
9,2,2,1,0.394,1,32,DS
9,2,2,2,0.476,1,64,DS
9,2,2,4,0.309,1,128,DS
9,1,1,2,0.718,1,64,DS
9,2,2,2,0.506,1,32,DS
9,2,2,1,0.379,1,32,DS
9,1,1,4,0.388,1,64,DS
9,2,2,3,0.426,1,32,DS
9,2,2,2,0.381,1,64,DS
9,1,1,4,0.377,1,128,DS
9,1,1,4,0.316,1,64,DS
9,2,2,4,0.235,1,128,DS
9,2,1,1,0.404,0,16,DS
9,2,2,1,0.468,1,16,DS
9,2,1,2,0.313,0,64,DS
9,2,2,3,0.387,1,32,DS
9,2,2,4,0.292,1,64,DS
9,2,2,4,0.285,1,128,DS
9,2,2,3,0.437,1,32,DS
9,2,2,1,0.569,1,16,DS
9,2,2,4,0.21,1,128,DS
9,1,2,1,0.858,0,16,DS
9,1,1,2,0.446,1,32,DS
9,1,1,4,0.292,1,128,DS
9,2,2,2,0.435,1,32,DS
9,2,2,4,0.245,1,128,DS
9,1,1,2,0.489,1,32,DS
9,2,2,2,0.377,1,32,DS
9,1,1,2,0.384,1,32,DS
9,2,2,1,0.37,1,16,DS
9,2,2,1,0.596,1,16,DS
9,1,1,2,0.371,1,32,DS
9,2,1,1,1.189,0,16,DS
9,2,2,1,0.552,1,32,DS
9,2,2,1,0.459,1,16,DS
9,1,1,0,1.113,1,16,DS
9,1,1,2,0.329,1,64,DS
9,2,2,4,0.333,1,128,DS
9,2,2,4,0.293,1,64,DS
9,1,1,4,0.321,1,64,DS
9,1,1,5,0.164,1,128,DS
9,1,1,5,0.227,1,128,DS
9,1,1,5,0.195,1,128,DS
9,1,1,5,0.313,1,64,DS
9,1,1,5,0.372,1,32,DS
9,2,1,1,1.676,0,16,DS
9,1,1,3,0.292,1,64,DS
9,1,1,4,0.272,1,64,DS
9,1,1,2,0.512,1,16,DS
9,1,1,4,0.246,1,128,DS
9,1,1,1,0.584,1,16,DS
9,2,2,4,0.383,1,128,DS
9,2,2,4,0.229,1,128,DS
9,2,2,4,0.203,1,128,DS
9,2,2,4,0.432,1,64,DS
9,1,1,2,0.539,1,16,DS
9,2,1,1,1.32,0,16,DS
9,1,1,0,0.652,1,16,DS
9,2,2,4,0.6,1,128,DS
9,1,1,4,0.309,1,64,DS
9,1,1,4,0.2,1,128,DS
9,1,1,4,0.282,1,64,DS
9,1,1,1,1.098,1,16,DS
9,2,1,1,1.127,0,16,DS
9,1,1,4,0.317,1,128,DS
9,1,1,2,0.755,1,32,DS
9,2,1,1,0.64,0,16,DS
9,2,2,4,0.353,1,64,DS
9,2,2,4,0.178,1,128,DS
9,2,2,3,0.464,1,32,DS
9,1,1,2,0.375,1,32,DS
9,2,2,1,1.523,1,16,DS
9,1,1,4,0.262,1,128,DS
9,1,1,2,0.542,1,32,DS
9,1,1,1,0.424,1,16,DS
9,1,1,1,0.416,1,16,DS
9,2,2,2,0.539,1,32,DS
9,2,2,3,0.367,1,64,DS
9,2,2,3,0.404,1,32,DS
9,1,2,1,0.953,0,16,DS
9,2,2,4,0.327,1,128,DS
9,1,1,2,0.666,1,32,DS
9,1,1,4,0.274,1,128,DS
9,1,1,2,0.722,1,32,DS
9,1,2,1,0.226,0,64,DS
9,1,1,2,0.394,1,32,DS
9,1,1,2,0.377,1,32,DS
9,1,1,4,0.232,1,128,DS
9,2,2,4,0.442,1,64,DS
9,2,2,4,0.401,1,32,DS
3,2,2,3,0.997,1,128,DS
3,1,1,3,0.702,1,128,DS
3,2,2,2,1.304,1,32,DS
3,1,1,3,1.124,1,64,DS
3,2,2,2,1.034,1,32,DS
3,1,1,3,0.952,1,128,DS
3,2,2,2,0.992,1,64,DS
3,1,1,2,0.752,1,64,DS
3,2,2,2,0.734,1,64,DS
3,1,1,2,0.84,1,32,DS
3,1,1,2,0.728,1,64,DS
3,1,1,1,1.321,1,32,DS
3,1,1,1,1.405,1,32,DS
3,1,1,2,1.506,1,64,DS
3,1,2,1,0.908,0,16,DS
3,1,2,1,1.975,0,16,DS
3,2,2,1,1.633,1,16,DS
3,1,1,1,1.96,1,32,DS
3,1,1,3,1.406,1,128,DS
3,1,1,3,0.752,1,128,DS
3,1,1,2,1.302,1,64,DS
3,2,1,1,2.162,0,16,DS
3,2,2,3,0.882,1,128,DS
3,1,1,3,0.762,1,128,DS
3,1,1,2,1.612,1,16,DS
3,1,1,2,1.294,1,32,DS
