Subj_idx,Stimulus,Response,Accuracy,Confidence,RT_dec,Difficulty,Condition
25,1,1,1,1,1.624,16,1000
25,1,1,1,3,1.031,128,1000
25,2,2,1,3,1.18,64,1000
25,2,2,1,2,1.173,16,1000
25,2,2,1,4,1.338,128,1000
25,1,1,1,3,0.867,64,1000
25,1,1,1,4,2.247,128,1000
25,1,1,1,3,0.771,64,1000
25,1,2,0,2,0.753,16,1000
25,1,1,1,3,0.798,64,1000
25,2,2,1,3,1.072,16,1000
25,2,2,1,3,0.984,64,1000
25,2,2,1,4,1.034,128,1000
25,1,1,1,4,0.816,128,1000
25,2,2,1,2,0.664,32,1000
25,1,2,0,1,0.751,16,1000
25,2,2,1,1,1.964,16,1000
25,2,2,1,1,0.836,16,1000
25,1,1,1,2,0.709,64,1000
25,1,1,1,2,0.727,32,1000
25,1,1,1,4,0.81,128,1000
25,1,1,1,2,0.64,32,1000
25,1,1,1,4,0.644,128,1000
25,1,1,1,2,0.69,32,1000
25,1,1,1,2,0.682,16,1000
25,1,1,1,2,0.671,32,1000
25,2,2,1,1,0.845,32,1000
25,2,2,1,4,0.571,128,1000
25,2,2,1,3,0.667,64,1000
25,2,2,1,2,0.622,32,1000
25,2,2,1,4,0.603,64,1000
25,2,1,0,1,0.98,16,1000
25,1,1,1,2,0.675,32,1000
25,2,2,1,1,0.578,16,1000
25,2,1,0,1,0.932,16,1000
25,1,1,1,4,0.608,128,1000
25,2,2,1,4,0.754,64,1000
25,1,1,1,2,0.863,16,1000
25,1,1,1,2,1.264,32,1000
25,1,1,1,1,0.729,32,1000
25,2,1,0,4,0.671,128,1000
25,2,2,1,4,1.321,128,1000
25,1,1,1,4,2.075,128,1000
25,1,2,0,3,0.883,64,1000
25,2,2,1,1,0.942,16,1000
25,2,2,1,2,1.165,64,1000
25,2,2,1,1,0.711,16,1000
25,1,1,1,1,0.645,32,1000
25,1,1,1,4,0.57,128,1000
25,1,1,1,4,0.777,128,1000
25,1,2,0,2,0.523,64,1000
25,2,2,1,2,0.677,32,1000
25,2,2,1,3,0.643,64,1000
25,2,2,1,2,0.574,32,1000
25,2,2,1,2,0.673,64,1000
25,2,2,1,2,0.984,64,1000
25,1,1,1,2,0.598,32,1000
25,1,1,1,2,0.744,32,1000
25,2,2,1,2,0.648,32,1000
25,1,1,1,4,0.597,128,1000
25,1,1,1,4,0.557,128,1000
