Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Ease
1,2,2,0.82,0.44,3.64,8
1,1,1,0.52,0.52,0.94,8
1,2,2,0.73,0.48,2.26,7
1,1,2,0.78,0.38,1.56,7
1,2,2,0.89,0.46,0.58,8
1,2,2,0.86,0.46,1.72,8
1,1,1,0.45,0.54,0.68,7
1,2,2,0.97,0.44,0.86,7
1,1,2,0.52,0.54,1.04,6
1,2,1,0.12,0.48,1.34,7
1,2,2,0.93,0.38,1.46,8
1,1,2,0.08,0.3,2.62,8
1,1,2,0.49,0.3,1.8,8
1,2,2,0.75,0.46,1.28,8
1,1,2,0.51,0.54,2.96,6
1,2,2,NaN,0.48,2.26,7
1,2,2,0.89,0.46,1.78,8
1,2,2,0.77,0.44,1.24,7
1,1,1,0.01,0.52,1.96,8
1,1,2,0.79,0.38,1.58,7
1,2,2,0.76,0.38,1.12,8
1,2,1,0.03,0.48,1.52,7
1,1,1,0.5,0.54,0.58,7
1,2,2,0.86,0.44,3.72,8
1,1,2,0.49,-0.02,1.78,9
1,1,1,0.38,0.58,0.82,10
1,2,2,0.8,0.4,3.2,10
1,2,2,0.89,0.38,1.38,9
1,1,1,0.77,0.48,1.14,9
1,2,2,0.7,0.52,1.4,8
1,2,2,0.81,0.3,3.62,8
1,1,2,0.48,0.78,1.82,7
1,1,1,0.46,0.6,1.72,8
1,1,1,0.54,0.82,0.68,8
1,1,2,0.49,0.54,1,7
1,2,1,0.63,0.38,2.06,8
1,1,1,0.52,0.58,0.54,10
1,1,1,0.25,0.48,3.08,9
1,2,2,0.51,0.3,0.96,8
1,2,2,0.69,0.4,2.98,10
1,2,2,0.84,0.38,1.28,9
1,1,2,NaN,0.78,1.82,7
1,1,2,0.66,0.54,4.66,7
1,2,2,0.82,0.52,1.64,8
1,1,1,0.88,0.52,2.56,9
1,2,1,0.02,0.38,0.74,8
1,1,1,0.47,0.6,1.74,8
1,1,1,0.75,0.82,1.1,8
1,1,2,0.52,0.88,0.94,9
1,1,1,0.75,0.4,1.5,10
1,1,1,0.78,0.44,2.36,10
1,2,2,0.84,0.46,0.48,9
1,1,1,0.77,0.4,3.14,9
1,1,1,0.78,0.44,1.16,8
1,2,2,0.28,0.42,0.56,8
1,2,2,0.69,0.46,1.38,7
1,2,2,0.71,0.42,2.22,7
1,2,2,0.81,0.5,1.22,6
1,2,2,0.97,0.44,3.54,6
