Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
1,1,1,24,4.755,2.4976,0.21,2
1,2,2,95,1.061,1.6663,0.54545,2
1,1,2,65,2.14,2.0993,0.16,1
1,2,2,60,0.97,2.1992,0.21,2
1,2,2,43,1.015,2.3001,0.21,1
1,1,1,56,1.732,2.3497,0.16,1
1,1,1,76,2.201,2.1996,0.68861,2
1,1,1,73,1.937,2.0997,0.68875,2
1,1,1,0,3.434,1.8829,0.11,1
1,1,1,100,1.861,1.7829,1.1057,2
1,1,2,41,3.249,1.8491,0.6212,2
1,2,2,5,0.859,1.9158,0.11,1
1,1,1,1,1.996,1.716,0.11,1
1,2,1,0,1.076,1.949,0.06,1
1,1,1,0,2.004,2.6829,0.11,1
1,1,2,9,1.004,1.9827,0.11,1
1,1,1,80,1.411,0.99906,0.44636,2
1,1,2,38,2.407,0.93196,0.16,1
1,1,1,100,2.088,3.0003,0.62281,2
1,1,1,94,1.55,2.7666,0.61559,2
1,2,1,17,0.959,1.5992,0.16,1
1,1,1,67,1.936,1.5495,0.63541,2
1,1,1,40,1.068,1.4666,0.66551,2
1,1,1,17,2.157,1.8327,0.16,2
1,1,2,3,2.34,1.3822,0.16,1
1,2,2,100,1.731,1.4326,0.70124,2
1,2,2,72,0.847,1.482,0.21,2
1,2,2,13,2.06,1.4663,0.16,1
1,1,2,8,5.788,5.2682,0.16,1
1,2,1,44,3.141,1.6156,0.21,1
1,1,1,100,3.588,1.7496,0.95759,2
1,1,NaN,NaN,NaN,NaN,0.54165,2
1,2,2,47,1.687,1.4489,0.31,1
1,2,2,75,2.772,2.5832,0.31,1
1,1,2,98,1.647,1.8326,0.63872,2
1,2,NaN,NaN,NaN,NaN,1.3238,2
1,2,NaN,NaN,NaN,NaN,0.31,1
1,1,2,76,2.014,2.0325,0.39944,2
1,1,2,19,4.892,1.1326,0.36,1
1,2,2,85,1.908,1.7494,0.41,1
1,2,2,52,4.638,2.0827,0.41,1
1,1,2,67,1.122,2.5501,0.36,1
1,1,1,99,3.856,1.8158,0.84091,2
1,2,1,60,2.576,1.566,0.41,1
1,1,1,100,3.838,1.3655,0.46,1
1,1,2,82,4.339,1.699,0.98151,2
1,1,1,0,1.525,1.5157,0.51,1
1,2,2,52,2.203,1.8832,0.51,1
1,1,2,67,0.928,1.7995,0.49897,2
1,2,2,51,2.4,1.8155,0.51,1
1,2,2,44,1.754,1.849,0.51,1
1,1,1,27,2.319,1.9158,0.46,1
1,1,2,96,0.787,1.4153,0.46,1
1,1,2,100,1.899,1.566,0.51,1
1,1,2,33,1.808,1.7991,0.6548,2
1,1,1,100,1.925,1.6159,1.0019,2
1,1,1,100,2.33,1.3324,0.61,1
1,1,1,100,2.487,1.683,0.56,1
1,1,2,16,2.148,2.1996,0.56,2
1,2,1,68,1.774,1.9497,0.61,1
1,1,2,71,1.589,3.5341,0.71066,2
1,1,1,68,1.238,1.5323,0.76443,2
1,1,1,0,5.482,1.7998,0.71,2
1,2,2,100,2.135,1.2491,0.66,1
1,1,2,6,3.638,0.98205,0.66,2
1,1,1,12,1.738,1.0821,0.71,2
1,2,2,97,2.552,1.6997,0.71,2
1,2,1,0,1.659,1.6827,0.20575,1
1,2,1,75,4.411,2.1159,0.71,1
1,1,1,100,1.049,2.4836,0.76,2
1,1,1,100,1.489,2.8004,0.76,1
1,2,2,100,1.044,1.9995,0.71,1
1,2,2,89,0.891,3.3501,0.71,1
1,2,2,94,0.885,1.8664,0.66,1
1,1,2,40,1.396,1.2324,0.66,1
1,1,1,100,1.633,1.8329,0.93648,2
1,1,1,100,2.097,1.8999,0.71,2
1,2,2,29,2.8,1.566,0.66,1
1,1,1,94,2.373,2.033,0.66,2
1,1,1,100,0.639,1.8495,0.94083,2
1,1,1,45,2.227,1.2324,0.61,1
1,1,1,100,0.668,1.332,0.93759,2
1,1,1,91,0.702,2.6665,0.56,1
1,1,1,100,1.094,1.9996,1.4304,2
1,1,1,37,2.446,1.0993,0.51,1
1,1,1,87,1.709,2.0496,0.46,1
1,1,NaN,NaN,NaN,NaN,0.46,2
1,1,1,94,2.089,1.6665,1.2459,2
1,1,1,96,1.776,1.0659,1.2953,2
1,2,2,100,1.045,2.4827,0.41,2
1,2,2,0,1.88,1.3325,0.36,1
1,1,1,7,1.819,1.7831,0.36,2
1,1,1,29,1.292,1.5994,0.31,1
1,2,2,6,1.799,2.8998,0.31,1
1,2,1,37,3.267,1.8829,0.26,1
1,1,1,61,1.746,1.3825,1.2478,2
1,1,1,100,1.65,1.4159,1.3112,2
1,1,2,66,1.446,1.4996,0.74872,2
1,1,2,78,3.23,1.4825,0.76248,2
1,2,2,100,1.955,1.2493,0.36,1
1,2,2,100,1.685,2.0323,1.4143,2
1,1,2,86,1.759,1.9662,0.31,1
1,1,2,0,0.966,2.0659,0.40908,2
1,1,2,26,3.867,1.75,0.91063,2
1,1,1,100,2.092,1.4322,1.258,2
1,1,1,83,2.048,2.3164,0.63721,2
1,1,1,24,0.867,1.0495,0.41,2
1,1,1,53,3.565,1.5325,0.41,2
1,1,2,0,1.767,1.2825,0.36,1
1,1,1,92,1.691,2.6328,0.96897,2
1,2,2,78,1.877,1.699,0.41,1
1,2,1,62,1.474,1.0319,0.36,1
1,1,2,83,2.899,2.2498,0.41,1
1,1,2,20,2.263,2.0667,0.46,1
1,1,1,17,1.795,1.3992,0.6078,2
1,2,1,0,1.21,1.9828,0.51,1
1,1,1,9,3.757,1.9165,0.86216,2
1,1,1,100,1.041,1.3155,1.7473,2
1,2,2,78,1.546,3.417,0.51,1
1,1,NaN,NaN,NaN,NaN,0.51,2
1,1,1,25,1.78,1.6485,0.59559,2
1,1,1,83,1.904,1.5322,0.46,1
1,1,NaN,NaN,NaN,NaN,0.98164,2
1,1,1,82,1.646,1.9158,0.46,1
1,1,1,68,1.654,1.8491,0.41,1
1,2,2,73,2.272,1.4328,0.58883,2
1,2,2,13,1.255,1.5827,0.36,1
1,1,1,7,1.275,1.9162,0.36,1
1,2,2,63,1.749,1.3661,0.31,1
1,1,2,71,2.685,5.7014,0.31,1
1,1,NaN,NaN,NaN,NaN,0.85482,2
1,1,1,100,1.44,2.0833,1.205,2
1,2,2,89,1.262,1.3656,0.36,1
1,1,1,76,1.889,1.8325,0.43292,2
1,1,1,27,1.362,2.1493,0.31,1
1,2,2,100,2.087,1.3321,1.1134,2
1,2,2,94,1.13,3.7504,0.26,1
1,1,2,54,0.821,1.3327,0.21,1
1,2,2,24,0.978,1.349,0.26,1
1,1,NaN,NaN,NaN,NaN,0.41637,2
1,2,2,77,2.157,2.1496,0.26,2
1,2,1,62,1.443,1.9998,0.21,1
1,2,NaN,NaN,NaN,NaN,0.26,1
1,1,NaN,NaN,NaN,NaN,0.49123,2
1,1,2,78,0.827,1.6332,0.31,1
1,2,2,74,0.724,1.266,0.36,1
1,1,1,25,1.873,1.5995,0.36,1
1,2,2,65,2.403,2.3835,0.31,1
1,2,2,98,2.526,1.6498,0.8721,2
1,2,2,91,2.044,1.6164,0.26,1
1,2,2,76,0.672,3.0671,0.26,1
1,1,NaN,NaN,NaN,NaN,0.82091,2
1,2,2,100,0.951,5.0849,0.637,2
1,2,2,100,1.971,1.233,0.7197,2
1,1,1,0,1.866,1.4327,0.16,1
1,2,2,11,0.642,2.5168,0.16,2
1,2,2,43,1.217,0.81533,0.11,1
1,1,NaN,NaN,NaN,NaN,0.20252,2
1,1,1,6,1.131,3.3838,0.11,1
1,1,1,0,1.221,2.1324,0.06,1
1,2,1,0,1.063,1.6161,0.06,1
1,1,1,100,1.434,1.2324,1.2759,2
1,1,1,26,1.77,1.4495,0.11,1
1,1,NaN,NaN,NaN,NaN,0.42472,2
1,1,1,47,3.234,1.0496,0.41586,2
1,2,1,0,2.022,1.3325,0.06,1
1,1,2,0,1.886,1.2822,0.11,1
1,2,2,17,1.249,1.483,0.16,1
1,2,1,5,2.582,1.2328,0.16,2
1,1,1,29,1.224,2.3501,0.21,2
1,1,2,57,1.588,2.8833,0.25256,2
1,1,1,75,1.118,3.5332,0.32674,2
1,1,1,98,1.612,2.1994,0.26,1
1,2,2,67,3.565,1.366,0.21,1
1,1,1,77,1.551,1.899,0.21,1
1,1,1,55,0.921,2.4333,0.16,1
1,2,NaN,NaN,NaN,NaN,0.16,1
1,1,1,81,1.472,2.1165,0.16,1
1,1,1,86,3.975,2.7664,0.30813,2
1,1,1,84,1.064,2.6999,0.16144,2
1,1,2,0,1.144,1.7161,0.06,1
1,1,1,75,0.852,2.1661,0.28368,2
1,2,2,64,1.343,2.45,0.1616,2
1,1,2,0,1.066,1.8663,0.06,1
1,1,1,100,1.053,2.9331,0.63744,2
1,1,2,14,1.398,1.2161,0.11,1
1,1,1,93,1.34,2.299,1.0802,2
1,1,1,91,1.526,2.5502,0.3895,2
1,1,2,41,1.155,1.4155,0.23861,2
1,1,1,0,1.182,1.633,0.16,1
1,1,1,100,1.775,3.4666,0.30449,2
1,1,1,100,1.337,1.0161,0.87491,2
1,1,1,31,1.425,1.2664,0.11,2
1,1,2,82,2.406,1.6656,0.23513,2
1,2,2,34,2.33,1.399,0.11,1
1,2,2,100,0.929,1.2319,0.50913,2
1,2,2,10,2.008,1.4321,0.06,1
1,2,2,100,0.689,0.94892,0.29526,2
1,2,1,0,2.983,1.5161,0.01,1
1,1,1,0,1.066,0.99891,0.06,1
1,2,2,100,1.567,1.1324,0.47084,2
1,1,1,65,2.367,2.0822,0.22051,2
1,2,2,100,0.829,1.2323,0.49118,2
1,2,1,0,1.425,1.5156,0.01,1
