Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy
1,1,2,5.04375,NaN,12.876,0.74,0
1,1,2,5.98125,0.9,6.744,0.76,0
1,1,1,6,1.839,3.094,0.78,1
1,1,2,6,0.625,3.771,0.8,0
1,1,1,6,1.867,2.147,0.82,1
1,2,2,6,1.126,1.71,0.8,1
1,1,1,6,0.841,2.106,0.78,1
1,1,2,1.98125,1.248,6.819,0.8,0
1,1,1,5.9875,0.642,1.618,0.82,1
1,2,2,4.98125,0.727,2.596,0.8,1
1,1,1,6,1.007,1.591,0.78,1
1,1,2,5.98125,0.756,1.74,0.8,0
1,1,1,5.9875,0.702,1.464,0.82,1
1,1,1,5.99375,0.755,1.412,0.8,1
1,1,1,5.48125,1.149,1.661,0.78,1
1,2,2,5.95625,0.438,1.367,0.76,1
1,2,2,5.98125,0.545,1.128,0.74,1
1,1,1,5.96875,1.045,0.946,0.72,1
1,1,2,2.5375,0.78,3.775,0.74,0
1,1,1,5.9875,0.77,1.667,0.76,1
1,2,2,5.975,0.425,1.126,0.74,1
1,2,2,5.975,0.611,1.167,0.72,1
1,1,1,2.4875,1.212,1.965,0.7,1
1,1,1,5.96875,0.809,1.75,0.68,1
1,1,1,5.95,0.683,0.976,0.66,1
1,2,2,6,0.416,1.721,0.64,1
1,2,2,5.98125,0.286,1.32,0.62,1
1,2,2,5.99375,0.623,1.948,0.6,1
1,1,1,6,0.853,1.12,0.58,1
1,2,2,6,0.625,1.039,0.56,1
1,2,2,6,0.523,1.282,0.54,1
1,2,2,6,0.332,1.071,0.52,1
1,2,2,5.94375,0.303,1.594,0.5,1
1,1,1,2.475,1.358,1.446,0.48,1
1,2,2,2.60625,1.132,3.064,0.46,1
1,2,2,2.4875,1.128,3.222,0.44,1
1,2,2,2.525,0.734,1.34,0.42,1
1,2,2,2.44375,0.724,1.839,0.4,1
1,2,2,5,0.948,3.413,0.38,1
1,1,1,6,0.916,1.186,0.36,1
1,1,1,2.54375,0.991,1.732,0.34,1
1,1,1,2.475,0.866,2.987,0.32,1
1,1,1,2.49375,0.998,2.406,0.3,1
1,1,1,6,1.038,2.03,0.28,1
1,2,2,2.4875,1.24,2.888,0.26,1
1,1,2,5.99375,0.363,1.327,0.28,0
1,2,1,5.95625,1.32,2.794,0.3,0
1,2,2,5.975,0.722,2.547,0.32,1
1,2,2,2.5125,0.828,1.981,0.3,1
1,1,2,2.6,0.857,1.691,0.32,0
1,1,2,2.1875,NaN,4.71,0.34,0
1,1,1,5.975,0.79,1.798,0.36,1
1,1,1,5.9625,0.678,0.933,0.34,1
1,1,2,2.45625,0.842,1.029,0.36,0
1,2,2,6,0.525,1.597,0.38,1
1,1,2,2.5375,1.29,2.976,0.4,0
1,1,1,2.55,1.3,1.108,0.42,1
1,2,2,5.74375,0.648,1.695,0.4,1
1,2,2,5.5625,0.866,1.58,0.38,1
1,2,2,2.725,1.395,1.025,0.36,1
1,1,2,5.475,1.226,2.427,0.38,0
1,1,2,1.775,0.839,0.888,0.4,0
1,2,1,4.6875,0.781,1.876,0.42,0
1,2,2,5.975,1.058,1.362,0.44,1
1,2,2,5.99375,0.744,1.491,0.42,1
