Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast,Condition
1,1,2,1,1.7085,3,1
1,2,2,1,1.2208,2,1
1,2,1,1,0.9244,3,1
1,2,1,1,1.1483,2,1
1,2,1,1,1.261,1,1
1,1,1,1,0.89998,2,1
1,2,1,1,0.97184,2,1
1,2,1,1,0.82858,3,1
1,1,1,1,0.71695,3,1
1,2,2,1,0.7568,3,1
1,2,2,1,1.0838,3,1
1,1,2,2,0.82005,1,1
1,1,1,1,1.0849,1,1
1,1,1,1,0.78805,3,1
1,2,2,2,1.2849,3,1
1,1,2,2,0.85259,2,1
1,1,2,1,1.0365,1,1
1,2,2,1,0.87595,2,1
1,2,2,1,0.8124,3,1
1,1,2,1,0.82011,2,1
1,2,2,1,0.81256,3,1
1,2,2,1,0.74835,3,1
1,1,1,1,0.83642,2,1
1,2,2,2,0.96399,1,1
1,2,2,2,0.89265,3,1
1,1,1,2,0.87667,3,1
1,2,1,2,1.1813,3,1
1,2,2,2,0.94929,3,1
1,1,1,2,0.64498,3,1
1,1,1,2,0.70816,2,1
1,1,1,2,0.69308,2,1
1,2,1,2,0.78909,1,1
1,1,1,2,0.6447,2,1
1,2,2,2,0.76403,3,1
1,1,1,2,0.74908,2,1
1,1,1,2,0.6528,2,1
1,2,1,2,0.58798,1,1
1,2,1,2,0.69184,2,1
1,1,1,2,0.62052,2,1
1,1,1,2,0.5799,3,1
1,2,1,2,0.71725,2,1
1,2,2,2,0.62118,2,1
1,2,2,1,0.97191,2,1
1,2,2,2,0.78047,3,1
1,2,1,2,0.86061,2,1
1,2,2,1,1.0846,3,1
1,2,2,2,0.71619,2,1
1,2,2,2,0.8285,3,1
1,1,1,2,0.74094,1,1
1,1,1,2,0.54004,1,1
1,1,1,2,0.67678,3,1
1,1,1,2,0.74035,3,1
1,1,1,2,0.57316,3,1
1,1,1,2,0.56438,3,1
1,2,1,2,0.59626,3,1
1,1,1,2,0.56474,2,1
1,1,1,2,0.68497,2,1
1,1,1,2,0.63604,3,1
1,2,1,2,0.66104,3,1
1,2,1,1,0.86808,2,1
1,2,2,2,0.85996,3,1
1,1,1,1,0.95599,2,1
1,2,1,2,0.74039,3,1
1,2,2,2,0.78849,1,1
1,2,1,2,0.82087,3,1
1,1,1,2,0.73983,1,1
1,1,1,2,0.58013,3,1
1,1,1,2,0.66776,1,1
1,2,1,2,0.82914,2,1
1,2,1,1,1.116,2,1
1,1,1,1,0.74109,1,1
1,2,2,1,0.88524,3,1
1,1,1,1,1.0212,2,1
1,1,2,1,0.74866,2,1
1,1,1,1,0.90835,2,1
1,1,1,1,1.0131,1,1
1,2,1,1,0.94795,1,1
1,1,1,2,0.88414,2,1
1,2,2,2,1.0603,3,1
1,1,1,2,0.63682,3,1
1,2,2,2,0.73263,3,1
1,2,2,2,0.94849,1,1
1,2,2,1,1.0132,2,1
1,1,1,1,0.76455,1,1
1,1,1,2,0.77318,3,1
1,1,1,2,0.78,1,1
1,2,2,1,0.90773,3,1
1,1,1,2,0.66863,3,1
1,2,2,2,0.82012,2,1
1,1,1,2,0.74113,2,1
1,2,1,2,0.82803,3,1
1,2,2,1,0.97178,3,1
1,2,2,1,1.1161,2,1
1,2,1,1,0.92373,2,1
1,1,2,1,0.80378,1,1
1,2,2,1,1.0527,2,1
1,1,1,1,0.73321,1,1
1,1,1,1,0.8045,2,1
1,2,1,1,0.75654,2,1
1,2,1,1,0.69296,2,1
1,1,1,2,0.85232,2,1
1,1,1,2,0.70004,2,1
1,2,2,1,1.1651,1,1
1,1,1,1,0.6521,2,1
1,1,1,2,0.86891,2,1
1,2,2,1,1.1008,3,1
1,2,1,1,1.004,1,1
1,1,1,1,0.80461,2,1
1,2,2,1,0.85174,2,1
1,2,2,1,1.0768,1,1
1,1,2,1,0.84526,2,1
1,2,1,1,0.74831,2,1
1,2,2,1,0.88432,2,1
1,2,1,1,1.0525,2,1
1,2,1,1,0.97201,3,1
1,2,2,1,0.85319,3,1
1,1,2,1,0.86079,1,1
1,2,1,1,0.88521,2,1
1,1,1,1,0.98035,1,1
1,2,1,1,1.0447,3,1
1,2,2,1,0.78882,3,1
1,1,1,1,0.85323,3,1
1,2,2,1,0.86863,1,1
1,1,1,1,0.82777,1,1
1,1,1,2,0.8845,3,1
1,1,1,2,0.62902,3,1
1,1,1,1,0.98885,1,1
1,1,1,2,0.79602,1,1
1,1,1,1,0.94783,1,1
1,1,1,1,0.82826,1,1
1,2,1,1,0.76401,1,1
1,1,1,1,0.74076,1,1
1,2,2,1,0.70122,3,1
1,1,1,1,0.59601,3,1
1,2,2,1,0.7807,2,1
1,1,1,1,1.0039,2,1
1,1,2,1,0.78079,1,1
1,2,1,1,0.78888,1,1
1,1,1,2,0.82897,2,1
1,2,2,1,0.91713,1,1
1,1,2,2,1.5227,1,1
1,2,2,2,0.93787,3,1
1,2,2,2,0.88962,1,1
1,1,1,2,0.95423,2,1
1,1,2,1,0.97752,2,1
1,2,1,1,0.84231,1,1
1,2,2,2,0.77038,3,1
1,2,1,2,0.81745,3,1
1,1,1,2,0.71394,1,1
1,1,1,1,0.96967,1,1
