Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,coherence,Accuracy,Training,Scale
1,171,148.0967,1,27.8686,27.9023,0.5,22.9033,1,four-point scale
1,256,242.0181,1.95,10.1219,9.9752,0.5,13.9819,1,continuous scale
1,7,59.4304,2.11,61.8576,3.3771,0.5,52.4304,1,continuous scale
1,21,60.8808,3,10.382,3.8508,0.5,39.8808,1,four-point scale
1,245,241.3914,2.13,11.5099,2.433,0.25,3.6086,1,continuous scale
1,319,330.0121,2,20.0932,2.6231,0.25,11.0121,1,four-point scale
1,52,28.5452,1.68,4.0006,4.6016,0.25,23.4548,1,continuous scale
1,163,211.2575,1,10.9987,2.9328,0.25,48.2575,1,four-point scale
1,133,28.0768,1.75,6.9028,2.3562,0.125,104.9232,1,continuous scale
1,51,29.4016,1.3,16.5047,4.6729,0.125,21.5984,1,continuous scale
1,322,60.1634,1,4.8348,2.6065,0.125,98.1634,1,four-point scale
1,19,27.9148,1,5.1924,2.5187,0.125,8.9148,1,four-point scale
1,259,45.5657,1,4.9043,2.1186,0.062,146.5657,1,four-point scale
1,17,30.6359,1.27,3.0313,4.7327,0.062,13.6359,1,continuous scale
1,158,28.9959,1.27,5.1564,1.9881,0.062,129.0041,1,continuous scale
1,187,29.6324,1.79,5.6943,4.8004,0.062,157.3676,1,continuous scale
1,341,315,1,6.2043,2.1766,0.031,26,1,four-point scale
1,110,149.3752,1.68,7.4557,1.957,0.031,39.3752,1,continuous scale
1,220,148.9593,1.4,7.2578,3.1346,0.031,71.0407,1,continuous scale
1,115,150.5294,1.22,3.9937,2.382,0.031,35.5294,1,continuous scale
1,340,30.0217,1,6.373,2.1947,0.016,50.0217,1,four-point scale
1,308,240.3676,1.29,6.8076,1.3449,0.016,67.6324,1,continuous scale
1,127,29.0862,1.29,8.8377,1.6693,0.016,97.9138,1,continuous scale
1,78,28.9014,1.26,3.1174,1.2472,0.016,49.0986,1,continuous scale
1,218,44.4714,1.23,9.9341,1.2691,0.25,173.5286,0,continuous scale
1,305,28.6086,1.61,2.0693,2.3923,0.125,83.6086,0,continuous scale
1,96,59.8481,1.36,4.2721,1.4677,0.062,36.1519,0,continuous scale
1,97,59.6964,1.23,2.991,1.1807,0.062,37.3036,0,continuous scale
1,206,30.2295,1.26,2.9551,1.4114,0.062,175.7705,0,continuous scale
1,107,28.9959,1.27,3.0802,1.4889,0.016,78.0041,0,continuous scale
1,35,29.7058,1.2,4.263,1.2445,0.5,5.2942,0,continuous scale
1,26,29.6324,1.27,2.1871,1.1336,0.016,3.6324,0,continuous scale
1,268,28.8849,1.29,2.5524,1.0289,0.125,120.8849,0,continuous scale
1,217,210.7205,0.82,9.4663,1.1824,0.25,6.2795,0,continuous scale
1,212,60.3541,0.49,5.178,0.9675,0.031,151.6459,0,continuous scale
1,188,209.5636,0.04,5.3886,2.4254,0.125,21.5636,0,continuous scale
1,220,241.1771,1.02,6.1,0.9369,0.062,21.1771,0,continuous scale
1,166,210.4909,0.38,3.6398,1.1007,0.016,44.4909,0,continuous scale
1,171,150.6784,0.61,3.6796,1.1584,0.25,20.3216,0,continuous scale
1,164,211.1348,0.32,3.1011,1.0265,0.031,47.1348,0,continuous scale
1,189,210.3723,0.72,2.1214,1.0912,0.25,21.3723,0,continuous scale
1,311,241.7372,0.62,6.4435,1.0332,0.031,69.2628,0,continuous scale
1,5,31.6189,0.73,5.8182,1.0485,0.5,26.6189,0,continuous scale
1,154,148.4461,0.73,4.3406,1.2695,0.25,5.5539,0,continuous scale
1,324,151.7231,0.41,5.5032,0.9434,0.125,172.2769,0,continuous scale
1,71,59.5091,0.91,3.0294,1.003,0.031,11.4909,0,continuous scale
1,111,209.8104,1.06,3.651,1.827,0.031,98.8104,0,continuous scale
1,14,211.3598,0.14,10.5566,1.7867,0.031,162.6402,0,continuous scale
1,321,30.0668,0.66,8.9705,1.1801,0.016,69.0668,0,continuous scale
1,197,61.4281,1.33,5.0934,1.1579,0.031,135.5719,0,continuous scale
1,63,59.2198,2.37,2.0704,1.0268,0.5,3.7802,0,continuous scale
1,97,30.6421,0.83,2.3441,0.9582,0.031,66.3579,0,continuous scale
1,121,119.7806,1.88,4.0009,1.2481,0.25,1.2194,0,continuous scale
1,131,119.8327,1.87,1.9999,1.3818,0.25,11.1673,0,continuous scale
1,160,240.2016,1.02,2.6802,0.8256,0.031,80.2016,0,continuous scale
1,173,149.4223,1.88,4.7331,1.3154,0.5,23.5777,0,continuous scale
1,73,150.6629,0.93,2.7674,0.8928,0.062,77.6629,0,continuous scale
1,165,180.0724,0.95,2.083,0.855,0.062,15.0724,0,continuous scale
1,294,180.0689,0.87,1.8595,0.8267,0.031,113.9311,0,continuous scale
1,212,180.5841,0.62,3.1145,0.9142,0.25,31.4159,0,continuous scale
1,347,149.0635,0.91,3.5415,0.8263,0.5,162.0635,0,continuous scale
1,270,270.0542,3,2.774,1.1225,0.5,0.0542,0,continuous scale
1,339,180.0655,1.3,2.6641,0.8681,0.016,158.9345,0,continuous scale
1,64,166.4243,0.93,3.886,0.8273,0.031,102.4243,0,continuous scale
1,125,149.7934,1.87,3.4866,1.2487,0.25,24.7934,0,continuous scale
1,291,300.4428,2.07,4.0316,0.9821,0.5,9.4428,0,continuous scale
1,237,240.3676,0.86,4.9748,0.9812,0.125,3.3676,0,continuous scale
1,84,328.9505,1.09,3.9681,1.3377,0.031,115.0495,0,continuous scale
