Subj_idx,Stimulus,Response,Confidence,Visibility,RT_dec,contrast,Accuracy,Training,ScaleOrder
1,1,1,-8.1224,-8.1224,5.4479,5,1,1,Visibility first
1,1,2,-1.8805,-0.651,3.1257,5.5,0,1,Visibility first
1,2,2,-2.6371,-2.6371,3.1498,3.9,1,1,Visibility first
1,1,1,-1.1239,-2.9208,2.9776,2.2,1,1,Visibility first
1,1,1,-2.7317,-0.8402,1.5231,5.5,1,1,Visibility first
1,1,1,-4.9069,-4.6232,3.0502,5.5,1,1,Visibility first
1,2,1,-4.7177,-2.7317,4.003,3.9,0,1,Visibility first
1,2,1,-4.6232,-1.1239,1.3035,0,0,1,Visibility first
1,2,2,8.3343,3.4164,2.3148,6.9,1,1,Visibility first
1,2,2,7.5777,4.3622,2.2055,6.9,1,1,Visibility first
1,2,2,5.3079,6.8211,0.8067,6.9,1,1,Visibility first
1,1,1,12.0231,12.0231,2.1038,6.9,1,1,Visibility first
1,1,2,2.0924,1.0521,2.9663,3.9,0,1,Visibility first
1,1,2,-3.3937,-1.1239,2.2334,0,0,1,Visibility first
1,1,2,-8.6899,-6.1364,1.9484,2.2,0,1,Visibility first
1,2,1,-10.1085,-8.6899,2.989,0,0,1,Visibility first
1,2,2,-6.9875,-4.434,1.3722,2.2,1,1,Visibility first
1,1,1,9.4692,9.4692,2.983,6.9,1,1,Visibility first
1,1,2,-7.9333,-6.4201,3.4998,5,0,1,Visibility first
1,1,1,4.4567,1.6195,1.3256,5.5,1,1,Visibility first
1,1,1,0.0117,0.0117,1.2421,3.9,1,1,Visibility first
1,1,1,9.7529,10.0367,1.7086,5,1,1,Visibility first
1,1,1,12.0231,12.0231,1.3405,5.5,1,1,Visibility first
1,1,1,3.0381,3.0381,1.5372,2.2,1,1,Visibility first
1,1,1,-1.9751,-1.2185,2.0598,3.9,1,1,Visibility first
1,1,1,0.0117,0.0117,1.1729,5,1,1,Visibility first
1,1,1,12.0231,12.0231,1.2021,5.5,1,1,Visibility first
1,1,1,12.0231,12.0231,1.0647,5,1,1,Visibility first
1,1,1,1.4304,1.5249,1.2344,3.9,1,1,Visibility first
1,2,1,-1.1239,-1.1239,1.4187,0,0,1,Visibility first
1,2,1,-8.879,-7.3658,2.2753,0,0,1,Visibility first
1,2,2,12.0231,12.0231,1.2246,5.5,1,1,Visibility first
1,1,2,-8.6899,-7.1767,4.9173,2.2,0,1,Visibility first
1,1,2,-10.4868,-10.4868,1.6604,2.2,0,1,Visibility first
1,2,2,12.0231,12.0231,2.2936,6.9,1,1,Visibility first
1,2,2,12.0231,12.0231,1.1437,6.9,1,1,Visibility first
1,2,2,-10.2031,-9.9194,1.9004,0,1,1,Visibility first
1,1,2,-10.4868,-10.3922,1.2129,0,0,1,Visibility first
1,1,1,12.0231,12.0231,0.8603,5,1,1,Visibility first
1,1,2,-9.6356,-9.4465,1.6511,2.2,0,1,Visibility first
1,1,1,12.0231,12.0231,0.9028,5,1,1,Visibility first
1,2,2,0.39,0.6738,1.5519,3.9,1,1,Visibility first
1,2,2,4.0784,4.2676,3.1781,6.9,1,0,Visibility first
1,1,2,-3.6774,-1.9751,2.1639,2.2,0,0,Visibility first
