Subj_idx,Stimulus,Response,Confidence,RT_decConf,difficulty,Accuracy,Training
1,1,1,0,8.8276,0.1333,1,1
1,1,1,-0.0235,5.1573,0.0667,1,1
1,2,2,-0.1641,5.0824,0.0333,1,1
1,2,1,0,9.5987,0.0167,0,1
1,1,1,0,3.9744,0.0083,1,1
1,2,1,0,4.0991,0.1333,0,1
1,1,2,0.0794,4.366,0.0667,0,1
1,1,1,0,5.7826,0.0333,1,1
1,2,1,-0.0235,3.1574,0.0167,0,1
1,1,1,-0.125,2.9411,0.0083,1,1
1,1,1,-0.0625,2.8742,0.1333,1,1
1,2,2,0.0794,4.3407,0.0667,1,1
1,1,2,0,4.0408,0.0333,0,1
1,1,1,0,5.8326,0.0167,1,1
1,2,1,-0.0781,4.6741,0.0083,0,1
1,1,2,0,3.3827,0.1333,0,1
1,2,1,-0.0235,6.7825,0.0667,0,1
1,1,2,-0.0391,2.9077,0.0333,0,1
1,1,1,0.2381,5.8992,0.0167,1,1
1,1,1,0,4.7157,0.0083,1,1
1,2,1,0,3.4324,0.1333,0,1
1,1,2,0.0159,3.0078,0.0667,0,1
1,2,1,-0.0781,3.5909,0.0333,0,1
1,1,2,0,2.9244,0.0167,0,1
1,1,2,-0.0781,2.716,0.0083,0,1
1,1,1,0,3.8244,0.1333,1,1
1,1,1,-0.125,2.7824,0.0667,1,1
1,1,2,-0.0625,3.0908,0.0333,0,1
1,2,1,-0.1406,3.6493,0.0167,0,1
1,2,2,-0.1016,6.7325,0.0083,1,1
1,2,2,-0.1875,4.1991,0.1333,1,1
1,2,1,-0.125,4.3991,0.0667,0,1
1,1,1,-0.0781,3.0577,0.0333,1,1
1,1,1,-0.0235,4.5741,0.0167,1,1
1,1,2,0,3.7325,0.0083,0,1
1,1,1,-0.0781,5.3909,0.1333,1,1
1,1,1,-0.125,5.5074,0.0667,1,1
1,2,1,-0.1641,3.7489,0.0333,0,1
1,2,2,0,3.791,0.0167,1,1
1,1,1,-0.1094,2.9242,0.0083,1,1
1,1,1,-0.1406,2.7326,0.1333,1,1
1,2,2,0.0635,3.8575,0.0667,1,1
1,1,2,-0.1719,3.0658,0.0333,0,1
1,1,1,-0.2656,3.6327,0.0167,1,1
1,2,1,-0.1016,4.1074,0.0083,0,1
1,1,1,0,5.2409,0.1333,1,1
1,1,2,-0.1094,4.549,0.0667,0,1
1,1,1,-0.1719,3.566,0.0333,1,1
1,2,1,-0.0781,3.6075,0.0167,0,1
1,1,1,-0.0781,9.7407,0.0083,1,1
1,1,1,-0.1641,18.6731,0.1333,1,1
1,2,2,-0.0469,5.024,0.0667,1,1
1,1,1,0,6.649,0.0333,1,1
1,2,2,0,4.2408,0.0167,1,1
1,2,1,-0.1485,3.2158,0.0083,0,1
1,2,2,0,5.1659,0.1333,1,1
1,1,2,-0.125,4.4991,0.0667,0,1
1,1,1,0,3.0744,0.0333,1,1
1,1,1,-0.0391,4.0741,0.0167,1,1
1,2,1,0,3.0408,0.0083,0,1
1,1,2,-0.1016,4.2535,0.0167,0,0
1,2,1,-0.1016,2.9744,0.0333,0,0
1,1,1,0.127,6.1909,0.0167,1,0
1,1,1,-0.0625,4.3824,0.0083,1,0
1,2,2,-0.1485,3.8574,0.0667,1,0
1,1,1,-0.375,3.2158,0.0167,1,0
1,1,1,-0.211,3.0242,0.1333,1,0
1,2,2,-0.1094,2.9575,0.0333,1,0
1,2,1,-0.5156,3.6825,0.0083,0,0
1,1,2,-0.2344,2.6578,0.0667,0,0
1,2,2,-0.2891,2.7661,0.1333,1,0
1,2,1,-0.375,3.6825,0.0167,0,0
1,1,1,-0.3281,5.9659,0.0333,1,0
1,1,1,-0.375,3.7157,0.0083,1,0
1,1,1,-0.5625,3.4492,0.0333,1,0
1,2,1,-0.375,2.9659,0.1333,0,0
1,1,2,-0.3906,4.3076,0.1333,0,0
1,2,1,-0.5547,2.6911,0.0167,0,0
1,1,1,-0.5,3.2911,0.0333,1,0
1,2,1,-0.7657,3.8491,0.0667,0,0
1,2,2,-0.2266,6.6492,0.0667,1,0
1,1,2,-0.2266,5.0074,0.0083,0,0
1,1,2,-0.4141,4.3327,0.0333,0,0
1,2,2,-0.1719,3.3911,0.0667,1,0
1,2,2,-0.3281,2.7492,0.1333,1,0
1,2,2,-0.1406,2.9991,0.1333,1,0
1,2,2,-0.3672,3.3575,0.0083,1,0
1,2,1,-0.3281,4.1074,0.1333,0,0
1,1,2,-0.211,3.166,0.0083,0,0
1,2,1,-0.3672,3.666,0.0083,0,0
1,1,1,-0.3906,3.766,0.0667,1,0
1,1,1,-0.375,3.4992,0.0083,1,0
1,2,1,-0.375,3.6575,0.0667,0,0
1,1,2,-0.0625,6.3909,0.0333,0,0
1,2,1,-0.2266,2.4411,0.0667,0,0
1,2,2,-0.1485,6.1659,0.0083,1,0
1,1,2,-0.1016,4.3574,0.0167,0,0
1,1,1,-0.3516,4.9243,0.1333,1,0
1,1,1,-0.2969,4.5408,0.0333,1,0
1,2,1,-0.4531,3.8741,0.1333,0,0
1,1,2,-0.1016,3.1161,0.0667,0,0
1,2,1,-0.2891,7.8991,0.0667,0,0
1,2,2,-0.1875,3.2077,0.1333,1,0
1,1,1,-0.2969,3.2158,0.0083,1,0
1,1,2,-0.2266,3.9074,0.1333,0,0
1,1,1,-0.3985,3.3411,0.0167,1,0
1,2,1,-0.4141,3.2992,0.0167,0,0
1,1,2,-0.25,3.3994,0.0667,0,0
1,2,2,-0.3906,2.5744,0.0333,1,0
1,1,1,-0.3985,4.8657,0.0083,1,0
1,1,1,-0.3516,3.4658,0.0333,1,0
1,2,1,-0.3281,3.5575,0.1333,0,0
1,1,1,-0.4375,3.0745,0.0167,1,0
1,2,2,-0.1016,3.5658,0.0333,1,0
1,1,2,-0.1719,3.2992,0.0167,0,0
1,2,1,-0.4141,5.6492,0.0167,0,0
1,2,2,-0.211,3.4827,0.0167,1,0
1,1,1,-0.5,4.8491,0.0083,1,0
1,1,1,-0.336,3.2075,0.0333,1,0
1,2,1,-0.1485,4.0491,0.0667,0,0
1,2,2,-0.2735,7.2119,0.1333,1,0
1,2,2,-0.336,4.1657,0.0333,1,0
1,1,2,-0.1406,3.6824,0.0667,0,0
1,2,1,-0.2344,3.916,0.0083,0,0
1,1,2,-0.086,5.7159,0.0167,0,0
1,2,2,-0.1094,5.5076,0.1333,1,0
1,2,2,-0.336,2.6325,0.0083,1,0
1,1,1,-0.1719,4.0325,0.0167,1,0
1,1,2,-0.1094,3.6158,0.1333,0,0
1,2,2,-0.1485,3.966,0.1333,1,0
1,1,1,-0.1406,5.624,0.1333,1,0
1,2,2,-0.1016,3.8491,0.1333,1,0
1,1,2,-0.086,4.7324,0.0083,0,0
1,2,1,-0.0235,2.9661,0.0667,0,0
1,2,2,0,3.2577,0.0083,1,0
1,1,1,-0.0235,4.0408,0.0167,1,0
1,2,1,-0.0625,4.2658,0.0167,0,0
1,1,2,0.0318,2.8327,0.1333,0,0
1,1,1,-0.1016,4.5993,0.0167,1,0
1,2,2,-0.0235,4.1658,0.0167,1,0
1,1,2,0,3.8991,0.0167,0,0
1,2,1,0,3.1411,0.0083,0,0
1,2,2,-0.0625,3.9577,0.0333,1,0
1,1,1,0,5.1739,0.1333,1,0
1,1,1,-0.1406,5.6406,0.1333,1,0
1,1,2,0,2.8076,0.0083,0,0
1,1,1,-0.0391,3.4494,0.0333,1,0
1,2,2,0.0159,3.4575,0.1333,1,0
1,1,2,0,6.324,0.0333,0,0
1,2,1,-0.1016,3.9743,0.0333,0,0
1,2,2,0,3.2661,0.0667,1,0
1,2,2,0,4.9324,0.0083,1,0
1,1,1,0,4.4741,0.1333,1,0
1,2,1,-0.086,3.7991,0.0333,0,0
1,1,2,0,3.5494,0.0083,0,0
1,1,1,-0.1875,4.341,0.0333,1,0
1,2,1,-0.0469,3.7324,0.0667,0,0
1,2,2,0,3.1994,0.0667,1,0
1,1,1,-0.1641,3.9991,0.0333,1,0
1,2,1,-0.1406,3.3992,0.1333,0,0
1,1,2,0,3.5577,0.0333,0,0
1,1,1,-0.2266,2.4161,0.0333,1,0
1,1,2,0,4.0991,0.0167,0,0
1,2,1,-0.1641,3.341,0.0333,0,0
1,2,1,0.0159,2.5244,0.0333,0,0
1,1,2,-0.0469,3.891,0.0167,0,0
1,2,2,-0.1641,3.3327,0.0667,1,0
1,1,1,-0.375,4.7824,0.0667,1,0
1,1,1,-0.5625,8.5988,0.0667,1,0
1,2,1,-0.2969,3.6741,0.0667,0,0
1,2,2,0,3.1577,0.0083,1,0
1,2,2,0,4.9074,0.0083,1,0
1,1,1,-0.4375,4.8074,0.0083,1,0
1,2,2,0,6.0157,0.0667,1,0
1,2,1,-0.3516,5.2241,0.0667,0,0
1,1,2,0,3.766,0.0167,0,0
1,2,1,-0.3516,2.4994,0.0167,0,0
1,1,2,-0.1094,3.466,0.0167,0,0
1,1,1,-0.5235,4.0077,0.0083,1,0
1,1,2,-0.0625,4.9157,0.0667,0,0
1,1,1,-0.4922,4.8122,0.0083,1,0
1,2,1,-0.1406,3.5575,0.0333,0,0
1,1,2,-0.0391,2.9577,0.1333,0,0
1,2,1,-0.586,5.8909,0.0167,0,0
1,1,1,0.0635,4.1494,0.0667,1,0
1,1,1,-0.086,4.8991,0.0333,1,0
1,1,2,0,3.7408,0.0083,0,0
1,2,2,0,2.466,0.0083,1,0
1,1,2,-0.0469,3.4908,0.0333,0,0
1,2,2,-0.0391,2.8577,0.0667,1,0
1,2,2,-0.1094,2.9992,0.0667,1,0
1,1,2,-0.3985,3.5492,0.0333,0,0
1,1,2,-0.5547,4.2493,0.0167,0,0
1,2,1,-0.1485,4.141,0.0667,0,0
1,2,1,-0.0469,7.9491,0.0083,0,0
1,1,2,0.1111,3.5994,0.1333,0,0
1,2,2,-0.25,2.9328,0.0167,1,0
1,1,2,-0.5547,3.0325,0.1333,0,0
1,1,1,-0.4297,4.2243,0.0333,1,0
1,2,1,0,4.2741,0.0083,0,0
1,2,2,-0.0391,3.4911,0.0667,1,0
1,2,1,-0.4375,3.9408,0.0333,0,0
1,2,1,0.1429,4.0744,0.0333,0,0
1,1,1,-0.625,3.7577,0.0083,1,0
1,1,2,0,4.5241,0.0167,0,0
1,2,1,-0.3125,3.0744,0.0083,0,0
1,1,2,-0.0391,4.6993,0.1333,0,0
1,2,1,-0.5391,3.5244,0.0083,0,0
1,1,2,-0.0781,2.9827,0.0667,0,0
1,1,2,-0.461,3.141,0.1333,0,0
1,2,2,-0.461,2.8161,0.0667,1,0
1,1,2,0,3.0825,0.1333,0,0
1,2,1,-0.1875,3.3494,0.0167,0,0
1,1,2,-0.1406,3.1494,0.1333,0,0
1,2,1,-0.5235,4.6743,0.0167,0,0
1,1,1,0.127,3.691,0.1333,1,0
1,2,1,0.0952,3.5574,0.0667,0,0
1,1,1,-0.3906,3.9077,0.0167,1,0
1,1,1,0,3.4324,0.0333,1,0
1,1,2,-0.211,4.5324,0.0667,0,0
1,2,2,-0.4141,3.1077,0.1333,1,0
1,2,2,-0.0391,3.2491,0.0667,1,0
1,1,1,-0.1719,4.8324,0.0333,1,0
1,2,1,0.4206,5.724,0.0167,0,0
1,2,1,-0.75,3.3494,0.1333,0,0
1,1,2,-0.1016,3.2661,0.0083,0,0
1,2,1,-0.375,3.4827,0.0333,0,0
1,1,2,-0.3281,3.3411,0.0167,0,0
1,1,1,0.0635,3.716,0.0167,1,0
1,1,1,-0.1485,3.1743,0.1333,1,0
1,1,1,-0.4375,3.8658,0.0167,1,0
1,1,1,0,4.2991,0.0083,1,0
1,2,1,-0.375,4.5991,0.0083,0,0
1,2,2,-0.1406,3.1161,0.0083,1,0
1,2,2,-0.5235,2.7992,0.0167,1,0
1,1,2,0.4047,3.6825,0.0333,0,0
1,2,1,-0.1094,3.6744,0.1333,0,0
1,1,2,-0.125,3.3411,0.0667,0,0
1,1,2,-0.3281,3.2744,0.0333,0,0
1,2,2,-0.3125,2.2995,0.0667,1,0
1,1,1,-0.0235,4.2705,0.0167,1,0
1,2,1,-0.1016,3.7158,0.1333,0,0
1,2,2,-0.1016,3.966,0.0167,1,0
1,1,1,-0.1485,3.5908,0.0333,1,0
1,2,1,-0.461,3.2992,0.0167,0,0
1,2,2,-0.1406,4.2577,0.1333,1,0
1,1,1,-0.2266,3.1408,0.0083,1,0
1,2,2,-0.1641,3.5825,0.0167,1,0
1,1,2,-0.2656,2.9659,0.1333,0,0
1,2,2,-0.2656,3.3994,0.0667,1,0
1,1,1,-0.2031,3.8908,0.1333,1,0
1,1,2,0,2.8492,0.0667,0,0
1,1,1,-0.1875,3.416,0.0333,1,0
1,2,2,0,3.1492,0.0667,1,0
1,1,2,-0.3125,3.0492,0.0333,0,0
1,1,2,0.0318,3.3327,0.0667,0,0
1,1,1,-0.0235,3.616,0.0083,1,0
1,1,1,-0.4375,3.3825,0.0167,1,0
1,1,2,0,4.6241,0.0333,0,0
1,2,1,0,3.3911,0.0083,0,0
1,2,2,0.1111,3.4161,0.0667,1,0
1,1,1,-0.4141,6.0323,0.0667,1,0
1,1,2,-0.0469,2.9909,0.0167,0,0
1,2,2,-0.0469,4.416,0.0083,1,0
1,2,1,-0.3985,4.3074,0.0167,0,0
1,2,2,-0.3985,4.5577,0.0083,1,0
1,2,2,-0.7032,3.6991,0.0667,1,0
1,1,1,0.4683,5.3907,0.0667,1,0
1,2,2,0.0318,6.2157,0.1333,1,0
1,1,1,0.1429,5.024,0.0167,1,0
1,1,1,0,3.7825,0.0083,1,0
1,1,2,0,3.1158,0.0667,0,0
1,2,2,-0.25,3.0578,0.0333,1,0
1,1,1,-0.1719,3.3408,0.0333,1,0
1,2,2,0.3254,3.5158,0.0083,1,0
1,1,1,-0.1016,4.5907,0.0167,1,0
1,1,2,0,3.4075,0.1333,0,0
1,1,1,0.254,4.0577,0.0083,1,0
1,2,2,-0.0391,4.2407,0.0083,1,0
1,1,2,-0.3516,5.1158,0.0333,0,0
1,1,1,-0.0625,4.391,0.0667,1,0
1,1,2,-0.0235,4.299,0.0083,0,0
1,2,1,-0.25,3.4909,0.0083,0,0
1,2,2,-0.0469,3.1244,0.0167,1,0
1,2,1,0.3413,3.6741,0.0667,0,0
1,2,2,-0.2735,5.8909,0.1333,1,0
1,1,2,-0.2735,3.0742,0.0333,0,0
1,2,1,-0.3516,3.6494,0.0167,0,0
1,1,2,0,3.1909,0.1333,0,0
1,1,2,0.1746,3.5744,0.0333,0,0
1,1,2,-0.2266,2.8994,0.1333,0,0
1,2,2,-0.4375,3.1494,0.1333,1,0
1,2,1,0.1905,6.3989,0.0667,0,0
1,1,1,0.3413,4.291,0.0167,1,0
1,2,1,-0.586,6.5906,0.0083,0,0
1,2,2,-0.2891,4.7243,0.1333,1,0
1,2,1,0.3175,5.2906,0.0333,0,0
1,2,2,-0.1485,2.9494,0.0333,1,0
1,1,1,0.2063,4.6824,0.1333,1,0
1,2,2,-0.4141,4.3075,0.0333,1,0
1,1,2,-0.5781,7.3704,0.0083,0,0
1,1,1,0.254,5.0908,0.0667,1,0
1,2,2,-0.3281,3.6908,0.0167,1,0
1,1,2,-0.5235,3.0742,0.0333,0,0
1,1,2,-0.086,4.9076,0.0333,0,0
1,1,1,-0.336,3.4994,0.1333,1,0
1,2,1,0.3571,3.6741,0.0667,0,0
1,1,1,-0.6407,5.3993,0.0333,1,0
1,1,2,-0.0781,4.9157,0.0167,0,0
1,2,1,0,4.6243,0.0083,0,0
1,1,1,-0.4375,3.5993,0.0667,1,0
1,2,1,0.0476,5.7907,0.1333,0,0
1,1,2,-0.336,4.5743,0.1333,0,0
1,2,1,-0.4297,2.9661,0.0083,0,0
1,1,2,-0.0235,3.0078,0.0167,0,0
1,1,2,-0.3516,2.9494,0.0083,0,0
1,1,1,-0.461,3.0827,0.0333,1,0
1,1,2,-0.0235,3.2158,0.0667,0,0
1,1,1,0.1587,4.466,0.0667,1,0
1,2,2,0.3571,4.5491,0.1333,1,0
1,1,2,-0.4922,5.4823,0.0083,0,0
1,1,1,0.3571,4.2243,0.0083,1,0
1,2,1,-0.2031,3.9823,0.0333,0,0
1,2,2,0.1111,3.816,0.0667,1,0
1,2,2,-0.4531,2.7992,0.0167,1,0
1,1,1,-0.586,3.1908,0.1333,1,0
1,2,1,0.0476,3.8408,0.0167,0,0
1,2,2,0.3016,3.8244,0.1333,1,0
1,2,1,0.7302,4.4158,0.0167,0,0
1,1,2,0.4365,3.4077,0.1333,0,0
1,2,1,-0.125,3.4661,0.0333,0,0
1,1,1,-0.75,5.1826,0.0667,1,0
1,1,2,-0.0235,3.1658,0.0667,0,0
1,1,2,-0.0625,4.516,0.0333,0,0
1,1,1,-0.3985,2.7994,0.0667,1,0
1,2,2,0,3.2825,0.0167,1,0
1,1,2,-0.1641,2.8409,0.0333,0,0
1,2,1,0.2857,4.266,0.0167,0,0
1,1,2,-0.2266,6.5742,0.0167,0,0
1,2,2,-0.375,3.691,0.0667,1,0
1,1,1,-0.4922,4.5241,0.0083,1,0
1,1,2,0.3175,6.5323,0.0083,0,0
1,1,1,-0.2344,3.6577,0.0167,1,0
1,1,2,-0.0391,3.5741,0.0083,0,0
1,2,2,-0.375,3.5161,0.0333,1,0
1,2,1,0.373,7.2489,0.1333,0,0
1,1,2,-0.2891,3.2577,0.1333,0,0
1,2,1,0,9.099,0.0333,0,0
1,1,1,-0.6407,4.5743,0.1333,1,0
1,1,2,0.1587,3.5325,0.1333,0,0
1,2,2,-0.4375,2.9244,0.0167,1,0
1,2,1,0.3254,4.9824,0.1333,0,0
1,1,2,-0.5235,3.366,0.0083,0,0
1,1,1,0.2222,3.891,0.0083,1,0
1,1,2,-0.25,4.2074,0.0333,0,0
1,1,1,-0.5781,3.4827,0.0667,1,0
1,1,2,-0.5781,4.7074,0.0333,0,0
1,1,1,0.5317,4.6493,0.0667,1,0
1,1,1,-0.4766,4.7074,0.0083,1,0
1,1,1,-0.336,3.0575,0.0167,1,0
1,2,2,-0.2344,3.4622,0.0667,1,0
1,2,1,0.3254,4.949,0.0083,0,0
1,2,2,-0.3906,3.716,0.0333,1,0
1,2,1,0.254,4.0158,0.1333,0,0
1,1,2,-0.4297,3.4327,0.1333,0,0
1,2,1,-0.5781,3.7244,0.0083,0,0
1,1,2,-0.336,3.3411,0.0083,0,0
