Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,difficulty,Accuracy,Training
1,2,1,-1,17.2658,4.3573,0.1333,0,1
1,2,2,-1,9.008,1.5243,0.0667,1,1
1,1,1,-1,6.3414,1.2744,0.0333,1,1
1,1,1,-1,2.4499,1.0829,0.0167,1,1
1,1,2,-1,2.9083,1.2327,0.0083,0,1
1,2,2,0.254,4.6665,2.9993,0.1333,1,1
1,2,1,-1,2.4001,2.3243,0.0667,0,1
1,2,2,-1,2.1418,1.6826,0.0333,1,1
1,2,1,-1,1.5168,1.3243,0.0167,0,1
1,1,1,-1,1.3668,0.991,0.0083,1,1
1,2,2,0.3016,4.5749,3.8159,0.1333,1,1
1,2,1,-1,4.5832,1.3744,0.0667,0,1
1,1,1,-1,2.9,0.8661,0.0333,1,1
1,1,2,-1,5.1832,0.7827,0.0167,0,1
1,1,1,-1,0.5918,1.0411,0.0083,1,1
1,2,2,0.3016,5.1332,2.3243,0.1333,1,1
1,2,1,-0.2969,2.4501,1.6576,0.0667,0,1
1,1,2,0,2.325,3.0076,0.0333,0,1
1,1,1,-0.5235,2.7833,2.166,0.0167,1,1
1,2,1,-1,1.2417,0.9742,0.0083,0,1
1,2,2,0.2063,1.3668,4.1575,0.1333,1,1
1,1,2,0.2063,2.1667,0.6661,0.0667,0,1
1,2,1,-0.6953,2.1001,1.641,0.0333,0,1
1,2,2,0.6667,1.2085,1.191,0.0167,1,1
1,2,1,-0.961,2.3751,1.716,0.0083,0,1
1,2,2,0.7302,1.4501,0.9493,0.1333,1,1
1,1,1,0.3333,1.3417,1.3328,0.0667,1,1
1,1,2,0.3492,1.6667,0.5995,0.0333,0,1
1,2,1,-0.7266,2.1167,1.8743,0.0167,0,1
1,2,2,-0.6953,1.3251,3.141,0.0083,1,1
1,2,2,0.8968,1.0585,1.4827,0.1333,1,1
1,2,2,0.9127,1.3835,1.0744,0.0667,1,1
1,1,1,-1,1.5917,1.2327,0.0333,1,1
1,1,1,-1,2.0917,1.041,0.0167,1,1
1,2,1,-1,3.7833,1.1161,0.0083,0,1
1,1,1,1,1.3167,1.2828,0.1333,1,1
1,1,1,-1,1.3668,0.7577,0.0667,1,1
1,1,1,0.4603,1.6334,2.4993,0.0333,1,1
1,2,2,-0.5781,1.6251,1.6242,0.0167,1,1
1,2,1,0.5079,1.7251,1.6077,0.0083,0,1
1,2,2,0.8016,1.2834,2.591,0.1333,1,1
1,2,2,0.6825,0.9501,2.991,0.0667,1,1
1,1,1,-0.7266,1.65,1.3411,0.0333,1,1
1,2,1,0.7619,1.9501,1.3994,0.0167,0,1
1,1,1,-0.0781,1.3919,1.1243,0.0083,1,1
1,1,1,1,0.9752,1.166,0.1333,1,1
1,1,1,1,1.3335,0.9994,0.0667,1,1
1,1,1,-1,1.7001,1.316,0.0333,1,1
1,2,2,0.3651,2.7833,1.4161,0.0167,1,1
1,1,1,0.7063,1.9084,1.0327,0.0083,1,1
1,2,2,1,2.2417,0.9411,0.1333,1,1
1,1,1,0.5714,0.9085,2.2243,0.0667,1,1
1,1,1,-0.7266,1.7335,1.041,0.0333,1,1
1,2,2,0.9286,1.2668,1.8244,0.0167,1,1
1,1,1,0.4683,1.4251,3.6576,0.0083,1,1
1,2,2,1,0.8918,0.9911,0.1333,1,1
1,2,1,-0.4375,2.725,1.9327,0.0667,0,1
1,2,1,-0.9375,2.2918,1.8992,0.0333,0,1
1,1,1,-0.625,1.0502,1.1993,0.0167,1,1
1,1,1,-0.4453,1.9083,2.6327,0.0083,1,1
1,1,1,-0.6875,1.9501,2.0991,0.0667,1,0
1,2,1,-0.5625,1.4752,0.7077,0.0083,0,0
1,1,1,1,1.8084,1.966,0.1333,1,0
1,1,1,-0.6875,3.575,3.2493,0.0167,1,0
1,2,2,-0.6407,5.6249,1.4077,0.0333,1,0
1,2,1,0.6032,0.8419,3.2325,0.0667,0,0
1,1,1,-0.8672,1.2668,1.6494,0.0333,1,0
1,2,1,1,2.1917,1.0077,0.0667,0,0
1,1,1,1,1.2418,1.016,0.1333,1,0
1,2,2,1,3.4166,1.3577,0.0333,1,0
1,2,1,-0.875,3.7,1.7494,0.0333,0,0
1,1,1,0.754,1.4917,0.9161,0.0667,1,0
1,1,2,-0.1172,2.5917,0.8077,0.0333,0,0
1,1,1,0.9603,0.8919,0.9743,0.1333,1,0
1,2,1,-0.8594,3.5749,1.0244,0.0083,0,0
1,2,1,1,1.7918,1.0493,0.0667,0,0
1,1,1,0.7698,1.5251,0.9244,0.0667,1,0
1,1,2,-0.8985,1.8084,0.9077,0.0333,0,0
1,1,1,-0.961,2.85,0.8495,0.0333,1,0
1,1,1,-0.8203,2.7918,1.066,0.0083,1,0
1,2,1,-1,1.6085,2.141,0.0083,0,0
1,1,1,0.7063,1.4251,1.0661,0.1333,1,0
1,2,1,-0.961,1.3251,2.3994,0.0083,0,0
1,2,1,-0.6953,0.7585,0.6411,0.0167,0,0
1,2,2,0.8254,1.2918,1.4744,0.1333,1,0
1,2,2,0.8492,1.4001,0.9744,0.0667,1,0
1,1,1,0.4365,1.0169,1.0659,0.0667,1,0
1,1,1,-1,0.9335,0.9995,0.0083,1,0
1,2,1,0.4444,1.4084,1.1494,0.0667,0,0
1,2,2,-0.7735,1.3251,2.091,0.0167,1,0
1,2,1,-0.8672,1.9751,1.0327,0.0167,0,0
1,2,2,1,0.7252,1.1411,0.1333,1,0
1,1,1,0.6905,0.9418,0.8577,0.1333,1,0
1,1,1,0.6984,0.8085,1.1661,0.1333,1,0
1,1,1,-1,1.3334,0.9411,0.0333,1,0
1,2,1,0.2619,1.1751,1.6327,0.0667,0,0
1,1,1,0.4444,1.4251,1.6327,0.0667,1,0
1,2,1,-1,1.2668,0.8828,0.0083,0,0
1,2,1,-1,1.0584,1.2494,0.0083,0,0
1,2,2,0.8809,1.0251,1.1911,0.1333,1,0
1,2,2,-0.9141,1.1834,1.4244,0.0333,1,0
1,2,2,-1,1.1168,2.6826,0.0167,1,0
1,2,2,-1,0.8668,0.9911,0.0167,1,0
1,2,2,-0.6485,4.6583,1.516,0.0167,1,0
1,2,1,-0.8438,1.5835,1.0244,0.0167,0,0
1,1,2,0.6667,1.6668,1.616,0.0083,0,0
1,1,2,-0.8438,1.3168,1.0577,0.0167,0,0
1,1,1,-0.711,0.3169,1.0911,0.0083,1,0
1,1,1,0.3571,1.2335,1.0577,0.1333,1,0
1,2,1,-0.7188,1.3335,1.5076,0.0083,0,0
1,1,1,-0.9453,0.7669,1.1744,0.0167,1,0
1,1,1,-0.8125,1.1002,1.0244,0.0167,1,0
1,1,1,0.7222,1.4418,1.0494,0.1333,1,0
1,2,1,-0.6875,2.2167,1.491,0.0333,0,0
1,1,1,-0.711,0.5002,1.541,0.0333,1,0
1,1,1,0.6428,1.2751,1.4077,0.0667,1,0
1,2,2,1,1.0501,0.9577,0.1333,1,0
1,1,1,-0.6016,1.0002,0.9744,0.0083,1,0
1,2,1,-0.9375,1.1419,0.8827,0.0333,0,0
1,2,1,-0.6953,0.4919,2.0743,0.0167,0,0
1,2,1,-0.8594,1.0835,2.5324,0.0167,0,0
1,2,1,-0.7969,0.9001,1.0994,0.0167,0,0
1,1,1,-0.9844,1.3418,1.1827,0.0083,1,0
1,2,2,0.3175,0.8335,0.6995,0.0667,1,0
1,2,1,-1,2.0501,0.8077,0.0667,0,0
1,1,1,-0.6953,0.3419,1.0411,0.0083,1,0
1,1,1,-1,0.5502,1.1911,0.0083,1,0
1,1,1,-0.8203,0.9752,1.166,0.0083,1,0
1,2,1,-0.8907,2.2167,1.1327,0.0333,0,0
1,1,1,0.6032,0.9502,0.966,0.0667,1,0
1,1,1,-0.9219,0.8835,0.7494,0.0333,1,0
1,1,1,-0.9141,0.8919,0.791,0.0333,1,0
1,1,1,0.3809,3.4083,1.1577,0.1333,1,0
1,2,1,0.3175,1.0918,0.7495,0.0667,0,0
1,2,1,-0.8438,1.0251,1.2661,0.0083,0,0
1,1,1,1,2.0417,0.8994,0.1333,1,0
1,2,1,-0.5781,0.8584,0.8244,0.0333,0,0
1,1,1,0.5317,0.7751,1.1578,0.0667,1,0
1,1,1,0.5,0.8501,0.8494,0.0667,1,0
1,1,1,-0.5703,1.3251,2.9825,0.0667,1,0
1,1,1,-0.4453,0.7418,1.2911,0.1333,1,0
1,2,2,0.6032,1.0502,0.8577,0.1333,1,0
1,1,1,-0.8985,1.1501,1.1661,0.0167,1,0
1,1,1,-0.6953,1.8334,1.2161,0.0167,1,0
1,1,1,-0.8672,1.3251,1.4327,0.0083,1,0
1,1,1,-0.9141,0.6835,2.4576,0.0333,1,0
1,2,2,0.8016,0.7668,0.9827,0.1333,1,0
1,2,1,-0.8594,1.5418,1.1577,0.0083,0,0
1,2,1,-0.8438,0.7668,0.9244,0.0667,0,0
1,1,1,0.5238,0.9418,0.9827,0.1333,1,0
1,2,2,-0.7735,1.9251,2.3826,0.0333,1,0
1,2,1,-1,0.9918,1.1828,0.0333,0,0
1,1,1,0.8174,0.8668,1.291,0.1333,1,0
1,2,2,0.9048,0.8918,0.8744,0.1333,1,0
1,2,1,-1,1.5417,1.0911,0.0083,0,0
1,1,2,0.5317,2.0001,1.2827,0.0083,0,0
1,2,1,-0.875,1.0918,1.0494,0.1333,0,0
1,1,2,-1,2.3334,2.0493,0.0167,0,0
1,1,1,0.8016,2.6834,1.2827,0.1333,1,0
1,1,1,-1,1.0252,1.1244,0.0083,1,0
1,1,1,-1,0.6585,1.591,0.0167,1,0
1,1,1,-0.7969,0.7084,1.4994,0.0167,1,0
1,1,1,0.7222,0.7917,1.3662,0.0667,1,0
1,2,2,0.6111,0.9835,0.7244,0.0667,1,0
1,1,1,0.3492,1.5668,1.3576,0.0667,1,0
1,1,1,0.8809,0.7335,1.3577,0.1333,1,0
1,1,1,-0.9141,5.0749,1.2577,0.0083,1,0
1,2,1,-1,1.3918,1.3661,0.0333,0,0
1,2,1,-0.9375,0.5502,0.7244,0.0167,0,0
1,2,1,-0.8672,0.4418,1.0661,0.0333,0,0
1,2,1,-0.9141,1.3668,1.916,0.0167,0,0
1,1,1,-0.836,0.6335,1.0411,0.0333,1,0
1,2,1,-1,2.5334,1.1161,0.0167,0,0
1,1,1,-0.9922,1.3835,1.4743,0.0167,1,0
1,2,1,-0.8594,1.2668,1.9243,0.0667,0,0
1,2,1,-0.961,0.9835,1.0327,0.0167,0,0
1,1,2,-0.8125,1.8584,1.0661,0.0333,0,0
1,2,2,0.3492,0.9419,1.1242,0.1333,1,0
1,1,1,-0.8125,2.5834,0.9827,0.0083,1,0
1,1,1,0.5635,1.3584,1.3577,0.0333,1,0
1,2,1,-1,2.8584,0.8492,0.0167,0,0
1,2,1,0.3175,1.4585,1.841,0.0667,0,0
1,1,1,-1,0.6835,0.917,0.0167,1,0
1,1,1,-0.9141,0.8585,1.1994,0.0083,1,0
1,1,1,0.6349,0.8668,1.2578,0.1333,1,0
1,1,1,-0.9453,0.7002,0.9494,0.0167,1,0
1,2,2,0.4206,0.7418,1.0494,0.1333,1,0
1,1,1,-1,1.7668,1.191,0.0083,1,0
1,2,1,-0.9453,0.8501,1.3744,0.0083,0,0
1,1,1,-0.961,0.5168,1.6661,0.0083,1,0
1,2,2,0.9048,0.6668,0.9827,0.1333,1,0
1,2,1,-0.9688,1.2752,1.4327,0.0333,0,0
1,1,1,0.6984,1.0334,1.5077,0.0667,1,0
1,1,1,-0.8907,2.7917,1.941,0.0083,1,0
1,2,1,0.6428,1.5334,1.341,0.0333,0,0
1,2,1,-1,0.3669,1.0743,0.0333,0,0
1,2,1,0.3254,1.2417,2.5243,0.0667,0,0
