Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SOA,Accuracy,Training
1,2,1,1,8.4372,3.2524,133.3,0,1
1,2,1,1,43.172,0.6933,66.7,0,1
1,2,2,2,2.7325,1.3331,33.3,1,1
1,2,2,2,1.8528,2.1728,16.7,1,1
1,1,2,3,3.9854,0.8665,133.3,0,1
1,1,2,2,3.4789,1.6395,66.7,0,1
1,1,1,2,1.8662,1.7996,33.3,1,1
1,2,1,3,3.0391,0.7999,16.7,0,1
1,2,2,3,2.7725,1.0931,133.3,1,1
1,1,1,3,1.293,0.5998,66.7,1,1
1,2,2,3,2.6126,2.4527,33.3,1,1
1,1,1,3,3.5856,3.0392,16.7,1,1
1,1,1,3,1.1197,1.2018,133.3,1,1
1,1,1,3,1.333,0.4533,66.7,1,1
1,1,1,2,2.4393,1.8929,33.3,1,1
1,2,2,3,31.4027,1.7329,16.7,1,1
1,2,2,4,1.0798,1.1065,133.3,1,1
1,2,1,2,2.5325,0.7599,66.7,0,1
1,2,2,4,2.7592,0.7732,33.3,1,1
1,2,2,3,2.5992,1.2797,16.7,1,1
1,1,1,4,0.9998,0.5333,133.3,1,1
1,1,1,3,1.4929,0.48,66.7,1,1
1,1,1,3,1.8395,0.7333,33.3,1,1
1,2,1,3,2.2127,3.2791,16.7,0,1
1,1,1,4,0.9465,0.36,133.3,1,1
1,2,2,2,5.8648,0.8532,66.7,1,1
1,1,1,3,0.9065,1.0265,33.3,1,1
1,2,1,3,2.306,0.6399,16.7,0,1
1,1,1,4,0.8398,0.0935,133.3,1,1
1,1,1,3,2.0661,0.4933,66.7,1,1
1,2,2,2,2.0661,0.4134,33.3,1,1
1,2,2,2,2.146,0.6399,16.7,1,1
1,2,2,3,1.5329,1.3331,133.3,1,1
1,1,1,3,1.4663,0.3734,66.7,1,1
1,2,1,3,2.9991,1.8129,33.3,0,1
1,1,1,3,1.4796,0.48,16.7,1,1
1,2,2,4,0.7199,0.44,133.3,1,1
1,2,2,3,1.7595,0.5067,66.7,1,1
1,1,1,3,1.693,0.3734,33.3,1,1
1,1,1,3,1.7062,0.48,16.7,1,1
1,2,1,4,1.0531,0.9465,33.3,0,0
1,1,1,3,1.0531,1.3997,16.7,1,0
1,1,1,4,0.9731,0.7999,133.3,1,0
1,1,1,4,1.1997,0.8799,133.3,1,0
1,1,1,4,0.8399,1.0398,66.7,1,0
1,2,1,3,0.8798,1.2798,16.7,0,0
1,2,2,2,2.9591,1.0265,33.3,1,0
1,2,1,3,1.453,0.3867,33.3,0,0
